00-00	Declaraziun universala digls dretgs humans
02-00	Art. 2:
02-01	Mintga parsuna po far valer tut igls dretgs a tut las libertads proclamos an la Declaraziun preschainta sainza distincziun, particularmeing da raza, da calur, da gener, da religiun, d’opiniun politica near otra, d’origin naziunal near sozial, da possess, da naschientscha near d’otras zircumstanzas.
02-02	Plenavant vean i fatg nigna distincziun fundada segl statut politic, giuridic near internaziunal digls pajis near da teritori, da quel egna parsuna dariva, ca que pajis segi independent, sut vujeada, nun-autonom near sutamess ad egn’otra limitaziun da suveranitad.
03-00	Art. 3:
03-01	Mintga human a igl dretg da veta, da libertad a da sirtad da la parsuna.
04-00	Art. 4:
04-01	Nign dastga vagnir tanieu an sclavareia near an fameglia; la sclavareia ad igl comerzi da sclavs en scumandos an tut las furmas.
05-00	Art. 5:
05-01	Nign dastga vagnir sutamess a la tortura, near a pagnas near a tractamaints crudevels, inhumans near degradants.
06-00	Art. 6:
06-01	Mintga human a igl dretg da vagnir rancanuschieu dapertut sco parsunalitad giuridica.
07-00	Art. 7:
07-01	Tut igls humans en eguals avant la lescha ad an sainza distincziun igl dretg da protecziun eguala ancunter tuta discriminaziun ca violass la Declaraziun preschainta ad ancunter tuta provocaziun ad egna tala discriminaziun.
08-00	Art. 8:
08-01	Mintga parsuna a igl dretg da protecziun legala avant las giurisdicziuns naziunalas competentas ancunter acts ca violeschan igls dretgs fundamentals garantieus an la constituziun near an la lescha.
09-00	Art. 9:
09-01	Nign dastga vagnir aresto, mess an arest near exiliieu arbitrariameing.
10-00	Art. 10:
10-01	Mintga parsuna a igl dretg, an egualitad cumplagna, ca sieus cass vigni tracto gestameing a publicameing d’egn tribunal independent a nunpartaschant, igl qual dazeda davart seas dretgs a sias obligaziuns near davart la valevladad da tuta tgisa penala drizada ancunter ella.
11-00	Art. 11:
11-01	Mintga parsuna tgisada d’egn act castievel e inozainta antocen ca sia cualpa e cumprovada legalmeing an egn prozess public, noua ca tut las garanzeias nezessarias par la sia defensiun en vagnidas siradas ad ella.
11-02	Nign vean santanztgieu par acziuns near omissiuns ca valevan agl mumaint c’ellas en vagnidas cumessas betg sco act castievel tanor igl dretg naziunal ad internaziunal. Mademameing dastga la pagna betg easser ple granda ca quella aplitgevla agl mumaint c’igl act castievel e vagnieu cumess.
12-00	Art. 12:
12-01	Nign dastga davantar gl’object d’intervenziuns arbitrarias an sia veta privata, sia famiglia, sieus domizil near sia coraspundenza, near d’atatgas ancunter sia anur a sia reputaziun. Mintga human a igl dretg da protecziun legala ancunter talas intervenziuns near talas atatgas.
13-00	Art. 13:
13-01	Mintga parsuna a igl dretg da zircular librameing a d’eliger igl sieus domizil an gl’intern d’egn stadi.
13-02	Mintga parsuna a igl dretg da bandunar mintga pajis, ear igl sieus agen, a da returnar agl sieus pajis.
14-00	Art. 14:
14-01	An cass da persecuziun a mintga parsuna igl dretg d’ancurir asil a da survagnir asil an oters pajis.
14-02	Que dretg po betg easser invoco an cass da persecuziun parve da delicts nunpolitics near parve d’acziuns ca cunterfan a las fegnamiras ad agls prinzips da las Naziuns Unidas.
15-00	Art. 15:
15-01	Mintga human a igl dretg d’egna naziunalitad.
15-02	Nign dastga vagnir privo arbitrariameing da la sia naziunalitad near digl dretg da midar naziunalitad.
16-00	Art. 16:
16-01	Um a duna cun vigliadetgna adatada an igl dretg da maridar a da fundar egna famiglia sainza restricziuns partutgant la raza, la naziunalitad near la religiun. Els an igls madems dretgs arisguard la maridaglia, durant la letg a tier igl sieus divorzi.
16-02	La maridaglia po easser conclus suletameing cugl cunsantimaint liber a cumplagn digls cunsorts futurs.
16-03	La famiglia e gl’elemaint natiral a fundamental da la sozietad a sto vagnir protegieu da la sozietad a digl stadi.
17-00	Art. 17:
17-01	Mintga parsuna a igl dretg da ver egna proprietad atgna near cuminevla cun oters.
17-02	Nign dastga vagnir privo arbitrariameing da la sia proprietad.
18-00	Art. 18:
18-01	Mintga parsuna a igl dretg da la libertad da patratg, da cunzienzia a da religiun; que dretg cuntean la libertad da midar religiun near parschuasiun sco ear da manifestar l’atgna religiun near l’atgna parschuasiun sulet near an cuminanza, publicameing near privat, an l’instrucziun, an la pratga, an igl cult ad an l’execuziun da rituals.
19-00	Art. 19:
19-01	Mintga parsuna a igl dretg da la libertad d’opiniun a d’expressiun, tge ca cuntean igl dretg da betg vagnir mulasto parve da l’atgna opiniun sco ear igl dretg d’ancurir, ratschever, darasar, sainza risguardar cunfegns, las infurmaziuns a las ideias cun tut igls mieds d’expressiun.
20-00	Art. 20:
20-01	Mintga parsuna a igl dretg da la libertad da reuniun a d’assoziaziun paschevla.
20-02	Nign dastga vagnir obligo da far part d’egna assoziaziun.
21-00	Art. 21:
21-01	Mintga parsuna a igl dretg da partizipar an la regenza digl agen pajis, directameing near cun l’intermediaziun da repraschantants elegieus librameing.
21-02	Mintga parsuna a sut cundiziuns egualas igl dretg d’aczess a las funcziuns publicas digl sieus agen pajis.
21-03	La voluntad digl pievel e igl fundamaint da l’autoritad da las pussanzas publicas; quella voluntad de s’exprimer an elecziuns periodicas ad onestas cun dretg d’elecziun general ad egual an votaziun sacreta near tanor egna prozedura equivalenta ca garantescha la libertad da votar.
22-00	Art. 22:
22-01	Mintga parsuna a sco comembra da la sozietad igl dretg da sirtad soziala; ella po pretender d’obtaner igls dretgs economics, sozials a culturals indispensabels par la sia dignitad a par igl svilup liber da la sia parsunalitad, quegl tras sforzs interns digl stadi ad an la cooperaziun internaziunala, risguardant l’organisaziun a las resursas da mintga pajis.
23-00	Art. 23:
23-01	Mintga parsuna a igl dretg da lavur, da tschearna libra da la sia lavur, da cundiziuns da lavur gestas a cunvagnaintas a da la protecziun ancunter dischocupaziun.
23-02	Tuts an igl dretg, sainza discriminaziun, d’egn salari egual par lavur eguala.
23-03	Tgi ca lavura a igl dretg d’egna remuneraziun gesta a comensurada ca sirescha ad el ad a la sia famiglia egn’existenza cunforma a la dignitad humana a ca vean cumpletada, scha nezessari, cun oters mieds da protecziun sozials.
23-04	Mintga parsuna a igl dretg da fundar anzemel cun oters sindicats a da s’assoziear a sindicats par defender igls seas interess.
24-00	Art. 24:
24-01	Mintga parsuna a igl dretg da repos, particularmeing d’egna limitaziun raschunevla digl tains da lavur, a da vacanzas periodicas pajeadas.
25-00	Art. 25:
25-01	Mintga human a igl dretg d’egn standard da viver sufiziaint par sirar la sanadad ad igl bagneasser da sasez a da la sia famiglia. Quegl cuntean particularmeing l’alimentaziun, la vastgadira, l’abitaziun, la tgira medizinala sco ear igls survetschs sozials nezessaris. El a igl dretg da sirtad an cass da dischocupaziun, da malzogna, d’invaliditad, da vieuvanza, da vigliadetgna near an oters cass da spearsa da mieds da substanza tras zircumstanzas independentas da la sia voluntad.
25-02	Mama ad unfant an igl dretg d’agid a d’assistenza speziala. Tut igls unfants, sch’els segian naschieus an la letg near ordainfer la letg, giodan la madema protecziun soziala.
26-00	Art. 26:
26-01	Mintga parsuna a igl dretg d’instrucziun. L’instrucziun sto easser gratuita, seglmains quegl ca cuntean l’instrucziun elementara a fundamentala. L’instrucziun elementara e obligatorica. L’instrucziun tecnica a professiunala sto easser aczessibla a tuts; l’aczess agls studis superiurs sto easser liber a tuts an cumplagna egualitad tanor lur marets.
26-02	L’instrucziun de ver an mira igl svilup cumplagn da la parsunalitad humana a rinforzar igl respect digls dretgs humans a da las libertads fundamentalas. Ella de promover la capientscha, la toleranza a l’amizezia tranter tut las naziuns a tut las grupas da raza near da religiun sco ear sustaner las activitads da las Naziuns Unidas par igl mantegnamaint da la pasch.
26-03	Igls geniturs an da prioritad igl dretg d’eliger igl gener da l’instrucziun par lur unfants.
27-00	Art. 27:
27-01	Mintga human a igl dretg da prender part librameing a la veta culturala da la cuminanza, da giuder igls arts a da partizipar agl progress szientific ad agls benefezis ca resulteschan da quel.
27-02	Mintga human a igl dretg da protecziun digls interess morals a materials darivants da tuta producziun szientifica, literara near artistica, da la quala el e gl’autur.
28-00	Art. 28:
28-01	Mintga parsuna a igl dretg c’i regia segl tgomp sozial a segl tgomp internaziunal egn urden, an igl qual igls dretgs a las libertads manzunadas an la preschainta Declaraziun possian cuntanscher egn efect cumplagn.
29-00	Art. 29:
29-01	Mintga human a duers anviers la cuminanza, an la quala suleta e pussevla igl svilup liber a cumplagn da la sia parsunalitad.
29-02	An la realisaziun digls dretgs a da las libertads e mintga human sutamess suletameing a las limitas stabilisadas tras la lescha par sirar la racunaschientscha ad igl respect digls dretgs a da las libertads digls oters a par satisfar a las pratensiuns da la morala, digl urden public a digl bagneasser general an egna sozietad democratica.
29-03	Quels dretgs a quellas libertads dastgan an nign cass vagnir realisos ancunter las fegnamiras ad igls prinzipis da las Naziuns Unidas.
30-00	Art. 30:
30-01	Nigna disposiziun da la preschainta Declaraziun dastga vagnir interpretada ascheia c’egn stadi, egna grupa near egna parsuna vegi igl dretg da svilupar egn’activitad near d’ademplir egn act c’a an mira la destrucziun digls dretgs a da las libertads manzunos an quella Declaraziun.
