00-00	UNKANDA WOLWALI WOMOKO YOMUNU
02-01	Omunu eye omunu citava okukala lolomoko vyosi kwenda ayovo osi aciwa vukanda owu kawupinganyiwa, ndeci citukwiwa kovivalo vyakova, kulume pamwe ukayi, k’elimi, ketavo, kocisimilo culongo woku vyala ofeka ale esokolwilo lyosi likwavo lyefetikilo lyofeka ale lyowingi, lyukwasi, lyucitiwe wekalo limwe lyosi konepa yikwavo kakukala etepiso lalimwe lyupisiwa kesokiyo lyulongo wokuvyala ofeka, lyesunga ale lyolwali lyofeka a lyosi okuti omunu watunda, okuti ofeka eyi yiyovoke okuti yityamela yikwavo ale yikala longave yimwe yokulitumila oyonwele.
03-00	OCIHASU CATATU
03-01	Lomwe okakala upika ndango oselevende; upika kwenda omwilu yapika vyatatekiwa kolonjila vyayo vyosi.
04-00	OCIHASU CAKWALA
04-01	Lomwe okapumiwa, ndango akangiso ohali yalwa, ungangala uvi.
05-00	OCIHASU CATALO
05-01	Omunu eye omunu okwete omoko yokukuliha kolonepa vyosi vyofeka yahe yesunga.
06-00	OCIHASU CEPANDU
06-01	Omanu vosi valisoka kocihandeleko. Kwenda vakwete omoko. Kayalitepele yalisoka kokutatiwa kwocihandeko.
07-00	Omanu vosi vakwete omoko yokutatiwas yasoka okupisa kokutepisa uvi wosi unyola ukanda owu kwenda esanumulo lyosi kwenda etepiso.
07-01	OCIHASU CEPANDU VALI
08-00	Omunu eye omunu okwete omoko yekwato liwa kesunga lyofeka, lyapama litetwiya ovilinga vivi omoko yavelapo eye yokulihiwila kelisokiyo ale kocihandeleko.
08-01	OCIHASU CELELALA
09-00	Lomwe enda vokalyawoso, vokayike ale okutilila kosamwa yofeka.
09-01	OCIHASU CECIYA
10-00	Omunu eye omunu okwete omoko, kokulisoka, okuti ekalo lyahe lilomboloka kwavosi kwenda kowingi, konjo yimwe yesombiso lilikasilili kwenda lyasoka likalombolola, ndango komoko yahe kwenda kasiliyo ahe, ndango kalundi ahe okosi kelinga lyepiso vosungamisa eye.
10-01	OCIHASU CEKWE
11-00	1.Omunu walundiliwa elinga limwe lyumunu osokisiwa ndu hayeko toke eci elinga lyahe lilimbukiwa vokwenda kwolopapelo vyekandu, omu alitavo osi ayongwiwa, evindikiyo likasangiwa.
11-01	Lomwe okayikiwa kovilinga ale ovovi vonjanja yaco eci akalingiwa, havakasi ndelinga limwe lyumunu okupisa komoko yofeka ale yolwali ndeci calisoka, hakukakala okayike lakamwe kakola aka kakapiwile vosimbu eyi ekandu lyumunu lyalingiwa.
11-02	OCIHASU CEKWI LA MOSI
12-00	Lomwe okatala ohali yokusakalasiwa lavi komwenyo wahe komwenyo wahe wulika, epata lyahe, onjo yahe kwenda eli tavo lyahe lavakwavo ndengo okusetekiwa kekalo lyahe kwenda unu wahe.
12-01	OCIHASU CEKWI LAVALI
13-00	Lomwe okatalisiwa vali ohali lalundi okufwangwiliwa komwenyo wahe ulikasilili kepata, konjo yahe ale katambululo ahe, ndango, ndango okunyola ekalo lyahe. Omunu eye omunu okwete omoko yokutatiwa kocihandeleko, okupisa kalundi aco, ale kasetekiwo.
13-01	OCIHASU CEKWI LATATU
13-02	Omumu eye omunu okwete omoko yokwenda ndeci apanga okunola oku akala nda vokati ke kalo lyowingi.
14-00	2.Omunu eye omunu okwete omoko kokutunda v’ofeka yosi okutyamisako eyi ayongola, kwenda okungwala ofeka yosi.
14-01	OCIHASU CEKWI LAKWALA
14-02	Kokukwamawa, omunu eye omunu okwete omoko yokuvanjiliya okutilila kofeka yikivavo kwenda okukwatisiwa ndukwafeka yingi volofeka vikwavo.
15-00	OCIHASU CEKWI LATALO
15-01	Omunu eye omunu okwete omoko yunyitiwe umwe wofeka.
15-02	Lomwe olikasilili olundiliwa unyitiwo wahe. Ndango omoko yokupongolola unyiliwe.
16-00	OCIHASU CEKWI LEPANDU
16-01	Okupisa kutunga wokulinga uvala, ulume kwenda ukayi ndengo ohele layimwe yekova, yukwafeka ale etavo, vakwete ocipango cokulikwela kwenda okutunga epata.Ovovakwete omokoyimosi osimbu yuvala kwenda kokulitepa kwavo.
16-02	Uvala citava okuti va umalusula locipapo kwenda esokolwilo lyasoka lyolokweli vyokovaso.
16-03	Epata ocimatamata casoka kwenda cakola cowingi kwenda cikwete omoko yokutatiwa kwowingi kwenda kwolombyali.
17-00	OCIHASU CEKWI LEPANDU VALI
17-01	Omunu eye omunu, ndango oco ale kowingi, okwete omoko yeci mwele.
17-02	Lomwe ofwangiliwa okuketikiwa kweci cahe.
18-00	OCIHASU CEKWI LECELALA
18-01	Omunu eye omunu okwete omoko yeyovo lyokusokolola, olondunge kwenda etavo.
19-00	OCIHASU CEKWI L’ECIYA
19-01	Omunu eye omunu okwete omoko yeyovo lyesokolwilo kwenda okuvangula.
20-00	OCIHASU CAKWI AVALI
20-01	Omunu eye omunu okwete omoko yeyovo lyonjango kwenda omunga yunu.
20-02	Lomwe osilinginyiwa oku upa vomunga yimwe.
21-00	OCIHASU CAKWI AVALI LAMOSI
21-01	Omunu eye omunu okwete omoko yokukwatisa esongolo lyolondaka vyowingi wovofeka yahe, ndokwingilamo l’utwe ale v’onele ndovindekase vyanoliwa.
21-02	Omunu eye omunu okwete omoko yokweca, vekalo lokulisoka kovopange owingi wovofeka yahe.
21-03	Onjongole yawingi osi yovihandeleko vyomoko yowingi; onjongole eyi yavangwiwile kocela calomboloka cocili, cikwate onepa volotembo kukulisiso wavyosi wasoka, kwenda kocela covutima, ale vali elinga limwe lisungweko lyeciwa kombembwa yocela.
22-00	OCIHASU CAKWI AVALI LAVALI
22-01	Omunu eye omunu, eci okuti ocimatamata cowingi, okwete omoko yokutatiwa kwowingi, oko kutundilila koku kwata esanju olomoko vyokwasi, vyowingi kwenda ovituwa viyongwiwa kunu wavyo kwenda okwamako kulikasilili kwenkalo lyomunu, ohenda yongusu yofeka kwenda ukamba lolofeka vyolwali, okukwata ocikele celisokiyo kwenda ovokwasi ofeka oyo ofeka.
23-00	OCIHASU CAKWI AVALI LATATU
23-01	Omunu eye omunu, omoko.yupange, okunola locipango cahe upange, ekalo lyaposoka kwenda lyesanju lyupange okutatiwa oco hakatundeko.
23-02	Vosi vakwete omoko, halokutepisako, ofeto yimosi kupange walisoka.
23-03	Wosi olinga upange okwete omoko yofeto yasoka kwenda yesanju, okukwata ndeci epata lyahe ekalo limwe lyunu womumu kwenda yamisako, ndaciyongola vali ovi kwata vyokutata owingi.
23-04	Omunu eye omunu okwete omoko yokutekula, lavakwavo olosindikatu okutyamela kolosindikatu vikwavo oco vatetwiye olonjongole vyaso.
24-00	OCIHASU CAKWI AVALI LAKWALA
24-01	Omunu eye omunu okwete omoko yokupuyuka kwenda okupitisa otombo kwenda elyuviko lyasoka lyosimbu yupange kwenda epuyuko lyosimbu yifetiwa.
25-00	OCIHASU CAKWI AVALI LATALO
25-01	Omunu eye omunu okwete omoko yutunga womwenyo umwe wasoka oco akwate uhayele wahe, ekalo lyahe liwa kwenda lyepata lyahe haco lyokulya, okuwala, onjo ovikele vyuhayele, ndeci vo haco kovipange owingi aposokela; eye okwete omo yokutatiwa konjila yokukala okuti kakwete upange, kokuvela, eci ekuti kasilivilavali, kumbumba kokukukatoke kolonjila vikwavo vyokumyelisa ovikwata vyahe vyosi vyekwatiso kokwamako lovitangi vyulika wonjongole yahe.
25-02	Kokucitiwa kwenda kumola okwete omoko yekwatiso limwe kwenda ekwatiso limwe lyavelapo. Omala vosi vacitiwa kavivala ale kosamwa yavo, vakwata etetwiyo limosi lyowingi.
26-00	OCIHASU CAKWI AVALI L’EPANDU
26-01	Omunu eye omunu okwete omoko yelilongiso. Elilongiso likale lyocali, ndeci cikala elilongiso lyokuyukiyako kwenda lyongusu. Elilongiso lyokuyukiyako te okulisilinginya. Elilongiso lyulongo kwenda lyepindiso te lisandwiwa; okweca onjongole yelilongiso lyavelapo liyulwiwe kokulisoka kwavosi kupange wekolelo lyawo.
26-02	Elilongiso litave okuyuluka kukulihiso wosi womwenyo kwenda kongusu yocisumbilo komoko yomanu kwenda keyovo lyasoka. Oyo yece elomboloko, ongecelo kwenda ukamba p’okati kolofeka vyosi kwenda awingi osi olomepele vyakova ale vakwetavo, eci ndeci okwamako kwovopange olofeka vyalikongela kokukwatisa ombembwa.
26-03	Olofeka, kocipango, omoko yokunola elilongiso lyosi vaca k’omala vavo.
27-00	OCIHASU CAKWI AVALI LEPANDU VALI
27-01	Omunu eye omunu okwete omoko yokukwatisa ndeci ayongola komwenyo wovituwa vyowingi : okukwata kovolongo kwenda okukwatisa kokwamako kulongo kwenda ovowa aca.
27-02	Omunu eye omunu okwete omoko yokutatiwa kolonfongole vyolondunge kwenda ovikwata vyalingiwa vyupange ulongo walivulu ale ovipapo ale olomapalo evi okuti ovyo efetikilo.
28-00	OCIHASU CAKWI AVALI LECELALA
28-01	Omunu eye omunu okwete omoko yeci avyala, kesokiyo lyowingi kwenda kesokiyo lyolwali, ocihandeleko cimwe ndeci omoko kwenda ombembwa yipopiwa vukanda owu mupita eci calingiwa.
29-00	OCIHASU CAKWI AVALI LECIYA
29-01	Omunu okwete ovikele kowingi esi okuti olikasilili kesokiyo lyokwamako kunu wahe kwenda eci citava.
29-02	Vupange womoko yahe kwenda kekalo liwa lyombemwa yahe, omunu eye omunu eye umwe okapiwa kongave eyi alinga kocihandeleko culika oco akwate ukulihiso kwenda ocisumbilo colomoko kwenda eyovo lyovina vikwavo yokusanjwisa alinga awa okuvangula, ucihandeleko cowingi kwenda ekalo liwa lyacosi cuvyali wowingi.
29-03	Olomoko evi kwenda eyovo havikatava, vonjila layimwe, okulinga eci hacoko kasangamelo kwenda kafetikilo olofeka vyalitokeka.
30-00	OCIHASU CAKWI ATATU
30-01	Lalimwe ekalo lyukande owu litava okuti lilombolwiwa, okuti likatangisa uvyali, elyongolwilo limwe ale omunu umwe, omoko yimwe yango yokutyamela kupange umwe ale okutelisa elinga limwe lyokunyola olomoko kwenda eyovo, vyatumiwa ndeti mulo.
