00-00	Ohuminyo Yoluali Yoku Tata Ovimuenyo Viomanu
03-01	Omunu wosi okuete omoko yoku kuata omuenyo wahe, yoku lisanja vofeka kuenda yoku hindingila.
04-00	ONDAKA YA 4
04-01	Lomue okala kupika, lomue okapa ukuavo kupika. Upika wa lemeliwa.
05-00	ONDAKA YA 5
05-01	Lomue okangisua pamue oku yikiwa vokayike kohali olivova.
06-00	ONDAKA YE 6
06-01	Apa posi omunu akasi wa sesamela oku kulihiwa lombonge.
07-00	ONDAKA YE 7
07-01	Kovihandeleko omanu vosi valisoka kuenje vosi te vatatiwa lovihandeleko vimosi. Lomue ha katepise; nda umue otepisiwa a ivaluise ohuminyo eyi.
08-00	ONDAKA YE 8
08-01	Omunu wa lueya lahevo okuete omoko yoku pinga ekkuatiso kolonganji vio feka vana va kuliha ovihandeleko vioku tata omuenyo womanu, nda vokuafeka, nda vakualofeka vio posamua.
09-00	ONDAKA YE 9
09-01	Lomue okutiwa no olivova, loku yikiwa pamue oku tundisiwa vofeka yahe.
10-00	ONDAKA YE 10
10-01	Omunu wosi okuete omoko yoku sombisiwa lesunga lolonganji, okuti kapa kala olonepele kuenda osombisiwa kombonge yolonganji kavi tiamela kusoma laumue, kuenje va sisa ciwa eko liaco.
11-00	ONDAKA YE 11
11-01	Omunu wosi va tukuila eko limue, kacitava oku ukapa eko liaco toke eci ku kala uvangi wokuti ocili wa lueya. Pole ndano vosanga leko lopo okuete omoko yoku kuata onganji yukuatisa.
11-02	Lomue olinga ocikonde mekonda lieko lia lingiwa konyima yoloneke eci okuti eko liaco halia kolele ndeci ca sonehiwa vovihandaleko violonganji, nda vio feka nda violo feka vioposamua. Kuenje te okangisiwa ndeci casoka ca tumila ocihandeleko caco eci alinga eko liaco.
12-00	ONDAKA YE 12
12-01	Lomue okangisiwa olivova mekonda liomuenyo wahe, pamue wepata konjo yahe. Lomue okuete omoko yuku yulula ukanda ukuavo oku vanjiliya evi vikasimo ha hakutisa osoyi ukuavo. Omunu wosi wa kuata ovitangi evi okuete omoko yoku ivaluisa olonganji ocihandeleko eci.
13-00	ONDAKA YE 13
13-01	Omunu eye omunu okuete omoko yoku nola apa a yongola oku kala vofeka.
13-02	Omunu eye omunu okuete omoko yoku tunda vofeka omo akasi, ndano ofeka yahe, kuenda okuetevomoko yoku tiuka vofeka yahe.
14-00	ONDAKA YE 14
14-01	Omunu wosi okuayiwi lolombiali okuete omoko yoku pinga kolombiali violofeka vikuavo oco vo okuatise okusalamamo.
14-02	Omoko yoku pinga kolofeka vikuavo oku salama, yi tava lika komanu ava vakuayiwi lolombaiali, havavako ovingumba, pamue olomondi pamue uvi ukuavo.
15-00	ONDAKA YE 15
15-01	Omunu eye omunu okuete omoko yoku tiamela kofeka acitiwa.
15-02	Lomue omunu otela okupa ukuavo omoko yoku tiamela kofeka acitiwa pamue omoko yoku pongolokela kofeka yikuavo
16-00	ONDAKA YE 16
16-01	Eci omunu atelisa anyamo oku kuata epata, nda ulume nda ukayi okuete omoko yoku kuata epata liahe, nda okuela u oyela nda yu otekava, nda ukuetavo lie nda lie, ka katatekiwe.
16-02	Uvala ulingiwe pokati komanu vavali valitava, okuti ulume lukayi.
16-03	Epata olio ocihandeleko cavelapo kuenda ocisila coluali, cisukiliwa pokati kolohongele viomanu, yu epata lia sesamela okutatiwa lolombiali viofeka.
17-00	ONDAKA YE 17
17-01	Omunu eye omunu pamue ocisoko comanu va kuete omoko yoku kuata cahe muele pamue cavomuele.
17-02	Lomue okuete omoko yoku nyeha cimue cukuavo.
18-00	ONDAKA YE 18
18-01	Omunu eye omunu walisanja oku sima eci apanga ndeci etavo; okuete omoko yoku kala ketavo ayongola kuenda omoko yaco yu wiha evelo lioku pongolokela ketavo likuavo pamue oku lekisa kuvakuavo etavo liahe, nda lika wahe nda ocisoko comanu, nda posamua nda pulika.
19-00	ONDAKA YE 19
19-01	Omunu eye omunu okuete omoko yoku yo kueca ovisimilo viahe, lokuvi vangula kuenda lomue u usakalasa mekonda liaco, kuenda citava okusandula ovisimilo viahe vofeka pamue posamua, vovingungu viosi vioku popela.
20-00	ONDAKA YA 20
20-01	Omunu eye omunu okuete omoko yoku likongela lava kuavo kuenda oku tunga ohongele cinene no nda ohongele yaco yombembua.
20-02	Lomue kaka kisikiwe oku likongela kohongele eyi kayongola.
21-00	ONDAKA YA 21
21-01	Omunu eye omunu okuete omoko yoku songola ovopange osi ofeka yahe.
21-02	Omunu eye omunu okuete omoko yokuinila pomangu yupange wofeka yahe , kapaka kala olonepele.
21-03	Onjongole yomanu oyo ongusu yusoma wofeka; kuenje casesamela okunola asongui locela cilingiwa lesunga kuenda ocilli. Ocela caco cikuame ocihandeleko coluali, okuti ha lolonepeleko kuenda omunu lomunu osoneha onduko asima pokanunununu.
22-00	ONDAKA YA 22
22-01	Omunu eye omunu wa sesamela oku tatiwa lombonge yitukuiwa "Seguransa Social" yofeka a tiamela, kuenda citava oku kisika ombonge yaco ekuatiso nda lio tupalata, nda elongiso kuenda tu panduila olombonge vio feka kuenda olombonge vioposamua ekuatiso vasole okueca.
23-00	ONDAKA YA 23
23-01	Omunu wosi okeute omoko yoku kuata upange, yoku nola upange u usanjuisa loku umuisa eci ayongola kuenda omunu wosi ovindikiyiwa kocitangi cekambo liupange.
23-02	Vosi omanu vakuete omoko yoku fetiwa cimosi nda va talavaya upange umosi.
23-03	Wosi omunu otalavaya okuete omoko yoku fetiwa lesunga okuti cusanjuisa oco cu ukuatisa okutata epata liahe lunu, nda citito ombonge yi vokiyeko.
23-04	Omunu wosi okuete omoko yokusovola ombonge, kumosi lavakuavo, yoku vetatela olonjongole violondinga upange.
24-00	ONDAKA YA 24
24-01	Omunu wosi okuete omoko yoku puyuka, kuenda oku talama elivala lio oneke pole otambula ofeto yahe ndu watalavaya.
25-00	ONDAKA YA 25
25-01	Omunu wosi okuete omoko yoku kuata omuenyo luhiti, eye lepata liahe va kuata ekuatiso kuhayele, kokulia, kuwalo, kocitumalo, koku feta ocimbanda, pamue ekuatiso likuavo lisukiliwa kuenda osesamela oku vikuvindikiyiwa nda ka kuete upange, pamue nda koku vela, nda walinga ocilema, nda wa siala umbumba, pamue wa kuka pamue vimue vikuavo viu tateka okusanga epondolo.
25-02	Uyali kuenda utila womala visesamela ekuatiso liocili. Omala vosi, nda omala vondombua nda voposamua, vosi vakuete omoko yimosi yoku tambula ekuatiso kombonge (Seguransa Social).
26-00	ONDAKA YA 26
26-01	Omunu wosi osesamela elilongiso. Elilongiso te lio cali, ndano haliosiko pole alima atete ocali ana alongisa omunu oku tanga loku soneha. Onepa yaco yelilongiso eli likisikiwe komanu vosi. Elilongiso lio vipinduko lilue. Elilongiso lio losikola Vinene vatukula Univesidade liyu luiwe komanu vosi valisukila, ndeci ca sesamela omunu lomunu okuti halolonepeleko.
26-02	Elilongiso lia sesamela oku kuatisa omau oku waya unu womanu kuenda oku kolisa ovihandeleko vioku tata omuenyo womanu kuenda eyovo kuenda lia sesamela okueca elomboloko komanu liokuti epandi kuenda ocisola lolofeka viosi, lapata osi kuenda latavo osi kuenda okuamisako upange wosi wo Hongele Yofeka (Nasoes Unidas) oku kapa ombembua voluali.
26-03	Olonjali ovio tete via sesamela oku kuatisa omala vavo oku nola elongiso liocili.
27-00	ONDAKA YA 27
27-01	Omunu wosi okuete omoko kuatisa kelongiso liovituwa vio feka pocitumalo akasi, okutata umesele kuenda oku kuatisa kukulihiso wosi unena okuamisako ofeka, kuenda okutambula kapako osi upange wavosi.
27-02	Omunu wosi okuete omoko yokuvetatela umesele wahe , nda ukulihiso nda ovisonehua, nda olomapalo eye muele asovola.
28-00	ONDAKA YA 28
28-01	Omunu wosi okuete omoko yoku kisika okuti ovihandeleko via sonehiwa Vuvangi mulo vili vilingiwe nda vofeka yahe nda posamua oco eyovo liocili limolehe .
29-00	ONDAKA YA 29
29-01	Omunu wosi okuete ovikele lovocisoko a atiamela, muna eye akulila, haimo opa unu wahe.
29-02	Ko kusuisapo ovihandeleko evi loku vitelisa oko kutunda eyovo liocili, kuenda lomue otakekiwa locihandeleko cini te lika evi vikuatisa okuamisa kovaso ovihandeleko vieyovo liavakuavo oco va suisepo uhiti lutate wofeka kuenda oco usoma utukuiwa "Democracia ".
29-03	Ovihandeleko evi vilingiwa lika oku kolisa ongusu yo Hongele Yolofeka (Nasoes Unidas).
30-00	ONDAKA YA 30
30-01	Lacimue ocihandeleko casonehiwa vu Vangi mulo cipengisiwa Lofeka kayitiamela ko Hongele pamue omunu oco anyole eyovo liomanu lia sonehiwa mulo.
