00-00	Non ahuuacaimain huatiroquin ishon. Niaifofoan ichanancashon mato cunushonifo.
04-00	4.
04-01	Tsoancai yora futsa curushcai achitiroma ahuun yonomamitsamisi inon. Ascanrifin atacai yora futsan huaricai futsa inantiromafiquin yonomamitsamisi inon.
05-00	5.
05-01	Ratoran futsancai yoraqui parannatiroma.
06-00	6.
06-01	Ranushumua nantifinfain yoi inifoantirofo.
07-00	7.
07-01	Nantifinfainfin naano rasin ranushumua nicaifaintiroquin. Cushu sharafaintiroquin. Naanori non yoia. Tsoanmain ahuua yoipaicai ishon ranushumuato ato cushu sharacoian.
08-00	8.
08-01	Futsa futsan chacahuaiton oinquin niaifo patashariton ato cushu sharatiroquin.
09-00	9.
09-01	Tsoan chacahuacuma ranushumu ato achiyamafain cunu muran iquimaiyamafain ahuun mai arishon nichitiroma.
10-00	10.
10-01	Niaifofo yoran oincasmaifoancai ahuun niaifo patashari itirofoma. Yoran futsan yoiti huashucai niaifo patashari itirofomafinquin.
11-00	11.
11-01	Yoran futsan yoiti huashucai niaifo patashari tapiataimano, -Mifin min icashu, yoitiroma. Yocaqui tauhuashon.
11-02	Yora futsaforinfin yocatiro. Ascan tapisharashonfin, -Mifin min icaran, huatiroquin.
12-00	12.
12-01	Niaifofoan yoia cuscan yonoyamaiton, -Min chaca huaran, ishon ranushumuafo yoitirofoma. Tsoan ahuun pushu muran iquimacasmainocai iquitiroma. Ahuun yorarincai fucash huatiroma. Futsan cunu fumacurifincai futsan oinnantiroma. Futsacai tsain futsan huatiromafiquin. Yora futsan nanori huaitofin ranushumuaton noco cushu sharatiroquin.
13-00	13.
13-01	Nan mai futsan ano ipaiyaifin iqui catiroquin.
13-02	Tsoan ahuun caifo ariashu caifo futsari ato mai ano capai catiro. Cafiashu afanan naso curantiro.
14-00	14.
14-01	Rato futsan nan ahuun caifo muranshon'chaca huaino omitsiscahuaifono raquira futsa shinanshu mai futsa ari catiro. Mai futsan ari cashon niaifo futsan - Un mato fu ipaiyaiton mian raquiri huatiromanmun?
14-02	Ascantanrifin yora nan ahuu caifoan chaca huafiaino ranushumu aton achianocai raqui afanan catiroma. Mai futsa aricai catiroma.
15-00	15.
15-01	Ratoran futsan, -Unfin uhuun caifoan ahuun yoranfin unquin, -huatiroquin.
15-02	Caifo futsan muran ipaiyaitoncai tsoan nituhuantiroma.
16-00	16.
16-01	Nocofunufo yafin ainfofo fianantirofoquin. Caifotifin ascatirofo. Fianancashon facu atirofo.
16-02	Ainfoan nocofunu ficasmaiton nocofunun fitiroma. Copiquiriri nocofunun ainfo ficasmaiton ainfoan fitiroma.
16-03	Nan niaifofoan nan yoran ipatifo atotirin oin sharapacutiroquin.
17-00	17.
17-01	Nantifin yorafofin mai nantonnacoin itiroquin. Ascanrifiantanfin yora rafutanrifin ato mai nantonnacoin huatirofoquin.
17-02	Tsoancai tsoa futsacai, -Min mai anoashu cataonhuu. Afanan minama, noco huatiromafiquin.
18-00	18.
18-01	Nantifinfainfin ahuuara shinanpaiquin shinantirofoquin. Ahuuara icoinranhuapaiainfoan icoinranhuatirofo. Ascanfiantanfin nan icoinranhuapaiainfotinchifin icoinranhuatirofo. Arusu fustichinfin icoinranhuapaiquin icoinranhuatiroquin. Atirifinfain a futan icoinranhuapaicaquinfin icoinranhuatirofoquin. icoinranhuashonfin yosi tiroquin. Nan icoinranhuaafotifinfin chanantirofoquin. Nanscafin atirofoquin.
19-00	19.
19-01	Nantifinfainfin ahuuara shinanpaiquin shinantirofoquin. Shinanshofin futsanfori yoitiro. Tsoancai, -Nan min shinan cuscan huafain tsoan yoiyamahuu, -ishon, Anori yonotiroma. Man shinan cuscan huafain man cunutirori yora futsanfoforinfinfin oinmatiroquin.
20-00	20.
20-01	Nan ichananpaiaifoti ichanantirofo. Tsofumain rafupaicai nan fu rafutiro.
20-02	Ratofumain rafucasmaicai. Tsoancai, -A fu rafuhuu, huatiromafinquin.
21-00	21.
21-01	Rato futsamain ahuun caifoan niaifo itiroquin. Nan naifo ipaiyamaiton ratoran futsan ahuun caifo futan catontirofoquin. Niaifo inon icashon.
21-02	Nanfin niaifofonaquin ascan niaifofoan ato ahuuarafin apaiquin atirofoquin.
21-03	Ahuuamain huapaicanicai ishonfin niaifoan ato yonotiroquin. Fasi ranan finoin finonyotan anosi ichanancashon ratomain niaifoforifin iquicain ishon catontirofo. Nan nocofunufo futan ainfofoanrifin niaifofo catontirofo.
22-00	22.
22-01	Cushunancahuun. Mato caifo yafin mato yorafo cushunan sharacahuun. Ascashufin nantifin isharatirofoquin.
23-00	23.
23-01	Nantifin yorafo yonotirofoquin. Nan nocofunun nanfincoin yonopai yonotiro. Ascanrifiantan futsa yonoshonpaiquin yonoshontiro. Yonofiantiofiashucai yonoashuma isharatiromafinquin. Yono sharacashonfin nanno rasisi fitirofoquin.
23-02	Tsoan yono sharashonfin fi sharatiroquin. Yono sharacashonfin nanno rasisi fitirofoquin.
23-03	Ratoran futsa yono sharashonfin fi sharatiroquin. Ascancunfin naanton yafin ahuun yorafo isharatirofoquin.
23-04	Nantifinfainfin ano rasisi yonopaicanifin yonotirofoquin.
24-00	24.
24-01	Nan yonoi unutafin caiyahuati sharaquin. Yonohuaitianmarinfin non tunu yafin sharaquin.
25-00	25.
25-01	Nantifin non icafin sharaquin. Nantifin yonoyacain sahuutiacain pushuyacain cayatiacain. Ascashufin non shara itiroquin. Ahuuara isinpa icaiforifin yonotiromafocun non cushu sharatiroquin. Ahuinfo funuomarifin non oin sharatiroquin. Anifofo yafin yoshafoforinfinfin non ato oin sharatiroquin.
25-02	Nantifin ahuafo non facufo non cushu sharacahuun.
26-00	26.
26-01	Nantifinfain cunu oianfofin sharaquin.
26-02	Tapimamisiton ahuun tapimamisifo ato tapimatiro iscahuaquin, -isharacahuu, futsa sharahuacahuu, futsaqui sinayamacahuu. Futsaforifin yorahuan tanancahuu. Ascanrifiantan rutananpaiyamacahuu.
26-03	Apan futan ahuan ato facufo ahuuara tapimapai cuscan huafainfin tapimatirofoquin.
27-00	27.
27-01	Nanscaisi ahuun caifoya fuyahuanifo.
27-02	Ahuun caifo yononi cuscan huafain yora futsarifin ismatiroquin.
28-00	28.
28-01	Non yonoa cuscan manifotifin acanashu nantifin yora isharacointirofoquin.
29-00	29.
29-01	Nantifinfain nan ica pushu anoafo a futan atirofoquin.
29-02	Nantifinfain ahuuara shara huatirofoquin. Nialfofoan yonoa cuscanrifin nanrifin huatirofoquin. Nalifofoan yonoa cuscan nicacasmaiton ato iquimatiro foquin.
29-03	Non cunua cuscan tsoan yoiqui huashon, -Niaifofo yoini non ahuuara chaca huatiroquin, ishon. Aririma. Non ariri yoiama.
30-00	30.
30-01	Non tsain shara fusti cunupai. Tsoan noco tsain oinfainshoncai yora futsa huapaiaitoncai oin sharamafinquin.
