00-00	Sixjiex Renvjuanv Xuanxyanv
18-01	Avzangf sixxiangf, lyangvxinx ningx zongxjyox zyxyyv juanvlix alf; ccax juanvlix zongxjyox ningx xinxyangf lev gaifbyanx zyxyyv, danxduv ningx jivtif, gongxkaix ningx mixmix jyoxyix, sivjyanx, lifbaix ningx jiexlix mix zongxjyox ningx xinxyangf lev byofsix zyxyyv alf.
19-00	Dix siv jyf
19-01	Avzangf yixjyanx lev zuxzangx ningx faxbyof zyxyyv; ccax juanvlix zuxzangx alf ganxsex lev myv topx zyxyyv, meivjiev mix guivjiex myv krix xiaoxxiv ningx sixxiangf lev gyx topx ningx bix zyxyyv alf.
20-00	Dix arx siv
20-00	Avzangf hovpingv jivhuix ningx jievsex zyxyyv alf juanvlix alf.
20-01	Avzangf twanvtif manx syv zzangxxyv nyv.
21-00	Dix arx siv yiv
21-00	Avzangf avdyf ningx zyxyyv avsalf daixbyof mix guivjiax lev zixlif sax canxjiax juanvlix alf.
21-01	Avzangf max pingvdengf jixhuix mix guivjiax gongxwux canxyif juanvlix alf.
21-02	Avzangf max yixzix zengxfuf juanvliv jixcuf ef; ccax yixzix dingxqix ningx gaixsangx avsalf sax mix byofxianx sax ef, avsalf sax pufbyanx ningx pingvdengf ef, angvbryngf myv brif tyvpyox ningx xiangxdangx zyxyyv tyvpyox cenvxix mix zzux sax ef.
22-00	Dix arx siv arx
22-01	Avzangf sexhuix cenvyuanv ef, sexhuix bofzangx lev topx juanvlix alf, zunxyanv ningx renvgev zyxyyv faxzanf sax gyx jinxjix, sexhuix ningx wenvhuax juanvlix sivxianx sax topx juanvlix alf; ccax juanvlix sivxianx sax, guivjiax covsix ningx guivjix hovzox ningx gox guiv zuxzix ningx zixyuanv jingvkuangx mix zzux sax ef.
23-00	Dix arx siv sanx
23-00	Avzangf gongxzov, zyvyev lev zyxyyv avsalf, gongxzengx ningx hovsix gongxzov tyovjyanv ningx sixyex bofzangx topx juanvlix alf.
23-01	Avzangf max syvnax tongv gongx tongv cyv juanvlix alf, manx jivsix nyv.
23-02	Gongxzov avzangf gongxzengx ningx hovsix boxcyv lev topx, avdyf ningx cymfdov avzangf max avzang zunxyanv fuvhov sengxhov tyovjyanx syv alf juanvlix alf, bixyox avlangf taixongf sexhuix bofzangx lev bix sax ef.
23-03	Avzangf gongxhuix lev zufzix ningx canxjiax lixyix lev weivhux juanvlix alf.
24-00	Dix arx siv six
24-01	Avzangf ryvnaf ningx laixkax myv alf juanvlix alf, gongxzov avlangf hovlif xyanxzix alf juanvlix ningx guixdingx avlangf pox topx ryvnaf juanvlix alf.
25-00	Dix arx siv wuf
25-00	Avzangf avdyf ningx cymfdov avzangf max jyanxkangx ningx fuvlix lev weivjiv sengxhov suifzunx topx juanvlix alf, angvzzax, temxbox, cymf, manxwaf sax ningx bixyox sexhuix fuvwux alf; gongxzox myv alf, zzaf, canvfe, langxlaf xif, pyvringx sax ningx taixongf kongxzyx myv gnif laixkax dov myvsengx nengvlix myv alf avlangf, bofzangx lev topx juanvlix alf.
25-01	Avmaif ningx jamxrav texsux zoxgux ningx syvnangx sax topx juanvlix alf. Jamxrav max, hunxyinx avnyx ningx taixongf pyvccuf sax, syvnax tongvyangx sexhuix bofhux lev topx sax ef.
26-00	Dix arx siv luv
26-00	Avzangf max syvnax jyoxyux topx juanvlix alf. Jyoxyux ngul manx gyx nyv, taiftaix jingf cuxjiv ningx jixbenf jiexduanx exwax sax ef. Cuxjiv jyoxyux yixwux xingx sax ef. Jixsux ningx zyvyex jyoxyux pufbyanx sexlix sax ef. Mrangf jyoxyux cengvjix cax avzangf max lev tanf sax ef.
26-01	Jyoxyux muxdix congxfenx avzangf goxxingx lev faxzanf, avzangf juanvlix ningx jixbnef zyxyyv zunxzongx syv mrangf. Jyoxyux guivjiax ningx guivjiax, zongfzuv ningx zongfzuv, zongxjyox jivtuanv ningx zongxjyox jivtuanv av sox sax, av rongvrenf sax ningx gamf gwanxxix lev cuxjinx sax ef, Lyanvhov Guiv hovpingv lev weivhux hovdongx max lev cufjinf sax ef.
26-02	Avpaif avmaif angvjalf byvmaxjalf jyoxyux lev, uxzzuf avsalf juanvlix alf.
27-00	Dix arx siv jix
27-00	Avzangf max syvnax sexhuix wenvhuax sengxhov canxjiax, yixsux lev topx, koxxuev jinxbux ningx angf lev klotxxyv fuvlix lev topx juanvlix alf.
27-01	Avzangf angf lev zzux koxxuev, wenvxuev ningx meifsux zoxpinf jingxsenv ningx wuxzix lixyix lev, bofhux sax topx juanvlix alf.
28-00	Dix arx siv bax
28-01	Avzangf sexhuix ningx guivjix zyxxux lev gyx juanvlix alf. CCax zyxxux dov, ccax xuanxyanv lev brif juanvlix ningx zyxyyv syvna congxfenx sivxianx sax topx gnif.
29-00	Dix arx siv jyf
29-00	Avzangf sexhuix lev zevrenx alf, sexhuix dov goxxingx zyxyyv ningx congxfenx faxzanf lev topx gnif.
29-01	Avzangf juanvlix ningx zyxyyv lev xingvsif avlangf, faflix lev jef xianxzyx. CCax xianxzyx lev juexdingx muxdix avzangf juanvlix ningx zyxyyv lev alf sax ef cenvrenx ningx zunxzongx bix sax bofzengx, minvzux sexhuix dov daoxdev, gongxgongx zyxxux ningx pufbyanx fuvlix zengxdangx gyx sax sixyingx sax jef ef.
29-02	CCax lev juanvlix ningx zyxyyv lev xingvsif, tangf jingvxingv dov syvnax Lyanvhov Guiv zongxzif ningx yuanvzev manx weivbeix nyv.
30-00	Dix sanx siv
30-01	CCax xuanxyanv lev brif sax guivjiax max, twanvtif max ningx avzangf max hovdongx ningx xingvweiv mix ccax xuanxyanv avnyx brif juanvlix ningx zyxyyv lev syv myvgamf juanvlix alf sax manx gyx nyv.
