00-00	RUQ'ALAJIRISAXIK CHI RUWAeCH RONOJEL RUWACH'ULEW RI RUCH'OJIB'AL RUK'ASLEN JUN WINAeQ
02-00	Mokaj ka'i' (2)
02-01	Konojel ri winaqi' kichajin ronojel ri ch'ojinik chuqa' ri kolotajik e tz'ib'an chupan re Q'alajirisab'ael Wuj re', stape' jun wi rutzub'al ri winaeq, jun wi ruch'ab'ael, jun wi runimab'al k'u'x, jun wi runojib'al chi achin chi ixoeq xa b'a chike jun chik ruk'ojlen ralaxik, wi ta b'eyom, wi ta meb'a' xa junan kich'ojib'al.
02-02	Man xa xe ta k'a re', chuqa' man jun wi ta xtitz'et jun winaeq xa roma ta rub'anikil jun ruwach'ulew, xa roma ta rub'eyal ruq'atb'al tzij ri ruwach'ulew chi naej chi naqaj chuqa' ri ruwach'ulew akuchi' k'o wi jun winaeq, chuqa' man xa xe ta k'a chupan jun ruwach'ulew ri nusamajij ri' pa ruyonil chuqa' ri ruwach'ulew ri k'o pa kicholajen juley chik, ri man pa ruyonil nisamaej chuqa' ri jun chik ruwach'ulew niq'aton tzij pa ruwi'.
03-00	Mokaj oxi' (3)
03-01	Man jun winaeq xtiq'at ta chi ruwaech ri ruk'aslen, kan ralaxib'en pe ri kolotajik chuqa' rujikirisanik ri ruk'aslen.
04-00	Mokaj kaji' (4)
04-01	Man jun winaeq ri xtichuq'ab'aex ta pa samaj chuqa' xtichuq'ab'aex ta choej chi rilixik jun winaeq; ri ruchuq'ab'an samaj chuqa' ri k'ayin taq winaqi' xa b'a chike na rub'anikil ch'a'oj rejqalen.
05-00	Mokaj wo'o' (5)
05-01	Man jun winaeq ri xtiya' ta pa tijoj poqonal, pa ch'aykil chuqa' ri choej ta xtiq'at tzij pa ruwi' chuqa' choej ta xtuk'uel itzel ta b'anob'ael ri man ruk'amun ta nib'an chi re jun winaeq.
06-00	Mokaj waqi' (6)
06-01	Ronojel winaeq uetz nuch'ojij xa b'a kuchi' chi ruwaech ri rach'ulew ruq'ij ri ruk'ojlen pa rucholajen ri q'atb'ael tzij.
07-00	Mokaj wuqu' (7)
07-01	Konojel ri winaqi' xa junan kiq'ij chi ruwaech ri q'atb'ael tzij chuqa' xa junan kitz'etik kito'ik nub'aen ri taqanel q'atb'ael tzij. Konojel xa junan kichajixik nib'an chi ruwaech ronojel ri etzelanik nuq'aej rutzij re Q'alajirisab'ael Wuj re' chuqa' nuto' rik'in ronojel toq'onik pa ruwi' ri etzelan taq k'u'x.
08-00	Mokaj waqxaqi' (8)
08-01	Ronojel winaeq k'o chi ruchajin jun utzilaej tob'ael chi ruwaech ri q'atb'ael taq tzij pa jun ruwach'ulew, xa ruk'amun chi tito' chi ruwaech ri itzel taq b'anob'ael nuq'aej rutzij ri k'atzinel taq rutob'al ri winaeq, ruchajin ri nimalaej taqanel wuj chuqa' ri ruchajin ri taqanel q'atb'ael tzij.
09-00	Mokaj b'eleje' (9)
09-01	Man jun winaeq ri choej ta xtichap, xtitz'apaex ri man jun ta rumak chuqa' ri choej ta xtoqotaex el pa ruruwach'ulew.
10-00	Mokaj lajuj (10)
10-01	Konojel ri winaqi' k'o chi xa junan rejqalen kiq'ij, richin ye'ak'axaex pa saqil chuqa' rik'in jun utzilaej q'atb'ael tzij ri man jun uetz itzel nub'aen nisamaej, richin uetz ruq'atik tzij nib'an chi re ri runch'ojib'al chuqa' ri k'o chi nub'aen pa ruk'aslen jun winaeq, chuqa' pa ruwi' xa b'a chike sujunik nib'an chi rij jun winaeq chi ruwaech ri q'atb'ael tzij.
11-00	Mokaj julajuj (11)
11-00	Ronojel winaeq ri rejqalen jun mak uetz nuch'ojij chi man jun rumak ta, wi manaeq q'alajnaeq ta wi kan ja rija' wi ri ajmak, pa ruq'a' raqaen taqanel q'atb'ael tzij chuqa ri ruchojmilal nib'an pa rusaqil chi kiwaech ri winaqi' chuqa' ri akuchi' q'alajirisan ronojel rutob'al ri winaeq.
11-01	Man jun winaeq ri xtiq'at ta tzij pa ruwi' chuqa' xtewaex ta ir rumak xu taq xkulwachitaej ri b'anob'ael man rejqalen ta mak chi ruwaech ri ruwach'ulew chuqa' chi ruwaech ri juk'an ya' ruwach'ulew. Chuqa' man jun winaeq ri xtirejqalej ta chik jun nimalaej ch'a'oj ri xtik'o ta chi ruwaech ri nikiq'aet ri ajq'atoey tzij chupan ri ramaj pa ruwi' ri mak.
12-00	Mokaj kab'lajuj (12)
12-01	Man jun winaeq ri xab'i janpe' xtuju' ta ri' pa ruk'aslen jun chik winaeq, kik'in ri ralk'wa'l, chi rachoch chuqa' pa rutaqkil taq wuj je', chuqa' xtub'aen ta itzel taq na'oj chi rij jun winaeq, chuqa' chi rij ri ruq'ij ri winaeq. Ronojel winaeq ruchajin rutob'al ri taqen q'atb'ael tzij wuj ri nich'o'n chi rij ri b'anob'ael chuqa' ri rusujuxik xb'an jun winaeq.
13-00	Mokaj oxlajuj (13)
13-00	Ronojel winaeq xab'a kuchi' xtirajo' xtib'e wi man jun rejqalen chuqa' xab'a kuchi' na xtirajo' xtub'aen wi ri rachoch chwaech jun ruwach'ulew, man jun rejqalen.
13-01	Ronojel winaeq uetz nel el xab'a chike ruwach'ulew, chuqa' chupan ri ruwach'ulew rija' man jun rejqalen; chuqa' man jun rejqalen wi nirajo' chik nitzolin el pa ruwach'ulew.
14-00	Mokaj kajlajuj (14)
14-00	Wi jun winaeq oqotan rij, uetz nuch'ojij ruk'ojlen juk'an chik ruwach'ulew, uetz nuk'owasaj ri ruk'aslen chi ri', xab'a chike ruwach'ulew.
14-01	Re jun ch'ojikil tzij re' man jun ruq'ij chwaech ri q'atb'ael tzij taq jun mak, jun b'anob'ael , jun ch'a'oj kan petenaeq wi pa ruwi' jun qitzij mak chuqa' wi nuq'aet rutzij rupixa' ri Tzob'ajin taq Ruwach'ulew.
15-00	Mokaj wolajuj (15)
15-00	Man jun winaeq ri manaeq ta uetz nirichinaj jun ramaq'il.
15-01	Man jun winaeq ri choej ta xtimaj ramaq'il chuqa' xtiq'at ta chi ruwaech ri amaq'il nirajo' jun winaeq.
16-00	Mokaj waqlajuj (16)
16-00	Taq nik'ajolir jun ala', taq niq'opojir jun xtaen man jun achike xtiq'aton kichin richin yek'ule'; man ja ta ri rutzub'al, ri ramaq'il ri runimab'ael k'u'x xtiq'aton kichin richin ri k'ulb'ik, richin nitikirba'a el jun ach'alal ri'il, chuqa' xa junan kich'ojinik chi kijuunal rik'in ri k'ulb'ik, chupan ri kik'aslen taq e k'ulan chuqa' wi xtikijaech ki'.
16-01	Tikirel nib'an jun k'ulb'ik wi kan qitzij rurayb'ael jun xtaen chuqa' rurayb'ael jun ala' nik'ule'.
16-02	Ri ach'alal ri'il ja ri' ri rukowil ruk'aslen jun tzob'aj winaeq, jun tinamit; re ach'alal re' k'o chi nito' nichajix koma ri winaqi' chuqa' roma ri Ruwach'ulew.
17-00	Mokaj wuqlajuj (17)
17-00	Konjel ri winaqi' tikirel nik'oje' kib'euomael pa taq kiyonil chuqa' taq kitzob'ajin ki'.
17-01	Man jun winaeq ri kan choej ta xtimaj ri rub'eyomael chi re.
18-00	Mokaj waqxaqlajuj (18)
18-01	Man jun winaeq ri xtiq'at ta chi ruwaech ri runojib'al, ri nalaex pa ruk'u'x chuqa' ri runimab'al k'u'x; re ch'ojikil re' ruchajin chuqa' chi man jun achike rejqalen wi ri winaeq nirajo' nujael re runimab'al k'u'x ajun pa ruyonil chuqa' pa taq tzob'aj, wi ta pa saqil wi ta pan ewel, rik'in jun utzilaej tijonik, rik'in mejlen xukulen ri nimab'ael k'u'x chuqa' ri rusamajixik.
19-00	Mokaj b'elejlajuj (19)
19-01	Man jun winaeq ri xtiq'at ta chi ruwaech ri nuq'alajirisaj rub'ixik jun na'oj chuqa' ri achike nirajo' nub'ij; re ch'ojikil re' ruchajin chuqa' ri manaeq uetz ta xtinaq jun winaeq xa roma ta ri nuq'alajirisaj, ri nuya' rutzijol, chi naej chi naqaj chupan xa b'a chike rub'anikil ruq'alajirisaxik ri na'oj.
20-00	Mokaj juk'al (20)
20-00	Konojel winaqi' tikirel nikimoel ki' chuqa' uetz nikitzob'ajij ki' pa rutzil.
20-01	Man jun winaeq ri choej ta nichuq'ab'aex roken pan jun moloj ri'il.
21-00	Mokaj jun rukak'al (21)
21-00	Ronojel winaeq uetz nirachb'ilaj, uetz nisamaej rik'in ri tata'aj pa jun ruwach'ulew, wi man nitikir ta rija' uetz chuqa' nutaeq el jun pa ruk'exel.
21-01	Konojel winaqi' xa junan kiq'ij richin uetz nikik'aen jun samaj chi ruwaech ri kiruwach'ulew.
21-02	Ri kirayb'ael ri winaqi' chupan jun ruwach'ulew, ja ri' ri ruchuq'ayb'ael ruchuq'a' runojib'al ri tinamit; re rayb'ael re' niq'alajin chi kiwaech ri winaqi' taq kan ja rije' ri yek'aqon kiwaech jutaqil ri kitata'al ri ruwa taq ruwach'ulew rik'in jun utzilaej rub'eyal ri cha'onik xtib'an rik'in ri pan ewel juch'un wuj.
22-00	Mokaj ka'i' rukak'al (22)
22-01	Jun winaeq ri k'o pa ruq'a' raqaen jun tinamit, re winaeq re' k'o chi nuk'uel jikil rutob'al pa ruwi' kiq'ajarik ri winaqi' chuqa' rik'in rutob'al ri aj juk'an ya' ruwach'ulew rik'in rucholajen ruchuq'a' ri jujun Ruwach'ulew, chuyakik chuk'iyik ri utzilaej kik'aslen ri winaqi' chuqa' ri kinojib'al kib'anikil, ri man sachel ruq'ij ri winaeq chuqa' ri ruk'iyik ruwinaqul jun winaeq.
23-00	Mokaj oxi' rukak'al (23)
23-00	Konojel winaqi' tikirel nikil jun kisamaj; chuqa' man jun winaeq ri xtiq'at ta chi ruwaech ri samaj nirajo' nub'aen, chuqa' man jun uetz itzel kitz'etik kitojik nib'an ri winaqi', k'atzinel chuqa' ruto'ik ri winaeq rik'in ruya'ik rusamaj.
23-01	Konojel ri winaqi' xa tik'amun junan kitojik nib'an taq junan ruwaech samaj nikib'aen; man jun itzel nitz'et nib'an.
23-02	Ronojel winaeq samajel k'o chi niya' chi re ri qitzij rajael ri rusamaj; ri rajael niya' k'atzinel chi nub'aen ronojel ri niraj nuk'utuj ri ruk'aslen rija' chuqa' ri ralk'wa'l; richin nuk'wa'j jun k'aslen ri ruk'amun nuchajij jun winaeq; wi man xtub'aen xa tik'amun nito'oex koma ri ch'aqa chik moloj taq ri'il ri yeto'on ri winaqi'.
23-03	Konojel ri winaqi' xa ruk'amun nikitzob'ajij ki' richin ruto'ik ruk'ojlen ri winaeq pa rusamaj.
24-00	Mokaj kaji' rukak'al (24)
24-01	Konojel winaqi' k'o chi niya' kuxlanib'al, ja na ri winaeq ninojin achike nirajo' nub'aen ri pa ruxlanib'al, chuqa' k'atzinel chi ri winaeq xa etatel ri q'ij nisamaej chuqa' k'o chi nitoj jataqil ri nima kuxlanib'al niya' che jun juna' samaj.
25-00	Mokaj wo'o' rukak'al (25)
25-00	Konojel winaqi' k'o chi nikil jun utzilaej k'aslen chuqa' ke ri' ri kalk'wa'l nikil ta jun ruxnaqil kiwaech chuqa' ri niraj nuk'utuj ri kik'aslen, ri kan yalan k'atzinel ja ri kiway, ri kitzyaq, ri kachoch, ri kaq'omaxik chuqa' ri ch'aqa chik k'atzinel pa kik'aslen; chuqa' k'atzinel chi niya' kitob'al taq man jun samaj ta, taq k'o yab'il, taq nikanaej kuet jun winaeq, taq nimalkanaej kan, tan nirijix chuqa' ch'aqa juley chik ri man niril ta chik ri nirajowaj pa ruk'aslen re tob'ael niya' taq man rik'in ta rurayb'ael ri winaeq k'o nuk'ulwachij.
25-01	Ri alanik chuqa' ri k'ajol ala' k'atzinel chi uetz kichajixik, uetz kik'waxik yeb'an. Konojel ri ak'wala' ye'alaex kik'in k'ulanik taq winaeq chuqa' ri ye'alaex xa xe rik'in kite' xa k'o chi konojel junan kitz'etik, junan kito'ik nikik'uel rik'in ri q'atb'ael tzij.
26-00	Mokaj waqi' rukak'al (26)
26-00	Konojel ri winaeq k'atzinel chi nikik'uel ri tijonik. Re tijonik re' ja re' ri sipan tijonik nuya' ri q'atb'ael tzij pa ruwi' ri nab'ey taq wuqu' juna' tijonik chuqa' ri oxi' chik juna'. Re tijonik che re nab'ey taq juna' k'o chi nikik'uel konojel ri winaqi'. Ri tijonik richin jun samaj chuqa' ri ik'ownaeq chik b'a' ruq'ij xa ruk'amun chi tutaluj ri' chi kiwaech ri winaqi'; ri oken chupan ri nima'q taq tijonik xa junan rub'anikil ri niya' chi ke konojel pa ruwi' ri rejqalen retamab'al ri winaeq.
26-01	Ri tijonik niya', k'atzinel chi nub'aen jun utzilaej samaj pa ruwi' ronojel ri niraj nuk'utuj ruk'aslen ri winaeq chuqa' richin ri k'atzinel taq kolotajik rejqalen ri k'aslen; xa xtuto' ta k'a ri joyowab'ael waech, ri koch'onik chuqa' ri ajowab'ael chi kikojoel ri ruwa taq ruwach'ulew, chuqa' xtuto' ta k'a kik'ojlen konojel ri winaqi' ri kan chupan wi ri ruwach'ulew ri' e alaxnaeq wi, chuqa' aj nimab'ael k'u'x, chuqa' xa xtunimirisaj ta k'a ruk'ojlen ronojel ri samaj xtikib'aen ri Tzob'ajin taq Ruwach'ulew richin man sachel ruk'aslen ri tik'asaes uxlanib'ael k'u'x.
26-02	Pa kiq'a' ri tete'ej tata'aj k'o wi rucha'ik ri tijonik nikajo' nikiya' chi ke ri kalk'wa'l.
27-00	Mokaj wuqu' rukak'al (27)
27-00	Konojel ri winaqi' tikirel nikib'aen xa b'a chike samaj pa ruwi' ruk'ojlen ri kitinamit, chuqa' xa tikirel nikil ri rutzil ri nima'q taq etamab'ael ruchajin ri kik'ojlen chuqa' tikirel chi yesamaej pa ruwi' ruk'iyilen ri nima'q taq etamab'ael chuqa' ri rutzil nikil apo rik'in.
27-01	Konojel winaqi1 tikirel chi keto'on pa ruwi' ri utzilaej taq na'oj, ri utzilaej taq wachinel ri uetz nikichinaj xa roma ri nimalaej taq samaj, ri utzilaej k'ochinel taq samaj, ri utzilaej taq wuj rutz'ib'an jun winaeq.
28-00	Mokaj waqxaqi' rukak'al (28)
28-01	Ronojel winaeq tikirel nuch'ojij rucholajen jun utzilaej rub'eyal ruk'aslen chi ruwaech ch'aqa chik ruwach'ulew ri akuchi' ri ch'ojikil chuqa ri kolotajik nuya' rutzijol re jun Ch'ojib'ael Wuj re', xa xtib'an ta k'a ronojel ri ronojel ri nuq'alajirisaj.
29-00	Mokaj b'eleje' rukak'al (29)
29-00	Ronojel winaeq k'o chi nito'on rik'in ri retamab'al, ri ruchuq'a' chi re ri rutinamit, roma kan xa xe chi ri' man jun achike xtiq'aton ronojel ri xtub'aen pa ruk'aslenri winaeq.
29-01	Pa rucholajen ronjel ri uetz nuch'ojij jun winaeq chuqa' rik'in rukusaxik ronojel niqa chi ruwaech ri nub'aen, ronojel winaeq xa xtunimaj k'a ri uetz tib'an, ri man uetz ta tib'an q'alajnaeq chupan ri taqanel wuj, xa roma tik'oje' pa ruk'uxlal ri ruq'ajarik chuqa' ri ruq'ij ri kik'aslen ri ch'aqa chik winaqi', chuqa' k'atzinel chi tib'an ronojel ruch'uch'ujil ri k'aslen, rucholajen ri kib'anob'al ri winaqi' chuqa' xa richin uetz ruk'waxik rub'eyal kik'aslen ri winaqi' akuchi' xa junan kiq'ij konojel.
29-02	Ronojel ri uetz nuch'ojij jun winaeq chuqa' ri ronojel niqa chi ruwaech nub'aen, man jun b'ey k'a uetz ta xtub'aen ri nirajo' taq xa nuq'aej ri nirajowaj chuqa' ri tz'ib'atel pa kib'eyal ri Tzob'ajin taq Ruwach'ulew.
30-00	Mokaj lajuj rukak'al (30)
30-01	Man jun chi ke ronojel ri q'alajirisanik e k'o chupan re jun Q'alajirisab'ael Wuj xtz'ib'aex, xa xtiq'ax ta pa kijolon chi xa nuya' ta q'ij chi re ruch'ojib'al jun ruwach'ulew, jun tzob'aj winaqi', jun winaeq pa ruyonil, richin ta chi xa xtutikirb'a' xa b'a chike samaj chuqa' xtub'aen xa b'a chike jun b'anob'ael ri nujael ruq'ajarik ruch'ojib'al ruk'aslen jun winaeq chuqa', ri nujael ruq'ajarik ri niqa chi ruwaech jun winaeq nub'aen, ya'on rutzijol chupan re Q'alajirisab'ael Wuj re'.
