00-00	INSON HUKUKLARI UMUMZhAHON DEKLARATSIYaSI
02-01	Har bir inson, biror bir aiirmachiliksiz, irki, terisining rangi, zhinsi, tili, dini, siesy etikodi eki boshka etikodlaridan, milly eki izhtimoy kelib chikishidan, mulky ahvoli, kaisi tabakaga mansubligi va boshka holatlaridan kati nazar, mazkur Deklaratsiyada elon kilingan barcha hukuklar va erkinliklar sohibi bulishi kerak.
02-02	Bundan tashkari, inson mansub bulgan mamlakat eki hududning siesy, hukuky eki khalkaro makomidan kati nazar, ushbu hudud mustakilmi, vasiylikdami, uzini uzi boshkaradimi, eki mustakilligi biror bir tarzda cheklanganmi, bundan kati nazar sira aiirmachilik bulmasligi kerak.
03-00	3-modda
03-01	Har bir inson yashash, erkinlik va shakhsy dakhlsizlik hukukiga egadir.
04-00	4-modda
04-01	Hech kim kullikda eki karamlikda saklanishi mumkin emas; kullik va kul savdosining barcha turlari takiklanadi.
05-00	5-modda
05-01	Hech kim azob-ukubatga eki vahshiylarcha, insonlikka isnod bulgan eki kadr-kimmatni khurlaidigan muomala va zhazoga mustahik bulmasligi kerak.
06-00	6-modda
06-01	Har bir inson, kaerda bulishidan kati nazar, uzining hukuk subekti sifatida tan olinishi hukukiga egadir.
07-00	7-modda
07-01	Barcha odamlar konun oldida tengdir va, sira aiirmachiliksiz, konun tomonidan babbaravar muhofaza etilishi hukukiga egadir. Barcha odamlar mazkur Deklaratsiyani buzadigan har kandai kamsitishidan teng muhofaza kilinish hukukiga va ana shundai kamsitishga gizh-gizhlashdan teng muhofaza kilinish hukukiga egadirlar.
08-00	8-modda
08-01	Har bir inson, mabodo uning konstitutsiya eki konun berib kuigan asosy hukuklari buzilgudek bulsa, nufuzli milly sud tomonidan uz hukuklarining samarali tarzda tiklanishi hukukiga egadir.
09-00	9-modda
09-01	Hech kim uzboshimchalik bilan kamalishi, ushlanishi eki kuvghin kilinishi mumkin emas.
10-00	10-modda
10-01	Har bir inson, uning hukuklari va burchlarini belgilash va unga kuiilgan zhinoy aibning nechoghligi asoslanganligini aniklash uchun, batamom tenglik asosida, uz ishi oshkora, adolatning barcha talablariga rioya etilib, mustakil va kholis sud tomonidan kurib chikilishi hukukiga egadir.
11-00	11-modda
11-00	Zhinoyat sodir etishda aiblanaetgan har bir insonga himoya uchun barcha imkoniyatlar yaratib berilib, sud mazhlisida oshkora tartibda konuny iul bilan uning aibdorligi aniklanmaguncha, beaib deb hisoblanish hukukiga egadir.
11-01	Hech kim, biror bir khatti-harakat eki faoliyatsizlik sodir etilgan vaktda, bular milly konunlar eki khalkaro hukukka kura usha paitda zhinoyat deb topilmagan bulsa, shu zhinoyatni sodir etganliklari asosida hukm kilinishlari mumkin emas. Shuningdek, zhinoyat sodir etilgan vaktda kullanishi mumkin bulgan zhazoga nisbatan oghirrok bir zhazo kullanishi ham mumkin emas.
12-00	12-modda
12-01	Hech kim insonning shakhsy eki oilavy haetiga uzboshimchalik bilan aralashishi, insonning ui-zhoii dakhlsizligiga, uning khatlaridagi sirlarga eki or-nomusi va shaniga uzboshimchalik bilan tazhovuz kilishi mumkin emas. Har bir inson ana shundai aralashish eki ana shundai tazhovuzdan konun iuli bilan himoya hukukiga egadir.
13-00	13-modda
13-00	Har bir inson har bir davlat hududida erkin yurish va uziga istikomat zhoii tanlash hukukiga egadir.
13-01	Har bir inson har kandai mamlakatdan, shu zhumladan uz mamlakatidan chikib ketish va uz mamlakatiga kaitib kelish hukukiga egadir.
14-00	14-modda
14-00	Har bir inson takibdan boshka mamlakatlarda boshpana izlash va bu boshpanadan foidalanish hukukiga egadir.
14-01	Mabodo, aslida siesatga dakhldor bulmagan zhinoyat eki Birlashgan Millatlar Tashkiloti maksadlari va printsiplariga zid bulgan khatti-harakat sodir etilishi asosida zhinoyat yuzaga kelsa bu hukukdan foidalanish mumkin emas.
15-00	15-modda
15-00	Har bir insonning fukarolik hukuki bor.
15-01	Hech kim uzboshimchalik bilan uz fukaroligini uzgartirish hukukidan mahrum etilishi mumkin emas.
16-00	16-modda
16-00	Baloghatga etgan erkaklar va aellar, irki, millati eki diniga karab biror bir cheklashsiz nikohdan utish va oila kurish hukukiga egadirlar. Ular nikohdan utaetganida ham, nikohda bulgan vaktida ham va nikoh bekor kilinaetganida ham bir hukuklardan foidalanadilar.
16-01	Nikoh, nikohdan utaetgan ikkala tomonning khohishi va batamom roziligi bilangina tuzilishi mumkin.
16-02	Oila zhamiyatning tabiy va asosy huzhairasidir va u zhamiyat, davlat tomonidan muhofaza etilishi hukukiga egadir.
17-00	17-modda
17-00	Har bir inson yakka uzi eki boshkalar bilan birgalikda mulkka egalik kilish hukuki sohibidir.
17-01	Hech kim uzboshimchalik bilan uz mulkidan mahrum kilinishi mumkin emas.
18-00	18-modda
18-01	Har bir inson fikr, vizhdon va din erkinligi hukukiga egadir; bu hukuk uz dini eki maslagini uzgartirish erkini, uz dini eki maslagiga yakka tartibda eki boshkalar bilan birgalikda, talimot, toat-ibodatda hamda diny rasm-rusumlar va boshka shunga ukhshash marosimlarni ado etishda khaloiik bilan birgalikda eki khususy tarzda etikod erkinligini kamrab oladi.
19-00	19-modda
19-01	Har bir inson maslak erkinligiga va bularni erkin ifodalash hukukiga egadir; ushbu hukuk hech bir khalalsiz uz maslaklariga rioya etish erkinligini va akhborot va ghoyalarni har kandai vositalar bilan hamda davlat chegaralaridan mustakil tarzda kidirish, olish va tarkatish erkini kamrab oladi.
20-00	20-modda
20-00	Har bir inson osoiishta iighilishlar va uyushmalar utkazish (tuzish) hukukiga egadir.
20-01	Hech kim biror bir uyushmaga mazhburan kiritilish mumkin emas.
21-00	21-modda
21-00	Har bir inson bevosita eki erkinlik bilan sailangan vakillari vositada uz mamlakatini boshkarishda ishtirok etish hukukiga egadir.
21-01	Har bir inson uz mamlakatida davlat khizmatiga kirishda teng hukukiga egadir.
21-02	Khalk irodasi hukumat hokimiyatining negizi bulmoghi lozim; bu iroda vakti-vakti bilan buladigan va sokhtalashtirilmagan sailovda uz aksini topishi, ushbu sailov yalpi va teng sailov hukukiga kura, yashirin ovoz berish iuli bilan eki ovoz berish erkinligi taminlaidigan boshka tengma-teng shakllar vositasida utkazilish kerak.
22-00	22-modda
22-01	Zhamiyat azosi sifatida har bir inson milly kuch-ghairatlar sarflash va khalkaro hamkorlik vositasida hamda har bir davlatning tuzimi va resurslariga binoan izhtimoy taminot hukukiga, uning kadr-kimmatini saklab turish va shakhsini erkin kamolga etkazish hukukiga egadir.
23-00	23-modda
23-00	Har bir inson mehnat kilish, ishni uz erki bilan tanlab olish, mehnatning adolatli va kulai sharoitlari bulishi va ishsizlikdan muhofaza etilish hukukiga egadir.
23-01	Har bir inson, biror bir kamsitishsiz teng mehnatga teng hak olish hukukiga egadir.
23-02	Har bir ishlaetgan odam, uning uzi va oilasi uchun munosib yashashni taminlaidigan adolatli va konikarli daromad olish, zarur bulgan hollarda izhtimoy taminotning boshka vositalari bilan tuldiriladigan daromad olish hukukiga egadir.
23-03	Har bir inson, kasb ittifoklari tuzish va uz manfaatlarini himoya kilish uchun kasb ittifoklariga kirish hukukiga egadir.
24-00	24-modda
24-01	Har bir inson dam olish va bush vakt hukukiga, zhumladan ish vaktini okilona kiskartirish hamda hak tulanadigan davry tatil olish hukukiga egadir.
25-00	25-modda
25-00	Har bir inson uzi va oilasining sihat-salomatligini va farovonligini asrash uchun zarur bulgan turmush darazhasiga, shu zhumladan ozik-ovkat, libos, ui-zhoi, tibby karov va zarur izhtimoy khizmat hukukiga hamda ishsiz kolganida, betobligida, nogironligida, beva bulib kolganida, kariganida eki uziga boghlik bulmagan holatlarga kura tirikchilik uchun mablaghi bulmai kolganida taminlanish hukukiga egadir.
25-01	Onalik va bolalik alohida vasiylik va erdam hukukini beradi. Nikohda turib tughilgan va nikohsiz tughilgan barcha bolalar bir khil izhtimoy muhofazadan bahramand bulishlari kerak.
26-00	26-modda
26-00	Har bir inson bilim olish hukukiga egadir. Talim kam deganda boshlanghich va umumy talim tekin bulishi kerak. Boshlanghich talim mazhbury bulishi lozim. Tekhnikavy va hunar talimi barchaga muhaie etilishi, oly talim esa har bir odamning kobiliyati asosida barcha uchun bir khil muhaie etilishi kerak.
26-01	Talim inson shakhsining barkamolligiga hamda inson hukuklari va asosy erkinliklariga hurmatning ortib boraverishiga karatilishi lozim. Talim barcha khalklar, irky va diny guruhlar urtasidagi hamzhihatlikka, sabr-bardoshga va dustlikka kumaklashishi hamda Birlashgan Millatlar Tashkilotning tinchlikni saklash borasidagi faoliyatiga erdamlashishi kerak.
26-02	Ota-onalar esh bolalari uchun talim turini tanlab olishda nufuzli hukukka egadirlar.
27-00	27-modda
27-00	Har bir inson zhamiyatning madany haetida erkin ishtirok etish, sanatdan bahramand bulish, ilmy tarakkietda katnashish va uning nematlaridan bahramand bulish hukukiga egadir.
27-01	Har bir inson uzi muallifi bulgan ilmy, adaby eki badiy asarlar yuzasidan manavy va moddy manfaatlari himoya kilinishi hukukiga egadir.
28-00	28-modda
28-01	Har bir inson Mazkur Deklaratsiyada baen etilgan hukuklar va erkinliklar tula-tukis ruebga chikadigan izhtimoy va khalkaro tartib bulishi hukukiga egadir.
29-00	29-modda
29-00	Har bir inson zhamiyat oldida mazhburiyat olgan, fakat shu takhlitdagina inson shakhsi erkin va tula-tukis kamol topishi mumkin.
29-01	Har bir inson uz hukuk va erkinliklarining ruebga chikishda shundai cheklashlarga mubtalo bulishi mumkinki, bular konun tomonidan belgilab kuiilishi hamda bundan muddao – boshkalarning hukuklari va erkinliklari zarur darazhada tan olinish va hurmat kilinishi hamda akhlok-odobning adolatli talablari izhtimoy tartib hamda demokratik zhamiyatdagi bugungi farovonlikning adolatli talablari kondirilgan bulsin.
29-02	Ana shu hukuk va erkinliklarning amalga oshirilishi Birlashgan Millatlar Tashkiloti maksadlari va printsiplariga sira zid bulmasligi kerak.
30-00	30-modda
30-01	Ushbu Deklaratsiyasining butun ruhi biror bir davlatga, shakhslar guruhiga eki alohida shakhslarga mazkur Deklaratsiyada baen etilgan hukuklar va erkinliklarning iuk kilinishiga karatilgan biror bir faoliyat bilan shughullanish eki khatti-harakatlar sodir etishga iul kuiib beradi, deb talkin etilishi mumkin emas.
