00-00	Universol Declarason lo Hiuman Raits
09-01	No eni wan bae hemi sapos fo kasem kaen wea olketa i arrestim or tekem fo no eni gud rison, forcim fo lusim ples blo hem, hemi kaen samting wea sapos fo no kasem eniwan.
10-00	Article 10
10-01	Eni wan wea go lo kot lo eni kriminol samting, olketa sapos fo garem fea hiaring.
11-00	Article 11
11-00	Lo loa, evri wan wea olketa chargim wittim eni kriminol samting, kot mas lukim olketa olsem olketa inocen kasem taem olketa provim dat olketa guilti.
11-01	No eni wan sapos fo guilti lo eni niu loa sapos kriminol samting or toktok olketa duim i lo taem wea olketa loa ya olketa no wakem yeti.
12-00	Article 12
12-01	Lo loa hemi tallem dat no eni wan sapos fo go disturbim olketa famili, haus or olketa privet samting blo nara man en no eni man sapos fo trae spoilem nara man.
13-00	Article 13
13-00	Evriwan olketa frii fo muv raon en stap eniwea lo insaed kantre blo olketa.
13-01	Evriwan bae savve go aot lo eni kantre, nomata lo blo olketa seleva, en olketa savve go baek lo kantre blo olketa.
14-00	Article 14
14-00	Evriwan olketa garem rait fo go lo olketa nara kantre sapos olketa kasem trabol lo kantre blo olketa.
14-01	Dis fala rait bae hemi hard fo waka sapos olketa kaen trabol wea hemi go againstim tingting blo United Nations or hemi kriminol samting.
15-00	Article 15
15-00	Everiwan olketa garem rait fo memba lo eni kantre.
15-01	No eni man savve stopem nara wan fo memba lo eni kantre, lo sem taem olketa hard fo stopem tu sapos olketa laek memba lo eni niu kantre.
16-00	Article 16
16-00	Olketa man en mere wea kasem taem wea olketa savve maret, bae savve maretem eniwan blo difren ples, kantre or siosi en garem famili.
16-01	Maret mas samting wea man en mere evriwan mas laek fo duim en no eniwan forcim.
16-02	Olketa famili hemi impoten tumas en kantre mas luk aftam olketa.
17-00	Article 17
17-00	Evriwan olketa garem rait fo ownim propati, seleva or wittim olketa nara pipol.
17-01	No eni wan hemi garem rait fo aotim propati blo nara man.
18-00	Article 18
18-01	Evriwan i garem rait en friidom lo tingting blo olketa seleva en lo siosi blo olketa. Dis wan hemi meanim dat if man laek changim siosi or belif blo hem, hemi frii fo duim dis wan. Evri wan mas savve teachim, practisim or preya lo siosi blo olketa en no frait fo som aot.
19-00	Article 19
19-01	Evri wan i frii fo som en talem wanem tingting blo olketa. Dis fala rait hemi coverim sapos man laek lukaotim or tekem or givim enikaen infomesin lo eni wei en eni wea hemi laek fo duim.
20-00	Article 20
20-00	Evriwan olketa garem rait wea olketa bae frii fo mekem eni asembli or asociasen.
20-01	No eni wan bae hemi joinim eni asociasen bikos olketa forcim lo hem.
21-00	Article 21
21-00	Evriwan olketa garem rait fo tek pat or fo siusim eniwan fo representim olketa lo gavman blo kantre blo olketa.
21-01	Everiwan olketa garem semsem rait go lo olketa public service lo kantre blo olketa.
21-02	Olketa biki man blo gafman bae hemi stand up lo will blo olketa pipol. Olketa elekson wea ikwol en fea nao i showem dis fala will.
22-00	Article 22
22-01	Evri memba blo komuniti olketa garem rait fo garem sosol sekuriti en evri kantri mas waka wittim olketa organisation en olketa risoces blo olketa, en wittim olketa nara kantre mekem olketa pipol blo olketa luk savve wanem nao olketa ekonomik, sosol en kaltrol raits blo olketa.
23-00	Article 23
23-00	Evriwan i garem rait fo waka, fo siusim wanem kaen waka nao olketa i laek fo duim en wanem kaen samting nao lo waka ples blo olketa en fo mekem olketa garem protecsen againstim kaen no garem waka.
23-01	Evriwan i garem rait fo tekem pei wea fittim waka olketa i duim.
23-02	Evriwan wea waka olketa garem rait fo garem gud fala pei or eni sosol protecsen wea bae helpim olketa en famili blo olketa.
23-03	Everiwan olketa garem rait fo formim en fo joinim tred unions fo luk aftam olketa intres blo olketa.
24-00	Article 24
24-01	Evriwan garem rait fo relax en rest en fo garem samfala holide wea olketa stil tek pei, en olketa taem blo waka hemi sapos fo hemi ovam tumas.
25-00	Article 25
25-00	Evriwan garem rait fo stap gud wea olketa garem kakai, kaliko, haus en babae hemi isi fo olketa nara help wea olketa bae needim. Evriwan garem rait fo garem sekuriti sapos olketa no garem waka, olketa siki, polio, olo tumas or fo olketa mere hasban blo olketa die finis en eni wan moa wea garem kaen problem wea bae mekem olketa hard fo luk aftam olketa seleva.
25-01	Olketa mami en olketa pikinini olketa sapos fo garem rait fo garem care en help en nomata eni pikinini i born garem dadi or nomoa, olketa savve garem sem sosol protecsen.
26-00	Article 26
26-00	Evriwan olketa garem rait lo skul. Skul hemi sapos fo frii, fo everiwan lo olketa pramari en impoten levol. Hemi impoten dat evri pikinini mas go lo pramari skul. Kaen skul fo man savve garem waka hemi sapos fo isi fo eniwan savve tekem. Fo skool hae go moa, bae olketa pipol wea skul gud finis en garem gud risolt nao bae savve tekem.
26-01	Skul hemi sapos fo help buildim up wei blo olketa pipol en fo mekem strong respect blo olketa fo human raits en hem sapos fo help fo buildim up frensip, fo buildim up frensip mele wan difren kantre, pipol en olketa difren preya group mekem olketa understandim isada en savve stap gud wittim isada. Evriting ya bae helpim United Nations fo keepim gud pis.
26-02	Olketa mami en dadi i garem rait fo choosim wanem kaen edukason nao bae pikinini blo olketa i garem.
27-00	Article 27
27-00	Evriwan olketa frii fo tek pat lo kastom laef lo komuniti blo olketa en fo olketa sharim eni gud samting wea i kam aot lo olketa niu teknologi olsem lo saed lo olketa niu medsin, computa en olketa kaen samting olsem.
27-01	Evriwan garem rait fo protectim eniting blo olketa, or eniting olketa wakem.
28-00	Article 28
28-01	Evriwan olketa garem rait fo garem eni sistem or oganaesesin wea bae hemi helpim olketa fo understandim en practisim olketa raits en friidoms lo disfala Declarason.
29-00	Article 29
29-00	Evriwan i garem waka go long olketa komuniti blo olketa biko bae hemi helpim olketa seleva fo buildim up olketa gud wei.
29-01	Loa nao bae hemi luk savve hao mas raits en friidoms wea bae garem. Dis wan hemi fo mek sua dat pipol bae luk savve en respectim raits en friidom blo nara man. No onle dat wan bata insaed lo eni demokratic kantri loa hemi stap fo mek sua dat pablic oda i stap, pipol luk savve wanem nao gud en no gud en fo luk aftam intres blo kantre ya en olketa pipol lo hem, follom aedia blo demokraci.
29-02	Olketa raits en friidoms ya pipol mas onle practisim follom olketa tingting lo wei en hao olketa United Nations i puttim.
30-00	Article 30
30-01	No eni kantri, group or man savve usim eni toktok insaed disfala deklaration fo duim eniting wea bae hemi spoilem eni wan lo olketa raits en friidoms wea i lo dis fala Declarason.
