00-00	DISKLERIADUR HOLLVEDEL GWIRIOU MAB-DEN
02-01	Da bep hini eo an holl wiriou ha frankiziou embannet en diskleriadur-man, hep ket a ziforc’h, a ouenn, a liv, a reizh, a yezh, a veno politikel pe a veno all, a orin broadel pe gevredigezhel, a leve, a c’hanedigezh pe a natur all.
02-02	Ouzhpenn-se ne vo graet diforc’h ebet hervez statud politikel, lezennel pe etrevroadel, arvro pe an dachenn-vro eman an den dindan he lezenn, pe dizalc’h pe dindan verezeh e ve, diemren pe bevennet hec’h aotrouniezh en ur stumm bennak.
03-00	Mellad tri (3)
03-01	Gwir a zo gant pep hini d’ar vuhez, d’ar frankiz, ha d’an diogelroez evitan.
04-00	Mellad peuar (4)
04-01	Ne vo dalc’het den er sklaverezh nag er sujidigezh; berzet e vo kement stumm a sklaverezh hag a werzhan-sklaved.
05-00	Mellad pemp (5)
05-01	Ne vo lakaet den da c’houzanv ar jahinerezh, na doareou pe kastizou kriz ha didruez.
06-00	Mellad c’hwec’h (6)
06-01	Gwir pep hini eo e vefe anavezet e bersonelezh lezennel e pep lec’h.
07-00	Mellad seizh (7)
07-01	Par eo an holl dirak al lezenn ha gwir o deus da vezan diwallet ganti. Holl o deus gwir da vezan diwallet henvel diouzh kement gwallziforc’h a dorrfe an Diskleriadur-man ha diouzh kement tra a zegasfe seurt diforc’hiou.
08-00	Mellad eizh (8)
08-01	Pep hini en deus gwir da gaout digoll gwirion dirak leziou-barn broadel kenveliek evit oberou o dije torret ar gwiriou diazez anavezet dezhan gant ar Vonreizh pa al lezenn.
09-00	Mellad nav (9)
09-01	Den ebet ne vo harzet, bac’het pe harluet diouzh c’hoant.
10-00	Mellad dek (10)
10-01	Ur gwir par da hini ar re all a zo gant pep hini da vezan klevet dirak an holl ha gant reizhded gant ul lez-varn dizalc’h ha neptu, dezhi da dermenan e wiriou ha dleadou hag an tamallou graet dezhan.
11-00	Mellad unnek (11)
11-01	Digablus eo kement den a zo tamallet dezhan ur felladenn ken na vo prouet eo kablus hervez al lezenn en ur prosez digor d’an holl ma vo bet diogelet dezhan an holl wareziou ret d’en em zifenn.
11-02	Ne vo kondaonet den ebet en abeg da oberou pe da nannoberou ha ne oant ket felladennou hervez ar gwir broadel pe etrevroadel d’ar mare ma oant c’hoarvezet. Den kennebeut ne vo barnet d’ur c’hastiz krenvoc’h eget an hini a oa hervez al lezenn d’ar mare ma oa bet graet ar felladenn.
12-00	Mellad daouzek (12)
12-01	Den ebet ne vo emellet diouzh c’hoant en e vuhez prevez, e diegezh, e annez pe e lizhiri, ha ne vo ket stoket ouzh e enor nag ouzh e vrud. Pep hini en deus gwir da gaout gwarez digant al lezenn diouzh emelladennou ha tagadennou a seurt-se.
13-00	Mellad trizek (13)
13-01	Pep den en deus gwir da vont ha dont en e frankiz ha da zibab e annez e diabarzh ur Stad.
13-02	Pep den en deus gwir da guitaat ne vern pe vro, da guitaat e vro-en zoken ha da zont en-dro dezhi.
14-00	Mellad pevarzek (14)
14-01	Pep den en deus gwir da glask repu ha da gavout bod e broiou all pa vez heskinerezh.
14-02	Ar gwir-man n’haller ket davein dezhan pa vez klask war un den gant gwir abeg evit torfedou a genwir pe evit oberou kontrol da baliou ha pennaennou ar Broadou-Unanet.
15-00	Mellad pemzek (15)
15-01	Pep den en deus gwir da gaout ur vroadelezh.
15-02	Den ebet ne vo tennet e vroadelezh digantan nag ar gwir da gemman e vroadelezh diouzh c’hoant.
16-00	Mellad c’hwezek (16)
16-01	Gwir o deus ar wazed hag ar merc’hed adalek an oad da zimezin, ne vern o gouenn, o broadelezh, pe o relijion, da zimezin ha da sevel tiegezh. Gwiriou par zo dezho e-kenver an dimezin, e-pad ar briedelezh hag e-kenver an dibriedin.
16-02	Ne c’hell bezan dimezin ebet hep asant gwir ha dieub an danvez-priedou.
16-03	An tiegezh eo maen diazez naturel ar gevredigezh, ha gwir en deus da gaout gwarez ar gevredigezh hag ar Stad.
17-00	Mellad seitek (17)
17-01	Pep den en deus gwir da vezan perc’henn e-unan pe a-gevret gant tud all.
17-02	Den ebet ne vo tennet e berc’hentiezh digantan diouzh c’hoant.
18-00	Mellad triwec’h (18)
18-01	Pep den en deus gwir da gaout frankiz ar sonj, ar goustians hag ar relijion; er gwir-man eman ivez ar frankiz da gemman e relijion pe e gredenn, hag ivez ar frankiz da ziskulian e relijion pe e gredenn, eunan pe a-stroll, dirak an holl pe en-prevez, dre ar c’helenn, an oberou, an azeulerezh pe al liderezh.
19-00	Mellad naontek (19)
19-01	Pep hini en deus gwir d’ar frankiz d’ober e veno ha d’en disklerian, da lavarout eo gwir da chom hep bezan trubuilhet en abeg d’e vennozhiou, gwir da glask, da resev ha da skignan keleier ha mennozhiou, dre n’eus forzh pe zoare disklerian, hep teurel pled ouzh an harzou.
20-00	Mellad ugent (20)
20-01	Pep den en deus gwir d’ar frankiz d’en em vodan ha d’en em gevrean e peoc’h.
20-02	Den ne c’hell bezan rediet da vezan ezel eus ur gevredigezh.
21-00	Mellad unan warn-ugent (21)
21-01	Pep hini en deus gwir da gemer perzh e gouarnerezh e vro, war-eeun pe dre hantererezh dileuridi dibabet hep gwaskerezh.
21-02	Pep hini, par d’ar re al, en deus gwir da gaout kargou publik en e vro.
21-03	Youl ar bobl eo diazez aotrouniezh ar galloud publik; diskleriet e vo ar youl-se e dilennadegou onest ha mareadek gant mouezhierezh an holl, dre baperennou kuzh pe dre zoareou mouezhian kevatal o tiogelin frankiz ar vouezhiadeg.
22-00	Mellad daou warn-ugent (22)
22-01	Pep den, evel ezel eus ar gevredigezh, en deus gwir d’ar c’hedskor ha da gaout e walc’h eus ar gwiriou armerzhel, kevredigezhel ha sevenadurel en deus ezhomm evit e zellezegezh ha diorroadur dinask e bersonelezh a-drugarez d’ar strivadeg vroadel ha d’ar c’henlabour etrevroadel, en ur zerc’hel kont eus aozadur ha pinvidigezh ar vro.
23-00	Mellad tri warn-ugent (23)
23-01	Pep den en deus gwir da labourat, da zibab al labour a gar, da gaout aoziou labour reizh ha dereat, ha da vezan gwarezet diouzh an dilabour.
23-02	Pep den en deus gwir, hep gwallziforc’h ebet, da gaout an hevelep gopr evit an hevelep labour.
23-03	An neb a labour en deus gwir da vezan paeet reizh ha mat evit ma c’hellfe, en hag e diegezh, bevan en un doare a zere ouzh dellezegezh mab-den, ha mar deo ret ouzhpenn, da gaout gwarez kevredigezhel dre hentou all.
23-04	Pep den en deus gwir da sevel sindikadou pe da emezelan enno evit difenn e laziou.
24-00	Mellad pevar warn-ugent (24)
24-01	Pep hini en deus gwir da ziskuizhan ha da gaout lezir, da gaout un amzer-labour bevennet poellek ha vakansou mareadek paeet.
25-00	Mellad pemp warn-ugent (25)
25-01	Pep den en deus gwir da gaout ul live-bevan dereat evit e yec’hed, e aezamant ha hini e diegezh da lavarout eo: boued, dilhad, lojeiz, skoazell ar vezegiezh hag ar servijou kevredigezhel zo ezhomm; gwir en deus ivez d’an diogelroez ma c’hoarvez dezhan bezan dilabour, klanv, mac’hagnet, instanvet, kozh, pe koll an tu da gaout peadra da vevan en desped dezhan.
25-02	Ar mammou hag ar vugale o deus gwir da gaout harp ha skoazell dreist an holl. An hol vugale, ganet eus tud dimezet pe dizimez, o devo ar emmes gwares kevredigezhel.
26-00	Mellad c’hwec’h warn-ugent (26)
26-01	Pep den en deus gwir da gaout deskadurezh. Digoust e tle bezan an deskadurezh, da vihanan an deskadurezh kentan ha diazez. Ret ha dleet eo ar gelennadurezh kentan. D’an holl e tle bezan kinniget ar gelennadurezh teknikel ha micherel, d’an holl e vo roet tu d’ober studiou uhel hervez o dellid.
26-02	Pal an deskadurezh eo diorren personelezh mab-den ha lakaat doujan muioc’h gwiriou mab-den hag ar frankiziou diazez. Drezi e klaskor kreskin ar c’hengompren, an habaskted hag ar vignoniezh etre an holl vroadou hag an holl strolladou a ouenn pe a relijion dishenvel, hag ivez kas war-raok obererezh ar Broadou-Unanet evit derc’hel ar peoc’h.
26-03	An tadou ha mammou, da gentan, o deus gwir da zibab an doare deskadurezh a vo roet d’o bugale.
27-00	Mellad seizh warn-ugent (27)
27-01	Pep hini en deus gwir da gemer perzh evel a gar e buhez sevenadurel ar gumuniezh, da gaout dudi gant an arzou, da gemer perzh en araokadeg ar skiantou ha da gaout e lod eus ar madou degaset ganti.
27-02	Pep den en deus gwir da gaout e laziou speredel ha danvezel deuet diwar an oberennou skiantel, lennegel pe arzel savet gantan.
28-00	Mellad eizh warn-ugent (28)
28-01	Pep hini en deus gwir e renfe un urzh kevredigezhel hag etrevroadel a c’hellfe bezan peursevenet enni ar gwiriou ha frankiziou embannet en Diskleriadur-man.
29-00	Mellad nav warn-ugent (29)
29-01	Pep den en deus dleadou e-kenver ar gevredigezh, al lec’h nemetan ma c’hell peurziorren e bersonelezh en he frankiz.
29-02	En e wiriou hagen e frankiz ne c’hell pep hini bezan bevennet nemet gant al lezenn ha nemet evit diogelin ma vo anavezet ha doujet gwiriou ha frankiziou ar re all hag evit klotan gant ezhommou reizh ar vuhezegezh, an urzh publik, hag aezamant an holl en ur gevredigezh demokratel.
29-03	Ar gwiriou ha frankiziou-man ne c’hellor, war zigarez ebet, ober ganto a-enep da baliou ha pennaennou ar Broadou-Unanet.
30-00	Mellad tregont (30)
30-01	Pennad ebet eus an Diskleriadur-man ne c’hello bezan komprenet evel pa rofe gwir d’ur Stad, d’ur strollad pe d’un den, da ober pe klask ober traou abenn distrujan ar gwiriou hag ar frankiziou embannet aman.
