00-00	JE TSUO BLO NYA TOMI KE HA ADESA HE BLOHI
09-01	He blo be ne a nuu no ko gu, aloo a tsio no ko nya nge polisihi a nine no, aloo a fieo no ko ke jee e ma mi ne sisi numi be he.
10-00	Fieemi 10
10-01	No tsuaa no nge he blo sosoe ne kojoli ne hee a he, ne a be godogodo maa kojp e sane ha le pepeepe ke kaa e na sane ko ne koo e he blohi loo e blo nya ni tsumi ko, aloo a ngo mlaa tomi ne koo awi yemi sane ko ke si le.
11-00	Fieemi 11
11-01	No fee no ne a ma wo sane ne hee tue gblami ke si le o, a maa ngo kaa e yi fo ke ya si a maa kojo le nge ma he mi ne a maa bu le fo nge mlaa nya bene e na e he fami he blo tsuo ta.
11-02	A be no ko fo bue ke e to mlaa ne hee tue gblami, bene no ne e pee o tsoo we mlaa tomi nge ma mlaa, loo mahi a kpeti mlaa ne nge no yee jame a be o mi. He blo hu be kaa a gblaa mlaa tolo tue pe bo ne mlaa no ne nge no yee jame a be o mi haa he blo.
12-00	Fieemi 12
12-01	He blo be ne a woo nya ngo woo no ko e kokoo mi sane loo e weku munyu, e we mi loo e womi mi munyuhi a mi bo ne se, aloo a gbee e he gue ke pueo e blo nya ne e hee. He blo nge ha no fee no ne mlaa ma fa e he nge nya womi ke e sanehi a mi womi ke e he gue gbemi blo fa mi.
13-00	Fieemi 13
13-01	No fee no nge he blo ne e kpaa si ke yaa he ne e suo, ne e hii he ne e suo nge zugba no he ne e nge o.
13-02	No fee no nge he blo ne e sio ma tsuaa ma mi, ke le nitse e ma tete ne e kpaleo ke yaa e ma mi.
14-00	Fieemi 14
14-01	No fee no nge he blo ne e ya dumoo ma kpa ko ke ji kaa a nge e mi kpatami he blo hlae.
14-02	Ke ji a wo sane ne da blo ne ko we ma mi sane yemi he, loo Je Mahi A Kake Peemi Kuu o si womihi ke blo nya tomihi a he o, lee kikeme a he blo ne o, a be no ngoe.
15-00	Fieemi 15
15-01	No fee no nge he blo ne e peeo zugba tsuaa zugba no ne e nge o no no.
15-02	Blo be kaa a kpoo no ko he blo ne peeo le ma ko no no nge e de ne sisi numi be he, aloo a ko ngme no ko blo ke kaa e suo ne e ma ple e he ma ko no no.
16-00	Fieemi 16
16-01	Nyumuhi ke yihi ne su nihe ke zangma mi o, a nge he blo ne a ngoo a bi kone a wo weku, ne wetso loo ma no ne a ti no ko je loo jami mi ne e nge, tsi me blo kulaa. A hee he blo sosoe nge gbami mi semi ke gba si himi ke gba mi pomi blo fa mi.
16-02	A nge he blo ne a see gba si himi mi ke ji kaa me nihi enyo ome ne a nge a bi ngoe o, a na no kpleemi.
16-03	Nyumu ke e yo a si himi ji adebo no ke weku ne ba peeo wetso e sisi jemi. Lo o he je o, a hia asafo ke ma tsuo yemi ke buami.
17-00	Fieemi 17
17-01	No fee no nge he blo ne e hii weto ni, le no kake, aloo e ke ni kome.
17-02	He blo be ne a heo no ko e weto ni nge e de ne sisi numi be he.
18-00	Fieemi 18
18-01	No fee no nge he blo ne e peeo no ne e susumi ke e he nile ke e jami deo le. E nge he blo hu ne e tsakeo e jami loo e hemi ke yemi, aloo e fieo e jami loo e hemi ke yemi ngo tsoo nge ma no loo laami mi, ne e tsuo e jami he ni, le no kake loo nge juami mi.
19-00	Fieemi 19
19-01	No fee no nge he blo ne e jeo e juemi ke e susumi kpo ke tsoo. He blo he nge ne a kpeo ke ha nihi a he susumi, ne a hlaa ne a naa no ko ne a nge hlae ne a le o ke jee he tsuaa he, ne nya tsimi ko be he, ne a gbee ke fiaa nge blo fee blo no, ne no demi loo huzu tsi nya.
20-00	Fieemi 20
20-01	No fee no nge he blo ke ha kpe peemi ke he nya buami nge tue mi jomi mi.
20-02	He blo be ne a nyee no ko no ke ha kpe ko mi semi.
21-00	Fieemi 21
21-01	No fee no nge he blo ne e peeo e ma mi Amlaalo loo ma no yeli ome a kpeti no kake, aloo e hlaa nihi ke daa e nane mi.
21-02	No fee no nge he blo sosoe nge e ma mi Amlaalo ni tsumi mi.
21-03	Ma bime a suomi nya ni ji he wami ne Amlaalo o maa da ke tsu ni. Ma bi ma je a suomi nya ni kpo ngo tsoo ke gu no tsuaa no so foi loo nihi a hlami no nge golaa mi ke anokuale blo no be fee be, aloo ke gu no hlami blo nya tomi kpa ko no ne no no nyemi be mi.
22-00	Fieemi 22
22-01	Akene no tsuaa no ji juami mi no he je o, e nge he blo ne ma puleo e he ne e susuo e he, ne no he mi hyemi be mi, nge sika ke si himi ke kusumi he blohi a blo fa mi, nge le ma a nitse e mode bomi ke e ke mahi a kake peemi blo nya tomi ke e he wami nya.
23-00	Fieemi 23
23-01	No fee no nge he blo ne e tsuo ni tsumi ne e suo. E nge he blo ke ha ni tsumi he blo nya tomi kpakpa ke e ni tsumi he pulemi ne e ko je e de.
23-02	No fee no nge hiowo sosoe nge ni tsumi fiee ne a ma tsu he, ne no he mi hyemi be mi.
23-03	No fee no ne nge ni tsue o, e nge he blo ne e naa hiowo kpakpa bo ne maa hi ha e ke e yo ke a bime a si himi saminya kaa nimli adesahi, ne ke e he hia a, e sa ne e sa ni kpahi hulo ke ha a he bumi.
23-04	No fee no nge he blo ne e peeo ni tsuli a kpe aloo e ke e he woo eko mi kone e ke pule e he blohi loo e suomi nya nihi a he.
24-00	Fieemi 24
24-01	No fee no nge he blo ne e naa ngmlefia saii nge e ni tsumi be mi ke joo e he. E nge he blo hu ne e naa ligbihi abo ne a to he blo nya ke ya joo e he. E nge he blo hu ne e naa ligbihi abo ne a to he blo nya ke ya joo e he be kome, ne a je we no ko nge e hiowo mi.
25-00	Fieemi 25
25-01	No fee no nge he blo ne e naa si himi kpakpa ke haa le nitse ke e yo ke a bime a yiwa nami. Nihi ne he hia me ji niye ni, heha no, hi he, hio tsami, heja jemi nihi, he blo ke ha yemi ke buami ke kaa e ni tsumi je e de, ke e nu hio aloo oslaa ko ye le, e nge aho si himi, e bwo aloo e se pimi si himi ko mi bo ne e be nyee e he mode bomi.
25-02	Yifoyihi ke jokuewi hia no hyemi ke yemi ke buami potee. Yo kpeekpee bi jio, pla bi jio, me tsuo a hia no hyemi sosoe.
26-00	Fieemi 26
26-01	No fee no nge ni kasemi he blo. A be ni kasemi he hio woe, titli o nge sisije sukuu ke no ne fie lo o se o. Jokuewi a sukuu yami maa pee no no nyemi sane. A ma ha no tsuaa no nine nya ni tsumi ke ni tsumi kpa ame a kasemi he blo, ne ni kasemi he ne ya he mi o hu maa hi si ke ha nihi ne a maa hla me nge a mode bomi nya.
26-02	Ni kasemi ma tsose nomlo adesa ne e maa je blo ke ha adesa he blohi a bumi ke he jomi. E maa je blo ke ha he lo sisi numi ke tsui si tomi ke hue bomi, bo ne pee ne kake peemi ne ba je mi tsuo, kone mi gbami ne baa nge jami ke nomlo blo fa mi ne e gu. E maa ye hu ke bua Je Mahi A Kake Peemi Kuu o nge e ni tsumihi a mi ne tue mi jomi ne hi si be fee be.
26-03	Foli ne sa ne a tsoo ni kasemi ne he hia a bime.
27-00	Fieemi 27
27-01	No tsuaa no nge he blo faa ne e ke e he woo ma kusumi ni peemi nihi a mi, kone a mi ni tsumi, nihi a si kpami ke se nami o, le hu e na eko.
27-02	He blo nge ke ha no fee no bie kpakpa ke e suomi nya ni he fami, nge nihi a si kpami loo womi ngmami loo ga ni tsumi ko ne e ma tsu blo fa mi.
28-00	Fieemi 28
28-01	No tsuaa no maa ye kuu mi ne e nge o ke mahi tsuo a kpeti mlaa mo, kone he blohi ke he jomi a he blo nya ne a to nge womi ne o mi o, e ye manye.
29-00	Fieemi 29
29-01	No tsuaa no nge e blo nya ni tsumi ne e sa ne e tsu nge kuu mi ne e nge o, leje o se si himi no yami maa je.
29-02	Nge no fee no e he blohi ke he jomi nami a he ni tsumi blo fa mi o, e ko pee no ko ne maa be mlaa he, bo ne pee kone e na bumi ke ha ni kpahi hu a he blohi ke he jomi, ne e hee je mi bami kpakpa ke ma tue bumi, ne e na no tsuaa no he juemi kpakpa nge ma si himi he ne no fee no hee e blo nya nge o mi.
29-03	Kikeme a he blohi ke he jomi ne ome o, no ko be he blo ne e tsuo he ni bo ne tsa pi ja ne Je Mahi A Kake Peemi Kuu o e blo nya tomi ke e yi mi tomi tsoo.
30-00	Fieemi 30
30-01	No ko no ko be womi ne o mi ne a maa ngo kaa e haa ma potee ko, loo kuu ko loo no ko he blo jo, ne e pee no ko ne e juemi ji kaa e ma ke pue he jomi ke he blohi ne a ngma ke wo womi ne o mi o a kpeti eko.
