00-00	ADAM HUKUKLARYNYN AeHLUMUMY JARNAMASY
02-02	Mundan bashga-da, adamynyn yerliginin, yurdunyn ya-da gelip sykan territoriyasynyn syyasy, hukuk ya-da halkara durumy esasynda, ol territoriyanyn bakna ya bakna daeldigine, garashsyzlygyna ya-da haysydyr bir goernueshde oezbashdaklygynyn saeklendirilendigine esaslanan his bir tapawutlandyrma bolmaly daeldir.
03-00	3-nji madda:
03-01	Her bir adam yashayysha, azatlyga we shahsy eldegrilmezlige haklydyr.
04-00	4-nji madda:
04-01	His kim gulsulykda ya-da baknalykda saklanyp bilinmez; gulsulygyn we gul soewdasynyn aehli goernueshleri gadagan edilyaer.
05-00	5-nji madda:
05-01	His kim oez adamsylyk mertebesini depeleyaen, kemsidiji gatnashyga we rehimsiz jeza saeresine dusar edilmeli daeldir.
06-00	6-njy madda:
06-01	Her bir adam, nirededigine garamazdan, oezuenin hukuk subyekti hoekmuende ykrar edilmegine haklydyr.
07-00	7-nji madda:
07-01	Adamlaryn hemmesi kanunyn oenuende dendirler we kanunyn goragyndan peydalanmaga den derejede haklydyrlar. Adamlaryn hemmesi bu Deklarasiyany bozyan her bir diskriminasiyadan we sheyle diskriminasiya oejuekdirmeden goralmaga den derejede haklydyr.
08-00	8-nji madda:
08-01	Her bir adam konstitusiyanyn ya-da kanunyn oezuene beren esasy hukuklary bozulan yagdayynda oez hukuklaryny basharnykly milli sudlar arkaly netijeli dikeltmaege haklydyr.
09-00	9-njy madda:
09-01	His kim eden-ytdilikli tussag edilmaege, saklanylmaga ya-da yurdundan kowulmaga dusar edilip bilinmez.
10-00	10-njy madda:
10-01	Her bir adam oez hukuklarynyn we borslarynyn kesgitlenmegi we oezuene bildirilen jenayat ayyplamasynyn esaslydygyny anyklamak uesin doly denhukuklylyk esasynda oez ishinin asyk we adalatyn aehli talaplaryna layyklykda garashsyz we bitarap sudda seredilmegine haklydyr.
11-00	11-nji madda:
11-01	Jenayat edenlikde ayyp bildirilyaen her bir adam tae ona goranmaga aehli muemkinsilikler doeredilen asyk sud prosesinde yazyklydygy kanuny yol bilen boynuna goyulyansa guenaesiz hasaplanmaga haklydyr.
11-02	Ilki edilen wagtynda milli kanunlara we halkara kanunsylygyna goerae jenayaty emele getirmedik haysydyr bir hereketi edenligi ya-da etmaenligi esasynda his kim yazgarylyp bilinmez. Sheyle-de, jenayat edilen wagtynda bu babatda ulanylmagy muemkin bolan jeza saeresinden agyr saere goerluep bilinmez.
12-00	12-nji madda:
12-01	His kim oez shahsy we mashgala durmushyna eden-ytdilikli gatyshylmagyna, oez yashayysh jayynyn eldegrilmezliginin, hat-habar aragatnashyklarynyn gizlinliginin ya-da oez at-abrayynyn we mertebesinin garawsyz bozulmagyna dusar edilip bilinmez. Her bir adam oez durmushyna beyle gatyshmalardan ya-da kastdan kanun arkaly goranmaga haklydyr.
13-00	13-nji madda:
13-01	Her bir adam her bir doewletin saeginde erkin hereket etmaege we oezuene yashamaga yer goezlemaege haklydyr.
13-02	Her bir adam islendik yurtdan, shol sanda oez yurdundan-da, sykyp gitmaege we oez yurduna yene-de dolanmaga haklydyr.
14-00	14-nji madda:
14-01	Her bir adam yanalmalardan gayry yurtlarda gasybatalga goezlemaege we ol gasybatalgadan peydalanmaga haklydyr.
14-02	Bu hukuk ish yuezuende syyasy dael sebaeplere goerae edilen jenayat ya-da Birleshen Milletler Guramasynyn maksatlaryna we prinsiplerine garshy gelyaen etmishler sebaepli yzarlanylanda, ulanylyp bilinmez.
15-00	15-nji madda:
15-01	Her bir adam grazdan bolmaga haklydyr.
15-02	His kim oez grazdanlygyndan ya-da grazdanlygyny ueytgetmek hukugyndan eden-ytdilikli kesilip bilinmez.
16-00	16-njy madda:
16-01	Kaemillik yashyna yeten erkekler we ayallar jyns, milli we dini ayratynlyklara goerae his hili saeklendirilmezden oeylenmaege we mashgala gurmaga haklydyrlar. Olar nikalashylanda, nikada durlanda we nika bozulanda den hukuklardan peydalanyarlar.
16-02	Nika - durmush guryanlaryn ikisinin-de oez erkine we dine doly razylygyna goerae gyylyp bilner.
16-03	Mashgala jemgyyetin tebigy hem-de esasy oeyjuegidir we jemgyyetin we doewletin goragyna dayanmaga haklydyr.
17-00	17-nji madda:
17-01	Her bir adam yekebara ya-da beylekiler bilen umumy emlaegi edinmaege haklydyr.
17-02	His kim oez emlaeginden esassyz el uezduerilmeli daeldir.
18-00	18-nji madda:
18-01	Her bir adam pikir, ynam we din azatlygyna haklydyr; bu hukuk dinini ya-da ynamyny ueytgetmek azatlygyny we oez dinine ya-da ynamyna uymak hem-de ona yeke oezuen we il bilen bile hususy tertipde, sheyle-de koepsuelikde sezde etmek, yoerelge, hudaya sokunmak we dini ritual dessurlaryn azatlygyny oez isine alyar.
19-00	19-njy madda:
19-01	Her bir adam ynam azatlygyna we ynamyny erkin beyan etmaege haklydyr; bu hukuk oez ynamyna paesgelsiz uymak hem-de informasiyany we ideyalary islendik serishdeler arkaly we doewletlerin saeklerinden garashsyz goezlemek hem-de yayratmak azatlygyny oez isine alyar.
20-00	20-nji madda:
20-01	Her bir adam parahat yygnanyshyklar we birleshmeler azatlygyna haklydyr.
20-02	His kim haysydyr bir birleshmae girmaege mejbur edilip bilinmez.
21-00	21-nji madda:
21-01	Her bir adam goenueden-goeni ya-da erkin saylanan wekillerin uesti bilen oez doewletini dolandyrmaga gatnashmaga haklydyr.
21-02	Her bir adam oez yurdunda doewlet gullugynda durmaga den haklydyr.
21-03	Halkyn erk-islegi hoekuemetin ygtyyarynyn esasy bolmalydyr; bu erk wagtly-wagtynda we aehlumumy denhukukly saylawlaryn uepjuen edilen yagdayynda we galplashdyrylmadyk saylawlarda gizlin ya-da saylaw hukuklarynyn azatlygyny doly uepjuen edyaen beyleki den aehmiyetli goernueshdaeki ses berishlikde oez beyanyny tapmalydyr.
22-00	22-nji madda:
22-01	Her bir adam, jemgyyetin agzasy hoekmuende, sosial uepjuensilige hem-de oez mertebesini saklamak we shahsyyetinin azat oesueshini uepjuen etmek uesin ykdysady, sosial we medeni ugurlarda zerur bolan hukuklaryny milli tagallalar we halkara hyzmatdashlygy arkaly hem-de her doewletin oez duezuemine we resurslaryna layyklykda amala ashyrmaga haklydyr.
23-00	23-nji madda:
23-01	Her bir adam zaehmet sekmaege, ish saylamak azatlygyna, adalatly we onayly zaehmet shertlerine hem-de ishsizlikden goralmaga haklydyr.
23-02	Her bir adam den zaehmet uesin, his hili kemsidilmae dusar edilmezden, den gazanja haklydyr.
23-03	Her bir ishleyaen adam oezuenin we mashgalasynyn ynsana mynasyp yashayyshyny uepjuen edyaen we zerur yagdayda sosial uepjuensiligin goshmasa serishdeleri bilen uesti yetirilyaen adalatly we kanagatlanarly toeleg almaga haklydyr.
23-04	Her bir adam professional arkadashlygy doeretmaege we oez baehbitlerini goramak uesin professional arkadashlyklara girmaege haklydyr.
24-00	24-nji madda:
24-01	Her bir adam ish guenuenin goewnejay saeklendirilmeginin hasabyna wagtly-wagtyna we toelegli zaehmet rugsadyna sykmaga hem-de dyns wagtynyn bolmagyna haklydyr.
25-00	25-nji madda:
25-01	Her bir adam iymiti, geyim-gejimi, yashayysh jayyny, medisina koemegini oez isine alyan hem-de onun oezuenin we mashgalasynyn saglygynydyr maddy hal-yagdayyny, sheyle-de ishsiz galan, yarawsyz, mayyp bolan, dul galan, garran ya-da oezuene bagly bolmazdan, yashayysh serishdelerinin yitirilmegine getiren beyleki yagdaylarda zerur sosial hyzmatlary we uepjuensiligi goez oenuende tutyan yashayysh derejesine haklydyr.
25-02	Eneler we sagalar ayratyn idege hem-de yardama haklydyrlar. Nikada doglanlygyna ya-da daeldigine garamazdan, aehli sagalar den sosial goragdan peydalanmalydyrlar.
26-00	26-njy madda:
26-01	Her bir adam bilim almaga haklydyr. In baerkisi bashlangys we umumy bilim mugt bolmalydyr. Bashlangys bilim hoekmany bolmalydyr. Tehniki we professional bilim umumy elyeterli we yokary bilim her kimin ukybyna baglylykda hemmeler uesin elyeterli bolmalydyr.
26-02	Bilim adam shahsyyetinin doly oesueshine hem-de adam hukuklaryna we esasy azatlyklaryna sarpa goylushynyn yokarlanmagyna ugrukdyrylan bolmalydyr. Bilim aehli halklaryn, jynsy ya-da dini toparlaryn arasynda oezara dueshuenishmaege, sydamlylyga we dostluga hem-de Birleshen Milletler Guramasynyn parahatsylygy goramak ishine yardam etmelidir.
26-03	Kisi yashly sagalary uesin bilimin goernueshini saylamaga gezek gelende, ene-atalar artykmas hukukdan peydalanyarlar.
27-00	27-nji madda:
27-01	Her bir adam jemgyyetin medeni-kultur durmushyna erkin gatnashmaga, sungatdan lezzet almaga, ylmy progrese gatnashmaga we onun eshretlerinden peydalanmaga haklydyr.
27-02	Her bir adam awtor hoekmuende oez ylmy, edebi-seper zaehmetinin netijesi bolup duryan ahlak we maddy baehbitlerinin goralmagyna haklydyr.
28-00	28-nji madda:
28-01	Her bir adam bu Deklarasiyada beyan edilen hukuklaryn we azatlyklaryn doly dabaralanyp biljek sosial hem-de halkara gurlushyna haklydyr.
29-00	29-njy madda:
29-01	Her bir adamynyn onun shahsyyet taydan azat we doly oesueshinin yeke-taek muemkin bolan yeri - jemgyyetin oenuende borslary bardyr.
29-02	Oez hak-hukuklarynydan we azatlyklaryndan peydalanan wagtynda  her bir adam kanun boyunsa goez oenuende tutulan we dine oezgelerin hak-hukuklaryny we azatlyklaryny yeterlik ykrar etmek we hormatlamak zerurlygyndan hem-de demokratik jemgyyetsilik duezguenlerini, ahlagyn adalatly we jemgyyetin umumy maddy hal-yagdayynyn talaplaryny kanagatlandyrmakdan gelip sykyan saeklendirmelere dusar edilmelidir.
29-03	Bu hak-hukuklar we azatlyklar durmusha gesirilende, Birleshen Milletler Guramasynyn maksatlaryna we prinsiplerine ters gelmeli daeldir.
30-00	30-njy madda:
30-01	Bu Deklarasiyanyn his bir boeluemi belli bir doewlete, adamlar toparyna ya-da ayratyn adamlara Deklarasiyada beyan edilen hak-hukuklaryn we azatlyklaryn yoguna yanmaga goenuekdirilen haysydyr bir ishleri ya-da hereketleri etmaege hukuk beryaer diyen manyda dueshuendirilip bilinmez.
