00-00	[missing]
08-01	Kuredite nanasa khonty nile mene (pravo) nizi”sibsya- nimeeny nile menuntu (pravaitu) bentuny ittuo” suda”tini kange mentizilibiti” nile menuntu (pravaitu), kunie” nezulunante” konstitutsieteny ketti zakoneteny.
09-00	Statya 9
09-01	Sylygalite nibiti myntu kamya”lu” nanasaneigite khunde, merki”tery”, khundyamtyalyry” none siba”teru”.
10-00	Statya 10
10-01	Kuredite nanasa, nanuzumtukusya nile menutu (pravaitu) none nanuzumtukusya ugolovnyi sieremty, khonty nile mene (pravo) melyzesyediezy sierty katemerunagetu nezi”tetye none nyandya”tuo sudete.
11-00	Statya 11
11-00	Kuredite nanasa, laga”tarutuo kuredikuo sierteny, khonty nile mene (pravo) nizi”sisi sierkali isyamtu tee tube kange syty siertu neteurusuzu” zakone nezutuo sudete, kunini syty nizi”silisizi”.
11-01	Sylygalite nibiti myntu nomtebturu” nintu” melyzasyedeity sierniize, tetti sier ikhu” syty nile tandety kersutini nintu nombe kersudya ittuo. Nibiti myntu tende kersuniize tetua ani”emeny ketti bezetuomeny khoralu” tende dyalygete kange ikhu melyzemee tetti kersu.
12-00	Statya 12
12-01	Sylygalite nibiti myntu khutute” khunse nanasa korsete ketti nile tandete, nibiti myntu mentizi” tendety maze, tendety tiidyatuo” khoture kunsyny ittuo” kersu”, Kuredite nanasa nizi”silibiti myntu zakonateny teredi” mentizibsyagite.
13-00	Statya 13
13-00	Kuredite nanasa dozurkhutu myntu temeeny kunimeny kerbunu, nilybiti myntu kuredite khutiezy mounteny.
13-01	Kuredite nanasa khonty nile mene (pravo) dubeenantibiti kuredite mou, nile netumiamuo moumtu, tegete khonty nile mene (pravo) khursebsa kersu mountudya.
14-00	Statya 14
14-00	Kuredite nanasa khonty nile menemty (pravo) khuulebiti lunkurubsyanezemty khunsee” mou”meny none khonty mene toroubtusa tende lunkurubsyane.
14-01	Tetti nile mene (pravo) sererygetyze” tee tukhony, kange teneribsya kersu tokhiteny ninty nuo” politichesky sier,ketti lyku duoaitetuo neru” none dyameleke” kersu” Sune 5uomtumee” Tandei (Obedinennyi Natsiya).
15-00	Statya 15
15-00	Kuredite nanasa khonty nile mene (pravo) grazhdanstvodya.
15-01	Sylygalite nibiti myntu koiry” grazhdanstvogali none kerbubutu nutumee” grazhdanstvamtu.
16-00	Statya 16
16-00	Nimbymtye” kuodumu” none ny” khondy” nile mene (pravo), nisy senure” kuredi nanasane tansegete imme”, kuredi syabytyn nezu, kuredi nuodya tyalirnu”, nuomtasa ketti myaizasy, melyzesy nile tandemtu. Sytyn khondy” khelide” nile mene” (prava”) nuomtasa ketti myaizasa, nuoiteny nilybsya none tarumsa tukhony.
16-01	5uomtebsa kersu myntu ikhutu melyzemee none lebkuzebtu- muo sittya” keize nuomtetugei.
16-02	Tanse tettire nanuo none meneze obshchestve khelye, kunie nizisilibiti myntu obshchestvate none gosudarstvate.
17-00	Statya 17
17-00	Kuredite nanasa khonbiti myntu (pravo) nile nalire” ketti nu”oze nalire” khunsei nanasanei nanu.
17-01	Sylygalitende nibiti myntu (pravo) mentizili” tende” nalire”.
18-00	Statya 18
18-01	Kuredite nanasa khonty nile mene (pravo) nendya”tuomeny syneryrsya, syaru none nile tandetu nuo (religiya); kuredite nanasa khonsyze khunturubsya teredi nuodya, kuredi khuiny, khonsyze nile kamya”tuo manu”tebsa, nile netumiamuo” khunseree” kersuodei.
19-00	Statya 19
19-01	Kuredite nanasa khonty nile mene (pravo) nendya”tuo manu”tebsadya, debtazabsa tenditin kange kerbunu; tetti mene (pravo) tezu”tetu nendya”tuomeny debtazabsa manu”tebsatu, kuredite durymy”, buozu” nisy senure” kuredite gosudarstvennyi granitsedya.
20-00	Statya 20
20-00	Kuredite nanasa dozurkhutu myntu kunia kerbunu: kuredite khetegee” nunuoza”dya, nanasane nunubsane”dya (assotsiatsy).
20-01	Sylygalite nisizi” khutu”teru” assotsiatsiete menentu nisy telibtiri”.
21-00	Statya 21
21-00	Kuredite nanasa khonty nile mene (pravo) upravlyairmunte mountenynty kelubtumee” nanasanei takkemeny.
21-01	Kuredite nanasa khonty nile mene (pravo) densidemeeny khunseinanu neibeumunte nile mounty gosudarstve” sluzhbateny.
21-02	5anasane” tanse mene ikhutu myntu nyagee pravitelstvo nuzabsa tokhi; tetti mene neterebtuguikhutu myntu khuoti” mely”syrytye” natu”dyatini, kuredi” mely”syrybitin myntu tiidyalutuo” golosovanienteny ketti khunseemeny kunini golosovairsya nanasa khonsyze nile mene.
22-00	Statya 22
22-01	Kuredite nanasa, obshchestvo tere ikhutu, khonty nile mene (pravo) sotsialnoe obespecheniedya none khunsee” prave”dya, tezu”tetuo” nyandyatuo bezuatebsa syty nile menutu (pravaitu) ekonomichesky, sotsialnyi none kulturnyi sunentini nanasanei tande” none mezhdunarodnyi suoarubsa kuredite gosudarstvo takkemeny.
23-00	Statya 23
23-00	Kuredite nanasa khonty nile mene (pravo) neibeuzadya, nyandya”tuo natyarubsa neibeuzadya, teny kunini kerbunu, nyagee none neimi” neibeuzatu sittyameny ittuodya none nizi”silibiti myntu neibeuzagali ittuo kersugete.
23-01	Kuredite nanasa, nisy khundyaltarybi”, kemuzukhutu myntu khelide densi”, khelide neibeuzaniize.
23-02	Kuredite nanasa kemuzubutu myntu nyagee nezi”tetyee mazaisuo ketti densi neibeuzatuniize, kuniee”meny nyagei nilybiazee tandetunanu ketti nonentu none khely”sylibiazeize nyagei khunsei sotsialnyi obespecheniyateny nilynyagety.
23-03	Kuredite nanasa khonty nile mene (pravo) nununtebsa neibeuze” sune” (soyuze”) tiitesy tende” suneti” (soyuzendi”) nizi”sinyagety nile menutu.
24-00	Statya 24
24-01	Kuredite nanasa khonty nile mene (pravo) niibtuguisyadya, khutudya nile mene (pravo) teni neibeuza” dyaly keri none densi khontye khuo beukhu” niibtuguisya.
25-00	Statya 25
25-00	Kuredite nanasa khonty nile mene (pravo) teredi niludya: nomsu”, dembia”, lekkyre” neteubsa none khunsee” nilybsya kersu”dya, kuredi ikhutu nyagee nyagee nilybsyaty none tandety nyagei nilybsya dyazyku, khonty nile mene khely”syrynyagety nibiti neibeu”, dyarezykebiti, musanumkhutu, syrumkhutu, beika”imkhutu ketti inia”imkhutu, basagalimkhutu none netumkhi” khunse” kersu” nintu” khezytytye” syty semyrygetety.
25-01	Nemy isya konybsya none dyakhurka ibsya khoneiti” nile mene (pravo) nezulunagetun none khely”sylinagetyn. Bende” nuo”, netumtye” nuomsuode tandeteny ketti nintu” nuomsuode tandeteny, khonkhityn myntu khelide nizisibsya.
26-00	Statya 26
26-00	Kuredite nanasa khonty nile mene (pravo) khozatebsanimeeny. Tenymtyguikhi” myntu densigali, tetti kersu menezemeeny mentiziti nerebtee none bende” dyazykudya ittuo tenymtyguisya. Nerebtee tenymtyguisya ikhutu myntu bendi”dya ituo. Tekhnika none neibeuzadya ittuo tenymtyguisya ikhutun myndu” bende”ti” tuuterutuo”, ani”e, bentuo tenymtyguisya khelidemeeny tuurubutu myntu bende” kerbutuoti”.
26-01	Tenymtyguisya ikhutu myntu khezytytye bende” nanasane semyry bozuatebsadya none nukegimti”kuitie bendeti nyagei tenyrybsya, khusya”lubsa, dilsitibsya none tenynbsya nile nanasane mene” menezemeeny nyandyabsyanimeeny ittuo”. Tenymtyguisya ikhutu myntu khely”sytye nyatun semery tenybsya, suoarubsya bende nanasane” dutymeny, kuredite nibiti nuo” syakhytin ketti khunturubsyanutun nuodya, khely”sybiti myntu Sune 5uomtumee” Tandei (Obedinennyi Natsiya) kamya”sa nyagimtugutuoi kersui.
26-02	Nuo” dedi” khonty” nile mene (pravo) natyarsa, kunini tenymtyguisizite” siene” nuotin.
27-00	Statya 27
27-00	Kuredite nanasa toroubutu myntu nanasane” tande kulturnyi” niluteny, nyaltebiti myntu khunserei kersuodeidya uchastvovairkhutu myntu nauchnyi progresseteny none toroubtuguikhutu tendety nunyazu”.
27-01	Kuredite nanasa khonty nile mene (pravo) nizisibsyadya semyryty, menensekutu, kunie” inu” nauchnyi, literaturnyi ketti khudozhestvennyi neibeuzatinuntu, kuredi” syty nile melyzasyedeiti.
28-00	Statya 28
28-01	Kuredite nanasa khonty mene (pravo) sotsialnyi none mezhdunarodnyi nezi”tebsadya, kurediteny nile mene” (prava) none nyandyabsa”, khozutuo” nanuo Deklaratsieteny, bende” dulsyrybitin myntu.
29-00	Statya 29
29-00	Kuredite nanasa khonty mene” (obyazannosti), nonditye” nanasane tande nereny, kunini nile semyryty nyandya”sa bozatesuze.
29-01	Mely”sysa nile menutu (pravaitu) none nyandyabsatu, kuredite nanasa nonsubtyribiti myntu teetukhorany, kange syty melysykesyte teredi kersu, nintye nolkhu”kuru” zakoneteny nonkhemeny ittuotuniize none duoaitetuo nanasane” tandei nyagei nezulubsyamtun none mittebsyamtyn bense maa khuteemtyn none nyagei nilybsyabtyn demokratichesky obshchestvateny.
29-02	Mely”sybsya tende” nile mene” (prava”) kankegalite nibitin myntu Sune 5uomtumee” Tandei (Obedinennyi Natsiya) neru” keinimeeny kony”.
30-00	Statya 30
30-01	Maagalite nanuo Deklaratsieteny ittuo nibiti myntu debturu”, militie mante kuredikuo gosudarstvote, sune”te ketti nanasane” sune”te ketti bezeltuo” khoru”ti prave melysynagetyn tende neibeuza, khezy”tytye symbabtyguisyadya prave” none nyandyabsa”, khozutuo” nanuo Deklaratsiyateny.
