00-00	DEPAe TI POePOeKOeDOeROe TI NDIAe TI BATA NENGOe TERE TI ZO
16-02	Sewae ayeke na guenda ti halezo. Ni laa, amu ngangue na letaea nga na azo kue ti tene ala bata ni ngangue.
17-00	Sura 17
17-00	Zo kue wala lo duti na bosongbi wala lo duti lo oko ayeke na ngangue ti wara akungba ti lo mveni.
17-01	Alingbi pepee ti mu akungba ti mbeni zo na ngangue na maboko ti lo.
18-00	Sura 18
18-01	Amu na zo kue zarae ti bibe, ti boro-li na ti maebe ; ngangue so afa atene zo kue ayeke na zarae ti gbian maebe ti lo, wala bibe ti lo nga na zarae ti fa polele maebe ti lo, lo oko wala na ya ti mbeni bungbi, polele wala koiko, na lege ti faengo mbeti, ti saeraengoe ye, ti voeroengoe nzapae nga na saeraengoe angobo.
19-00	Sura 19
19-01	Amu na zo kue ngangue ti zarae ti bibe na ti saeraengoe tene. So atene alingbi ti doroko zo pepee ndali ti abibe ti lo. Amu nga na zo kue ngangue ti gi, ti wara na ti vunga asango na akode na amarae lege kue, na ziaengoe be pepee na ndoe ti tene ti ameka.
20-00	Sura 20
20-00	Amu na zo kue ngangue ti zarae ti gbe lingoe, ti li na ya ti bosongbi ti siriri.
20-01	Alingbi pepee ti gbu zo na ngangue ti li na ya ti mbeni bosongbi.
21-00	Sura 21
21-00	Amu na zo kue ngangue ti sara kua ti lengoe koedoeroe ti lo, wala lo mveni wala na lege ti awasele so asoro ala yamba.
21-01	Amu na zo kue ngangue ti wara kua na ya ti ndokua ti letaea, lege oko na amba ti lo.
21-02	Kunibe ti halezo ayeke na guenda ti ngangue ti awalengoe koedoeroe. Kunibe so alingbi ti fa gi na lege ti aboro soro so ayeke baa gigi ngoi na ngoi, na lege ti gbego mobimba nga na koeboe soro wala na mbeni ngobo so amu ngangue ti zarae ti soro.
22-00	Sura 22
22-01	Zo kue toengana waboso ti halezo ayeke na ngangue na kodekua ti baetaengoe tere. Aloendoe na abaengoe nzoeni na pekoe ti angangue ti mosoro, ti zaengbingoeroe tere, ti ndara so ayeke koetae ye ndali ti nengoe tere na boro maeingoe ti setere ti lo; gi na lege ti gbuengoe mbirimbiri kua ti koedoeroe nga na ti taengbingoe kua na akoedoeroe wande so abaea dongongbi na mosoro ti koedoeroe oko oko.
23-00	Sura 23
23-00	Amu na zo kue ngangue ti sara kua, na zarae ti soeroengoe kua ti be ti lo, na ya ti boro nga na nzoeni gere ti kua. Alingbi nga ti bata zo ngbanga ti tene ti ponoen ti saeraengoe kua pepee.
23-01	Zo kue alingbi ti wara boro nginza ti kua so alingbi na kua so lo sara
23-02	Zo so asara kua alingbi ti wara boro nginza ti kua so alingbi ti tene lo na asewae ti lo aduti na ya ti nengoe tere. Na ndoeni kue, amu na lo anzina ngangue ti sebaetaengoe tere.
23-03	Zo kue awara ngangue ti kii na amba ti lo abungbi ti awakua, nga ti li bungbi na ambeni abungbi ti awakua ngbanga ti gbuengoe kokoe ti ala.
24-00	Sura 24
24-01	Amu na zo kue ngangue ti wotere ti lo, ti sara ngia nga. So atene alingbi ti de gi na lege ni laengoe kapae ti kua nga na alaengoe ti woengoe tere so afuta ni.
25-00	Sura 25
25-00	Zo kue alingbi ti wara nginza so alingbi na lo si lo le seni ti lo, nzoeni duti ti lo nga na ti sewae ti lo biani na lege ti tengoe kobe, yuengoe bongoe, muengo yoro nga na zaengbingoe tere. Amu na lo ngangue ti baa nzoeni na lege ti zangbingoe tere na ngoi so lo du na kua pepee, wala na ngoi ti soengoe tere wala ngbanga ti zen, wala ngbanga ti ndue, ti kangba wala na ya ti ambeni ngoi so zo ni ayeke na mbeni lege ti baetaengoe na fini ti lo pepee, na peko ti ambeni sioekpaele so asi na lo.
25-01	Awali ti ngo na amolenge ti ala alingbi ti wara taa nzoeni na kua ti zaengbingoe ndo. Amolenge kue, wala adue ala na ya ti muengoe tere wala adue ala da pepee ayeke na ngangue na ni lege oko.
26-00	Sura 26
26-00	Amu na zo kue ngangue ti maendaengoe mbeti. Ayeke futa maendaengoe mbeti ni pepee, mbirimbiri na akete dambeti. Maendaengoe kodeye na kodekua alingbi ti gbu ndo kue. Zo kue alingbi ti manda mbeti na koetae dambeti, gi na lege ti kode ti lo na hingaengoe ndo ti lo.
26-01	Faengoe mbeti alingbi ti gue na lege ti kono setere ti azo nga ti kono ndiae ti baetaengoe nengoe tere ti azo . Lo lingbi nga ti mu lege ti kpengba maengoe tere, vueruengoe be na songo na poepoe ti akoedoeroesese ti amarae wala amabe nde nde nga na maeingoe akua ti bungbi ti bendo ti gigi ngbanga ti bata siriri.
26-02	Awaduengoe molenge amveni alingbi ti soro yamba kode lege ti faengoe hingaegoe ndo na amolenge ti ala.
27-00	Sura 27
27-00	Zo kue ayeke na ngangue ti le kua ti sendagao ti asoengoe ti lo, ti tene lo wara apendere ye ti koedoeroe ti lo na lo zia maboko na maeingoe ti asendaye nga na lo baa nzoeni na peko ni.
27-01	Amu na zo oko oko ngangue ti sebaetaengoe anzoeni ye ti lo so alingbi ti duti akungba wala abibe ti lo-mveni. Anzoeni ye so alingbi ti loendoe na peko ti akodekua, asendaye, asendasu wala ti sendaegao so lo mveni lo sara.
28-00	Sura 28
28-01	Ti tene azo akpe angangue so afa ge so, ayeke nzoeni mbeni dongongbi adu da so alingbi ti bata ni. Dongongbi so alingbi ti duti na ya ti koedoeroe ni toengana na ya ti dunia mobimba.
29-00	Sura 29
29-00	Zo ayeke na ahonga na mbage ti boso so lo du da si lo mai da yamba . Ni laa si alingbi ti mu na lo lege ti tene setere ti lo amai nzoeni biani.
29-01	Ndiae alingbi ti le angangue ti baetaengoe nengoe tere ti zo . Lo lingbi nga ti mu lege na zo oko oko ti kpe amba ti lo nga ti tene amba ti lo akpe lo.
29-02	angangue so na azarae so alingbi oko pepe ti fingi aweseloe, apoe, na gbegondiae ti bungbi ti bendo ti gigi mobimba.
30-00	Sura 30
30-01	Mbeni koedoeroesese oko pepee wala mbeni zo ti gigi oko alingbi pepee ti buba lege ti andiae so afa ge na ya ti mbeti-depae so.
