00-00	Splosna deklaracija clovekovih pravic
02-01	Vsakdo je upravicen do uzivanja vseh pravic in svoboscin, ki so razglasene s to Deklaracijo, ne glede na raso, barvo koze, spol, jezik, vero, politicno ali drugo prepricanje, narodno ali socialno pripadnost, premozenje, rojstvo ali kakrsnokoli drugo okoliscino.
02-02	Nadalje ni dopustno nikakrsno razlikovanje glede na politicno ali pravno ureditev ali mednarodni polozaj dezele ali ozemlja, ki mu kdo pripada, pa naj bo to ozemlje neodvisno, pod skrbnistvom, nesamoupravno ali kakorkoli omejeno v svoji suverenosti.
03-00	3. clen
03-01	Vsakdo ima pravico do zivljenja, do prostosti in do osebne varnosti.
04-00	4. clen
04-01	Nihce ne sme biti drzan ne v suzenjstvu ne v tlacanski odvisnosti; suzenjstvo in trgovina s suznji v kakrsnikoli obliki sta prepovedana.
05-00	5. clen
05-01	Nihce ne sme biti podvrzen mucenju ali okrutnemu, necloveskemu ali ponizujocemu ravnanju ali kaznovanju.
06-00	6. clen
06-01	Vsakdo ima povsod pravico do priznanja pravne sposobnosti.
07-00	7. clen
07-01	Vsi so enaki pred zakonom, vsi, brez diskriminacije, imajo pravico do enakega pravnega varstva. Vsi imajo pravico do enakega varstva pred sleherno diskriminacijo, ki bi krsila to Deklaracijo, kakor tudi pred vsakim scuvanjem k taksni diskriminaciji.
08-00	8. clen
08-01	Vsakdo ima pravico do ucinkovitega pravnega sredstva pri pristojnih drzavnih sodnih oblasteh proti dejanjem, ki krsijo temeljne pravice, priznane mu po ustavi ali zakonu.
09-00	9. clen
09-01	Nihce ne sme biti samovoljno zaprt, pridrzan ali izgnan.
10-00	10. clen
10-01	Vsakdo je pri odlocanju o njegovih pravicah in dolznostih in v primeru kakrsnekoli kazenske obtozbe zoper njega upravicen ob polni enakosti do pravicnega in javnega obravnavanja pred neodvisnim in nepristranskim sodiscem.
11-00	11. clen
11-00	Vsakdo, ki je obtozen kaznivega dejanja, ima pravico, da velja za nedolznega, dokler ni spoznan za krivega v skladu z zakonom, v javnem postopku, v katerem so mu dane vse moznosti, potrebne za njegovo obrambo.
11-01	Nihce ne sme biti spoznan za krivega kateregakoli kaznivega dejanja zaradi kakrsnegakoli ravnanja ali opustitve, ki v casu storitve ni bilo kaznivo dejanje po notranjem ali mednarodnem pravu. Prav tako se ne sme izreci strozja kazen od tiste, ki je bila predpisana v casu storitve kaznivega dejanja.
12-00	12. clen
12-01	Nikogar se ne sme nadlegovati s samovoljnim vmesavanjem v njegovo zasebno zivljenje, v njegovo druzino, v njegovo stanovanje ali njegovo dopisovanje in tudi ne z napadi na njegovo cast in ugled. Vsakdo ima pravico do zakonskega varstva pred taksnim vmesavanjem ali taksnimi napadi.
13-00	13. clen
13-00	Vsakdo ima pravico do svobodnega gibanja in izbire prebivalisca znotraj meja dolocene drzave.
13-01	Vsakdo ima pravico zapustiti katerokoli drzavo, vkljucno s svojo lastno, in vrniti se v svojo drzavo.
14-00	14. clen
14-00	Vsakdo ima pravico v drugih drzavah iskati in uzivati pribezalisce pred preganjanjem.
14-01	Na to pravico se ni mogoce sklicevati v primeru pregona, ki dejansko temelji na nepoliticnih kaznivih dejanjih, ki so v nasprotju s cilji in naceli Zdruzenih narodov.
15-00	15. clen
15-00	Vsakdo ima pravico do drzavljanstva.
15-01	Nikomur se ne sme samovoljno vzeti drzavljanstvo ali zakonita pravica do spremembe drzavljanstva.
16-00	16. clen
16-00	Polnoletni moski in zenske imajo brez kakrsnihkoli omejitev glede na raso, drzavljanstvo ali vero, pravico skleniti zakonsko zvezo in ustanoviti druzino. Upraviceni so do enakih pravic v zvezi z zakonsko zvezo, tako med zakonsko zvezo, kot tudi, ko ta preneha.
16-01	Zakonska zveza se sme skleniti samo s svobodno in polno privolitvijo obeh bodocih zakoncev.
16-02	Druzina je naravna in temeljna celica druzbe in ima pravico do druzbenega in drzavnega varstva.
17-00	17. clen
17-00	Vsakdo ima pravico do premozenja, tako sam, kakor tudi skupno z drugimi.
17-01	Nikomur ne sme biti premozenje samovoljno vzeto.
18-00	18. clen
18-01	Vsakdo ima pravico do svobode misli, vesti in veroizpovedi; ta pravica vkljucuje svobodo spreminjati prepricanje ali vero, kakor tudi njuno svobodno, javno ali zasebno izrazanje, bodisi posamezno ali v skupnosti z drugimi, s poucevanjem, z izpolnjevanjem verskih dolznosti, z bogosluzjem in opravljanjem obredov.
19-00	19. clen
19-01	Vsakdo ima pravico do svobode misljenja in izrazanja, vstevsi pravico, da nihce ne sme biti nadlegovan zaradi svojega misljenja, in pravico, da lahko vsak isce, sprejema in siri informacije in ideje s kakrsnimikoli sredstvi in ne glede na meje.
20-00	20. clen
20-00	Vsakdo ima pravico do svobodnega in mirnega zbiranja in zdruzevanja.
20-01	Nikogar se ne sme prisiliti k clanstvu v katerokoli drustvo.
21-00	21. clen
21-00	Vsakdo ima pravico sodelovati pri opravljanju javnih zadev svoje drzave bodisi neposredno ali pa po svobodno izbranih predstavnikih.
21-01	Vsakdo ima pod enakimi pogoji pravico do javnih sluzb v svoji drzavi.
21-02	Volja ljudstva je temelj javne oblasti; ta volja se mora izrazati v obcasnih in postenih volitvah, ki morajo biti splosne, ob nacelu enakosti in tajnega glasovanja ali po kaksnem drugem enakovrednem postopku, ki zagotavlja svobodo glasovanja.
22-00	22. clen
22-01	Vsakdo ima kot clan druzbe pravico do socialne varnosti in pravico do uzivanja, s pomocjo prizadevanja svojih skupnosti in mednarodnega sodelovanja in v skladu z ureditvijo in sredstvi neke drzave, ekonomskih, socialnih in kulturnih pravic, nepogresljivih za njegovo dostojanstvo in svoboden razvoj njegove osebnosti.
23-00	23. clen
23-00	Vsakdo ima pravico do dela in proste izbire zaposlitve, do pravicnih in zadovoljivih delovnih pogojev in do varstva pred brezposelnostjo.
23-01	Vsakdo ima, brez kakrsnekoli diskriminacije, pravico do enakega placila za enako delo.
23-02	Vsakdo, kdor dela, ima pravico do pravicne in zadovoljive nagrade, ki zagotavlja njemu in njegovi druzini cloveka vreden obstoj in ki naj se po potrebi dopolni z drugimi sredstvi socialnega varstva.
23-03	Vsakdo ima pravico sodelovati pri ustanavljanju sindikata ali pridruziti se sindikatu za zavarovanje svojih interesov.
24-00	24. clen
24-01	Vsakdo ima pravico do pocitka in prostega casa, vkljucno z razumno omejitvijo delovnih ur , in pravico do obcasnega placanega dopusta.
25-00	25. clen
25-00	Vsakdo ima pravico do taksne zivljenjske ravni, ki zagotavlja njemu in njegovi druzini zdravje in blaginjo, vkljucno s hrano, obleko, stanovanjem, zdravnisko oskrbo in potrebnimi socialnimi storitvami; pravico do varstva v primeru brezposelnosti, bolezni, delovne nezmoznosti, vdovstva ter starosti ali druge nezmoznosti pridobivanja zivljenjskih sredstev zaradi okoliscin, neodvisnih od njegove volje.
25-01	Materinstvo in otrostvo sta upravicena do posebne skrbi in pomoci. Vsi otroci, bodisi da so rojeni kot zakonski ali zunaj zakonske skupnosti, uzivajo enako socialno varstvo.
26-00	26. clen
26-00	Vsakdo ima pravico do izobrazevanja. Izobrazevanje mora biti brezplacno vsaj na zacetni stopnji. Solanje na zacetni stopnji mora biti obvezno. Tehnicno in poklicno solanje mora biti splosno dostopno. Visje solanje mora biti na osnovi dosezenih uspehov vsem enako dostopno.
26-01	Izobrazevanje mora biti usmerjeno k polnemu razvoju clovekove osebnosti in utrjevanju spostovanja clovekovih pravic in temeljnih svoboscin. Pospesevati mora razumevanje, strpnost in prijateljstvo med vsemi narodi in med rasami in verskimi skupinami ter pospesevati dejavnost Zdruzenih narodov in ohranitev miru.
26-02	Starsi imajo prednostno pravico pri izbiri vrste izobrazevanja svojih otrok.
27-00	27. clen
27-00	Vsakdo ima pravico prosto se udelezevati kulturnega zivljenja svoje skupnosti, uzivati umetnost in sodelovati pri napredku znanosti in biti delezen koristi, ki iz tega izhajajo.
27-01	Vsakdo ima pravico do varstva moralnih in premozenjskih koristi, ki izhajajo iz kateregakoli znanstvenega, knjizevnega ali umetniskega dela, katerega avtor je.
28-00	28. clen
28-01	Vsakdo je upravicen do druzbenega in mednarodnega reda, v katerem se lahko v polni meri uresnicujejo pravice in svoboscine, dolocene v tej Deklaraciji.
29-00	29. clen
29-00	Vsakdo ima dolznosti do skupnosti, v kateri je edino mogoc svoboden in popoln razvoj njegove osebnosti.
29-01	Pri izvajanju svojih pravic in svoboscin je vsakdo podvrzen samo taksnim omejitvam, ki so dolocene z zakonom, katerih izkljucni namen je zavarovati obvezno priznanje in spostovanje pravic in svoboscin drugih ter izpolnjevanje pravicnih zahtev morale, javnega reda in splosne blaginje v demokraticni druzbi.
29-02	Te pravice in svoboscine se v nobenem primeru ne smejo izvajati v nasprotju s cilji in naceli Zdruzenih narodov.
30-00	30. clen
30-01	Nobene dolocbe te Deklaracije se ne sme razlagati tako, kot da iz nje izhaja za drzavo, skupino ali posameznika kakrsnakoli pravica do kakrsnegakoli delovanja ali dejanja, ki bi hotelo uniciti v njej dolocene pravice in svoboscine.
