00-00	NZA-NGYAMUKUSU WU MISWA MI MUTU
10-01	Woso kwa mutu widi mswa, buka woso yandi mutu, mu kufundusu va m<control>yalu-nguba mu kitezo kifwana kuidi nzo-m<control>kanu yi songa , in<control>zenga mambu mu budede ayi mu bukiedika bu mavanga mandi, na miswa na buloko bwandi.
11-00	LUTUMU-MSWA LUKUMI-KIMUEKA
11-00	Woso mutu um<control>tatu mu mavanga mambi fwene kutwama bongolo dibungu dimbote, nate mbelo-andi im<control>monoso mu procesu yi m<control>yalu-nguba, ayi mafwana moso ma butanunu bwandi man<control>tulu-va-tsi.
11-01	Kwisi mutu ko wala komo mu bumbedi mu mambu o ma-zimbukunu evo o ma-khembo sonama dede ti msiku mu thangu yi-ka-ma-sadila, evo mam<control>kambu-ba ti ma mbedoso va thalu mswa-luyalu lu tsi-andi voti va thalu mswa-mtinu luyalu lu tsi-mvimba. Bo bwawu, kwisi-ko luve lu kukoma mutu mu phasi-mswa ilutidi m<control>kata ayi yo im<control>fwene mu thangu yoyawu ikam<control>vola mbi.
12-00	LUTUMU-MSWA LUKUMI-KIM<control>MWADI
12-01	Kwisi-ko mutu wala tatusu mu luzingu lwandi luswama, evo mu mambu mandi ma tsi-nzo ayi mu mambu ma bukanda bwandi, evo mu mambu ma mikanda myandi min<control>sweki, enati vasi kibila kitungu-ko. Mu khotolo batu evo luyalu mu mambu ma ngana man<control>sweki, woso mutu mswa ayi luve kadi kutanunu kwidi lutumu ayi mswa luyalu.
13-00	LUTUMU-MSWA LUKUMI-KIN<control>TATU
13-00	Woso mutu widi luve ayi mswa kudyata ayi kutomba nzo mu yoso-kwa tsi.
13-01	Woso mutu widi mswa ayi luve lu kubasika mu tsi-andi um kwenda ku tsi-mka, ayi um ku-bwe-vutuka ku tsi-andi.
14-00	LUTUMU-MSWA LUKUMI-KIN<control>YA
14-00	Woso mutu m<control>landukunu kwidi luyalu widi na luve ayi mswa kutinina ayi kutanunu ku tsi-mka.
14-01	Vangi mswa-bewowo wisi-ko ngolo voti lutelo mu mavada masiwu ti mbivusu in<control>nene kwidi lutumu-mswa lun<control>tangununwanga ti "direito comum", evo mu mavada mambi madi ndambi yi zikhanu zi mayindu ma kinvuka ki Zitsi Zibundana.
15-00	LUTUMU-MSWA LUKUMI-KIN<control>TANU
15-00	Woso-kwa mutu mswa ayi luve kadi mu kubaka bwisi-tsi bwandi.
15-01	Kwisi-ko mutu m<control>kanduku mu khembo kibila kitungu mu bwisi-tsi bwandi evo mu kubalula bwisi-tsi bwandi mu bwisi-tsi bumkaka.
16-00	LUTUMU-MSWA LUKUMI-KIN<control>SAMBANU
16-00	Tona ban<control>kituka ditoko ayi ndumba banhieka, kimbakala ayi kikhieto mswa ayi luve lwawu badi mu kukwela ayi kuvanga dikanda, mu kukambu kanduku mu kibila ki mambu ma-tedi phila ndimba yi mkanda nhitu, evo mu kibila ki mambu matedi luswasunu lu bwisi-tsi, evo mu kibila ki matedi luswasunu lu zingwikukulu-mu-zinzambi. Ayi mu dikwela ayi mu mbanusunu dikwela, badi miswa dede.
16-01	Dikwela disi-ko, enati ba-veka, kikhieto na kimbakala basa di-tya ko.
16-02	Dikanda, thonono tsi ayi mvila-mvimba, bwawu, mswa didi mu kukaku kwidi luyalu.
17-00	LUTUMU-MSWA LUKUMI-KITSAMBWADI
17-00	Woso mutu, na veka evo mu mkangu, luve ayi mswa kadi mu kuvwa yandi nzo evo yandi khadi.
17-01	Kwisi mutu ko lenda yimunu nzo-andi feka voti khadi-andi veka.
18-00	LUTUMU-MSWA LUKUMI-KINANA
18-01	Woso mutu mswa ayi luve kadi ku kimpwanza ki mayindu, ki tsimtima ayi ki luwiluku; Mswa bewowo umvana luve kwidi woso mutu lu kubaluka mu luwiluku evo mu mayindu, na mu mbonosono luwiluku lwandi ayi mayindu mandi, va nafeka evo va mbo-yi-batu, nafeka voti na mbatzi-andi, mu zikhadulu, mu malongi evo mu tsambudulu ayi voti mu phila bipa.
19-00	LUTUMU-MSWA LUKUMI-KIVWA
19-01	Woso mutu midi na luve ayi mswa yi kimpwanza ki baka dyandi dibanza, yandi mbadulu ayi dyandi dituba, ayi bo-bwawu, widi na mswa ukhembo bundulu va yilu mabanza mandi evo widi luve lu kutomba madi mkinza mo kayamba ayi katyakisa, mu kukambu ku minkaka evo zindilu, mambu ayi mayindu mandi moso mu yoso kwandi phila mbemo.
20-00	LUTUMU-MSWA LUMAKUMWADI
20-00	Woso mutu widi na luve ayi mswa mu kimpwanza ki lubundunu ayi ki thwadi ayi badi-andi, kivimba ndembama ikinzuku.
20-01	Kwisi-ko mutu m<control>tisu mu ngolo kukota mu kithwadi.
21-00	LUTUMU-MSWA LUMAKUMWADI-KIMWEKA
21-00	Woso mutu widi mswa ayi luve lubyalu lu tsi-andi, mu bunafeka evo mu bumvwala.
21-01	Woso mutu widi na luve ayi mswa wo-wawu widi badi-andi mu kuba m<control>yadi.
21-02	Lutya lu basi-tsi lwawu dibandu di buyadi ayi bupfumu bu tsi; Ayi lutya bene lufwene kumonikinanga mu zivoti zikyedika mu tsi ayi zin<control>swekanga butinu ayi bwisi-tsi.
22-00	LUTUMU-MSWA LUMAKUMWADI-KIM<control>MWADI
22-01	Woso mutu, bukadi mwisi-tsi, widi mswa ayi luve kusikumu mu "seguransa social", ayi lenda kutomba mbanusunu-nzala yi matedi mu "economico", mu "social" ayi mu "cultural", va mbata lusadusu ayi nguvu yi tsi-andi, yi bukhomba bu tsi-andi ayi zitsi zimka, ayi dede luviakusu lu makanhi ma tsi-na-tsi.
23-00	LUTUMU-MSWA LUMAKUMWADI-KIN<control>TATU
23-00	Woso mutu widi na luve na mswa kusala kisalu, kusola kisalu kyandi mu kimpwanza, mu khikununu bufwanhi bwidi ayi kisalu bene ayi mbakulu-andi mu kisalu bene. Woso-kwa mutu widi<control>eso luve ayi mswa kukaku ku buphumbulu, voti kukaku ku bukhambu-b-kisalu.
23-01	Batu boso badi mswa ayi luve kubakila mbakulu ifwene ayi in<control>iedimina ayi kisalu kyawu.
23-02	Woso mutu n<control>salanga widi mswa kubaka mfutu uyedimina ayi kisalu kyandi, o un´fwana mu ku-i-zingisa naveka ayi mu kuzingisa dikanda dyandi, ti baka bubela, ay<control>eso mu lusadusu lu bukaku lu "protecsao social".
23-03	Woso-kwa mutu widi na mswa ayi luve kuvanga bimvuka ki thwadi bisadi evo "sindicatu", ayi badi-andi. Widi<control>eso mswa kukota mu kimvuka ki "sindicatu", phasi kanwanina-luzingu lwandi lu kisadi.
24-00	LUTUMU-MSWA LU MAKUMWADI-KIN<control>YA
24-01	Woso mutu widi mswa ayi luve lu tsakulu ayi lu phundulu im<control>nfutu mu thangu ifwene ayi phila kisalu kyandi.
25-00	LUTUMU LUMAKUMWADI-KIN<control>TANU
25-00	Woso mutu widi mswa ayi luve lu kunata phila luzingu lufwana, phila-mweka, mbakulu-andi iduka thanunu buvimpi, bote bwandi bunzingulu. Mbakulu-andi ifwana mbakulu bidya, mbakulu mvwatu, nzo, mbakulu mbukulu kimbevo. Ayi mu buya asyi mu pfwilulu n<control>nuni evo mkazi, ayi mu bununu, ay<control>eso mu phasi zi zimbisa bima byandi bioso, mu kukambu ku lutya lwandi feka, mutu-ewowo mswa thanunu yi kimvuka ki "seguransa social" kadi.
25-01	Mbutu ayi bwana-tsombi bifwene kusadusu mu phila-mka imbote. Ayi bana bam<control>butuka mu dikwela ayi bana bam<control>butuka mu nganda luve ayi mswa dede badi va thalu lusadusu lu kimvuka ki "protecsao social".
26-00	LUTUMU-MSWA LUMAKUMWADI-KIN<control>SAMBANU
26-00	Woso mutu widi mswa kulonga mkanda. Nzo-mkanda ifwene kuba ipholo, ayi mkutu nzo-mkanda itheti ban<control>tedilanga ti "ensino elementar". Nzo-mkanda yi "ensino elementar" ikwiku kwidi batu boso yidi. Nzo-mkanda yi "tecnico" ayi yi kwiyila kisalu evo "profissional" zifwene kuzibulumu muma moso, kwidi batu boso. Khotolo nzo-mkanda yi lukumu ifwene kwidi baboso dede makanhi mawu.
26-01	Nzo-mkanda ifwene kusongisa ayi kunatisa batu mu nzila bumutu-tungu, ayi mu khwetolo miswa ayi maluve ma kinvuka ki Zitsi Zibundana, mu kutwadisa batu mu nzila ngwizunu, mu nzila mlenvo ayi mu nzila bukhomba ayi bundembama.
26-02	Masya badi na luve lu kusobudila bana bawu phila nzo-mkanda bafwene.
27-00	LUTUMU-MSWA LUMAKUMWADI-KITSAMBWADI
27-00	Woso mutu widi mswa ayi luve mu kukota, mu lutya lwandi feka, mu kimvuka ki tsakulu va bundiku bwandi, mosi katomba nhienzi yi biphangula-biphangula ayi butomoso bu luzabu.
27-01	Batu boso badi luve lu kukaku um mamoso bansilanga-dyana matedi bisalu bidyela dyawu, bi bundwengi bwawu ayi bisona byawu.
28-00	LUTUMU-MSWA LUMAKUMWADI-KINANA
28-01	Woso mutu widi mswa ayi luve ku sya-dyana ti vadi phila ngyatusulu nza ilenda tumisa ayi vangisa miswa ayi maluve ma Ngyamukusu<control>eyiyi.
29-00	LUTUMU-MSWA LUMAKUMWADI-KIVWA
29-00	Woso mutu widi na zithumu zi-ka-fwene kusadila va meso ma bundiku bwandi, khinu kalendi baka-ko bu kukonzukila um bumutu-tungu bwandi.
29-01	Thumukunu miswa ayi maluve moso<control>emama yidi mu mkamba misiku mi luyalu, o min<control>nata-ntuala buzitu bu batu-i-batu, bunswa ayi buphwanza, ayi buvumi bu bifu-bi-mbote, ayi buvumi mu tsi i bu-"democracia".
29-02	Kanikito kusadila miswa ayi maluve moso<control>emama mu phila mweka ivyakasana ayi mabanza mangudi mandi, o ma kimvuka ki Zitsi Zibundana.
30-00	LUTUMU-MSWA LUMAKUMATATU
30-01	Kadi msiku wu NZA-NGYAMUKUSU<control>eyiyi ulenda vumbulu mu phumbudulu in<control>natisa tsi vo dingumba mu mavanga ma tholomono miswa ayi maluve bene.
