00-00	se gye in gweon seon eon
04-01	eoneu nugudo noyesangtae ddoneun yesogsangtaee nohyeojiji anihanda. modeun hyeongtaeyi noyejedowa noyemaemaeneun geumjidoenda.
05-00	je 5 jo
05-01	eoneu nugudo gomun, ddoneun janhoghageona biindojeogigeona gulyogjeogin ceou ddoneun hyeongbeoleul badji anihanda.
06-00	je 6 jo
06-01	modeun sarameun eodieseona beob ape inganeuroseo injeongbadeul gweonrireul gajinda.
07-00	je 7 jo
07-01	modeun sarameun beob ape pyeongdeunghamyeo eoddeohan cabyeoldo eobsi beobyi dongdeunghan bohoreul badeul gweonrireul gajinda. modeun sarameun i seoneone wibandoeneun eoddeohan cabyeolgwa geureohan cabyeolyi seondongeurobuteo dongdeunghan bohoreul badeul gweonrireul gajinda.
08-00	je 8 jo
08-01	modeun sarameun heonbeob ddoneun beobryuli buyeohan gibonjeog gweonrireul cimhaehaneun haengwie daehayeo gweonhanissneun gugnaebeobjeongeseo silhyoseong issneun gujereul badeul gweonrireul gajinda.
09-00	je 9 jo
09-01	eoneu nugudo jayijeogeuro cepo, gugeum ddoneun cubangdoeji anihanda.
10-00	je 10 jo
10-01	modeun sarameun jasinyi gweonri, yimu geurigo jasine daehan hyeongsasang hyeomyie daehan gyeoljeonge isseo dogribjeogimyeo gongpyeonghan beobjeongeseo wanjeonhi pyeongdeunghage gongjeonghago gonggaedoen jaepaneul badeul gweonrireul gajinda.
11-00	je 11 jo
11-00	modeun hyeongsapiyijaneun jasinyi byeonhoe pilyohan modeun geosi bojangdoen gonggae jaepaneseo beobryule ddara yujoero ibjeungdoel ddaeggaji mujoero cujeongbadeul gweonrireul gajinda.
11-01	eoneu nugudo haengwisie gugnaebeob ddoneun gugjebeobe yihayeo beomjoereul guseonghaji anihaneun jagwi ddoneun bujagwireul iyuro yujoero doeji anihanda. ddohan beomjoe haengwisie jeogyongdoel su isseossdeon hyeongbeolboda mugeoun hyeongbeoli bugwadoeji anihanda.
12-00	je 12 jo
12-01	eoneu nugudo geuyi sasaenghwal, gajeong, jugeo ddoneun tongsine daehayeo jayijeogin ganseobeul badgeona ddoneun geuyi myeongyewa myeongseonge daehan binaneul badji anihanda. modeun sarameun ireohan ganseobina binane daehayeo beobyi bohoreul badeul gweonrireul gajinda.
13-00	je 13 jo
13-00	modeun sarameun jagugnaeeseo idong mic geojuyi jayue daehan gweonrireul gajinda.
13-01	modeun sarameun jagugeul pohamhayeo eoddeohan narareul ddeonal gweonriwa ddohan jagugeuro dolaol gweonrireul gajinda.
14-00	je 14 jo
14-00	modeun sarameun baghaereul pihayeo dareun naraeseo bihoreul guhageona bihoreul badeul gweonrireul gajinda.
14-01	ireohan gweonrineun jinsilro bijeongcijeog beomjoe ddoneun gugjeyeonhabyi mogjeoggwa weoncige wibaedoeneun haengwiro inhayeo gisodoen gyeongueneun jujangdoel su eobsda.
15-00	je 15 jo
15-00	modeun sarameun gugjeogeul gajil gweonrireul gajinda.
15-01	eoneu nugudo jayijeogeuro jasinyi gugjeogeul bagtaldanghaji anihamyeo jasinyi gugjeogeul byeongyeonghal gweonriga buindoeji anihanda.
16-00	je 16 jo
16-00	seongin namnyeoneun injong, gugjeog ddoneun jonggyoe ddareun eoddeohan jehando eobsi honinhago gajeongeul irul gweonrireul gajinda. geudeuleun honine daehayeo, honingiganjung geurigo honinhaesosie dongdeunghan gweonrireul hyangyuhal jagyeogi issda.
16-01	honineun jangrae baeujadeulyi jayurobgo wanjeonhan dongyihaeseoman seongribdoenda.
16-02	gajeongeun sahoeyi jayeonjeogigo gicojeogin danwiimyeo, sahoewa guggayi bohoreul badeul gweonriga issda.
17-00	je 17 jo
17-00	modeun sarameun dandogeuro bbunman anira dareun saramgwa gongdongeuro jaesaneul soyuhal gweonrireul gajinda.
17-01	eoneu nugudo jayijeogeuro jasinyi jaesaneul bagtaldanghaji anihanda.
18-00	je 18 jo
18-01	modeun sarameun sasang, yangsim mic jonggyoyi jayue daehan gweonrireul gajinda. ireohan gweonrineun jonggyo ddoneun sinnyeomeul byeongyeonghal jayuwa, dandogeuro ddoneun dareun saramgwa gongdongeuro geurigo gongjeogeuro ddoneun sajeogeuro seongyo, haengsa, yebae mic yisige yihayeo jasinyi jonggyona sinnyeomeul pyomyeonghaneun jayureul pohamhanda.
19-00	je 19 jo
19-01	modeun sarameun yigyeonyi jayuwa pyohyeonyi jayue daehan gweonrireul gajinda. ireohan gweonrineun ganseobeobsi yigyeoneul gajil jayuwa guggyeonge gwangyeeobsi eoddeohan maecereul tonghaeseodo jeongbowa sasangeul cuguhago, eodeumyeo, jeondalhaneun jayureul pohamhanda.
20-00	je 20 jo
20-00	modeun sarameun pyeonghwajeogin jibhoe mic gyeolsayi jayue daehan gweonrireul gajinda.
20-01	eoneu nugudo eoddeon gyeolsae camyeohadorog gangyobadji anihanda.
21-00	je 21 jo
21-00	modeun sarameun jigjeob ddoneun jayuroi seonculdoen daepyoreul tonghayeo jagugyi jeongbue camyeohal gweonrireul gajinda.
21-01	modeun sarameun jagugeseo dongdeunghan gongmudamimgweoneul gajinda.
21-02	gugminyi yisaga jeongbu gweonneungyi gibanida. ireohan yisaneun botong·pyeongdeung seongeogweone ddara bimil ddoneun geue sangdanghan jayu tupyojeolcae yihan jeonggijeogigo jinjeonghan seongeoe yihayeo pyohyeondoenda.
22-00	je 22 jo
22-01	modeun sarameun sahoeyi ilweoneuroseo sahoebojangeul badeul gweonrireul gajimyeo, guggajeog noryeoggwa gugjejeog hyeobryeogeul tonghayeo, geurigo gag guggayi jojiggwa jaweone ddaraseo jasinyi joneomgwa ingyeogyi jayuroun baljeone bulgagyeolhan gyeongjejeog, sahoejeog mic munhwajeog gweonrideuleul silhyeonhal gweonrireul gajinda.
23-00	je 23 jo
23-00	modeun sarameun il, jigeobyi jayuroun seontaeg, jeongdanghago yurihan nodong jogeon, geurigo sileobe daehan bohoyi gweonrireul gajinda.
23-01	modeun sarameun amureon cabyeoleobsi dongilhan nodonge daehayeo dongdeunghan bosureul badeul gweonrireul gajinda.
23-02	nodongeul haneun modeun sarameun jasingwa gajogege inganyi joneome buhabhaneun saengjoneul bojanghamyeo, pilyohan gyeongue dareun sahoebojangbangbeobeuro bocungdoeneun jeongdanghago yurihan bosue daehan gweonrireul gajinda.
23-03	modeun sarameun jasinyi iigeul bohohagi wihayeo nodongjohabeul gyeolseonghago, gaibhal gweonrireul gajinda.
24-00	je 24 jo
24-01	modeun sarameun nodongsiganyi habrijeog jehangwa jeonggijeogin yugeubhyugareul pohamhayeo hyusiggwa yeogayi gweonrireul gajinda.
25-00	je 25 jo
25-00	modeun sarameun yisigju, yiryo mic pilyohan sahoebogjireul pohamhayeo jasingwa gajogyi geonganggwa annyeonge jeoghabhan saenghwalsujuneul nuril gweonriwa, sileob, jilbyeong, jangae, baeuja samang, noryeong ddoneun gita bulgahangryeogyi sanghwangeuro inhan saenggye gyeolpibyi gyeongue bojangeul badeul gweonrireul gajinda.
25-01	eomeoniwa adongeun teugbyeolhan bohowa jiweoneul badeul gweonrireul gajinda. modeun adongeun jeogseoe gwangyeeobsi dongilhan sahoejeog bohoreul nurinda.
26-00	je 26 jo
26-00	modeun sarameun gyoyugeul badeul gweonrireul gajinda. gyoyugeun coesohan codeung mic gicodangyeeseoneun musangieoya handa. codeunggyoyugeun yimujeogieoya handa. gisul mic jigeobgyoyugeun ilbanjeogeuro jeobgeuni ganeunghayeoya hamyeo, godeunggyoyugeun modeun saramege silryeoge geungeohayeo dongdeunghage jeobgeun ganeunghayeoya handa.
26-01	gyoyugeun ingyeogyi wanjeonhan baljeongwa ingweongwa gibonjeog jayue daehan jonjungyi ganghwareul mogpyoro handa. gyoyugeun modeun gugga, injong ddoneun jonggyo jibdangane ihae, gwanyong mic uyireul jeungjinhamyeo, pyeonghwayi yujireul wihan gugjeyeonhabyi hwaldongeul cogjinhayeoya handa.
26-02	bumoneun janyeoege jegongdoeneun gyoyugyi jongryureul seontaeghal useongweoneul gajinda.
27-00	je 27 jo
27-00	modeun sarameun gongdongceyi munhwasaenghwale jayurobge camyeohamyeo yesuleul hyangyuhago gwahagyi baljeongwa geu hyetaegeul gongyuhal gweonrireul gajinda.
27-01	modeun sarameun jasini cangjaghan gwahagjeog, munhagjeog ddoneun yesuljeog sanmulrobuteo balsaenghaneun jeongsinjeog, muljiljeog iigeul bohobadeul gweonrireul gajinda.
28-00	je 28 jo
28-01	modeun sarameun i seoneone gyujeongdoen gweonriwa jayuga wanjeonhi silhyeondoel su issdorog sahoejeog, gugjejeog jilseoe daehan gweonrireul gajinda.
29-00	je 29 jo
29-00	modeun sarameun geu aneseoman jasinyi ingyeogi jayurobgo wanjeonhage baljeonhal su issneun gongdongcee daehayeo yimureul gajinda.
29-01	modeun sarameun jasinyi gweonriwa jayureul haengsahame isseo, dareun saramyi gweonriwa jayureul dangyeonhi injeonghago jonjunghadorog hagi wihan mogjeoggwa, minjusahoeyi dodeog, gonggongjilseo mic ilbanjeog bogrie daehan jeongdanghan pilyoe bueunghagi wihan mogjeogeul wihaeseoman beobe ddara jeonghayeojin jehaneul badneunda.
29-02	ireohan gweonriwa jayuneun eoddeohan gyeonguedo gugjeyeonhabyi mogjeoggwa weoncige wibaedoeeo haengsadoeeoseoneun anidoenda.
30-00	je 30 jo
30-01	i seoneonyi eoddeohan gyujeongdo eoddeon gugga, jibdan ddoneun gaeinege i seoneone gyujeongdoen eoddeohan gweonriwa jayureul pagoehagi wihan hwaldonge gadamhageona ddoneun haengwireul hal su issneun gweonriga issneun geoseuro haeseogdoeeoseoneun anidoenda.
