00-00	nigvnadv diganotsalanvi aniyvwi unihv iyunadvdii
10-01	nigadv aniyvwi uniha unadanidlanvi nasgi ukalitsvhi itsulahaquono iyunadvnedi unihi nasgi duyugodv ale ayeli gegadvdasdodi nasgino unadatselida ale unaligohi nigesvna tsunadayilidasdi, nahna nasgi danvgotanidohvgi nasgi unihv utseli ale unadadudalvhvsgv ale nigav asganvtsv aguhisdv utludisgi.
11-00	ayadolv 11
11-00	nigadv aniyvwi geguhistanv utloyasdi usdvdisgi usganvtsvi uhesdi nasgi unihv duyugodv dohiyuhiya nasganvna gilano anohiyutanv usganvtsvi nigvnv dikahnawadvsdi nahnai ayetli danadayelidohvgi nasgino dunidoisdanelvgi nasgi uhvgi nigada nasgina iyulisdodi agadisvsdisgvgi.
11-01	tlagiloi wudagonadvi atsiniyvdi usganvtsv nigav usdvdisgi usganvtsvi unai adudalvdi nigav ulinetsv ale galidastanv nasgino tla dilasitanv usdvdisgi usganvtsvi, hawiniditlv ayeli unadotlvsv ale ayeli dunadotlvsv dikahnawadvsdi, nasgi nayui atliilissv udasganvtselvgi. vtlano wudagonadv gagediyuquono usdvdisgi nasgi tsudugodanedi esgaquo nasgi saquo nasgi didolagi nayui atliilissv usdvdisgi usganvtsvi nayugesv nvdvnelvgi.
12-00	ayadolv 12
12-01	tlagiloi wudagonadvi asequuquu tsagugodanedi alisalanedi uligohi nasgi udelida, sidanelv, uquenvsv ale danadadvgodisgv, vtla digatilvsdi galvquododi gesv ale agadanvtediyi. nigadv aniyvwi unihv duyugodv gvwanisdelvdodi gesesdi nasgi atludisgi dikahnawadvsdi gohusdi alisalanedi ale digatilvsdi.
13-00	ayadolv 13
13-00	nigadv aniyvwi unihv nasgi duyugodv dohi adedii nai adanvsidasdii ale daninelvgi hawiniditlv nasgi datlohisdvi nai saquoha sgadugi.
13-01	nigadv aniyvwi unihv nasgi duyugodv unigisdi nigavquo ayeli nigvnadvi, utloyasdi uwasa utseli evi, ale igaluhisdi unai uwasa utseli ayeli nigvnadvi.
14-00	ayadolv 14
14-00	nigadv aniyvwi unihv nasgi duyugodv uniyohvgi ale ulihelisdodi nahna soi ayetli nigvnadvi ulisgasdotanilvhi nasgina atsisdvdisdisgvgi.
14-01	hiinai unihv duyugodv tla eliquu yigvnasehisdi nasgi daliyilidohv doyuno degetsisdvhvsgvgi nasgina didalenisgv gvnigvgv-adogiyadv ugvwali usganvtsvi ale nasgina dikahnawadvsdi alisganesgi ugvwali ale asgoliyv nasgi unadadudewidv ayeli.
15-00	ayadolv 15
15-00	nigadv aniyvwi unihv nasgi duyugodv ayeli anehi iyunalisdodii.
15-01	tlagiloi wudagonadvhi asequuquu unadayilvgi utseli ayeli iyulisdodi vtlano unadayilvgi nasgi uhvgi duyugodvi nasgi unetliyvsdi ayeli iyulisdodii.
16-00	ayadolv 16
16-00	anisgaya ale anigeya kali agayvli, nutloyasdvna nigav nvniyoisdanehvna nidigalisdodisgv nai nvnadale aniyvwi, ayeli nidayunilosv ale tsunanelidi, unihv nasgi duyugodv yunadvnedi nai degegatsvsdisgv ale sidanelv nidayunadalenvi. nasgino uniha unadanitlonv nai itsulahaquono iyunadvnedi unihv nasgi digegatsvsdodii, nayu digegatsvsdisgvgi ale nasginai danagalenisgvgi.
16-01	digegatsvsdisgv udohiyuhi ayvlvgi yulisdodi nanahi uwasa nasgi utloyasdi nududalvna ale kalii osiyu uyelvnvhi nai advnvisdisgv dinineli yulisdodii.
16-02	nasgino sidanelv nigvwasdv nvsdv ale dunalasidv unadatlugv saquo yvwi ale nasgi unadanitlonv gvwanisdelvhidohi nasginai yvwi ale nasgi sgadugi.
17-00	ayadolv 17
17-00	nigadv aniyvwi unihv nasgi duyugodv uwasa tsugvwalodi unatseli iyulisdodii nasgiyano nai tsunaligodi anisoi unatloyasdi.
17-01	tlagiloi wudagonadvhi asequuquu unadayilvgi nasgi unatseli yulisdodi tsugvwalodi uhvi.
18-00	ayadolv 18
18-01	nigadv aniyvwi unihv nasgi duyugodv nai dohiquo unadedii, tsunugododiyi ale tsunanelidi; hia unihv duyugodv atloyasdi dohi adedii nasquo ganetliyvsdi uhvi tsunelidi gesv ale uwohiyusvi, ale dohi adedii, itsulaquo uwasv ale nahnai dunidusvgi utloyasdi soi ale nahnai yvwi unadasdii ale udelida, dunalasidv unihv tsunanelidi ale unohiyusvgi nahna danadeyohvsgv, analisinahisdisgv, anadadolisdisgv ale agasestanvgi.
19-00	ayadolv 19
19-01	nigadv aniyvwi unihv nasgi duyugodv dohiquo adedii nasgi golitsvi ale utlinetsvi; hia duyugodv unihv duyugodv atloyasdi dohi adedii usvgalesdi nusdv goligvi nvtloyasdisgvna nadayosdanehvna ale uniyohvgi, anigisdi ale wadanediyi gvnigesv igvwanedi ale adanvtesgv agadvlistanv nigav kanoheda unadigaleyasdi ale yinigalisdiquo unai asdanvnv ditlilodv.
20-00	ayadolv 20
20-00	nigadv aniyvwi unihv nasgi duyugodv dohiquo adedii dohi adedii nasgi nvwadohiyadvquo danilawigv ale unaligosvi.
20-01	tlagiloi yeliquo ududalvdi udotsalvdi nasgi tsuligodiyi.
21-00	ayadolv 21
21-00	nigadv aniyvwi unihv nasgi duyugodv unateladisdi nahna ayeli udotlvsv nasgi ayeli nigvnadvi hehvi, tsiyudiquo ale agadvlistanv nududalvnaquo anasuyesgv dinilawigi.
21-01	nigadv aniyvwi unihv nasgi duyugodv itsulahaquono ayvsdodi unai ayeli iyunadadvnedi nahnai utseli ayeli nigvnadvi.
21-02	nasgino advnvisdv nasgi aniyvwi udohiyuhi nasgi ayeli udotlvsv usvgalesdi ayeli udotlvsv; hia advnvisdv udohiyusv utlinetsv nahna iyudaliha ale doyuno tsunadasuyesdi nasgino udohiyuhi nasgi nigvnadv ale itsulahaquono unvsa iyunadvnedi unehvi ale udohiyuhi unasvgatlv udelidv unineisdi gesesdi ale nasgi utloyiquo nududalvna kaneisdi ahilvsdiyi.
22-00	ayadolv 22
22-01	nigadv aniyvwi, nasgi anela gesv yvwi, unihv nasgi duyugodv nasgi watsini adudalvdi ale unadanidlanvi nasgi adadotlisdi, agadvlistanv ayeli unadotlvsv anelvdisgvgi ale ayeli dunadotlvsv unaligosv-uligohi ale nasgi nigvnv uligohi nasgi tsunadotlvnonvhi ale tsugvwalodi unai nigada sgadugi, nasgi alasinvdodi, yvwi ale unihv iyunadvnelidi duyugodvi iyulisdodi nasgina uhv atlvquododi ale nasgi uhv udanvtidii nasgi asequu udoluwadvhvgi.
23-00	ayadolv 23
23-00	nigadv aniyvwi unihv nasgi duyugodv digalvwisdanedi, ududaleda usuyesdi digetsinatlvdii, nai osda ale asuyestanv dunalasidvgi digalvwisdanedi ale disdelisgi nasgina digetsinatlvdii nigasvna.
23-01	nigadv aniyvwi, nigav adadvyutsedi nigasvna, unihv nasgi duyugodv idigadi agaguyvehvi nasgina idigadi digalvwisdanedi.
23-02	nigadv aniyvwi nasgina tsunilvwisdanehi unihv duyugodv nasgi osda ale asuyestanv gegaguyvediyi gesvi asdawadvsdi nasgina uwasvquo ale sidanelv niduwanvgi nano anehvi tsugvwalodiya nai aniyvwi atlvquododi, ale ganequoda, yinigalisdiquo, nasgino soi unalisdelvwadodi nasgi yvwi dinisdelisgi.
23-03	nigadv aniyvwi unihv nasgi duyugodv unadotlvdi ale nasgi unateladisdi dinatisgi saquu unaligohi nasgina dinisdelisgi utselii kanequogi gesvi.
24-00	ayadolv 24
24-01	nigadv aniyvwi unihv nasgi duyugodv utsawesolvsdodi ale doi nvdvnvgi digalvwisdanedi, utloyasdi nulosvsdvna aselvgi iyutliloda dunilvwisdanehv ale iyudaliquu tsunilvwisdanedi nigesvna iga nasgi agaquiyvhehv utloyasdi.
25-00	ayadolv 25
25-00	nigadv aniyvwi unihv nasgi duyugodv ayelv nudvhnadegv ulenidohv eliiga utloyiquo yulisdodi ale osdv-nvdvnadegv uwasa ale sidanelvi duwakahvgi, utloyasdi alisdayvti, dihnawo, galitsode ale ganotlvginvwoti agasesdodii ale yinigalisdi yvwi dinisdelvhido atsisdelvdii, ale nasgi unihesdi nai atsisdelvdi nayui nasgi nigalistanidohv nasgi digetsinatlvdii nigasvna, utlvtsiyesgi, digvwalvwisdanedi nigesvna, agayvli, ale soi galulogvgi nasgi digalvwisdanedi digalvwisdanedi uhvgi nayui nigalistanidohvi ulosvstanv agetadisdi nigesvna.
25-01	udatsii ale diniyoli unihv unadanidlanvi utselidv gegagasesdodi ale getsisdelvdii. nigav diniyotli, iyuno degegatsvstanvgi ale degegatsvstanvgi nigesvna yigi udenvgi, wudagonadv alihelisdi nasgi utloyi yvwi dinisdelisgi.
26-00	ayadolv 26
26-00	nigadv aniyvwi unihv nasgi duyugodv tsunadeloquasdi. tsunadeloquasdi wudagonadvhi asequui, elisdino nasgi adalenisgvgi ale nugvwiyusv dilasidodi wadasetlvgi. adalenisgvgi tsunadeloquasdi wudagonadvhi adudalvdi gesesdi. ahilvsdiyi ale agatanai iyudvnedi tsunadeloquasdi wudagonadvhi yulisdodi nigavquu udotlvnvgi advnvistanvgi ale wagalvladiyv tsunadeloquasdi wudagonadvhi yulisdodi idigagati gvyvsdi gesvi nasgi nigeda alenvtanv nusdv wadvnedii.
26-01	tsunadeloquasdi wudagonadvhi yulisdodi adasehelv nasgi kalii dunatloluwadvhv nasgi aniyvwi uwasvhiquuno ale nasgi nidulanigvgv gohiyudi nasgina aniyvwi unihv nasgi duyugodv ale nugvwiyusv dilasidodi dohi adedii. unihesdi gvnigesv nigvnvgi golisdii, alisgolidige ale olii nunadvnv nigada ayeli dunadotlvsv, tsunadalenvda aniyvwi ale tsunanelvdi dunadatlogv, ale wididitlv wudagonadv nasgi alinigvnedii nasgi unadadudewidv ayeli nasginano unisquanigodo nvwadohiyadv.
26-02	tsunadagayvlige uniha tsuwagutanvsv duyugodv unihv unasuyesdi nasgi iyusdi tsunadeloquasdi nasgi wudagonadvhi yulisdodi atsinidi nasgi dudatinavi.
27-00	ayadolv 27
27-00	nigadv aniyvwi unihv nasgi duyugodv nududalvnaquo uweladidasdi nahnai unalenidasdi gesv analenidohoi nasgi unidusvgi, nai alihelisdi nasgi gotlvnvnv ale adayotaedi nahnai nasinasvgi aliyilegvgi ale nasgi unalisdelvdodi.
27-01	nigadv aniyvwi unihv nasgi duyugodv getsisdelvdi nasgi agadanvtedi ale gvdanidasdi asdawidvsdi nasgina nigav winigalistanihihvgi nasinasvgi, agatahv goweli ale unotlvnvsgi unotlvnvnv nasgi tsuwowelanvhi.
28-00	ayadolv 28
28-01	nigadv aniyvwi uniha unadanidlanvi nasgi unadatlisahvgi ale ayeli dunadotlvsv dilasidodi nahna nasgino duyugodvgi ale dohi tsunadedii gasadoyv gakanvgi nahnai hia diganotsalanvi naquono kalii adelahosvi.
29-00	ayadolv 29
29-00	nigadv aniyvwi iyudvnedi unihvgi nasgi unidusvgi nahnai nasgino uwasv nududalvna ale akali dunatloluwadvhv uwasvhiquuno utseli nasgi heliquu yigvwalisdodi.
29-01	nasgino anvdisgv unihv nasgi duyugodv iyunadvnedi ale dohi tsunadedii, nigadv aniyvwi unalisgasdv nasgi degugotanv dikahnadvsdi unvsvhiyu nasgina iyuyelvdv galosohvsgi uwasa iyusdi diganiyvdodi nidigalisdodisgv didanilvtsvgi ale gohiyudi nasgina unihv nasgi duyugodv ale dohi tsunadedii nasgi soi ale danatlosgvgi nasquo asei iyadvnedi nasgi duyugodv iyadvdi, yvwi adanvwisdisgi ale nasgi nigadaquu unalisdelvtanidasdi nahnai yvwi unatselidv unadotlvhi.
29-02	hia unihv nasgi duyugodv ale dohi tsunadedii eliquu nahna tla yunihesdi adayilidasdi unvdisgvgi alisganesgi nasgi nvyelvdv ale unalisgoliyv nasgi unai unadadudewidv ayeli dunadotlvsv.
30-00	ayadolv 30
30-01	hia nigvnanv diganotsalanvi eliquu yananetlvda nasgi nanelisgvgi nasgina nigav sgadugi, unadatlisahv ale giloquo nigav unihv nasgi duyugodv danadanetsedi nahna nigav alinigvnedii ale nasgino unihv nasgi duyugodv iyadvnedi ale dohi adedii gakanv ahaniquo nai nigav digvgotanv iyadvnedi nasgi uniyosdodii.
