00-00	Adam Ukuktarynyn Zhalpy Deklaratsiyasy
01-01	Bardyk adamdar oz bedelinde zhana ukuktarynda erkin zhana ten ukuktuu bolup zharalat. Alardyn an-sezimi menen abiyiri bar zhana biri-birine bir tuugandyk mamilekyluuga tiyish.
02-00	2-statya
02-01	Ar bir adam rasasyna, terisinin tusuno , zhynysyna, tiline, dinine, sayasy zhe bashka ynanymdaryna, uluttuk zhe sotsialdyk negizine, mulkuno, tek-zhaiynazhe bashka abalynyn aiyrmachylyktaryna karabastan, ushul Deklaratsiya arkyluu zharyyalangan bardyk ukuktar menen erkindikterge ee boluuga tiyish.
02-02	Andan tyshkary, adam zhashagan aimaktyn koz karandy emestigine, kozomolgo alyngandygyna, ozun-ozu bashkarbagandygyna zhe egemendigindegi kandaidyr-bir chektoo lo rgo karabastan alolkonunzhe aimaktyn sayasy, ukuktukzhe elaralyk statusunun negizinde echkandai aiyrmachylyktar boluuga tiyish emes.
03-00	3-statya
03-01	Ar bir adam zhashoogo, erkindikke zhana zheke kol tiybestikke ukuktuu.
04-00	4-statya
04-01	Ech kim kulchulukta zhe erksiz abalda boluuga tiyish emes; kulchuluk menen kul satuuchuluktun bardyk turloruno tyyuu salynat.
05-00	5-statya
05-01	Ech kim kyinoolorgo zhe yraiymsyz, adamkerchiliksiz zhe anyn bedelin tushuruuchu mamilege zhana zhazaloogo duushar bolboogo tiyish.
06-00	6-statya
06-01	Kaisy gana zherde bolbosun ar bir adam ozunun ukukka ee subekt ekendiginin taanylyshyna ukuktuu.
07-00	7-statya
07-01	Bardyk adamdar myizam aldynda ten zhana ech kandai aiyrmaloosuz myizam tarabynan birdei korgoluuga ukuktuu. Bardyk adamdar ushul Deklaratsiyany buzgan diskriminatsiyaloonun bardyk turlorunon zhana myndai diskriminatsiyaloogo chakyrgan bardyk tukuruulardan birdei korgoluuga ukuktuu.
08-00	8-statya
08-01	Ar bir adam, aga konstitutsiya zhana myizam tarabynan berilgen negizgi ukuktary buzulgan uchurlarda kompetentuu uluttuk sottor tarabynan ukuktaryn toluk kalybyna keltiruu ukuguna ee.
09-00	9-statya
09-01	Ech kim eenbashtyk menen kamakka alynuuga, karmaluuga zhe kuuguntuktaluuga tiyish emes.
10-00	10-statya
10-01	Ar bir adam oz ukuktary menen mildettenmelerin anyktoo uchun zhana aga koyulgan kylmysh zhoopkerchiliginin negizdu ulugun anyktoo uchun toluk ten diktin negizinde anyn ishi maalymduu turdo zhana koz karandy emes zhana kalys sot tarabynan zhana adilettu uluktun bardyk talaptaryn saktoo menen karalyshyna zhetishu ugoukuktuu.
11-00	11-statya
11-00	Kylmysh zhasady dep kunoolongon ar bir adam anyn kunoosu myizamduu tartipte sottuk maalymduu terishtiruu zholu menen belgilenmeiinche kunoosuz dep eseptelu ugo ukuktuu, munu menen birge aga korgonuu uchun bardyk mumkunchuluktor kamsyz kylynat.
11-01	Kandaidyr-bir kylmysh zhasalgan uchurda al uluttuk myizamdar zhe elaralyk ukukboyuncha kylmysh ishi bolup sanalbagan bardyk kylmyshtyk araketterdi zhasagandygy zhe araketsizdigi uchunech kim zhazalanuuga tiyish emes. Kylmysh zhasalgan kezde koldonulushu mumkun bolgondon dagy oor zhaza koldonulushu mumkun emes.
12-00	12-statya
12-01	Ech kim anyn zheke zhana ui-buloluk turmushuna eenbashtyk menen kiyligishu ugo, anyn turak zhaiynyn kol tiybestigine, anyn kat-kabarlarynyn zhashyruunduguna zheanyn namysyna zhana kadyr-barkyna eenbashtyk menen kol saluuga duushar bolushu mu mku n emes. Ar bir adam myndai kiyligishuu don zhe ushundai kol saluudan myizam tarabynan korgoluuga ukuktuu.
13-00	13-statya
13-00	Ar bir adam ar bir mamlekettin cheginde een-erkin zhuruugo zhana ozuno zhashai turgan zher tandap aluuga ukuktuu.
13-01	Ar bir adam oz olkosun koshup alganda, bardyk olkodon chygyp ketuugo, zhana oz olkosuno kaityp keluugo ukuktuu.
14-00	14-statya
14-00	Ar bir adam kuuguntukka alynganda bashka olkolordon bash kalkaloo izdo o go zhana any paidalanuuga ukuktuu.
14-01	Bul ukuk chyndygynda sayasy emes kylmysh zhe Birikken Uluttar Uyumunun maksattary menen printsipterine karama-karshy kelgen ish kylgandygy uchun kuuguntuktalgan uchurda paidalanylyshy mumkun emes.
15-00	15-statya
15-00	Ar bir adam grazhdandyk aluuga ukuktuu.
15-01	Ech kim oz grazhdandygynan zhe oz grazhdandygyn ozgortuu ukugunan eenbashtyk menen azhyratylbait.
16-00	16-statya
16-00	Boigo zhetken erkekter zhana ayaldar rasalyk, uluttuk zhe dindik belgileri boyuncha ech kandai chektoolorsuz nikege turup zhana ui-bulokutuugo ukuktuu. Alar nikege turganda, nikede bolgon uchurda zhana any buzuu uchurunda birdei ukuktarga ee.
16-01	Nikege turup zhatkan eki taraptyn ten erkin zhana toluk makuldugu menen gana nike tuzulushu mumkun.
16-02	ui-bu lo koomdun tabigyi zhana negizgi uyutkusu bolup sanalat zhana koom menen mamleket tarabynan korgoluuga ukuktuu.
17-00	17-statya
17-00	Ar bir adam zheke ozu, oshondoi ele bashka biro olor menen birge mulkko ee boluuga ukuktuu.
17-01	Ech kim oz mulkunon eenbashtyk menen azhyratyluuga tiyish emes.
17-02	Ata-eneler ozdorunun zhash baldaryna bilim beruu zholun tan dap aluuda negizgi ukukka ee.
18-00	18-statya
18-01	Ar bir adam oi, yiman, din erkindikterine ukuktuu; bul ukuk oz dinin zhe ynanymyn erkinche ozgortuunu zhana zheke ozu, oshondoi ele bashkalar menen birge kaalagan dinin tutuu zhe ynanuu erkindigin el menen birge zhe zheke ozuncho dindi uironuunu, kudaiga syiynuunu zhana dindik zhorolgoluu yrasymdardy atkaruunu kamtyit.
19-00	19-statya
19-01	Ar bir adam ynanymda boluu erkindigine zhana any erkin bildiruu ukuguna ee; bul ukuk oz ynanymynda toskoolsuz bekem turuunu zhana mamlekettik chek aralarga karabastan maalymatty zhana ideyalardy kandai gana bolbosun karazhattar menen izdoo, kabyl aluu zhana taratuu erkindigin kamtyit.
20-00	20-statya
20-00	Ar bir adam tynch chogulushtar menen assotsiatsiyalar erkindigine ukuktuu.
20-01	Ech kim mazhburloo menen kandaidyr-bir asssotsiatsiyaga kiruugo tiyish emes.
21-00	21-statya
21-00	Ar bir adam oz olkosun tuzdon-tuz zhe erkin turdo shailangan okuldo r arkyluu bashkaruuga katyshuuga ukuktuu.
21-01	Ar bir adam oz olko sundo mamlekettik kyzmatka birdei zhetishuu ukuguna ee.
21-02	Eldin erki okmottuk biyliktin negizi boluuga tiyish; bul erk mezgil-mezgili menen otkorulup turgan zhana zhasalmalanbagan shailoolordon bilinu ugo tiyish, al shailoolor zhalpy zhana birdei shailoo ukuktary bolgondo, zhashyruun dobush beruu zholu menen zhe dobush beruunun erkindigin kamsyz kylgan bashka ar kandai formalary arkyluu zhurguzuluugo tiyish.
22-00	22-statya
22-01	Koomdun muchosu katary ar bir adam sotsialdyk zhaktan kamsyz boluuga zhana ozunun kadyr-barkyn saktoo zhana insandygynyn erkin onugushuuchun zaryl bolgon ekonomikalyk, sotsialdyk zhana madany tarmaktardagy ukuktarga uluttuk kuch-araketter menen elaralyk kyzmattashtyktar arkyluu zhana ar bir mamlekettin strukturasy menen resurstaryna ylaiyk ee boluuga ukuktuu.
23-00	23-statya
23-00	Ar bir adam emgektenu ugo, ishti erkin tan dap aluuga, emgektin adilettuu zhana ylaiyktuu sharttaryna ee boluuga zhana zhumushsuzduktan korgoluuga ukuktuu.
23-01	Ar bir adam kandaidyr-bir kemsintu ulorsuz birdei emgekuchun birdei aky aluuga ukuktuu.
23-02	Ar bir ishtegen adam anyn ozu zhana ui-bulosuuchun adamdyn tatyktuu zhashoosun kamsyz kyla turgan adilettuu zhana kanaattandyraarlyk, oshondoi ele zaryl bolgondo, sotsialdyk kamsyz kyluunun bashka karazhattary menen toluktala turgan aky aluuga ukuktuu.
23-03	Ar bir adam kesipchilik soyuzdardy tuzuugo zhana oz talamdaryn korgoo uchun kesipchilik soyuzdarga kiruugo ukuktuu.
24-00	24-statya
24-01	Ar bir adam es aluuga zhana bosh ubakytka ee boluuga ukuktuu, anyn ichine zhumush kunun akylga syyarlyk chektoo zhana aky tolonuuchu mezgil-mezgili menen otpusk aluu ukugu kiret.
25-00	25-statya
25-00	Ar bir adam tamak-ashty, kiyim-kecheni, turak zhaidy, meditsinalyk teiloonu zhana zaryl sotsialdyk zhaktan teiloonu koshup alganda ozunun zhana ui-bulosunun den soolugu menen zhyrgalchylygyn kamsyz kyluu uchun zaryl bolgon turmushtuk dengeelge ukuktuu zhana zhumushsuz bolup kalganda, oorup, maiyp bolup, zhesir kalganda, karyganda zhe ozuno bailanyshtuu bolbogon sebepter menen zhan saktoo karazhattarynan airylganda kamsyz boluuga ukuktuu.
25-01	Enelik zhana balalyk ozgocho kamkorduk koruugo zhana zhardam aluuga ukuk bere. Nikeden zhe nikesiz torolgon bardyk baldar birdei sotsialdyk korgoodon paidalanuuga tiyish.
26-00	26-statya
26-00	Ar bir adam bilim aluuga ukuktuu. Bilim beruu, zhok degende bashtalgych zhana zhalpy bilim aluu akysyz boluuga tiyish. Bashtalgych bilim beruu mildettuu boluuga tiyish. Tekhnikalyk zhana kesiptik bilim zhalpyga zhetkiliktu u boluuga tiyish zhana zhogorku bilim da ar bir adamdyn zhondomduu luktorunun negizinde bardyk uchun birdei zhetkiliktuu boluuga tiyish.
26-01	Bilim aluu adam insanyn toluk onukturuugo zhana adam ukuktary menen negizgi erkindikterin urmattoonu arttyruuga bagyttaluuga tiyish. Bilim aluu bardyk elderdin, rasalyk zhana dindik toptordun ortosunda oz aratushunu shuugo, sabyrduulukka zhana dostukka komoktoshuugo zhana tynchtykty saktap turuu boyuncha Birikken Uluttar Uyumunun ishmerdigine komoktoshuugo tiyish.
27-00	27-statya
27-00	Ar bir adam koomdun madany turmushuna erkin katyshuuga, korkom onordon yrakat aluuga, ilimy progresske katyshuuga zhana anyn zhyrgalchylyktarynan paidalanuuga ukuktuu.
27-01	Ar bir adam avtoru bolup eseptelgen ilimy, adaby zhe korkom emgekterdin natyizhalary bolup sanalgan anyn moraldyk zhana materialdyk talamdarynyn korgolushuna ukuktuu.
28-00	28-statya
28-01	Ar bir adam ushul Deklaratsiyada aitylgan ukuktar menen erkindikter toluk ishke ashyshy mumkun bolgon sotsialdyk zhana elaralyk tartipke ukuktuu.
29-00	29-statya
29-00	Ar bir adam ozunun insanynyn erkin zhana toluk onugushu mumkun bolgon koomdun aldynda mildettuu.
29-01	Oz ukuktary menen erkindikterin ish zhuzuno ashyruuda ar bir adam bashkalardyn ukuktary menen erkindikterin tiyishtuu turdo taanuunu zhana urmattoonu kamsyz kyluu zhana demokratiyalyk koomdo moraldyn, koomduk tartiptin zhana zhalpy zhyrgalchylyktyn adilettuu talaptaryn kanaattandyruu maksatynda gana myizam tarabynan belgilengen chekto olorgo gana duushar bolushu mumkun.
29-02	Bul ukuktar menen erkindikterdi ish zhuzuno ashyruu Birikken Uluttar Uyumunun maksattaryna zhana printsipterine ech kandai karama-karshy keluu gotiyish emes.
30-00	30-statya
30-01	Ushul Deklaratsiyadagy ech bir nerse kaisy-bir mamleketke, adamdardyn tobuna zhe airym adamdarga ushul Deklaratsiyada bayandalgan ukuktardy zhana erkindikterdi zhok kyluuga bagyttalgan kandaidyr-bir ishterdi zhurguzuugo zhe araketterdi zhasoogo ukuk beruu katary tushundurulboshu kerek.
