00-00	AKUeJIA SUeKUA'IPA SUeCHIKI SUeJUTU WAYUU SA'U MMAKAT
17-00	Napueshua naa wayuukana eeshi suepuela kakoroloin naya, otta muesueya kakorolojirain nama waima wayuu.
17-01	Nnojotsue suepuela suesuetuenuein mojuetoule nuekorolo wane wayuu.
18-00	SHI'IPAJANA PO'LOO MEKIISALUeMUeIN (18)
18-01	Naa wayuukana eeshi suepuela taashi akua'ipa suepueleerua ano'uja, otta muesueya e'itana na'in suenain kasa anakat napueleerua.
19-00	SHI'IPAJANA PO'LOO MEKIETSALUeMUeIN (19)
19-01	Naa wayuukanairua eeshi suepuela taashi akua'ipa suenain yootoo suechiki tueue kasa nekiiru'ukana nnojolueinjana suesalajanain aashajawaa suema aapajana wane kasa achiki suepuela nuelu'uwata'in shia suepuela saapajuenuein epuenaweere shia nuelu'uwata'in achiki.
20-00	SHI'IPAJANA PIAMA SHIKII (20)
20-00	Naa wayuukana eeshi suepuela taashi akua'ipa suepuela a'inraa wane jutkataa jee muesueya kottirawa suelu'u mausii.
20-01	Nnojotsue suepuela achechetnuein a'in wane wayuu suenain suepushi wane jutkataa.
21-00	SHI'IPAJANA PIAMA SHIKII WANEMUeIN (21)
21-00	Napueshua naa wayuukana eeshi suepuela nalu'uwataajirain nama naa suelauelayuukana alu'uwatawaa;ottamuesueya eeshi suepuela neitain wane nache'epu'ujana ekai nachekuin na'in.
21-01	Naa wayuukana eeshi suepuela erajaa wanawaa sukua'ipa tueue alu'uwatawaaka sa'u no'ummain.
21-02	Jutchuein na'in naa wayuukana shia suyuupalaka sukua'ipa tueue alu'uwatawaa aka muein yaa jayasue sukua'ipa suka tueue woto muenaka, suepuela aliikira naa shikiipu'unueinjanaka alu'uwatawaa su'lu'u anakat akua'ipa.
22-00	SHI'IPAJANA PIAMA SHIKII PIAMAMUeIN (22)
22-01	Napushua naa wayuukana eeshi suepuela na'inmajuenuein akuea'ipa, otta muesueya eeshi suepuela neraajuein suepueshua jamuein sukua'ipa shiitajia suwashiruein, suma sutnetshe tueue mmakalueirua suepuela anainjatuein na'in suenainje tueue kasa natujaakat a'u.
23-00	SHI'IPAJANA PIAMA SHIKII APUeNUeINMUeIN (23)
23-00	Naa wayuukana eeshi suepuela nayatain suenain kasa nayataweekat anain, suma sa'inmajuenueinjatueira sukua'ipa nayatain suulia amueloulii.
23-01	Naa wayuukana nnojuelueinjana ko'utkuein wanawainjatue nakanajuein, wanawale nayatain.
23-02	Nayataale naa wayuukana akanajueinjana suenainje nayatain, suema wanawa'injatuein tueue nakanajaka suma nayatain,suepuela anainjatuein na'in suenain epijaa nuchounni.
23-03	Naa wayuunakana eeshi suepuela achejawaa sukua'ipa wane kottaa suepuela kajuetuein atuma tueue keireekat na'insunain anatiraa nakua'ipa.
24-00	SHI'IPAJANA PIAMA SHIKII PIENCHIMUeIN (24)
24-01	Nayataale naa wayuukana eeshi suepuela neemerain so'u wane ka'i, otta muesueya ayawatuenueinjatue sukalia nayatain sapuenapa namuein tueue eemerawaaka wala'injana suma'iru.
25-00	SHI'IPAJANA PIAMA SHIKII JA'RAIMUeIN (25)
25-00	Naa wayuukana eeshi suepuela epijawaa sulu'u anakat akua'ipa suema napueshi ma'aka sa'in kapuyaa, kashe'in, erajaana ayuipa, anaa suelu'u suekua'ipakat suepushua.
25-01	Naa jemeyuunnukana otta muesueya naa jo'uyuukana a'inmajuenueinjana suepueleerua kasa suepushua naa jo'uyuukana a'inmajuenueinjana suelu'u suekua'ipa suepushua a'itaina jemein suema waneejetuein napueshi.
26-00	SHI'IPAJANA PIAMA SHIKII AIPIRUeAMUeIN (26)
26-00	Naa wayuukana napushua eeshi suepuela ekirajuna mojutueinjatue shia napuleerua suttiana'in ekirajawaa nalatirapatueue, suepuela ko'omuenuein natuejain wanawainjatue nakua'ipa suenain antaa suelu'umuein tueue ekirajaapulee mulo'usueka unipersitaa munaka aka suekua'ipa atuma.
26-01	Naa wayuukana ekirajuenuinjana suepueleerua anataa nakua'ipa suma atujaa kajutaa atuema tueue suchikika sujutu wayuu suepuela anainjatuein susanalia tueue mmakat suechirua asauta tueue anamia suchekaka achiki tueue Nasiones Uniiras munaka.
26-02	Napuela naa wayuukana eeshi suepuela aneekajaa tueue ekirajawaa aapuneeka namuein nachounni.
27-00	SHI'IPAJANAPIAMASHIKIIAKARATCHIMUeIN (27)
27-00	Napushua naa wayuukana eeshi suepuela erajirain wanaa nama naa waneirua suenain antiraa suechiki kasa anasue napuela napushua.
27-01	Naa wayuukana eeshi suepuela sa'inmajuenuein tueue kasa namueinka,otta muesueya tueue kasa nayuralaka nekiiru'uje suka na'in namuiwa'a.
28-00	SHI'IPAJANA PIAMA SHIKII MEKIISALUeMUeIN (28)
28-01	Napushua naa wayuukana eeshi suepuela shiitaanueinjatuein napueleerua wane suekua'ipa sa'u tueue mmakat suepuela pansainjatuein sanajia tueue suelu'uwatakat anain tueue puetchika.
29-00	SHI'IPAJANA PIAMA SHIKII MEKIETSALUeMUeIN (29)
29-00	Naa wayuukanairua juelueinjatuena'in nakua'ipa naa wayuu kapuyakiraaka nama aka anain naya suenain epijawa anajiralee nakua'ipa napushua.
29-01	Shia'ala nnojotka anain suepuela na'inraa tueue apuelajunaka napueleerua lauelapialu'ujesuepuela anainjatuein sukua'ipa suepushua tueue kasakat.
29-02	Akua'ipakat tueue nnojotsue peipoloinjatuein suma tueue akua'ipa suelu'uwatakat anain tueue Nasiones Uniiras muenaka.
30-00	SHI'IPAJANA APUeNUeIN SHIKII (30)
30-01	Suelu'ukot karalo'utakat tueue nnojotsue aapanueinjatuein suepulainmuein tueue suelauelakot mma nnojotsue aapanueinjatuein napuelainmuein no'utku wayuu, nnojutsue aapanuinjatuein suepuela nuepuelain wane wayuu. A'iruushi suepuela nnojolueinjatuein alatuenuein a'upuna tueue puetchi suepuelajatka suejutu wayuu sa'u tueue mmakat.
