00-00	FA'IRA'A HA'ATI I TE MAU Tl'AMANARA'A O TE TA'ATA-TUPU
04-01	'Eiaha roa te ta'ata ia mau i te fa'aterera'a fa'atiti e i te fa'afaora'a; e 'opani 'eta'eta-roa-hia te fa'aterera'a-fa'atiti e te tapiho'ora'a i te mau titi
05-00	'IRAVA PAE,
05-01	'Eiaha roa te ta'ata ia ha'avihia ma te taparahihia, ia fa'autu'ahia ma te ha'amauiuihia e te fa'afaufa'a'orehia 'aore ra ma te ha'ave'uve'uhia.
06-00	'IRAVA ONO
06-01	'E ti'amanara'a to te ta'ata tata'itahi i te manara'a o to na ti'ara'a-mana-ture i te mau vahi ato'a.
07-00	'IRAVA HITU
07-01	'E ti'ara'a 'aifaito to te ta'ato'ara'a i mua i te ture e 'e ti'amanara'a, ma te ma'iti'orehia, i te ho'e parurura'a 'aifaito a te ture. 'E ti'amanara'a to te ta'ato'ara'a ia paruru-'aifaito-hia atu i te mau fa'ata'ara'a e fa'ahapa na i teie Fa'ira'a, e i te mau ha'afifra'a ato'a i teie fa'ata'ara'a.
08-00	'IRAVA VA'U
08-01	'E ti'amanara'a to te ta'ata ato'a i te ho'e horora'a ti'a mau i mua i te mau manaha'avara'a a te va'a'ai'a i mana i te pato'i atu i te mau ha'a e fa'ahapa ra i to na mau ti'amanara'a tumu i ha'amanahia mai e te papature nui 'aore ra e te ture.
09-00	'IRAVA IVA
09-01	'Eiaha roa te ta'ata ia tape'ahia, ia tamauhia i te 'auri 'aorc ra ia tuvaruhia ma te tumu 'ore.
10-00	'IRAVA 'AHURU
10-01	'E ti'amanara'a lo te ta'ata ato'a, na roto i te 'aifaito ti'a, i te fa'aro'o auti'a a ra'ahia ta na tumu 'ohipa e te ho'e tomite ha'avara'a ti'ama e te ti'a 'aifaito, i mua i te huira'atira. Na teie tomite 'oia e fa'aoti i te ti'amara'a o to na mau ti'amanara'a e ta na mau fafaura'a 'aore ra i te manara'a o te mau fa'ahapara'a ato'a na ni'a i te tinofa'au tu'ara'a .
11-00	'IRAVA 'AHURU-MA-Ho'e
11-00	'E tia ma tei fa'aoti-mana'o-hia no te ta'ata ato'a i parihia i te ho'e hara hou o ia a fa'ahapa-papu-roa-hia ai e te ture na roto i te ho'e ha'avara'a i mua i te huira'atira. 'E mau rave'a papu te rave-'ato'a-hia no te paruru ia na.
11-01	'Eiaha te ta'ata ia fa'autu'ahia no te mau 'ohipa 'aore ra no te mau ravera'aha'apa'ora'a -'ore i tupu i te tau 'e fa'ahapa-ture-'ore teie mau 'ohipa i roto i te papa-ture o to na va'a'ai'a 'aore ra o te ta'ato'ara'a o te mau va'a'ai'a. 'Eiaha ato'a ia fa'ateiahahia a'e te utu'a, ia vai 'aifaito ra e tei tu'uhia i te tau a ravehia ai teie hara.
12-00	'IRAVA 'AHURU-MA-PITI
12-01	'Eiaha te orara'a, te feti'i, te 'utuafare o te ta'ata e ta na ato'a mau tuatapapara'aparau-papa'i ia riro 'ei 'imira'a-pe'ape'a- ti'ama -'ore, e 'ei fa'a'inora'a ato'a i to na tiara'amana e i to na ro'o. 'E ti'amanara'a to te ta'ata ato'a i te parurura'a a te ture i teie atu mau 'imira'a -pe'ape'a 'aore ra i teie mau fa'a'inora'a.
13-00	'IRAVA 'AHURU-MA-TORU
13-00	'E ti'amanara'a to te ta'ata ato'a i te araterehaere ma te ti'ama e i te 'imi i te ho'e nohora'a no na i roto i te ho'e Hau-Fenua.
13-01	'E ti'amanara'a to te ta'ata ato'a i te fa'aru'e i te 'ai'a, i to na ato'a iho 'oia, e i te ho'i fa'ahou mai i to na'ai'a.
14-00	'IRAVA 'AHURU-MA-MAHA
14-00	I mua i te fa'afaora'a, 'e tiamanara'a to te ta'ata ato'a i te 'imi i te pare-ora e i te fa'ari'ihia mai i te tahi 'e atu mau fenua.
14-01	'Eiaha ra teie ti'amanara'a ia tata'uhia no te mau fa'afaora'a i fa'ahapa i te ti'amanara'a 'amui 'aore ra i fa'ahape i te mau fa'aotira'a e te mau fa'ata'ara'a-ture a te mau Va'a'ai'a-'Amuitahia.
15-00	'IRAVA 'AHURU-MA-PAE
15-00	'E ti'amanara'a to te ta'ata-tupu ato'a i te ho'e ti'ara'ava'a'ai'a.
15-01	'Eiaha roa ia te ta'ata ia fa'a'erehia ma te ti'ama 'ore i to na ti'ara'ava'a'ai'a, e i te ti'amanara'a ato'a no te taui i to na ti'ara'ava'a'ai'a.
16-00	'IRAVA 'AHURU-MA-ONO
16-00	la tae'ahia te matahiti ti'a, 'e ti'amanara'a to te tane e to te vahine, ma te ho'e ha'a- fifi-'ore-hia na ni'a i te taura-ta'ata, na ni'a i te ti'ara'ava'a'ai'a 'aore ra na ni'a i te fa'aro'o, i te fa'aipoipo e i te ha'atumu i te ho'e'utuafare-feti'i. 'E ti'amanara'a'aifai to raua no te 'ohipa-e-no-te- 'anotau- fa'aipoipora'a e no te 'anotau ta'ara'a ato'a.
16-01	E fa'aoti-ti'a-noa-hia te fa'aipoipora'a ma te hina'aro ti'ama mau e te fa'ahepo'orehia o na ta'ata fa'aipoipo.
16-02	'E iho tumu-papa te 'utuafare-feti'i no te 'avirira'ata'ata e no reira 'e ti'amanara'a to na i te parurura'a a te 'avirira'ata'ata e a te Hau.
17-00	'IRAVA 'AHURU-MA-HITU
17-00	'E ti'amanara'a to te ta'ata, to tei vai ato'a i roto i te va'amata'eina'a, i te ti'ara'afatu.
17-01	'Eiaha roa te ta'ata ia fa'a'erehia ma te ti'ama 'ore i to na ti'ara'afatu.
18-00	'IRAVA 'AHURU-MA-VA'U
18-01	'E ti'amanara'a to te ta'ata ato'a i te ti'amara'a o te ferurira'a, o te 'ite e o te fa'aro'o. Teie ti'amanara'a, 'e ti'amara'a ia no te taui i te fa'aro'o'aore ra i te ti'aturira'a, o ia ana'e iho 'aore ra ma te 'amui, i mua i te huira'atira 'aore ra o ia ana'e iho, na roto i te ha'api'ira'a, i te mau fa'anahonahora'a, i te purera'a e i te fa'aotira'a o te haerera'a'oro'a.
19-00	'IRAVA 'AHURU-MA-IVA
19-01	'E ti'amanara'a to te ta'ata-tupu ato'a i te ti'amara'a o te mana'o e o te porora'a-parau; 'e ti'amanara'a ho'i ia i te ha'afifi-ra'a-'ore-hia no to na mau mana'o, 'e ti'amanara'a no te 'imira'a, no te fa'ari'ira'a e no te ha'apararera'a i te mau parau-fa'a'ite e i te mau mana'o, na roto i te mau huru rave'a ato'a, e ma te tau'a 'ore atu i te mau 'oti'a.
20-00	'IRAVA PITI-'AHURU
20-00	'E ti'amanara'a to te ta'ata ato'a i te ti'amara'a o te 'apo'ora'a e o te ta'atira'a hau.
20-01	'Eiaha roa te ta'ata ia fa'ahepohia no te fa'ao atu i roto i te ho'e pupu-ta'atira'a.
21-00	'IRAVA PITI-'AHURU-MA-Ho'e
21-00	'E ti'amanara'a to te ta'ata ato'a i te fa'ao ti'a atu, 'aore ra na ni'a atu i te ti'ara'a o te mau mero-ma'iti-ti'ama-hia, i roto i te fa'aterera'a-'ohipa a te Hau o to na fenua.
21-01	'E ti'amanara'a to te ta'ata ato'a i te fa'ao atu, na ni'a i te mau ti'ara'a 'aifaito, i roto i te mau toro'a-'ohipa a te Hau o to na fenua.
21-02	'O te hina'aro o te huira'atira te papa o te mana o te fa'aterera'a a te Ilau. E ha'apararehia teie hina'aro na roto i te tahi mau ma~'itira'a ti'ama, o te rave-tamau-hia i te mau area-fa'aau-hia, na roto ia i te ho'e ma'itira'a ha'ati 'aifaito e i te ho'e ma'itira'a purarohuna 'aore ra na roto ia i te ho'e fa'anahora'a 'aifaito mai, o te fa'atura i te ti'amara'a o te ma'itira'a .
22-00	'IRAVA PITI-'AHURU-MA-PITI
22-01	'E ti'amanara'a to te ta'ata ato'a, na ni'a i to na ti'ara'a -mero-'avirira'ata'ata, i te papaturura'a -'avirira'ata'ata. 'E ti'ara'a to na i te manuiara'a o te mau ti'amanara'a te pae faufa'a, te pae 'avirira'ata'ata e te pae fa'anahora'a-'ohipa-tumu -faufa'a no to na ihomana e no te tupura'a-ti'ama o to na ihota'ata, ma te tutavara'a-va'a'ai'a 'oia e te ravera'a-'amui a te ta'ato'ara'a o te mau va'a'ai'a, ia au i te fa'anahora'a e te faufa'a a te fenua tata'itahi.
23-00	'IRAVA PITI'AHURU-MA-TORU
23-00	'E ti'amanara'a to te ta'ata ato'a i te 'ohipa, i te ma'iti-ti'ama i ta n'ohipa na ni'a i t ho'e fa'anahora'a-ohipa 'aifaito e te aut'a, e i te paruruhia i te o'era'a-'ohipa.
23-01	'E ti'amanara'a to te ta'ato'ara'a, ma te ho'e ma'iti'orera'a, i te ho'e moni'ohipa 'aifaito ti'a e te ho'e ha'ara'a 'aifaito.
23-02	'E ti'amanara'a to te ta'ata ato'a e rave na i te'ohipa i te ho'e 'aufaura'a 'aifaito au-ti'a no te papaturu ia na e i to na 'utuafare feti'i te ho'e orara'a au i te ti'amara'a o te ta'ata-tupu tei ti'a i te paturuhia, i te taime-fifi, na te tahi mau rave'a-parurura'a 'avirira'ata'ata.
23-03	'E ti'amanara'a to te ta'ata ato'a i te fa'atupu e te tahi atu i te auparuru-ti'ara'a e i te fa'ao ato'a atu i roto i te mau auparurura'a-ti'ara'a no te paruru i to na mau-ti'ara'a-faufa'a.
24-00	'IRAVA PITI-'AHURU-MA-MAHA
24-01	'E ti'amanara'a to te ta'ata ato'a i te fa'aeaeara'a-'ohipa e i te mau fa'a'ana'anatae-ra'a, i te ho'e ihoa ra ha'apotora'a au-ti'a i te taime-ravera'a-'ohipa e i te 'aufauhia i te mau fa'afa'aeara'a-'ohipa i fa'au-area-hia.
25-00	'IRAVA PITI-'AHURU-MA-PAE
25-00	'E ti'amanara'a to te ta'ata ato'a i te faito-orara'a nava'i no te papaturu i to na orara'a-tino e to na orara'a-fana'o e i to to na ato'a'utuafare-feti'i, i te pae ihoa ra o te ma'a, o te 'ahu, o te fare, o te utuutura'a-ma'i e i te pae ato'a o te mau 'atu'atura'a-'avirira'ata'ata i titauhia. 'E ti'amanara'a to na i te tauturuhia i te o'era'a-'ohipa, i te ma'ira'a, te ha'aparuparura'a, te ivira'a, te ruhiruhiara'a 'aore ra i te tahi atu a mau o'era'a-rave'a-'imira'a-maita'i i hina'aro'orehia e ana.
25-01	'E ti'amanara'a to te vahine-fanau-tama e to te tamari'i i te ho'e tauturu e i te ho'e utuutura'a ta'a'e. 'E ti'ara'a to te ta'ato'ara'a o te tamari'i, tei fanau-ti'ama-hia 'aore ra tei fanau-ti'ama-'ore-hia, i te ho'ea tauturura'a-'avirira'ata'ata.
26-00	'IRAVA PITI-'AHURU-MA-ONO
26-00	'E ti'amanara'a to te ta'ata ato'a i te ha'api'ira'a. 'Ei ha'api'ira'a tamoni 'ore e ti'a ai no te ha'api'ira'a'a e no te ha'api'ira'a -tumu ihoa ra. 'E fa'auera'a na te hau te ha'api'ira'a-'a. Ia ha'apararehia te ha'api'ira'a fa'aravihi e te ha'api'ira'a-toro'a, e ti'a ai. 'E ti'amanara'a, ma te 'aifaito roa, to te ta'ato'ara'a i te ha'api'ira'a tuatoru na roto i to ratou iho itoito.
26-01	Ia titau-ti'a te ha'api'ira'a i te pu-hinuhinura'a o te ihota'ata e i te fa'a'eta'eta i te fa'aturara'a i te ti'amanara'a o te ta'ata-tupu, e o te mau ti'amara'a tumu, e ti'a ai. Ia tauturuhua 'oia i te maramarama, i te maita'i e te here i rotopu i te mau va'a'ai'a pa'ato' e te mau taura-ta'ata 'aore ra i rotopu i te mau pupu -fa'aro'o, ia tauturuhua ato'a i te terera'a o te mau 'ohipa a te mau Va'a'ai'a-Amuitahia no te maupapura'a o te hau, e ti'a ai.
26-02	3-'E ti'amanara'a matameha'i to te metua, i te ma'iti i te huru ha'api'ira'a e horo'a na to raua mau tamari'i.
27-00	'IRAVA PITI-'AHURU-MA-HITU
27-00	E ti'amanara'a to te ta'ata ato'a i te fa'ao atu, ma te ti'ama, i roto i te fa'anahora'a-'ihi-tupu a te va'amata'eina'a, i te fa'afaufa'a atu i te mau tata'ura'a-'una, e i te 'amui ato'a atu i te fa'aritora'a o te pu'ihi e i te mau rahura'a-ora e roa'a mai.
27-01	'E ti'amanara'a to te ta'ata tata'itahi i te paruruhiara'a o te mau faufa'a-ture e te mau faufa'a-tino e vai ra i roto i te mau tata'ura'a-'ihi, te mau tata'ura'a-'aivana'a 'aore ra te mau tata'ura'a-'una ta na iho e fatu na.
28-00	'IRAVA PITI-'AHURU-MA-VA'U
28-01	'E ti'amanara'a to te ta'ata ato'a i te manara'a, i te pae 'avirira'ata'ata e i te pae va'a'ai'a pa'ato'a, o te ho'e fa'aterera'a i reira te mau ti'amanara'a e te mau ti'amara'a i porohia i roto i teie Fa'ira'a e mana rahi roa ai.
29-00	'IRAVA PITI-'AHURU-MA-IVA
29-00	'E hopoi'a ta te ta'ata tata'itahi e amo na te va'amata'eina'a i reira te tupura'a ti'ama rahi mau o to na ihota'ata e mana ai.
29-01	I roto i te fa'a'ohipara'a i to na mau ti'amanara'a e i roto ato'a i te fa'afaufa'ara'a i to na mau ti'amara'a, 'aita atu 'e 'opanira'a ta te ta'ata tata'itahi maori ra o te mau 'opanira'a ia i fa'aau-ti'a-hia e te ture no te papaturu i te fa'ari'ira'a e i te fa'aturara'a i te mau ti'amanara'a e te mau ti'amara'a o te tahi atu, e no te ha'afaufa'a ato'a i te mau titaura'a 'aifaito a te ture-ha'apa'ora'a e a te ture-hau, e a te orara'a-hau maita'i o te ta'ato'ara'a i roto i te ho'e 'avirira'ata'ata-upo'o-'aifaito.
29-02	E'ore teie mau ti'amanara'a e teie mau ti'amara'a e mana noa a'e i te ravefa'ahapara'a i te mau ture-ha'apa'ora'a a te mau Va'a'ai'a-'Amuitahia.
30-00	'IRAVA TORU-'AHURU
30-01	'Eiaha roa te ho'e noa a'e fa'auera'a a teie Fa'ira'a ia 'iritihia 'ei ti'amanara'a a'e no te ho'e Hau-Fenua, no te ho'e aupupu-ta'ata 'aore ra no te ho'e ta'ata ho'e, no te rave i te ho'e 'ohipa no te vavahi atu i te mau ti'amanara'a e te mau ti'amara'a i porohia i roto nei.
