00-00	EJUKONWO GBEFANDEDE SOSO ACE AGBETOTOWO NGU
16-02	Wo jitowo yi nyi nguklen alo esha ci yi a le nko no wo: neneke yi wo do a nyi kuku le eta no wo ne.
17-00	Akpa 17
17-00	Ame deka kpang yo a, alo e le egbebobome yo o, e do ace do eyi nto nuji.
17-01	Ace de kpokpwi de do a xo amengutonu leshi ko akpasensen.
18-00	Akpa 18
18-01	Amede kpokpwi do ace a vo le enu ci yi druii le eyi tame, ejime ko sensen kpaxwe; e senngu gbe doli sensen kodo eyi susu lo wo, alo a de wo to no eju a jeshi; e sennu like no sensen ko susu lowo a don amewo bo do eyi deki ngu so to nukoyiyi le enukplankplan enuwawa, kodo sensen alo sensenwanawo plengu ngu.
19-00	Akpa 19
19-01	Agbeto dekpokpwi do ace a vo le eyi susu alo eyi tamebubume; e do ace a vo a nu enyo ci yi le susume ni no eju a se; e do ace a ji gonme no enuwo ko enyowo, a to emowo kengukengu ji a dra wo no xixe kongune alo ejuwo kpu a se; enude kpokpwi de do a donguklen alo vonvon ni.
20-00	Akpa 20
20-00	Agbeto dekpokpwi do ace a vo le bobowawa kodo egbe ci yi gbe ahwawawanyowo gbo.
20-01	Wo de do a so eganwuame a so lon ame do ehabobodeme.
21-00	Akpa 21
21-00	Amede kpokpwi do a so eyi fo cute a kpankon le eyi ju ngukoyiyi wanawo me, alo a nagbe no amebu a we.
21-01	So to edowa gome o, amewo pleng do a kpo texwe gbeswegbeswe.
21-02	Ejukonwo drodro o, eyi a nyi esha le nguko no ejuwomecekpakpa. Eyi ji yi wo do a zon no no akodadawo do jojwe ji gamegame.
22-00	Akpa 22
22-01	Amedekpokpwi le egbeme do a vo faa a kpo nyona soso alodowome, alodo honwo a na yi a kpo vivivi le ace ciyi kan dokunmowo, agbeto engunuyanya ciwo de do a hwedo ame, yi a na ngukoyiyi no amenyinyi le hlon hlon eju dekadeka ko wowoxlowawame. Nenehame hlonhlon ko exlowawa kan dokun eju dekadekato.
23-00	Akpa 23
23-00	Amede kpokpwi do a wa edo ci yi je kodi le jume, yi a kpo nyona ciwo yi le edo lo wawame.
23-01	Evototo dekpokpwi de do a no ehocucume no edo dekamuwatowo.
23-02	Edofencu o, e do a sun edowato ko eyi xomuwo, vo no da suno, wana bu dewo do a le e jume a so na wo vovo.
23-03	Edowato dekpokpwi degbe a do edowatowobobo ci yi drwi me a sen ngu a gbe no ametafu.
24-00	Akpa 24
24-01	Edowato dekpokpwi do a do gbongbon hwenu a so vo, edowagamewo do a nyi dredreme. Le exwekpegbonjwiin eyi towo me o, wo do a cu no efen ni.
25-00	Akpa 25
25-00	Amede kpokpwi do a do enu ci yi a so kpo eyi ko eyi xomuwoji soto lanmesen, enududu, acododo, xomenono, dotoxweyiyi ko alodoamejudowaxu ciwo a na yi wo a vo; wo do a no godu ni le edomakpowa game, edolehwenu, le ekpoxome, nyoxome, neneke le enuwanu ciwo yi de so eyinguto drodro ngu wo hwenu.
25-01	Alodu de do a li no evijitowo ko wo vi. Evi ci yi asu ko ashi ji ji ko ci yi wo ji le gbanji wo o, wo so enu le ejume, yi evototo de de do a no wo me.
26-00	Akpa 26
26-00	Amede kpokpwi do a yi sukulu a xo enunyanya gbaligbali, e glo ka ka can o, a xo enunyanya gonmeto dandandan. Alonudo kplanxu sukulu wo do a ni no ame kpu. Sukuluganwo o, wo do a hun wo no ame ciwo ngununyanya je aba hon me no.
26-01	Sukulu do a na wo a nyangunu so to agbetobubu gome. E do a na yi wo a nya be enusokeame, exlowawa le ejuwo glame akowo alo sensen wo gblame kodo ejuwokplekplegbe nuwanawo ci wo a na yi vovo a no gbeme, enu honwo o, enu vevi yi wo nyi.
26-02	Kplankplan ciha ngume yi deviwo a xo o, e do a nyi wo jitowo nyo.
27-00	Akpa 27
27-00	Agbetodekpokpwi do a vo a wa emumumunuwo kodo eyitowo, akpo jijole adangudododowo gbo, kengu a no waxu no ngukoyiyi soto enudwi kuku gome kodo wanywi ciwo yi a to le me.
27-01	Amedekpokpwi ci yi nyi edodewato dogbe a hwlen wananywi ciwo yi to le eyi nudwikuku gome, eyi dangudodowema ko eyi dangu gome.
28-00	Akpa 28
28-01	Amedekpokpwi dogbe a byo be hannyahannya ngugbe no ejume, no wo a zon do ace kodo vovokpokpo ciwo yi ze le gbefandede ceme, soso agbetononome gbe soso ejukonwononome.
29-00	Akpa 29
29-00	Amedekpokpwi do a wa edo no eyiju cime yi eyi nonome alo eyigbetonyinyime a to le, le vovokpokpo kodo ngukoyiyi adodwi gome.
29-01	Le eyice kodo eyivovokpokpozanzanme o, ese dowo yi a gbe enyo no ame no wo a so jeshi amebucewo kodo eyi vovokpokpowo gbohwe a so kpo emo a dra enu do le wana gome, le hannyahannya ma do do acekpakpame kodo vovo gbaja le eju ci yi ya no eyidekishi.
29-02	Tretregbedi, wo de do egbe a zon ace cewo kodo vovokpokpo cewo to amebudewo ciwo de nyi afodoxuwo no DEKAWAWAGBE EJUKONWOTO.
30-00	Akpa 30
30-01	Ejudekpokpwi, ehabobodekpokpwi, amedekpokpwi de do egbe a so Egbe fandede ce a so wa enubadade alo a so wa kanlindode shigbe a so gbe be agbetowo da zan ace ko vovokpokpo ciwo yi ze le wemaceme.
