00-00	INKCAZO-JIKELELE NGEEMFANELO ZOLUNTU
18-01	Wonke umntu unelungelo leengcinga ezikhululekileyo isazela nokholo, eli lungelo liquka inkululeko yokutshintsha ukholo lwakho okanye ukukholwa nenkululeko yoko unokukwenza wedwa okanye nobudlelwane nabanye nokuba kusesidlangalaleni okanye emfihlakalweni, ukucacisa inkolo yakho okanye ukukholelwa kwimfundiso, ukwenza unqulo nokugcina izithethe.
19-00	Inqaku le-19
19-01	Wonke umntu unelungelo lokucinga nokuthetha ngokukhululekileyo, eli lungelo liquka inkululeko yokuveza uluvo lwakhe ngaphandle kokuphazamiseka nokuzama ufumana ukuze udlulise ulwazi neengcinga nangaziphi na iintlobo zosasazo nokuba kukweyiphi na imida.
20-00	Inqaku la-20
20-01	Wonke umntu unelungelo lenkululeko yeendibano zoxolo kunye neentlanganiso zoxolo.
20-02	Akukho namnye oya kunyanzeliswa ukuba abe lilungu lentlangano.
21-00	Inqaku la-21
21-01	Wonke umntu unelungelo lokuthabatha inxaxheba kwezobuRhulumente belizwe lakhe ngqo okanye ngokusetyenziswa kwamalungu akhethiweyo.
21-02	Wonke umntu unethuba elilinganayo lokusebenzela uRhulumente welizwe lakhe.
21-03	Intando yoluntu iya kuba sisisekelo sempatho kaRhulumente; le ntando iyakubonakaliswa ngamaxesha athile nangobunyani belungelo lovoto eya kwenziwa ngokufihlakeleyo okanye ngendlela elinganayo yokuvota ngenkululeko.
22-00	Inqaku la-22
22-01	Wonke umntu njengelungu lombutho woluntu, unelungelo lokhuseleko lombutho woluntu kwaye enelungelo lokuphumeza, ngeenzame zobuzwe nangemvisiswano zamazwe nangokuvumelana nemibutho namacebo obuRhulumente ngokwezoqoqosho, ezentlalo namalungelo amasiko neemfanelo zesidima nenkululeko engenkqubela-phambili yobuntu bakhe.
23-00	Inqaku la-23
23-01	Wonke umntu unelungelo lokusebenza, ukuzikhethela umsebenzi ngokukhululekileyo, ubulungisa neemfuneko ezifanelekileyo zomsebenzi, kunye nokukhuseleka okuchasene nokungabinamsebenzi.
23-02	Wonke umntu ngaphandle komkhethe, unelungelo lomvuzo olinganayo ngomsebenzi olinganayo.
23-03	Wonke umntu osebenzayo unelungelo lobulungisa bokukhetha intlawulo ukuqinisekisa ukuba yena nosapho lwakhe baphila impilo enexabiso nesidima sobuntu, eya kuthi yongezwe kwakuba nemfuneko, ngezinye iindlela zokukhusela intlalo yoluntu.
23-04	Wonke umntu unelungelo lokubumba okanye abe lilungu lweemanyano zorhwebo, ukukhusela iimfanelo zakhe.
24-00	Inqaku la-24
24-01	Wonke umntu unelungelo lokuphumla nokuba nexesha lokuphola, kunye namaxesha avumelekileyo okusebenza namaxesha eholide ezuza umvuzo.
25-00	Inqaku la-25
25-01	Wonke umntu unelungelo lentlalo esemgangathweni ngokuphila impilo efanelekileyo kunye nosapho lwakhe, kunye nokutya, impahla, indawo yokuhlala, unyango kunye neenkonzo ezibalulekileyo zentlalo, kwanelungelo lokhuseleko wakungasebenzi, wakugula, wakuba ngumlwelwe, ngumhlolokazi, ngumdli-mhlalaphansi okanye wakuswela impilo ngokungalawulekiyo.
25-02	Ubunina nobuntwana bulungelwe yinkathalelo ebalulekileyo kunye noncedo olukhethekileyo. Bonke abantwana nakuba bengazalwa emtshatweni mabaxhamle ukhuseleko lwentlalo ngokulinganayo.
26-00	Inqaku la-26
26-01	Wonke umntu unelungelo lemfundo. Kuza kuba nomfundaze kwabaqalayo nakwimigangatho ebalulekileyo. Imfundo yabaqalayo iya kunyanzeliswa. Imfundo ngezobugcisa kunye nokufundela umsebenzi kuya kwenziwa ukuba kufumaneke kanti imfundo ephakamileyo nayo iya kwenziwa ukuba ifumaneke ngokulinganayo kuluntu lonke njengesiseko sempumelelo.
26-02	Imfundo iza kujoliswa ngqo kwinkqubela phambili epheleleyo yoluntu nokomelezwa kwentlonipho yamalungelo oluntu nokubaluleka kwenkululeko. Iza kuxhasa imvisiswano, ukunyamezelana nobuhlobo phakathi kwezizwe, ubuzwe, namaqela eenkolo eyakuthi iphuhlise umsebenzi wamazwe jikelele ukuze kugcinwe uxolo.
26-03	Abazali banelungelo elibalulekileyo lokukhetha uhlobo lwemfundo eyakuthi ifundiswe abantwana babo.
27-00	Inqaku la-27
27-01	Wonke umntu unelungelo lokuthabatha inxaxheba ngokukhululekileyo kwinkqubela yelizwe lakhe, onwabele inkcubeko kunye nesabelo senkqubela phambili yenzululwazi kunye noncedo lwezo zinto.
27-02	Wonke umntu unelungelo lokhuseleko, lwempatho kunye nezo zinto athi azithande ezithi zibe ziziphumo zezayo nayiphina inkqubela, ubuchule bokufunda nokubhala okanye ubugcisa bemveliso yombhali.
28-00	Inqaku la-28
28-01	Wonke umntu unelungelo lentlalo yoluntu kunye neyezizwe-jikelele apho amalungelo nenkuleleko alenkcazo-jikelele athi amkeleke khona.
29-00	Inqaku la-29
29-01	Wonke umntu kufuneka asebenzele uluntu aphila phakathi kwalo, apho inkululeko nenkqubela-phambili epheleleyo neyamkelekileyo yoluntu ithi ifumaneke khona.
29-02	Ekusebenziseni amalungelo nenkululeko, wonke umntu uya kuba phantsi kwempembelelo ezimiselwe ngumthetho ngezizathu zokuqinisekisa ulwamkeleko ngentlonipho yamalungelo nenkululeko yabanye, ukuhlanganiswa kweemfuneko yokuziphatha kakuhle, esidlangaleni nentlalo-ntle ngokolawulo lwedemokrasi.
29-03	La malungelo neenkululeko zoluntu mawangasetyenziswa ngendlela ephikisana neenjongo nemithetho yamazwe abumbeneyo.
30-00	Inqaku la-30
30-01	Le nkcazo-jikelele mayingatolikwa ngenjongo yokuba imele ezobuRhulumente, iqela okanye umntu owenza isithembiso okanye osenzo sineenjongo ezingatshabalalisa nokuba ngowuphi na umqathango wamalungelo kunye neenkululeko zoluntu ekuthethwa ngazo apha.
