00-00	KAY PACHACHRU LAPAN RUNAKUNA WASHAKURKAANAPAQ ISKIRBISHAKUNA KAYKUNATA ISKIRBIPAAKURAA
15-00	ARTICULO 15
15-01	Lapan runas kapaakunman juklay nasyunlata markanch akusham.
15-02	Manam pisi "Qampa naa manam kankimanchu kay nasyunnikipa runanqa" nir, qarqunmanchu pitas. Ni manatan chariranmanpishchu " Qamqa manam kankimanchu juklaa nasyunpa runanqa nirsi.
16-00	ARTICULO 16
16-01	Naa kasaranan timpuman chrarurqa, warmis, olqos kasarakunmanmi, may kastawansi; yanawansi, yuraqwansi. Kasaranmantan juklaa nasyun runawansi, Diosman u mana Diosman yupachikuqwansi. Nasyunchru iskirbishankunanuymi washanman lapantam runankunata, kasarakunanpaqsi, kasararuptinsi u chulaanakuruptinsi.
16-02	Manam pisi kasarachinmanchu mana munaqta. Kasarachinmanqa munanakuqlatam.
16-03	Chay kasadukuna lapan wamrantinmi kapaakunman alipa rikasha, mandaqkunapita washasha. Chay kasadukuna wamrankunawan aliskam balin.
17-00	ARTICULO 17
17-01	Pi may runapas kanmanmi munaptinqa chrakransi, wayinsi u imayqansi, kikilanpasi u juk runakunapawansi. Chaynuy kananta manam pisi amachanmanchu.
17-02	Manam pisi kitanmanchu chay imayqantasi oiqoorir manakaqpitaqa.
18-00	ARTICULO 18
18-01	Pi may runasi munanqantam pinsiyakunman, naatan ali u lutan ruranqantasi tantiyakunmanmi. Chawraqa j inam yupachikunman Diosmansi u imamansi. Muyunmanmi juk riligiyunpita juk riligiyunmansi. Muyunmantan juknuy kawaypita juknuy kawanmansi. Jinam pi maysi imanaypasi Diosninta alawaakunman, japaiansi u wakin runawansi, washachruusi u wayilachruusi. Yachrachipaakunmantan .yachrakurkanqantawan juknuypa kawaynintas, naatan rurapaakunmanmi fistankunatas.
19-00	ARTICULO 19
19-01	Chawra runaqa jinam pinsiyanman, naatan "Rimashaq" nirqa, rimanman. Naatan chay pinsiyayanqan runata pinaakachinan mana pipitas amachasha kaptinqa amam rimanmanchu. Runaqa pi maysi yachrakunman munanqantam librukunata leyepasi u jukkuna rimaptin mayakuypasi. Naatan munarqa pinsiyanqanta iskirbinmanmi u rimanmanmi wakinkaqkunas mayakurkaananpaq. Naatan apachinmanmi mayaq chayaq nasyunkunamansi amam juklaa nasyunman imanaypa apachikuptinsi; ama apachiychu ninmanchu pisi.
20-00	ARTICULO 20
20-01	Pi may runasi jinam qutukaakurkanman imapaqsi. Naatan qutukapaakunman imapaqsi, alipaqmi.
20-02	Manam pi tasi "Runakunawan qutukaashun" ninmanchu mana munaqta wapuypaqa.
21-00	ARTICULO 21
21-01	Pi may runasi, mandaqnin ima ruraytas munaptinqa iapanmi chaychru kapaakunman, kikinkunas u deigadukunas.
21-02	Mandaqkuna imawansi yanapaamuptinqa wakinkunanuymi chraskinman lapansi.
21-03	Lapan runasi munanqantam akrapaakunman mayqantasi mandaqninpaq. Naatan chay mandaqninkuna akrapaakunqan kanman ayqa' watakamas nasyuninkunachru iskirbishankunanuymi. Mandaqninta akrapaakunman mana kaskipanakularmi iskirbipas u makin chakcharkuypas.
22-00	ARTICULO 22
22-01	Juk nasyunchru yachraq runapa kapunman aypam imansi ayqansi kawaananpaq. Naatan mayqanpas masia kapuptinqa yanapanman walkala kapuqtam. Chaynuytan masia kapuptinqa nasyunkunas, yanapanman mana alaapa kapuqniyoq nasyunkunata, wakinkunapita mana jukmapasha kapaakunanpaq. Chaypita tukuy j inanpa yanapanakur, ali kapaakunanpaq.
23-00	ARTICULO 23
23-01	Pi may runasi uryanman imachruusi munanqanchruumi maychruusi. Jinaman alipam rikanakurkanman uryaqsi u urayachiqsi. Naatan mana uryata tariptinqa mandaqninkunam yanapanman tariyta.
23-02	Ishkay runa chay uryalachru kaptin jinaman chaynuyla ishkaynin uryaptinqa, pagasha kapaakunman ayqata karsi chaynuylam.
23-03	Uryaqkuna ali pagasham kapaakunman mana ima wanaychruusi kapaakunanpaq. Jinaman aylunkunas alipa rikasha kapaakunanpaq. Naatan gananqan mana imapaqsi aypaptinqa nasyunninchru mandaqninkunam yananpanman.
23-04	Pi may runas urayaqqa qutukapaakunmanmi uryaq mayinkunawan imas mana ali kaptin rimanakurkaananpaq. Manam pisi "Ama qutukapaakuychu" ninmanchu pitas. Maslata ganayta munarqa u alipa rikasha kayta munarqa, jinam manakurkaananpaq qutukarkur rimanakurkanman.
24-00	ARTICULO 24
24-01	Pi may runasi uryaqqa jamanmanmi. Chay jamar imatas rurakunman munanqantam. Naatan pisi amam uryachinmanchu rimanqanpita masqa. Jinaman watachamur jamaptin pagasham kanman.
25-00	ARTICULO 25
25-01	Pi may runapas kanman aypam imalansi ali kawapaakunanpaq, aylunkunas mana qeshyapaakunanpaq, kanman aypan mikunan, jakun, jinaman wayin yachrananpaq. Qeshyarur aywanmanmi medikuman u hospitalmansi jampichikuq. Naatan mandaq runakuna yanapapaakunman lapantam: uryapakuytam mana tariq runakunata, qeshyaqkunata, mana uryaq atipaqkunata, japatukushakunata, chachakunata, mana juchaynaq kayarsi imaynaqsi kidashakunata.
25-02	Pachrayoq warmikunas jinaman inashakunas kapaakunman aliska yanapasham imayqachruusi. Akapa wamrakuna kapaakunman ali rikasham lapansi kasadupa karsi u mana kasadupa karsi.
26-00	ARTICULO 26
26-01	Runakuna lapanmi yaykupaakunman iskuylaman. Naatan "amam pisi paganmanchu qalayunqanpita ushanqankamas. Wamrakunata kachrapaakunman lapatam munaqtas, mana munaqtas primariya iskuylaman. Chaypita masta yachrakuy munaqkuna, jinam yachrakurkanman medikupaqsi, abugadupaqsi u imayqapaqsi. Unibersidakunaman mana atipaqkuna ali yachrarqa chraskisham kapaakunman. Naatan mana yachraqkunata "Amam chraskipaakunmanchu imansi rayqoqa.
26-02	Chay iskuylakunachru yachrachiykuna kanman lapan yachrakuqkunata ali runa kayta yanapananpaqmi, alipa rikanakurkaananpaq, lapan runata yanapaa- nanpaqmi, rantisha runanuy mana pipa sirbichiqninsi kapaakunanta musyapaakunanpaqmi, juklaa nasyun runakunawan, u juk rimayta rimaqkunawan alipa kawapaakunanpaqmi Diosman yupachikuqtawan, mana yupachikuqtas alipa rikanakurkaananpaqmi. Jinaman yachrachipaakunmanmi lapan nasyunpita qutukaq delgadukuna iskirbipaakunqanta yanapanakur kawaypitas, mana wanuchinakuy kananpaq.
26-03	Naatan taytakunam akrapaakunman churinkuna may iskuylachru yachrachisha kanapaqsi.
27-00	ARTICULO 27
27-01	Runakuna pi maysi markachru imayqatas rurakunman munanqatam: ruranmanmi fistatas, kantamanmi kantatas, awanmanmi imatas, dibujanmanmi imayqatas u tantiyayninpita wamaqkunatas jurqamunmanmi, wakin aiiska tantiyay yachraq runakunanuysi.
27-02	Pi may runasi, shumakuq wamaqlata imatas kamakarachirqa u mana pisi iskirbinqanta wamaqta imapitas iskirbirurqa pagasham kapaakunman. Naatan "Amam chay ruranqantaqa pisi yachrapanmanchu. Noqam wamaqta jurqaramuu" nir, kaskinwanqa qolqeta charinan rayqosi u alawasha kanan rayqosi.
28-00	ARTICULO 28
28-01	Lapan runam may nasyunchru, kaqsi, ima lutantas rurayaqkuna qalayapaakunman ali kawayta runamayinwan, kaychru lapan kay iskirbishakunanuy.
29-00	ARTICULO 29
29-01	Runakuna Iapanmi markachru mandaqkuna imatas niptin kaasukurkanman. Chay kaasukuq karqa, pi maysi kapaakun alipa rikasham, naatan ali runa pipaqsi.
29-02	Juk nasyunchru yachraqkuna, nasyunninchru iskirbishakunata 1apanmi kaasukurkanqa, mana pisi juk rantishanwannuy piwansi sirbichikunanpaq, j inaman ali runa kapaakunanpaq. Pi maysi alim kawanman runamayinwan, naatan lapanmi imachru yanapanakurkanman ali kawayta chay nasyunninkunachru.
29-03	Kay lapan iskirbishakuna manam kaasukanmanchu kara, lapan nasyunpita qutukaq delgadukuna "Rurashunmi" ninakur rurayta mana qalayusha kapaakuptinqa.
30-00	ARTICULO 30
30-01	Juk nasyunchruusi u runa qutukaqchruusi u juk runalatas imata rurananpaqsi pisi kaychru skirbirayaqpita juklasipa imapitas tantiyachinanta manam munapaakuuchu.
