00-00	Declaraziun universela dals drets umauns
23-04	Mincha persuna ho il dret da funder insembel cun oters sindicats e da s’affilier a sindicats per defender sieus interess.
24-00	Art. 24:
24-01	Mincha persuna ho il dret da pos, specielmaing d’uena limitaziun radschunaivla dal temp da lavur, e da vacanzas periodicas pajedas.
25-00	Art. 25:
25-01	Mincha umaun ho il dret d’uen standard da viver sufficiaint per sguerer la sandet e’l bainesser d’el svess e da sia famiglia. Que concerna particulermaing l’alimentaziun, ils vstieus, la chuera medicinela scu eir ils servezzans sociels necessaris. El ho il dret da sguerezza in cas da dischoccupaziun, da malatia, d’invalidited, in cas cha’s dvainta vaidg u vaidgua, in cas da veglduena u i’ls oters cas da perdita da mezs da subsistenza tres circunstanzas independentas da sia volunted.
25-02	Mamma ed iffaunt haun il dret d’agued e d’assistenza speciela. Tuot ils iffaunts, ch’els sajan naschieus i’l matrimoni u dadour il matrimoni, giodan la medemma protecziun sociela.
26-00	Art. 26:
26-01	Mincha persuna ho il dret d’instrucziun. L’instrucziun stu esser gratuita, almain que chi concerna l’instrucziun elementera e fundamentela. L’instrucziun fundamentela es obligatorica. L’instrucziun tecnica e professiunela stu esser accessibla a tuots; l’access als stuedis superiuors stu esser liber a tuots in egualited cumplaina tenor lur merits.
26-02	L’instrucziun dess avair in mira il svilup cumplain da la persunalited umauna e rinfurzer il respet dals drets umauns e da las liberteds fundamentelas. Ella dess promouver l’incletta, la toleranza e l’amicizcha traunter tuot las naziuns e tuot las gruppas da razza u da religiun scu eir sustgnair las activiteds da las Naziuns Unidas pel mantegnimaint da la pesch.
26-03	Ils genituors haun da priorited il dret da tscherner il gener da l’instrucziun per lur iffaunts.
27-00	Art. 27:
27-01	Mincha umaun ho il dret da piglier part libramaing a la vita culturela da la cumuenaunza, da giodair las arts e da’s parteciper al progress scientific ed als benefizis chi resultan da quist.
27-02	Mincha umaun ho il dret da protecziun dals interess morels e materiels derivants da tuot la producziun scientifica, litterara u artistica, da la quela el es l’autur.
28-00	Art. 28:
28-01	Mincha persuna ho il dret cha suel champ sociel e suel champ internaziunel regia uen uorden, i’l quel ils drets e las liberteds manzunos illa preschainta Declaraziun possan ragiundscher uen effet cumplain.
29-00	Art. 29:
29-01	Mincha umaun ho dovairs invers la cumuenaunza, illa quela suletta es pussibel il svilup liber e cumplain da sia persunalited.
29-02	Illa realisaziun dals drets e da las liberteds es suottamiss mincha umaun be als limits stabilieus tres la ledscha per sguerer l’arcugnuschentscha e’l respet dals drets e da las liberteds dals oters e per satisfer a las exigenzas da la morela, da l’uorden public e dal bainesser generel in uena societed democratica.
29-03	Quists drets e quistas liberteds nu suos-chan in uenguen cas gnir realisos cunter las miras e cunter ils princips da las Naziuns Unidas.
30-00	Art. 30:
30-01	Uenguena disposiziun da la preschainta Declaraziun nu suos-cha gnir interpreteda usche cha uen stedi, uena gruppa u uena persuna hegia il dret da svilupper uen’activited u d’accumplir uen act chi ho in mira la destrucziun dals drets e da las liberteds manzunos in quista Decleraziun.
