00-00	Nana Comini Uri Illafue
21-00	Rafue 21.
21-01	Naimie jitaia, danomo ofillano, nagamie ie illaicomini nie isoi ie nairai sedajacinodi siadoga. Naimie atona siadoiacainenia, naimie facaina jiaimiedi iena siadolle. Ie illaicominir rafuena bu siadoiacania, naimiena buna rairuinena.
21-02	Illaicominina bu jaiacania, iena buna rairuinena.
21-03	Comini jitailla diese illaicominidi nana cominina sedaja. Dajerie illaicominina jaillena, comini dinena naimacina fetua. Nana comini uainino naimacina fetua. Naie illaicomini meidollirui jiai lloga.
22-00	Rafue 22.
22-01	Seguro social railla rafuemo nana comini jainaiaina. Naie rafuemona ie gobierno ucube illa diese nagamie feinua. Naimie buena jitai raillano, naimie comena jira, naimie uri illena, iese nagamie feinua.
23-00	Rafue 23.
23-01	Nie isoide rana bu maijiacania, naimiena buna rairuinena. Mare ra illanomo naimie maijia.
23-02	Maijille jaca illena, gobierno canua.
23-03	Jiaimie iemaijiamona ibana feinoia, naimie isoi bu maijiia, ie maijiamona ibana raise feinua.
23-04	Naimie comena jira, ie comini buena jitai raillano, ibana naimie raise feinua. Raise feinonenia, gobierno naimiena canua.
24-00	Rafue 24.
24-01	Maijia fuilla mei, bu jafuier oiacania, naimiena buna rairuinena: Cominina are maijitanena, iadedi naimci maijiacana dinori maijia. Fiesta raillaruimo naimaci maijitanena, iadedi nairui facaina ibaca.
25-00	Rafue 25.
25-01	Ie comini buena jitai raillano, ie maijimona nagamie ibana feinua. Ie comini raise guillena, iniroi illena, jofo raise illena, remedio ollena, ie diese ibana feinua. Bu maijinia, bu duia, bu fecinona ia, bu uaicimana jaia, ie ucube bumo inenia, gobierno naimiena canua.
25-02	Rino jocua facaise gobierno nainainona canua. Gobierno naga uriaina daje isoi canua. Moorede uruena canua. Naiso moto oga urue daje isoi canua.
26-00	Rafue 26.
26-01	Nana uruiat escuelamo jaillana buna rairuinena. Nano jailla anos facaina ibatanena. Escuelamo nana uruiatjailla. Primaria fuillanona jinie escuelamo bu jaiacania, iena illaicomini t rairuinena. Rabena uinotino diese nainomo feinoga.
26-02	Escuelamo naga rafuena raise finuana profesor llofuega. Naga urue comena jira, iese llofuega.
26-03	Nana conina nabairillana llofuega.
27-00	Rafue 27.
27-01	Nie isoide rafue ie nairai finoia, nagamie nainomo jaillana illaicomini rairuinena. Naie rafue ite ie comeci jaisillena jira, iena rairuinena.
27-02	Nie isoide rana bu cueia, naiemona dama naimie ibana feinuana buna rairuinena.
28-00	Rafue 28.
28-01	Bie rabemo cuega rafue suillena buna rairuinena. Nana comini bie isoide suille rafue illanomo jainaiaina.
29-00	Rafue 29.
29-01	Dani coniniri ie illanomo nagamie dajena maijia, nagamie comena jira.
29-02	Ie gobierno lloga uai diese nagamie ie jitaillacinona finua. Jiaie cominino ie comecina facajano iena finua. Nana comini uri illana iena finua.
29-03	Uri illena Naciones Unidas lloga uaina buna jeare uacainena.
30-00	Rafue 30.
30-01	Bie rafuedo jaiacadinona buna rairuinena. Bie rafue uinuamona, bie rabemo lloga rafuena buna jamainena.
