00-00	Kishhi byraabyn uopsai Deklaratsiyata
16-00	Sokuonnai saastaryn sippit er don uonna dakhtallar, rasalaryttan, omuktaryttan, iteghelleritten tutuluga suokh erdii -oiokhtuu buolan yal buolar byraaptaakhtar.  Erdii - oiokhtuu buolallarygar, er-oiokh buolan oloror kemneriger uonna arakhsar kemneriger kergenniiler ten byraaptaakhtar.
16-01	Erdii-oiokhtuu buoluu daiyyta ikki ottutten kushheiiite suokh sobuleng ere baar buollaghyna buolar.
16-02	Yal dien obshchestvo torut uonna surun yacheikata buolar, gosudarstvo uonna obshchestvo kharystabylynan tushhanar byraaptaakh.
17-00	17 ystatyia
17-00	Khas biirdii kishhi baaiyn duolun tus beiete bas bilien ebeter atyn donu kytary tengnge bas biliekhterin sop.
17-01	Kim daghany beietin baaiyttan ologho suokhtuk matya suokhtaakh.
18-00	18 ystatyia
18-01	Khas biirdii kishhi tolkuiduur, suobastanar, iteghellener byraaptaakh: bu byraap ishhinen kishhi khashhan bagharar beietin iteghelin, sanaalaryn ularytar manny tashhynan beietin iteghelin soghotokhtuu ebeter elbekh buolan syldan ashhaghastyk, biiter biirdiileen uoretii, tangara suluuspatyn, religioznai uonna ritualnai sieri-tuomu tutushhuu nonguo targhatyan sop.
19-00	19 ystatyia
19-01	Khas biirdii kishhi beiete iteghebil sanaalaakh buolar, uonna ol iteghebil sanaatyn eter byraaptaakh: bu byraap ishhinen kishhi beietin iteghebil sanaatyn meshheie suokhtuk tutushhar uonna gosudarstvo granitsatyttan tutuluga suokh khannyk bagharar nymannan informatsiyany korduur, ylar uonna targhatar byraaptaakh.
20-00	20 ystatyia
20-00	Khas biirdii kishhi eieleekh munnakhtarga uonna kholboshhuktarga kiirer byraaptaakh.
20-01	Kimi daghany kuus ottunen khannyk da assotsiatsiyagha killerillibet.
21-00	21 ystatyia
21-00	Khas biirdii kishhi beietin doidutun salaiyytygar byshhachchy, ebeter kongulluk talyllybyt don nonguo kyttyyny ylyan sop.
21-01	Khas biirdii kishhi beietin doidutugar gosudarstvennai suluuspagha kiirer byraaptaakh.
21-02	Pravitelstvo bylaashha noruot kordobuluger ologhuruokhtaakh; ol kordobul kemten -kemiger yytyllar, barylarygar teng uonna uopsai kisteleng kuolastaashhyn, ebeter onno teng suoltalaakh, kuolastaashhyn kongulun khaachchyiar korung komotunen chieshhinei byybardarga kordoruunu buluokhtaakh.
22-00	22 ystatyia
22-01	Khas biirdii kishhi, obshchestvo chilienin byshhyytynan sotsialnai kharaltany ylar byraaptaakh.  Khas biirdii kishhi, obshchestvo chilienin byshhyytynan, kini beie suoltatyn sopko tutuuga, kini tus beiete noruot kuushhunen, noruottar ikki ardylarygar baar sibeesterin tushhananan, ekonomicheskai, sotsialnai, kulturnai uobalastarga saidar byraaptaakh.
23-00	23 ystatyia
23-00	Khas biirdii kishhi uleliir, kongulluk uleni talar, uleliirge uchugei usuluobuialaakh, uonna ulete suokh khaalartan kharystanar byraaptaakh.
23-01	Khas biirdii kishhi, byraaba sarbyllyyta suokh toshhonu uleleebitinen khamnas ylyakhtaakhteng.
23-02	Khas biirdii uleliir kishhi uletiger sop tubeshhinneren eppietteshher khamnastanyakhtaakh, khamnashha kiniekhe beietin tus naadatygar uonna kini die kergeniger tiiyiekhteekh, tiiybet buollaghyna atyn sotsialnai komonon tolorulluokhtaakh.
23-03	Khas biirdii kishhi beietin interiesterin komuskuur professionalnai tumsuuleri (soyuz) teriyer, beietin interiesterin komuskeeri, professionalnai tumsuu chiliene buolar byraaptaakh.
24-00	24 ystatyia
24-01	Khas biirdii kishhi synnanar, illeng kemin ataarar, uletin kune sop ushhunnaakh buoluokhtaakh, kemitten kemiger tolonor uoppuska ylar byraaptaakh.
25-00	25 ystatyia
25-00	Khas biirdii kishhi beiete uonna kini die kergene doruobai uonna chol buolallaryn tushhugar, ashhyyr astaakh, tangnar tangastaakh, oloror dieleekh, kemiger ongoshhullar meditsinskei uonna sotsialnai ongogho, many tashhynan, kini ulete suokh, ebeter boskhong (invalid), ogdoobo buolar uonna kyrdar tugenneriger uonna kinitten tutuluga suokh tugennerten syltaan tugun barytyn suterer tubeltetiger, araas ongo uonna komo korduur byraaptaakh.
25-01	Iie buoluu uonna sanga torooshhun ushhuluchchu syshhyany uonna komonu ereieller.  Die kergengnge toroobut uonna bulumnu ogholor biir teng sotsialnai kharaltanan tushhanar byraaptaakhtar.
26-00	26 ystatyia
26-00	Khas biirdii kishhi uorener byraaptaakh.  Mangnaigy uonna orto sushhuokh uorekhteeshhin tolobure suokh buoluokhtaakh.  Mangnaigy uorekhteeshhin bulguchchulaakh buoluokhtaakh.  Baghalaakh kishhi baryta tekhnicheskai uonna anal uorekhkhe uoreniekhterin sop, urduk uorekh kyshhatygar baghalaakh kishhi baryta kyaghyttan koron uoreniekhteekh.
26-01	Uorekhteeshhin kishhini lichnost byshhyytynan saiynnararga, kishhi byraabyn uonna kongulun ubaastyyry elbeterge khaiyskhalaakh buoluokhtaakh. Uorekhteeshhin noruottar, rasalar uonna religioznai kholboshhuktar ikki ardylarygar oidoshhuunu, tuluiumtuo buoluunu, doghordoshhuunu uksetiekhteekh. Kholboshhuktaakh Natsiyalar organizatsiyalaryn eieni ukseter uleleriger komoloshhuokhteekh.
26-02	Toropputter kyra saastaakh ogholorugar mangnaigy uorekh kyshhatyn talar byraaptaakhtar.
27-00	27 ystatyia
27-00	Khas biirdii kishhi obshchestvo kulturnai ologhor kongulluk kyttar, iskusstvottan duoshhuiar, nauchnai saidyyga kyttar uonna ol saidyynnan tushhanar byraaptaakh.
27-01	Khas biirdii kishhi beiete aibyt nauchnai, literaturnai ebeter khudozhestvennai aiymnylaryn sier maigy uonna up-kharchy ottunen komusketer byraaptaakh.
28-00	28 ystatyia
28-01	Bu dingneekh Deklaratsiyagha etillibitin kurduk, khas biirdii kishhi beietin byraaba uonna kongule buttuun olokhkho killerer sotsialnai bereedekteekh doiduga oloror byraaptaakh.
29-00	29 ystatyia
29-00	Khas biirdii kishhi obshchestvo ortotugar kongul uonna buttuun saidar kyakhtaakh buolaryn byshhyytynan, obshchestvo inniger tus ebeeshhinesteekh.
29-01	Khas biirdii kishhi beietin byraabyn uonna kongulun olokhtooshhunugar korsor khaachchakhtaashhynnara, sokuon atyn don byraabyn uonna kongulun, sigili (moral) irdebillerin toloror innitten, uonna noruokka tabygastaakh tutulu tutar tushhuttan olokhtoobut bobuulartan atyn buoluo suokhtaakh.
29-02	Bu byraaptary uonna kongulleri olokhkho killerii khannyk da tubelteghe Kholboshhuktaakh natsiyalar organizatsiyalaryn syallarygar uonna ylymmyt sanaalarygar utary utarsya suokhtaakh.
30-00	30 ystatyia
30-01	Dingneekh Deklaratsiya is khoshhoono khannyk eme doiduga, don tumsuutuger ebeter kekke donnorgo bu deklaratsiyagha surullubut byraaby uonna kongulu suokh ongororgo kongulu bierii kurduk toionnonuo suokhtaakh.
