00-00	OPShTA DEKLARATSIJA O PRAVIMA ChOVEKA
09-01	Niko ne sme biti proizvoljno ukhapshen, pritvoren, niti proteran.
10-00	Chlan 10.
10-01	Svako ima potpuno jednako pravo na pravichno javno sudjenje pred nezavisnim i nepristrasnim sudom koji tshe odluchiti o njegovim pravima i obavezama, i o osnovanosti svake krivichne optuzhbe protiv njega.
11-00	Chlan 11.
11-01	Svako ko je optuzhen za krivichno delo ima pravo da bude smatran nevinim dok se na osnovu zakona krivitsa ne dokazhe na javnom sudjenju na kojem su mu obezbedjene sve garantije potrebne za njegovu odbranu.
11-02	Niko ne sme biti osudjen za dela ili propuste koji nisu predstavljali krivichno delo po natsionalnom ili medjunarodnom pravu u vreme kada su izvrsheni. Isto tako ne sme se izritsati tezha kazna od one koja se mogla primeniti u vreme kada je krivichno delo izvrsheno.
12-00	Chlan 12.
12-01	Niko ne sme biti izlozhen proizvoljnom meshanju u privatni zhivot, poroditsu, stan ili prepisku, niti napadima na chast i ugled. Svako ima pravo na zakonsku zashtitu protiv ovakvog meshanja ili napada.
13-00	Chlan 13.
13-01	Svako ima pravo na slobodu kretanja i izbora stanovanja u granitsama pojedine drzhave.
13-02	Svako ima pravo da napusti bilo koju zemlju, ukljuchujutshi vlastitu, i da se vrati u svoju zemlju.
14-00	Chlan 14.
14-01	Svako ima pravo da trazhi i uzhiva u drugim zemljama utochishte od proganjanja.
14-02	Na ovo pravo se niko ne mozhe pozvati u sluchaju gonjenja za krivichna dela koja nisu politichkog karaktera ili progona zbog dela koja su u suprotnosti sa tsiljevima i nachelima Ujedinjenikh natsija.
15-00	Chlan 15.
15-01	Svako ima pravo na drzhavljanstvo.
15-02	Niko ne sme samovoljno biti lishen svog drzhavljanstva niti prava da promeni drzhavljanstvo.
16-00	Chlan 16.
16-01	Punoletni mushkartsi i zhene, bez ikakvikh ogranichenja u pogledu rase, drzhavljanstva ili vere, imaju pravo da sklope brak i da osnuju poroditsu. Oni su ravnopravni prilikom sklapanja braka, za vreme njegovog trajanja i prilikom njegovog razvoda.
16-02	Brak se zakljuchuje samo slobodnim i potpunim pristankom litsa koja stupaju u brak.
16-03	Poroditsa je prirodna i osnovna tshelija drushtva i ima pravo na zashtitu drushtva i drzhave.
17-00	Chlan 17.
17-01	Svako ima pravo da poseduje imovinu, sam kao i u zajednitsi s drugima.
17-02	Niko ne sme biti samovoljno lishen imovine.
18-00	Chlan 18.
18-01	Svako ima pravo na slobodu misli, savesti i vere; ovo pravo ukljuchuje slobodu promene vere ili ubedjenja i slobodu da chovek, bilo sam ili u zajednitsi s drugima, javno ili privatno, uprazhnjava svoju veru ili ubedjenje putem nastave, vrshenja kulta i obavljanja obreda.
19-00	Chlan 19.
19-01	Svako ima pravo na slobodu mishljenja i izrazhavanja, shto obukhvata i pravo da ne bude uznemiravan zbog svog mishljenja, kao i pravo da trazhi, prima i shiri obaveshtenja i ideje bilo kojim sredstvima i bez obzira na granitse.
20-00	Chlan 20.
20-01	Svako ima pravo na slobodu mirnog okupljanja i udruzhivanja.
20-02	Niko ne mozhe biti primoran da pripada nekom udruzhenju.
21-00	Chlan 21.
21-01	Svako ima pravo da uchestvuje u upravljanju svojom zemljom, neposredno ili preko slobodno izabranikh predstavnika.
21-02	Svako ima pravo da na ravnopravnoj osnovi stupa u javnu sluzhbu u svojoj zemlji.
21-03	Volja naroda je osnova drzhavne vlasti; ova volja treba da se izrazhava na povremenim i slobodnim izborima, koji tshe se sprovoditi opshtim i jednakim pravom glasa, tajnim glasanjem ili odgovarajutshim postupkom kojim se obezbedjuje sloboda glasanja.
22-00	Chlan 22.
22-01	Svako, kao chlan drushtva, ima pravo na sotsijalno osiguranje i pravo da ostvaruje privredna, drushtvena i kulturna prava neopkhodna za svoje dostojanstvo i za slobodan razvoj svoje lichnosti, uz pomotsh drzhave i medjunarodne saradnje, a u skladu s organizatsijom i sredstvima svake drzhave.
23-00	Chlan 23.
23-01	Svako ima pravo na rad, na slobodan izbor zaposlenja, na pravichne i zadovoljavajutshe uslove rada i na zashtitu od nezaposlenosti.
23-02	Svako, bez ikakve razlike, ima pravo na jednaku platu za jednaki rad.
23-03	Svako ko radi ima pravo na pravednu i zadovoljavajutshu naknadu koja njemu i njegovoj poroditsi obezbedjuje egzistentsiju koja odgovara ljudskom dostojanstvu i koja tshe, ako bude potrebno, biti upotpunjena drugim sredstvima sotsijalne zashtite.
23-04	Svako ima pravo da obrazuje i da stupi u sindikate radi zashtite svojikh interesa.
24-00	Chlan 24.
24-01	Svako ima pravo na odmor i razonodu, ukljuchujutshi razumno ogranichenje radnog vremena i povremeni platsheni odmor.
25-00	Chlan 25.
25-01	Svako ima pravo na zhivotni standard koji obezbedjuje zdravlje i blagostanje, njegovo i njegove poroditse, ukljuchujutshi khranu, odetshu, stan i lekarsku negu i potrebne sotsijalne sluzhbe, kao i pravo na osiguranje u sluchaju nezaposlenosti, bolesti, invalidnosti, udovishtva, starosti, ili drugikh sluchajeva gubljenja sredstava za izdrzhavanje usled okolnosti nezavisnikh od njegove volje.
25-02	Majke i detsa imaju pravo na narochito staranje i pomotsh. Sva detsa, rodjena u braku ili van njega, uzhivaju jednaku sotsijalnu zashtitu.
26-00	Chlan 26.
26-01	Svako ima pravo na shkolovanje. Shkolovanje treba da bude besplatno bar u osnovnim i nizhim shkolama. Osnovna nastava je obavezna. Tekhnichka i struchna nastava treba da bude opshte dostupna, a visha nastava treba da bude svima podjednako pristupachna na osnovu utvrdjenikh kriterijuma.
26-02	Shkolovanje treba da bude usmereno punom razvoju ljudske lichnosti i jachanju poshtovanja ljudskikh prava i osnovnikh sloboda. Ono treba da unapredjuje razumevanje, trpeljivost i prijateljstvo medju svim narodima, rasnim i verskim grupatsijama, kao i delatnost Ujedinjenikh natsija za odrzhavanje mira.
26-03	Roditelji imaju prvenstveno pravo da biraju vrstu shkolovanja za svoju detsu.
27-00	Chlan 27.
27-01	Svako ima pravo da slobodno uchestvuje u kulturnom zhivotu zajednitse, da uzhiva u umetnosti i da uchestvuje u nauchnom napretku i u dobrobiti koja otuda proistiche.
27-02	Svako ima pravo na zashtitu moralnikh i materijalnikh interesa koji proistichu iz bilo kog nauchnog, knjizhevnog ili umetnichkog dela chiji je on tvorats.
28-00	Chlan 28.
28-01	Svako ima pravo na drushtveni i medjunarodni poredak u kojem prava i slobode objavljeni u ovoj Deklaratsiji mogu biti potpuno ostvareni.
29-00	Chlan 29.
29-01	Svako ima duzhnost prema zajednitsi koja jedina omogutshava slobodno i puno razvijanje njegove lichnosti.
29-02	U vrshenju svojikh prava i ostvarivanju sloboda svako mozhe biti podvrgnut samo onim ogranichenjima koja su predvidjena zakonom u tsilju obezbedjenja nuzhnog priznanja i poshtovanja prava i sloboda drugikh i u tsilju zadovoljenja pravichnikh zakhteva morala, javnog poretka i opshteg blagostanja u demokratskom drushtvu.
29-03	Ova prava i slobode ni u kom sluchaju ne mogu se izvrshavati protivno tsiljevima i nachelima Ujedinjenikh natsija.
30-00	Chlan 30.
30-01	Nijedna odredba ove Deklaratsije ne mozhe se tumachiti kao pravo za ma koju drzhavu, grupu ili litse da preduzima bilo koju aktivnost ili da vrshi bilo kakvu radnju usmerenu na ponishtenje prava i sloboda koji su u njoj sadrzhani.
