00-00	DEN INTERNASJONALE FRAaSEGNA OM MENNESKERETTANE
21-02	Folkeviljen skal vere grunnlaget for den makta som er lagd til styremaktene. Folkeviljen skal kome til syne gjennom regelfaste og roeynlege val, som er grunna paa allmenn og lik roeysterett i loeynlege val eller paa annan jamgod roeystemaate.
22-00	Artikkel 22.
22-01	Kvar einskild medlem i samfunnet har rett til sosial tryggleik, og har krav paa at dei oekonomiske, sosiale og kulturelle godane, som han ikkje kan vere utan om han skal ha voerdnad for seg sjoelv og styrke den personlege karakteren sin, blir loeyste gjennom nasjonale tiltak og internasjonalt samarbeid i samsvar med det kvar stat maktar.
23-00	Artikkel 23.
23-00	Alle har rett til arbeid, til fritt aa velje yrke, til rettferdige og gode arbeidstilhoeve og vern mot arbeidsloeyse.
23-01	Alle har same rett til aa faa lik betaling for likt arbeid, utan skilnad av noko slag.
23-02	Den som arbeider har krav paa rettferdig og god betaling, saa han kan syte for familien sin og seg sjoelv paa ein menneskeverdig maate, og om det trengst, faa hjelp gjennom andre og utfyllande sosiale midlar.
23-03	Alle har rett til aa skipe og melde seg inn i fagforeningar for aa verne interessene sine.
24-00	Artikkel 24.
24-01	Alle har rett til kvile og fritid, og dermed til ei rimeleg avgrensa arbeidstid, og til ferie med loen.
25-00	Artikkel 25.
25-00	Alle har rett til ein levestandard som kan tryggje helsa og velvaeret til forsytaren og familien hans, og gje dei mat, klede, hus, helsestell og noedvendige sosiale trygder ved arbeidsloeyse, ufoere, doedsfall, alderdom eller andre tilhoeve som skiplar livskaara, og som forsytaren ikkje er herre over.
25-01	Mor og barn har rett til saerskild omsorg og hjelp. Alle barn skal ha same sosiale vern, anten dei er foedde i eller utafor ekteskapet.
26-00	Artikkel 26.
26-00	Alle har rett til undervisning. Opplaeringa skal vere kostnadsfri, i det minste i den allmenne grunnskulen. Den elementaere undervisninga skal vere pliktig for alle. Alle skal ha hoeve til aa faa fagopplaering, og det skal vere like vilkaar for alle til aa faa hoegre utdaning, alt etter dei evnene dei har.
26-01	Undervisninga skal ha til maal aa styrkje den menneskelege personlegdomen og auke voerdnaden for menneskerettane og den grunnleggjande fridomen, fremje skjoensemd, toleranse og venskap mellom alle nasjonar, folkeslag og religioese grupper og stoe fredsarbeidet til Dei Sameinte Nasjonane.
26-02	Foreldra har foersteretten til aa velje kva slag opplaering barna deira skal faa.
27-00	Artikkel 27.
27-00	Alle har rett til fritt aa vere med i det kulturelle livet i samfunnet, til aa nyte kunst og til aa faa sin part av dei vitskaplege nyvinningane og godane som foelgjer med dei.
27-01	Kvar einskild har rett til aa faa verna dei moralske og materielle interessene som han har skapt seg gjennom vitskapleg, litteraert eller kunstnarleg arbeid.
28-00	Artikkel 28.
28-01	Alle har krav paa aa faa leve under slike sosiale kaar og internasjonale tilhoeve at dei fullt ut kan gjere til roeyndom retten og fridomen i denne fraasegna.
29-00	Artikkel 29.
29-00	Alle har plikter andsynes samfunnet, daa personlegdomen til den einskilde einast der kan faa frie og fullgode voksterkaar.
29-01	Retten og fridomen til den einskilde skal ikkje vere avgrensa av anna enn det lova tydeleg slaar fast for aa tryggje den voerdnaden alle andre har krav paa naar det gjeld rett og fridom, og dei krav som eit demokratisk samfunn med rette kan setje til moral, offentleg orden og allmenn velferd.
29-02	Denne retten og fridomen kan ikkje i noko hoeve nyttast i strid med formaalet og prinsippet til Dei Sameinte Nasjonane.
30-00	Artikkel 30.
30-01	Ikkje noko i denne fraasegna maa tolkast slik at det gjev stat, grupper eller einskildmenneske rett til aa vere med paa tiltak eller handlingar av noko slag som har til maal aa oeydeleggje den retten og fridomen som denne fraasegna stadfester.
