00-00	KAQ KEYMI LLAPAN PATSACHOW IMANA KAQ NUNAKUNAPAPIS DERECHUNKUNA
08-01	Mey nasyonchowpis konstitusyon kaq leykunata o meyqan leykunata niana wiyakurriin juk nuna allqotsakunqa nuna mayinta. Tsey allqotsashqa nunaqa tsatakunmanmi alli kaq awtoridaman i tsey awtorida manam jaqerinmantsu keynow kananpaq leyninwan.
09-00	Artikulu 9.
09-01	Manam ni pi awtoridakuna muneyninta rurarnin juk nunapa mana jutsan keykaptinqa tsey nunata ni pwestuman ni karselman llawitsiyanmantsu ni kuyey markanpita qarqoyanmantsu.
10-00	Artikulu 10.
10-01	Llapan nunakunapa derechunkunam kanman tsatashqa kayanqanta alli kaq jweschow llapan nunakunapa nowpanchow altsananpaq. I juk nuna jutsayoqta tarirqa mana alli rurashqanpita !eykuna kanqanmannowmi qochiyanman derechunkunata.
11-00	Artikulu 11.
11-00	Tsatashqa karninqa juk nunaqa manam jutsayoqran jwes jutsan tarinqanyaq. Nunakunapa nowpanchow, justisyata jwes rurashqanchowmi, tsey nunapa derechun kanman juk washaqnin peypaq parlakunanpaq.
11-01	Juk nuna imatapis ruranqa; i tseynow ruranqata manana rurananpaqqa juk mushoq ley kikinpa nasyonninchow o llapan patsachow karinqa. Tsey nunaqa rurashqanpita manam jutsayoqtsu kanman. Pi nunapis imata ruranqanchow mana alli kashqanta, ni pi musyarqantsu, manam jutsatsu kanman, ni nasyonninchow ni llapan patsachow; manam juk jutsapaq kantsu ishkey laya justisya.
12-00	Artikulu 12.
12-01	Mana imapis keykaptenqa nuna mayinpa kaweykininman, ni yarwar mayinman (familyanman), ni pi nuna manam jaka kanmantsu, ni qellqakuyanqanta paqilapa leyikunmantsu, ni wayinman mana alli rurakoq yeykunmantsu. I ulikurkurnenqa nunakunapa jananchow nunapa wasan manam rimanmantsu. Tseynow mana alli nunakunapaq llapan nasyonkunachowmi leykuna kanmi.
13-00	Artikulu 13.
13-00	Mey nasyonchow keykarninmi meyqan nunapapis derechun kanman munanqanpa purikunanpaq, munanqan markachow takunanpaq.
13-01	Mey nasyonpita o kikinpa nasyonninpita yarqushqa karninpis, meyqan nunapa derechunmi kanman nasyonninman kutikunanpaq.
14-00	Artikulu 14.
14-00	Pi nunapis mana alli awtorida qatikachaptenqa, tsey nuna dere'chunchowmi ashinman, meyqan nasyonchowpis takunanpaq.
14-01	Lluta jutsakuna ruraq, Naciones Unidaskuna nishqanta mana ruraqkunaqa, manam key derechuyoqtsu kayan.
15-00	Artikulu 15.
15-00	Meyqan nunapapis derechunmi kanman nasyonninpa nunan kananpaq.
15-01	Mana pitapis awtorida muneyniyta rurar waqanmantsu nasyonninpita, pi nunapis munarqa eywukunmanmi juk nasyonkunachow taeraq.
16-00	Artikulu 16.
16-00	Meyqan laya, mey nasyon, meyqan relijyonchow karninpis oliqopis, warmipis, llapan nunakuna mallwayarqa derechunkunam kanman kasakurnin yarwar mayinkuna kayaepunanpaq. Warmipaqpis, ollqopaqpis tseynowllam derechunkuna kanman kasakuyaenanpaq. I kasadu keykaeyanqanchow rakikayaptinpis derechunkunam keykanman.
16-01	Ishkankuna warmi oliqo munanakurninmi kasakuyanman. Manam ni pipis pushanmantsu mana munanqanwan kasakunanpaq.
16-02	Yarwar mayikunawanmi qal]ayan markakuna nasyonkunam rikapaeyanman i yanapaeyanman alli kawayaenanpaq.
17-00	Artikulu 17.
17-00	Llapan nunam kapoqyoq kanman; munarqa japallan o piwanpis shuntukur.
17-01	Mana pitapis qochiyanmantsu kapoqninta.
18-00	Artikulu 18.
18-01	Llapan nunapam derechum kan, munanqannow yarpachakunanpaq, i rurananpaq, relijyonnin akrananpaq o jukta ashinanpaq; tseynow kashqanchow derechunchowmi ninman japallan kashqanchow o nunakunapa nowpanchow.
19-00	Artikulu 19.
19-01	Llapan nunam derechunchow munanqanta ninanpaq o ruranapaq; tseypaqreykur nuna pipis pinapanmantsu ni qatikachanmantsu. Kikin rurashqantaqa shuntukiywanpis munarqa musyatsikunmanmi kikinpa nasyonninchow o juk nasyonkunachowpis.
20-00	Artikulu 20.
20-00	Meyqan nunakunapapis derechunmi kanman imapaq eyllukayaenanpaq i ima purwakayanqanchow shuntukayaenanpaq. I tsey purwakayanqanqa kanman manam pitapis pinapaeyananpaq.
20-01	Manam munaqtaqa, manam pipis purwakan kanman qayanmantsu.
21-00	Artikulu 21.
21-00	Llapan nunapam derechun kanman nasyonninchow kamatsinanpaq; kikin o marka mayinta akrarkur kamatsikoq pushananpaq.
21-01	Meyqan nunakunapis derechun kanman, nasyonkunapa ofisinanchow uryayaenanpaq.
21-02	Pipis awtoridaman chan marka mayinkuna munaptinmi; key muneyninkunata rurayanman patsatsikoqkunapa watan ushkaeriptin alli kaq marka mayinkunata akrar. Key akrakiykanman mana pipis rikareykaemashqam.
22-00	Artikulu 22.
22-01	Llapan nunakuna key patsachow kawarnin kayaptinmi derechun kanman seguru sosyalninkuna kananpaq. I tseynow kananpaqmi mas kapoqyoq nasyonkuna yanapaeyanman waktsa nasyonkunata; peykunanman rurayanman kanqanmannow. I tseynow gobiyernu ruraptinmi llapan nunakuna imeypis shumaq alli kawayanman, i munayanqanmannowmi winakuyanman.
23-00	Artikulu 23.
23-00	Llapan nunakunapa derechunmi kanman uryayoq kayaenanpaq. I munanqan uryeytam akrayanman. I uryayanqanchow mana rureyta yacharqa o qeshyamarqa manam ruranmantsu. I llapan nasyonchowmi leykuna kanman mana uryayoq nunakunata yanapaeyananpaq.
23-01	Tseynowlla uryeychow keykaeyaptenqa tseynowllam ushkan kanman meyqan nunakunapapis.
23-02	Llapan uryakoq munatam ushkan qoyanman mana suwapashpa yawar mayikunawan alli kawananpaq; mana tseynow kaptenqa kamatsiyoqkunam leykunata qorqoyanman yanapakuyaenanpaq.
23-03	Llapan nunapam derechun kan purwakarkur sindikatu nishqanta ruraya'nanpaq; keyta rurayanman wallkinakushqa kayaenanpaq.
24-00	Artikuiu 24.
24-01	Llapan nunapam derechum kanman uryarirqa jamakurinanpaq; uryeykunaqa manam junareqnowtsu kanman; kamatsikoqkuna leychowmi keyta qeliqayanman. Jamakiynin chaemuptinqa llapan uryakoqmi jamakuyanman mana ushkanta oqrashpa.
25-00	Artikulu 25.
25-00	Meyqan nunapapis ushkaeninmi atskam kanman alli kawakiychow kikin, warmin, i tsurinkuna kawayaenanpaq. I ushkanmi tinkunman mikiyninkunapaqpis, ratashninkunapaqpis, wayinpaqpis, qeshyarninqa jampikuyaenanpaqwan i estaeduta paegananpaq llapan marka mayinkunapaq ruranqanta. I uryey mana kaptenqa, o qeshyakiykaptenqa, o soqru tikrakuriptenqa, o paju kaptenqa, o owkisyaptenqa, o imanowpapis mana uryeyta pwediptenqa, meyqan nunapapis derechunmi kanman seguru sosyalnin tsarananpaq.
25-01	Wawayoq paju warmikunapaq i waktsa wamrakunapaq nasyonkunachow leyninkuna kanman munayanqanmannow yanapayaenanpaq. Key ley llapan tsurikunapaqmi derechunkunata ratatsin.
26-00	Artikulu 26.
26-00	Meyqan nunakunapapis derechunmi kanman yachakuyaenanpaq. I yachakiy mana rantiyoqmi kanman primariyata ushanqanyaq. I llapan wamrakuna primariyachow yachakuyaenanman. Keynow yachakiychowqa nunakuna derechunchowmi kanman ima profesyontapis akrananpaq.
26-01	Yachakuyaqa kanman llapan nunakuna winayaenanpaq; nuna mayinkunawan mana pinapaenakur, wallkinakur kawayaenanpaq; manam chikinakushpa, mana jorqapaenakushpa, kuyanaekur nuna purapis, nasyon purapis; ima laeya nunakunapis, imanow relijyon kaqpis, Naciones Unidasta yanapaekur alli kawakunapaq.
26-02	Teytakunapa derechunmi kanman tsurinkunapaq yachatsikiyninta akrananpaq.
27-00	Artikulu 27.
27-00	Pi nunapis derechunchowmi kanman qotsukur, qatswakur, shumaq qotsukuwanta wiyakiyta, markanpa kaweynin qellqeyta, i marka mayinkuna ruranqanta meyqanpis tsari nmanmi kushikurinanpaq, yarpachakunanpaq.
27-01	Manam pipis derechuyoqtsu juk rurashqanta noqam rurarqae ninanpaq; keynow mana kanapaq imatapis ruraqkuna wil lakuyanmanmi kamatsikoqkunaman.
28-00	Artikulu 28.
28-01	Llapan nunakuna derechun kan keychow qellqashqa kaqta, tseynow kananpaq.
29-00	Artikulu 29.
29-00	Llapan nunam ruranan markan nishqanta, tseychow yurishqanpita, taeran winanpis marka mayikunawan. Tseynow kawarnin alli nuna keyta yachakun.
29-01	Key deklarasyonchow derechukuna nishqanmannow kaweykarninmi llapan nunakuna wiyachakuyanman nasyonchow leykuna kashqanta. I wakin nunakunapa derechunkunata mana jalupashpa, shumaq kakushwan nunakuna kawayaenanpaqmi, mana pinapaenakur pipaqpis mana allim munarislipa, tseynow nunakuna kawakunapaqmi tsey leykunata gobiyernu rurashqa.
29-02	Key derechukunata i muneykunata manam pipis rurayanmantsu mana Naciones Unidas munanqannowqa.
30-00	Artikulu 30.
30-01	Key deklarasyonchowqa manam ni imapis kantsu meyqan nasyonpis, meyqan laeya nunakunapis ni meyqan nunapis, nuna rnayinkunapa derechunkunata micharnin kayaenanpaq.
