00-00	TOTOBATSO E AKARETSANG YA DITOKELO TSA BOTHO
22-01	Motho e mong le e mong, jwalo ka setho sa setjhaba, o na le tokelo ya polokeho ya setjhaba, mme o lokelwa ke ho fumana, ka thuso ya setjhaba le tshebetsommoho ya matjhaba le ho ya ka tsamaiso le mehlodi ya naha ka bong, ditokelo tsa ekonomi, botjhaba le meetlo, tse hlokahalang mabapi le seriti sa hae le kgolo, ka bolokolohi, ya botho ba hae.
23-00	Pehelo ya 23
23-00	Motho e mong le e mong o na le tokelo ya ho sebetsa, le ho ikgethela mosebetsi ka bolokolohi, ha mmoho le boemo ba mosebetsi bo se nang leeme, bo bile bo rateha. O na le tokelo ya ho sireletswa kgahlanong le ho hloka mosebetsi.
23-01	Motho e mong le e mong, ho sa kgethollwe, o na le tokelo ya moputso o lekanang mosebetsi.
23-02	Motho e mong le e mong ya sebetsang o na le tokelo ya moputso o se nang leeme, o kgotsofatsang, o mmehang boemong, yena le ba lelapa, ho phela bophelo bo dumellanang le seriti sa botho, mme bo tshehetswa, ha ho hlokahala, ke ditsela tse ding tsa tshireletso ya setjhaba.
23-03	Motho e mong le e mong o na le tokelo ya ho theha le ho ba setho sa mekgatlo ya basebetsi, ho sirelletsa ditabatabelo tsa hae.
24-00	Pehelo ya 24
24-01	Motho e mong le e mong o na le tokelo ya phomolo le boikgathollo, ho kenyelletswa le dihora tsa mosebetsi tse beetsweng meedi, ha mmoho le matsatsi a phomolo a lefellwang.
25-00	Pehela ya 25
25-00	Motho e mong le e mong o na le tokelo ya bophelo ba boemo bo mo lokelang yena le ba lelapa la hae, ho balellwa le dijo, diaparo, ntlo,le meriana, ha mmoho le ditshebeletso tsa setjhaba tse hlokahalang, le tokelo ya tshireletso ha a felletswe ke mosebetsi, a kula, a holofetse, e le mohlolohadi, a tsofetse, kapa a na le tlhoko ya ho iphedisa ka mabaka ao a sitwang ho a phema.
25-01	Bomme le bongwana bo hloka tlhokomelo le thuso tse ikgethang. Bana bohle, le ba dikgaupane, ba tla sireletswa ke setjhaba ka ho tshwana.
26-00	Pehelo ya 26
26-00	Motho e mong le e mong o na le tokelo ya ho ruteha. Thuto e tla fumaneha mahala, bonyane bohatong bo qalang ba motheo. Thuto e qalang e tla tlama bohle. Thuto ya botegnike le ya pitso e tla fumaneha ka kakaretso mme thuto e phahameng le yona e tla fumaneha ka ho lekana ho bohle ho ya ka dineo tsa batho.
26-01	Thuto e tla tobana le ho hodisa bohle ka botlalo le ho matlafatsa tlhompho ya ditokelo tsa botho ha mmoho le bolokolohi ba motheo. E tla kgothalletsa kutlwisiso, mamello le setswalle ditjhabeng tsohle, merabeng yohle kapa dihlopheng tsa bodumedi, mme e tla ntshetsa pele mesebetsi ya mtjhaba a kopaneng ho boloka kgotso.
26-02	Batswadi ba na le tokelo ya pele ho kgethela bana ba bona thuto eo ba tlamehang ho e fumana.
27-00	Pehelo ya 27
27-00	Motho e mong le e mong o na le tokelo ya ho ba le kabelo ka bolokolohi meetlong ya setjhaba, ho thahasella mekgabo, le ho ba le seabo tswelopeleng ya saense le melemo ya yona.
27-01	Motho e mong le e mong o na le tokelo ya tshireletso ditabeng tsa moya le tsa nama tse tswalwang ke tlhahiso ya saense, dingolwa kapa bonono boo e leng moqapi wa teng.
28-00	Pehelo ya 28
28-01	Motho e mong le e mong o lokelwa ke tokelo ya setjhaba le matjhaba eo ho yona ditokelo le bolokolohi, tse hlahang Phatlalatsong ena, di fumanehang ka botlalo.
29-00	Pehelo ya 29
29-00	Motho e mong le e mong o na le boikarabelo setjhabeng moo botho ba hae bo ka holang ka botlalo le ka bolokolohi.
29-01	Tshebedisong ya ditokelo le bolokolohi ba hae, motho e mong le e mong o tla laolwa feela ke meedi e entsweng ka molao bakeng sa ho amohela le ho hlompha ditokelo le bolokolohi ba ba bang, le ho phethisa ditlhoko tse lokelang tsa boitshwaro, tlhomphano setjhabeng le bophelo bo botle ka kakaretso setjhabeng sa demokrasi.
29-02	Ditokelo le bolokolohi bona ha ho ka moo di ka sebediswang kgahlanong le merero le melao ya Matjhaba a Kopaneng.
30-00	Pehelo ya 30
30-01	Ha ho letho Phatlalatsong ena le tshwanetseng ho hlalosa hore naha efeng kapa efeng, batho kapa motho, ba na le tokelo ya ho itshunya kapa ho etsa ketso efeng kapa efeng eo sepheo sa yona e leng ho heletsa ditokelo le bolokolohi bofeng kapa bofeng bo ngotsweng mona.
