00-00	maanav adhikaarako vishvavyaapii ghossannaa
19-01	pratyek vyaktilaaii vicaar ra abhivyakti svatantrataako adhikaar cha . yas adhikaaramaa kunai hastakssep binaa aaknaa mataharu abhivyakta garne ra kunai pani avarodh ra siimaaharu binaa sanycaar maadhyamaddhaaraa suucanaa praatpa garne, khojne ra prasaar garne adhikaar samaavesh cha .
20-00	dhaaraa-20
20-01	pratyek vyaktilaaii shantipuurnna rupamaa bhelaa hune tathaa samgha samsthaa kholne adhikaar cha .
20-02	kasailaaii pani kunai samsthaasamga aavaddha hun vaadhya garaaun sakine chain .
21-00	dhaaraa-21
21-01	pratyek vyaktilaaii usako deshako sarakaaramaa pratyakssa vaa svatantra rupale cuniekaa pratinidhiharu maarpha baneko sarakaaramaa sahabhaagii hune adhikaar cha .
21-02	pratyek vyaktilaaii usako deshako rsaarvajanik sevaamaa pravesh ra pahumcako samaan adhikaar cha .
21-03	sarakaarako shaasan garne aadhaar janataako icchaa hunech . yasto icchaa aam tathaa samaan matadaanadvaaraa samaya samayamaa garine nisspakssa cunaav maarpha abhivyakta garinech ra tyasto cunaav gopya matadaan vaa tyastai prakaarako svatantra matadaan prannaaliidvaraa garinech .
22-00	dhaaraa-22
22-01	samaajako sadasyako haisiyatamaa pratyek vyaktilaaii saamaajik surakssaako adhikaar cha ra saathai pratyek vyaktilaaii raajyako raassttriya prayatna vaa antaraassttraya sahayog maarphat tathaa srot ra saadhan anusaar usako pratisstthaa ra svatantra vyaktitva vikaasako laagi aparihaarya aarthik, saamaajik ra saamskutik adhikaaraharu upabhog garne adhikaar cha .
23-00	dhaaraa-23
23-01	pratyek vyaktilaaii kaam garne, svecchaale rojagaarii rojne ra kaam garnako laagi ucit ra anukul paristhitiko sujanaa ra verojagaarii virudgha samrakssann praatpa garne adhikaar cha .
23-02	pratyek vyaktilaaii binaa bhedabhaav samaan kaaryako laagi samaan paarishramik paaune adhikaar cha .
23-03	kaam garne pratyek vyakti ra nijako parivaarako laagi maanaviiya pratisstthaa anurup jiivikaako vandobastako laagi ucit ra anukul paarishramik paaune ra aavathyak bhae saamaajik samrakssannadvaaraa tathaa anya upaayaharudvaaraa tyasamaa bharathegako adhikaar hunech .
23-04	pratyek vyaktilaaii usako hit samrakssannako laagi ttraddayuniyan kholne ra tyasamaa sammilit hune adhikaar cha .
24-00	dhaaraa-24
24-01	pratyek vyaktilaaii munaasiv kaarya samaya siimaa ra vetan sahitako aavadhik vidaa sahit vishraam ra phursatako aadhikaar cha .
25-00	dhaaraa 25
25-01	pratyek vyaktilaaii usako ra usako parivaarako svaasthya ra kalyaannako laagi khaanaa, kapaddaa, ghar tathaa aussadhopacaarakaa suvidhaaharu ra aavashyaktaa anusaarako saamaajik sevaaharu sahit starayukta jiivan yaapan garne aadhikaar cha ra saathai berojagaarii, biraamii, arsamarthataa, vidhavaa, vuurddhasakaal vaa nijako niyantrann baahirakaa anya paristhitimaa saadhan abhaav bhaemaa surakssaako adhikaar cha .
25-02	aamaa ra shishuharulaaii vishess heracaah ra sahaayataa praatpa garne adhikaar cha . vaivaahik sambandha bhaii vaa nabhaii janmekaa sabai baalabaalikaalaaii samaan saamaajik samrakssann upabhog garne adhikaar hunech .
26-00	dhaaraa 26
26-01	pratyek vyaktilaaii shikssaako adhikaar cha . kamasekam praarambhik ra aadhaarabhuut shikssaa nihshulka hunech . praarambhik shikssaa anivaarya hunech . pravidhik ra vyavasaayik shikssaa sabai sulabh hunech ra ucca shikssaamaa yogyataako aadhaaramaa sabaiko samaan pahumca hunech .
26-02	shikssaa maanav vyaktitvako puurnna vikaas ra maanavaadhikaar tathaa maulik svatantrataako sammaanako suddaddhikarannatarphanirdeshit hunech . yasale sabai raassttra, jaati ra dhaarmik samuuhaharubiic samajhadaarii, sahissnnutaa ra mitrataako pravarddhan garnech ra samyukta raassttra samghako shaanti kaayam garne prayatnaharulaaii aghi baddhaaune cha .
26-03	aaphnaa santatilaaii diine shikssaa rojne praathamik adhikaar aamaa baabulaaii hunech .
27-00	dhaaraa 27
27-01	pratyek vyaktilaaii samudaayako saamskrtik jiivanamaa svatantrataapuurvak bhaag line, kalaaharuko aananda line tathaa vaijraanik pragati ra yasako phaaidaaharuuko baamddaphaamdda garne adhikaar cha .
27-02	pratyek vyaktilaaii usale racanaa vaa sirjanaa gareko kunai vaijraanik, sahityik vaa kalaatmak krtiko parinnaamabaatt praatpa naitik ra mautik laabhaharuko samrakssann garne adhikaar cha .
28-00	dhaaraa 28
28-01	pratyek vyaktilaaii yasto saamaajik ra antaraassttriya vyavasthaako adhikaar cha jasamaa yas ghossannaamaa ullekh gariekaa adhikaar ra svatantrataaharu puurnna rupale praatpa garna sakiyos .
29-00	dhaaraa 29
29-01	pratyek vyaktiko samuudaaya prati kartavyakaru chan ra tyasto samaajamaa baser maatra usako svatantra ra puurnna vyaktitva vikaasako sambhaavanaa cha .
29-02	aaphno adhikaar ra svatantrataako abhyaas gardaa pratyek vyaktile aruko adhikaar ra svatantrataako aadar garnu parnech ra prajaataantrik samaajako naitikataa, rsaarvajanik vyavasthaa, rsavasaadhaarannako kalyaannako laani caahine ucit aavashyakataaharu haasil garne uddeshyale kaanuunadvaaraa nirdhaarit siimaa bhitra rahanu parne cha .
29-03	yii adhikaar ra svatantrataaharu samyukta raassttra samghako siddhaanta ra uddeshya vipariit hune garii kunai pani haalatamaa upabhog garna sakine chain .
30-00	dhaaraa 30
30-01	kunai raassttra, varga vaa vyaktile yasamaa ullekh gariekaa adhikaar ra svatantrataaharulaaii kutthaaraaghaat garne uddeshyale vaa tyasto kisimako gatividhimaa samlagna hun paaune garii yas ghossannaako vyaakhyaa garna sakine chain .
