00-00	Mort pravoezlon bydos miris otlasa deklaratsiya
10-01	Byd mortlon, kor siio vinitony ugolovnoi statya sorti,  pravo todny spravedlivoi nezavisimoi sudyn assis pravoez da obyazannosttez i em ya myiko setshomys, med siio vinitny.
11-00	11 gizhot
11-00	Byd mort, kor siio vinitony umolyn, vermo lyddisny pravon setchodz, kytchodz sylis umol keromso zakonno oz mychchav osta sud, kyton mortyslo setso bydos doriot ponda.
11-01	Nekinos oz poz suditny myi ponda by ez vov, ezheli eta kosta keromas natsonalnoi zakon neto bydos otirrezlon pravo sorti nem umolys ez vov. Oz vermy sidz zho  myzhiomys sokytzhykon syssya, koda vermis lony setom umol keromys kosta.
12-00	12 gizhot
12-01	Nekin oz vermy dzugny mortlis assis da semeinoi vorzotny sylis olanin, chest da bur nim. Bydyslon em pravo saiovtny asso vorzotlommezsyan zakonon.
13-00	13 gizhot
13-00	Byd mortlon em pravo volnoya vetlotny i boriyny aslys gort kot kytshom gosudarstvoyn.
13-01	Byd mort vermo munny ioz i aslas stranais i bertny aslas stranao bor.
14-00	14 gizhot
14-00	Byd mortlon em pravo dzebsisny votlomsyan modik stranaezyn i ovny setchin.
14-01	Eta pravoys osho sek, kor mortso koshshony ne politicheskoi prestuplenne ponda, a modik umolis, myiys muno panyt Natsiyaezlon Iitom Chukorlon printsippezlo da moggezlo.
15-00	15 gizhot
15-00	Byd mortlon em pravo grazhdanstvo vylo.
15-01	Nekinlis oz vermo vesis myrddyny grazhdanstvo neto pravoso vezhny siio.
16-00	16 gizhot
16-00	Muzhikkez da inkaez, kodna lyddisony noletnoiezon, vermony gotrasny, kerny semya, kytsho by nylon rasa, natsionalnost neto religiya ez vo Nylon emos otkod pravoez gotrasny, otlayn ovny i toriotchyny.
16-01	Gotrasny pozo dzir sek, kor kyknan mortys olony by otlayn.
16-02	Semya – eto uchotik, no dona kolana torok otiryslon, i otiryslo da gosudarstvoyslo kolo doriyny siio.
17-00	17 gizhot
17-00	Byd mortlon vermas lony imushchestvo kydz aslas, sidz i otlasa.
17-01	Nekinlis oz poz myrddyny imushchestvoso astogyas.
18-00	18 gizhot
18-01	Byd mortys vermo asmoznas aviyny, sovestitchyny da  ny enlo; eta pravoys seto vezhny assit en, modnezh vezhortny olan, otnatlo i otlayn modikkezkot dontny kot kytshom enos da assinyt art, velotchyny, yurbitny da chulotny religioznoi da ritualnoi obryaddez ioz dyrni neto dzir askottyat.
19-00	19 gizhot
19-01	Bydys vermo artavny asmoznas i kot kyton baitny eta iylis iozlo; eta pravoys seto mortyslo volya ovny aslas yuron, povtog koshshyny, adzzyny da noviotny omon yuo da assis arttez kydz siya tolko kuzho i kytshom by granitsaez saiyn ez vov.
20-00	20 gizhot
20-00	Byd mortlon em pravo oksyny otlao da bytshoma sernitny, a sidzzho iitsyny chukorrezo.
20-01	Nekinos oz poz vynon pyrtny kytshom-libo chukoro.
21-00	21 gizhot
21-00	Byd mortyslon em pravo veskotlyny aslas stranaon veskyta neto volnoya boriom ioz pyriot.
21-01	Byd mortys vermo otmoza kerny aslas stranayn gosudarstvennoi
21-02	Otirlon volyays, tshoktomys – em yuralissez vlastlo osnova; eta volyays mychchasso vyborrezyn, ko chulotsony bydos otiron i otkodya boryan pravo sorti gusona golosuitomon neto modnezh, no tozho svobodnoya golosuitomon.
22-00	22 gizhot
22-01	Byd mortlon, kydz obshchestvolon chlenlon, em pravo sotsialnoi otsot vylo, vylyna vidzny assis dostoinstvo, svobodnoya zorotny lichnost ekonomicheskoi, sotsialnoi da kulturoi sferaezyn natsionalnoi udzhon, otirrez kolasyn ertasomon da byd gosudarstvolon struktura da vermom sorti.
23-00	23 gizhot
23-00	Byd mortlon em pravo udzhavny, svobodnoya boriyny udzh, korny udzhyn bytshom da spravedlivoi uslovieez, doriisny, medby udzhsis ez chapko.
23-01	Byd mortlon em pravo otkod udzh ponda otkod veshtom vylo, kytshom-libo diskriminatsiyatog.
23-02	Byd udzhalis mortlon em pravo bytshom da spravedlivoi veshtom vylo, medby siya achys i sylon gortisses vermiso ovny dostoinoya, a kor kovsyas, adzziso modik sotsialnoi otsot.
23-03	Byd mort vermo arkmotny professionalnoi chuko da pyrny ena professionalnoi chukorrezo asso doriom ponda.
24-00	24 gizhot
24-01	Byd mortlon em pravo shochchisny, korny, medby udzhys dyrov ez kyssy i kadis kado voli setom veshtana otpusk.
25-00	25 gizhot
25-00	Byd mortlon em pravo setshom olan vylo, kor tyrmis by seyan, paskom, voli by olanin, shogottezis veskotom, kolana sotsialnoi otsot, kor achys mortys i sylon gortisses oliso by shogavtog da bura, sidzzho em pravo otsot vylo, ezheli mortys oshtis udzh, pondis shogavny, lois invalidon, kolchchis otnas neto sylo nemon lois ovny ne as kuzyaas.
25-01	Kaga vaiom da chelyad zorotom setony pravo bytshom doziraitom da otsot vylo. Byd chelyadeklon, kodna chuzhiso gizhsom ai-mamlon neto gizhsytog, em otkod sotsialnoi doriot.
26-00	26 gizhot
26-00	Byd mortlon em pravo velotchyny. Kolo kerny bydos, medby kot nachalnoi da obshchoi obrazovanne voliso veshtistog. Nachalnoi obrazovanneys bydonnys ponda loo obyazatelnoion. Tekhnicheskoi da professionalnoi obrazovanneys setso bydlo, otmoza setso byd mortyslon sy vermom sorti i vysshoi obrazovanne.
26-01	Mortso kolo velotny sy ponda, medby bura zoralis sylon lichnost, sodis uvazhenne sylon pravoez da svobodaez dyno. Velotchomys otsalo vezhortny otamodos, kero mortso nebyton, otirreso ertasoto, otsalo iitsyny rasa da enlo veritom sorti chukorrezlo, a Natsiyaezlon Iitom Chukorlo kerny da doriyny bytshom lon olan.
26-02	Ai-mamlon em prioritet boriyny, kyton ny posnit chelyadlo velotchyny.
27-00	27 gizhot
27-00	Byd mortlon em pravo puktyny pai otlasa kulturnoi olano, gazhotchyny iskusstvoon, zorotny nauchnoi progress da todny sylis bydos burso.
27-01	Byd mortlon em pravo doriyny assis moralnoi da materialnoi vermommez, kodna shedtomos syon kydz avtoron nauchnoi, literaturnoi neto khudozhestvennoi udzhon.
28-00	28 gizhot
28-01	Byd mortlon em pravo sotsialnoi da otirrez kolasyn primitom poryadok vylo, koda sorti eta Deklaratsiyayn gizhom pravoes da volyaes vermaso bydson lony pyrtomos olano.
29-00	29 gizhot
29-00	Byd mortys vidzo kyv otir odzyn, koda otnas vermo setny sylo volnoya da bytshoma zoravny.
29-01	Byd mortlis pravoeso da volyaso zakonyslo kolo dzhendotny dzir sy ponda, medby ne oshtyny pravoeso da svobodaeso modikkezlo, a demokraticheskoi ioz kolasas vylyna vidzsis moral, voli dzugsytom da bur olan.
29-02	Ena pravoes da volyays olanyn nekor oz vermo munny panyt Natsiyaezlon Iitom Chukorlon printsippezlo da moggezlo.
30-00	30 gizhot
30-01	Nem eta Deklaratsiyayn oz vermy lony vezhortom sidz, bytto kytshom-libo gosudarstvolo, ioz chukorlo neto torya morttezlo setom pravo udzh vylo neto kerny myi-libo setshomo, myi by myrddis pravoeso da volyaso, kodna vistalomos eta Deklaratsiyayn.
