00-00	bwdqa tyuvlyua lpwt zdqa anshyua
27-01	kl hd ayutlh hqwta qa shrkta gw hyua mrdwtnyua dhd shwtpwta wshqlta yuwtrna mn amna wshrkta gw mtwrnwta elmyuta wyuwtranw.
27-02	kl hd ayutlh hqwta lntrta wyuwtrna mn pwlhna tva whwlnyua dpltyu mn amna ayuka hw yulh syuwma.
28-00	mlwaa 28
28-01	kl hd ayutlh hqwta qa ryuza shwtpyua wtvlyua ayuka dzdqa wharwta mwthrna gw aha bwdqa pyushyu ntyura bhd shkla gwnyua.
29-00	mlwaa 29
29-01	kl hd ansha ayutlh wgbwta lpwt shwtpwta ayuka mtwrnwta prswpyuta yulh mwmkwn.
29-02	bdena dmplhta dhqwyuta wharwta kl hd grg myuqr hqwta wharwta dahrna.
29-03	ana zdqa wharwyuta grg gw klyu ahblta la pyushyu mwplha bhd awrha lvdr mn nyusha wbnyuta damwta mhyuda.
30-00	mlwaa 30
30-01	mndyuna dlyuna pyusha mwthra gw aha bwdqa grg la pyushyu mtwrgma byud hd atra yun gmeta yun prswpa lbrta gw ebwdwyuta mhrwta hk hd mn ana hqwyuta yun harwyuta mwthra ell.
