00-00	TISERRIHT TAGRAGHLANT IZERFAN N WEMDAN
17-01	Amdan yehwa yas wehd-es nagh d amezday ghur-s lheqq ad yekseb aila.
17-02	Yiwen ur yezmir ad yettuherrem seg waila-s.
18-00	Tamadda 18:
18-01	Kull amdan ghur-s lheqq i tlelli n tedmi, tamsakwit d ddiyana, lheqq agi tetteski deg-s tlelli ubeddel n ddiyana akkw d wayn is yettamen, wehd es nagh gar medden ainani nagh di sser, s uselmed s tegdimin, s wabad d umares n lemdaheb.
19-00	Tamadda 19:
19-01	Kull amdan ghur-s lheqq n tlelli di rray d lmenteq anda yetteski lheqq ubeggen n rray bla ma yettuchebbwel u daghen tebbwi yas-dd ad inadi, ad yettef, u ad yefser di yall tamurt isallen d- tedmiwin s yall ttawil n wentaq.
20-00	Tamadda 20:
20-01	Kull amdan ghur-s lheqq i unejma akkw d- tdukla di tifrat.
20-02	Yiwen ur yezmir ad yettuhettem i wakken ad yetteski di tdukla.
21-00	Tamadda 21:
21-01	Kull amdan ghur-s lheqq ad yetteski deg wselhuy n temsal n bailek n tmurt is, ama netta s timmad is, nagh s win yekhtar d amtil is.
21-02	Kull amdan ghur-s lheqq amm netta am wiyad ad yettef amkan di lhirfat n bailek n tmurt is.
21-03	Lirad umadan d nettat i d llsas n lhiba n lehkwem n bailek- yessefk add tban s tefrant zeddigen idg ara tteskin meddn irkwelli u ara yilin si lweqt aar wayed di tugdut d sser nagh s ttawil iden it yechban ara idemnen tilellli n tefrant.
22-00	Tamadda 22:
22-01	Kull amdan yetteskin di temgarwa ghur-s lheqq di laman amgarwan gqes den ad ikafi izerfan is isagrawen imgarwanen d yidelsanen imsefken i lhwerma d usegmi alelli n timmadit is s tejmilt n lmedjhud aghelnaw d umyalli agraghlan s wayn ara yembwafaqen netta d nnidam d lerzaq n kull tamurt.
23-00	Tamadda 23:
23-01	Kull amdan ghur-s lheqq i ikheddim ara yekhtir akkn is yehwa s cchurut n ladel imsefrahen ar'at idemmen ghef ticchumert.
23-02	Imdanen akken ma llan ghur sen lheqq bla tarayit i tjernanin yemsawan ghef ikheddimen yemsawen.
23-03	Kra n win ikheddmen ghur-s lheqq i tjernant taheqqit, timsefreht ar'as idemnen i netta d twachult is tudert iwufqen lhwerma n wemdan ara yettuk'emmlen ma yebgha lhal, s kra n ttawil iden uhuddu amgarwan.
23-04	Kull amdan ghur-s lheqq ad yessebded netta d wiyad tidukliwin ikheddamen nagh ad icharek di tdukla ara ihudden lmeslaha ines.
24-00	Tamadda 24:
24-01	Kull amdan ghur-s lheqq i rraha d- tukksa n lkhiq (d ugunfu) u ladgha di lhedd iqebbel laqel n lweqt ikheddim akkw di ttrih yettwakhelsen, si lewqt aar wayed.
25-00	Tamadda 25:
25-01	Kull amdam ghur-s lheqq i lmizan n tudert ar'at iqidden i ttmana n tsehiht is (n tezmert is), liser ines akkw d- twachult is, ladgha i isafarn n tussit, llebsa, tanezdught, adawi timezgiwin (tijmilin) timgarwiyin ilaqen, ghur-s lheqq i ttmana ma ur ikheddmara, ma yuden, ma yella d anaibu nagh d adjjal, nagh d awesran nagh kra n yimi ar d as ruhent ttawilat n tudert ma yekka-dd waya nnig tezmert is;
25-02	Tiyemmatin d yigwerdan ghur sen lheqq i tallalt (lmawna) d uhuddu ikhsusiyen. Akkw igwerdan ilulen di zzwadj nagh berra n zzwadj ghur sen lheqq yemsawan di tussra (ttmana) tamgarwant.
26-00	Tamadda 26:
26-01	Kull amdan ghur-s lheqq di leqraya ur nessefk ara fell as lekhlas ladgha leqraya tamenzut akkw d- telsasit. Leqraya tamenzut d- tamelzumt, leqraya tatiqnit d uselmed n lhirfat yessefk ad ilin d imatawen, tabburt unekchum gher tlumdiwin tunnigin (alayen) yessefk ad-tili s ladel i meddn irkwelli ghef lehsab n wakken zewren.
26-02	Ttrebga yessefk ad- tessiwed ghr usefti n timmadit d usedjhed n leqder izerfan n wemdan akkw d tlella tilsasiyin, tebbwi-dd ad- twessi ghef usefhem d umsameh d lemhibba gar tmura akken ma llant d yimudan d ddiyanat i tuttfa n lehna.
26-03	Imawlan ghur sen lheqq d imezwura ad khtiren ssenf n ttrebga ara fken i warraw n sen.
27-00	Tamadda 27:
27-01	Kull amdan ghur-s lheqq ad yetteski ma yebgha di tmeddurt tadelsant n tmurt is, ad yestummen i lfenn (tazuri) akkw d tegmi n tussna d wayen idd ttaken n lfaida.
27-02	Kull amdan ghur-s lheqq uhuddu n lfaida ines tanamkawt akkw d- tmaddawt idd yekkan seg wayn idd yesnulfa di tussna, di tmedyazt (tasekla) nagh di lfenn.
28-00	Tamadda 28:
28-01	Kull amdan ghur-s lheqq deg wennar amgarwan nagh deg wennar agraghlan i wakken ad yili nnidam yechban izerfan akkw tlella idd yeddan di tserriht agi lfaida d unawad n sen.
29-00	Tamadda 29:
29-01	Amdan ghur-s lwadjeb i wegdud idg i gemken ala deg-s kan, unerni ukmil n timmadit is.
29-02	Deg wmares izerfan is d ughellet n tlella ines, kull yiwen ur ikennu ala ddaw leqyud i gersem lqanun wehd es i wakken ad yedmen asmussen d uqader izerfan d tlella n lghir is u daghen i wakken tisutriwin tighedmawin n wedyaz d nnidam n bailek d liser amataw dit emgarwa tagdudant (tadimuqratit).
29-03	Izerfan akkw d- tlella yagi, is yehwan yili, ur zmirn ara ad ttumarsen dedd inawaden d yimenzayen, n tmura yedduklen.
30-00	Tamadda 30:
30-01	Ur telli tmadda di tserrhit agi i gzemren ad-tettwafhem d-tikchi n lheqq i ddulla, nagh i wegdud nagh i wemdan i wakkn ad khedmen kra nagh ad marsen igi i gqesden ahuddu izerfan akkw d-tlella idd yeddan deg-s.
