00-00	VWAMBULULO VWA CIFUTI VWA VILINGA VYA VANU
24-01	Munu woxe ali na vulemu vwa kupumula co na kusenga co ya kwesekesa mu cinapanda na kupwisisisamo ku simbu ya vipangi co na ku vipamulo vya kufwete visimbu na visimbu.
25-00	LIXIKO LYA MAKUMI AVALI NA ATANU
25-00	Munu woxe ali na vulemu akati kakupwisamo ku mwonyo linga alikwatese ku vulikangule.
25-01	Mukusena na mu vwanike citava kumukwaseka co na vukwasi vwa nawa-nawa. Vanike voxe vakusemukila mu kati ka vuxombole indi kunima ya vuxombole, vali na vulemu vwa vukwasi vwa kuvanyunga vumolika ku mbunga.
25-02	Na ku vutondzi, na vuntuluwe, ku vukulumu indi ku vikwavo vya kuzimbalesa mukati kavilinga vyendi na vufuko mu kwita kwa visimbu vya ciyulo cindi ca kulizangela.
26-00	LIXIKO LYA MAKUMI AVALI NA ATANU NA LIMO
26-00	Munu woxe ali na vulemu vwa kumulongesa. Lilongeso linapande kupwa lya vwana, nambe vene mu kutwala mu lilongeso lya akatikati co lya kupwisamo. Lilongeso lya akati kati lyapwa lya kusindiya.
26-01	Lilongeso lya vungangula linapande kupwa kwoxe; vulemu vwa kulilongesa vwa kulutwe vunapande kuvuxokolola vwoxe-vwoxe vulipwe mumo ku vavoxe mu vunapandela.
26-02	Lilongeso linapande kumoneka mpundu mu kusemuka kwa vuwanga vwa vumu co ndzili ya kalemeso kavulemu vwa munu co na vulimanene vwa kama. Ikeye napande kwecela kuzivukisa, kutumaoxe co na vivunga vyoxe vya miyati indi vya kukulaela Njambi, ngwe nawa na kutwala ku lutwe kwa vipangi ca mafuti akulinunga linga vakwatese ciyulo.
26-03	Vayixe vali, ku vukwasi, vulemu vwa kwangula cifwa ca lilongeso ca kwaana ku vanike vavo.
27-00	LIXIKO LYA MAKUMI AVALI NA ATANU NA AVALI
27-00	Munu woxe ali na vulemu vwakupandamako na kulinga mu cizango ku mwonyo wa vipangi vya mbunga, ya kukala na vulemu vwa vungangula co na kulyaka kutwala vipangi ku lutwe vya vungangula co na ku fweto ije ikatundu ku vikevyo.
27-01	Munu kumunu ali na vulemu vwa kunyunga vilinga vya vivwa vya vitenga na kulinga vyoxe vipangi vya kulima na vungangula vwa kulilongesa kusoneka indi vungangula vuje vwatundi kuli ikeye vene.
28-00	LIXIKO LYA MAKUMI AVALI NA ATANU NA ATATU
28-01	Munu woxe ali na vulemu vuje vatumina, mu manyonga a mbunga co na manyonga a mafuti oxe a mukaye, lixiko limo ngacije ngwe vulemu co na kulimanena kwa kwambulula ku vulolo vuno vanendeka mu mukanda linga mukemwo munapande kuwana vyoxe vya kulinga.
29-00	LIXIKO LYA MAKUMI AVALI NA ATANU NA AWANA
29-00	Munu ali na vilinga linga ku mbunga ya limanena lika lyayo vene ku kutwala ku lutwe vunu vwavo ngwe vunapu vwa vusunga.
29-01	Mu simbu ya vipangi vya vulemu vwa vo co na vuvwa kulimanena, umo na umo wapwa lika walyaka mu vulika vwa kulinga ku lixiko ca vulika na kumona na kukwata vuzivukiso co na kavumbi ka vulemu co na kulimanena ya vikwavo co mukati ka ku vwaesa vusunga vwa kusindiya vwa mukanwa, vwa vutuvwa kukala kwa voxe mu civunga ca kulilingila.
29-02	Ovu vulemu na vulimanene kuvwasa, kuvulinga mu cimo cayi, kulinga na kusevuka ku vilinga e na ku vutukilo ca mafuti akulivunga.
30-00	LIXIKO LYA MAKUMI ATATU
30-01	Nacimo cikala mwa muvwa ca vulolo ca vwambululo vwa cili citava cipwe ca vwambululo vwa cili citava cipwe ca kwambulula ngwe kulikolavyo kuli lifuti limo, civenga cimo indi umo munu vulemu vumo vwoxevwo vya kulyakalo ku vimo vipangi indi vya kulitavela kulinga vumo vulinge vimoniya na kuviisa vulemu co na vulimanene vuje ano vuli vwa kwambulula.
