00-00	HEIMSYVIRLYSING UM MANNARAeTTINDI
26-02	Undirvising skal mitha imaeti at fullmenna persaenleika einstaklingsins og at stimbra virthingina fyri mannaraettindum og fraelsi. Hon skal fremja fatan, tolsemi og vinalag millum tjaethir, faelkasloeg og truarbaelkar, og skal fremja virki Sameindu Tjaethanna fyri at varthveita frithin.
26-03	Foreldur hava fyrsta raett at velja, hvat slag av undirvising skal vertha givin boernum teirra.
27-00	27. grein
27-01	oell hava raett til fritt at taka lut i mentanarlivi i samfelagnum, at njaeta list og eiga lut i framburthi visinda og agaethum teirra.
27-02	oell hava raett til vernd av andaligum og evnisligum ahugamalum i sambandi vidth eitt og hvoert visindaligt, baekmentaligt ella listarligt verk, sum avvarthandi hevur greitt ur hondum.
28-00	28. grein
28-01	oell hava raett til samfelags- og altjaetha skipan, har tey raettindi og fraelsi, ith nevnd eru i hesi yvirlysing, kunnu vertha framd ut i aesir.
29-00	29. grein
29-01	oell hava skyldur fyri samfelagnum; i ti einans er full og fraels menning persaenleikans gjoerlig.
29-02	Samfelagsborgarar skulu vithvikjandi raettindum og fraelsi einans vertha bundnir av avmarkanum, sum eru settar i laegum vith ti i hyggju at tryggja vithurkenning av og virthing fyri fraelsi og raettindum hja oethrum og til tess at luka raettvis kroev um sithalag, alment skil og vaelferth almenningsins i faelkaraethissamfelag.
29-03	Hesi raettindi og fraelsi mega i ongum foeri vertha int i maetstoethu vith endamal og grundreglur Sameindu Tjaethanna.
30-00	30. grein
30-01	Einki i hesi yvirlysing eigur at vertha tulkath tann veg, at noekrum riki, baelki ella einsaklingi verthur loyvt at gera nakath, ith mithar imaeti at beina fyri noekrum av teimun mannaraettindum, sum her eru tald.
