00-00	A’K’EL TA JAMAL OXIL SKOTOL LEYETIK SKOLTAOBIL SKOTOL KUXLEJEL TA SPEJEL BALUMIL
22-01	Skotol vinik, yu’un jun muk’ta tsobomajel, oy yu’un derecho ke sta cha’biel, i sta ta ko’ol yip smeanal-bokol ta mismo slumal i schu’uk yanetikxa muk’tik balumiletik, yochanel ta snopel smeltsanel i stunel skotol k’uxi oy yu’un jun lugar o ta s-estado, lek s-oyij sta i stun sta’k’in k’uxchi te spas yu’une, lek s-oyij chu’uk schi’iltak ta kuxlejal, tanto ta snopojel i scha’biel lo ke sane, ja jeche lek va yaij-sba i lek va yi’ch sba chu’uk yanetike.
23-00	Oxib schavinik Artikulo:
23-01	Skotol vinik oy yu’un derecho s-amtej, i k’u yu’un te sk’ane, oy yu’un derecho sta a’beel lekilal i lekil amtel bu ta spijil yo’n s-oyij i s-amtej i oy sderecho sta koltael ta xa’beel yamtel va’k’in mu’yuk yamtele.
23-02	Skotol vinik oy yu’un derecho sta sin t’ujilanel mu’ch’u ko’ol stojol segun k’u yepal yamtel.
23-03	Skotol vinik i ants ta vikit i ta mu’k oy yu’unik derecho staik a’beel jpix i ta junal na, chak’uxchi sventae i sta mas koltael te me spas paltae ta yanetikxa koltabanejetike.
23-04	Skotol vinik oy yu’unik derecho spasik smeltsanel sindikatoetik i stik’-sbaik ta sindikatoetike bu te sk’ane, oy ta sderecho sta a’beel k’uyepal sjalilik yamtele i sta s-k’uxonetik buyik-ora i jak sta stojel.
24-00	Chanib scha’ vinik artikulo
24-01	Skotol vinik antz xu’ xkux ta yabtel ta jujun xemana, oyuk noox spejeb ti abtel tzapas ta jun k’ak’ale, xchi’uk xu’ xlok ta yavil yabtel yo’ xba xkux.
25-00	Joob schavinik Artikulo:
25-01	Skotol vinik oy ta sderecho spas skuxij jun lekil o uts kuxlejel bujechuk oy yu’un, tanto ta junal na, sin chamel, sbeel, sk’u’, sna, sk’elel ta poxtabanel i k’uxi yanetik mas ke stun i stun yu’une; oy yu’un svinkilele, o va’k’in mu’yuk yu’un k’uschi spas skuxij i xa sbeel ke sea mauk sk’anonel yu’un.
25-02	Va’k’in jun ants va sman yol i te me laxa smane oy derechoyu’unik scha’vaalik staik lek cha’biel bujechuk yabil o mu’ch’u sch’iuk sventa xa’k’e. Skotol unetik, ayanemik, ta lekil nupunel o aunke ma’uk ta lekil nupunel, oy yu’unik derecho staik cha’biel ta stojol mu’kta tsobomajele.
26-00	Vakib Schavinik Artikulo:
26-01	Skotol gente oy yu’un derecho staik smeltsanel ta escuela, educacion skaltike. Le’ye sventa sta ta jech-noo o sea k’elambil aunke ja noo ta slikebal elemental si’ch alele i ke ja’ mas oy ta a’k’el ta vai’. Le’ye ta puersa-ono sventa si’ch i’chel-el. Yanxa mas toyol tecnica o profesional si’ch alele a’k’el ta stojol skotol gente; segun spijil stalel e’chemtalel ta yanetikxa vik’it chanubtexele.
26-02	Chanubtexele sk’anojel yu’un lek smeltsajesvan i tsatsumtex ya’k’ojel ta mu’k’ derecho humanoe i libertaetik mas oy stunel i sventa sna; ja’ jeche va oyuk mas oy k’anbail ta ju ju vo’ aibajel i k’anbail chu’uk yanetikxa lumaletik ta i schi’uk naklejetik i k’ux-elan ta sch’unobil kajbaltik ta vinajel; ja jeche va vinajuk sch’iel yamtel ta stojol Naciones Unidas ta sk’anojel lekil k’uxlejale.
26-03	Totiletike oy yu’unik derecho k’ux-elan chanubtexel sk’an xa’kbe snichnab.
27-00	Jukub schavinik Artikulo:
27-01	Skotol vinik oy tas sderecho segun k’ux-elan stalel sk’uxijik ta slumal, spas sk’upin k’uxitik snaojiktalel desde vo’nej spaxobil sk’uxtikik i spas xochanik amteletik yu’un ciencia i sk’upinel k’uyel yutsil slok ta lunto amtele.
27-02	Ta skotol gente oy derecho yu’un sta ch’abiel i k’uxubinel ta k’op i ta k’uxtik mu’ch’u lek lok yamtel ta ciencia, ta tsibajelal o ta k’eojel o yanetikxa literaria o artistika si’ch alele.
28-00	Vaxakib schavinik Artikulo:
28-01	Skotol gente oy derecho yu’un spas stek’aj ta jun lugar bujechuk si’ch a’k’el ta mu’k skotol sderechoetik i slibertaetik ya’k’oj ta ojtakinel le Declaracione.
29-00	Valuneb schavinik Artikulo:
29-01	Skotol gente oy tsots stunel ta yutil slumal porke ja’no jech i ja’no te bujechuk spas spas k’ute sk’ane i k’uxchi te xk’ane i spas xa’k sba ta ojtakinel k’ux-elan stalel.
29-02	Ta sk’anojel i sk’upinel sderecho i slibertade, skotol gente va oyuk ta sk’ob segun k’ux-elan stalel pasbil ley, ja jeche seguro va oyuk me xojtakin k’uxitik sventa si’ch a’kbeel ta mu’k’ta yanetik gente, chak’uxchi; derechoetik hasta bu spas skolemaj tanto ta’ye i stuke i xa’be sjam k’uxchi lek-no stalel, tanto chu’uk schi’iltak ta slumal i chu’uk yanetikxa ta yanetik lumajele ja jeche va yu’uk i va oyuk jun mu’kta tsombail demokratika skaltike.
29-03	Le’noj derechoetik i libertadetike mu sventa si’ch tunel ta xutemal k’ux-elan sk’anojel yu’un Naciones Unidase.
30-00	Lajuneb schavinik Artikulo:
30-01	Ni junukal kuxitik albil li ta Declaracione spas xut o stun k’uk-noxchi ya sea ta stojol jvo’ vinik o tsobomajeletik o jun Estado va’k’in sk’anik slikexik i xamtelantesik k’uk-on yes amtelal. Mu spas ta spojel ni t’upel ni junukal k’uxitik derechoetik i libertadetik albil li ta Declaracione.
