00-00	LOePUKOe/LEUSA NA UNIVERSAL DECLARATION OF HUMAN RIGHTS I KUTUK NA BARI.
11-01	Karen nguto lo moka adi a torondya agi koedyoe ti lungu a katoronyanit tojo ko lopeng a dungoeki putet lo liliya ko ngutu lojore, nagwon kweja adi nye a ryoe gayesi ling i putet Ionyit. Lele nguto koedyoe ti lungu a katoronyanit i karin toronyet, ko kunie ti kunie toronyesi na kona kinu a dungoeji kano. Ko koeti i saret lo koeji ko Io kango jambu adi lele saret lo poemoeni lele ngutu koedyoe ti buloe ridiki i lewudya na ngilo saret logwon gwon i kitarikin lu.
12-00	12.
12-01	Lele nguto koedyoe ti buloe ridiki i lwoenoe kanyit kweja adi lubboe ko lele nguto kadi ‘bak pija kode kendya na manini na lege, kode lyoeggu na kukuet ko gwilingit lo'but. Karen nguto agi koedyoe gwon ko todiri na gaya ko saret, ko lele nguto a ‘belenggu lele lo kilo saresi.
13-00	13.
13-01	Karen nguto rukoeki tolien na woeroe ko sida i lokokoritan ti lukata na koejinoe kadekade. Karen nguto a ‘buruki i koeyu na jur toeki bubuloe yitwe bot ‘bak tenget.
14-00	14.
14-01	Karen nguto a rukoeki i pija kode i sida kana i kulye juroen anyen gagaya. Kine dekesi ti buloe rukoeki kode lungu i dingit na dungoeki na putet i tugwakan ko ‘bain pondya i toron na langet na debba jur kode i saresi logwon ko tukade ko saresi titeng na momoret na juroen.
15-00	15.
15-01	Karen nguto a rukoeki i gwon ko jur lonyit kode gwuluyet na jur lonyit. Lete ngutu ti buloe ridiki. renyaki i lopukoedu na mugun i karen jur lo deggi nye.
16-00	16.
16-01	NGutu lyan ko wate logwon aje durjoe ‘bakan na kuniye tengesi, ko ati kotumit nanyit kode gweyari kode ti yupet koedyoe bubuloe yema kode yemba anyen ryendu mede. Se koedyoe gwon ko dekesi kase jojo anyen bubuloe toyem i dingit yemet kode na reyan. a) Yemet tung kade bubuloe kona i dekesi ti kilo logwon yoengoe kondya mede kulo (toyem) b) Mede koedyoe a ngo nagwon ngUN lo gweja ko agi koedyoe gwogwon, ko a langet nadit najur kode koeji ko koedyoe gagaya ko koeji kode ko jur ‘bukulung
17-00	17.
17-01	Karen nguto kata ko todiri nagwon bubuloe gwon ko toro’bo kanyit kode toeki bubuloe gwon i momoret ko kulye. Lele ngutu koedyoe ti buloe ryaka kode jongari toro’bo kanyit kango ‘bak saret.
18-00	18.
18-01	Karen nguto koedyoe gwon ko tolien na yeyesi kanyit, ko lepeng yoengoe kondya nyo kweja adi tenget ‘bain bubuloe yeyeju ngo na’but ko narok ko nye a deggi konye toeki bubuloe torukoekindyoe ngutu ko kulye i pirit nageleng kweja ad i todinesi, konesi, moyu, kode kwakwaddu.
19-00	19.
19-01	Karen nguto a ‘buruki i jondya kode i kwekindya na ngutu yeyet nanyit ko ngutu kata, ko bubuloe jambu ‘bak tenget. Kine dekesi kode ‘burusi morja ko ‘burit kweyet na yeyet ‘bakan na tenget kode kakalet ko lele nguto pija, wuju, kode lelengaki na kulya ko lele ngutu kode yeyet ko nene mugun kalayianit ‘bayin na dendya na lokokori.
20-00	20.
20-01	Karen nguto a ‘buruki kode bubuloe kondya kode lunggu momoret ko taling ‘bak moeroe. Lele ngutu koedyoe ti buloe rikoeji kango i nene mugun na momorja anyen timundya kulyajin, nye koedyoe ti buloe jongga i nene mugun nagwon yeyesi kase ti morja.
21-00	21.
21-01	Karen nguto agi koedyoe kikita i miri lo jur lonyit i lukata na miri kode wulundyoe ngutu logwon gwodan kase i karen i lukata na miri, a) Karen nguto a ‘buruki i ryeju na ngaresi ko a ti biya i kadi na wini kode todinesi ‘bakan na nyunyumboe kode gelesi kanyit i jur. b) Dekesi ti ngutu koedyoe gwon a yenet na miri. Ko ngina kade bubuloe meta kode time ko gayesi ko todiri na wulet na kona ko ngutu ling ti jur gwon kweja adi kona ko beiembele. Kode (ngutu geleng a belembele geleng) ‘bak nyoenyoeggu.
22-00	22.
22-01	Karen nguto gwoso lele lo langet agi koedyoe gagaya ko miri. Ko koedyoe meta i konesi ti miri ko i tojulin na miri ko kulye juroen i saret lo momoret kode tukwoeryoenjin ti juroen kad'ekade adi toro’bo gwilingit ko dekesi ti keryat logwon ti dumaji kango anyen buya tolien na durjoe nanyit.
23-00	23.
23-01	Karen nguto agi koedyoe kondya kita na deket nanyit ko ti pirit kitayet na gwe i deket nanyit ko na kita ko ti gayet na ‘bakan na kita gwe kata i jur. a) Karen nguto koedyoe gwon jojo i kwe na kita i jur ko koeti tojojo na ropet na kita, i kitayesi koedyoe nagwon jojo ko kona ko ngutu kadekade. b) Karen nguto logwon kikita koedyoe yiyiniki koeti ropakini ropet na kita nanyit. Nagwon kweja adi tetemakindya i gwon na ngutu kode yalet na ropet koedyoe titiki ko bubuloe. Ko ti kiko lo gayiri kakitak gwe kata, gwoso adi pirit tokelet kode todinet. c) Karen nguto koedyoe bubuloe lupoeki kode gweyundya na mugunya kagayak ti kakitak anyen gaju dekesi ti kakitak.
24-00	24.
24-01	Karen nguto koedyoe gwon ko dingit na kita ko dingit na yukan kode dingit na birye. Ko toeki dingit kitayet koedyoe tetemaki ko perok ti yukan logwon roropa.
25-00	25.
25-01	Karen nguto koedyoe sida i gwilingit lo tetemakindya, kweja adi dekesi kanyit koedyoe ti buloe yoenggu lepeng gwoso i kelan, gwon na mede ‘bura ‘bak sasanyesi gwoso ti kinyotot, bonggo, wini, mede kode kuniye dekesi ti gwilingit lo nguto ko gayet toeki ko ati ‘bakan na kita, giloe kata, karu’be, dongga, kode kuniye ti pirit ko i ngo nagwon a gandu dekesi ti ngutu. Wate ko lupudyet agi koedyoe gagaya ko ngangaraki. NGwajik lupudyet ling logwon yungwe kango na yemet (tolup) agi koedyoe ryeju ruruket ko gayet jojo ‘bakan na koresi kode gelesi kase kiden.
26-00	26.
26-01	Karen nguto koedyoe totodinoe kanyit i jur ko koedyoe todinesi kune gwon kana ‘bak ropet biya parik suluet na todinoe (primary school) kogwon ngina dedekarikin i saret. Ko agi koedyoe tiki ko ringit i ngutu ling. Todinesi ti kita na koenin ko ti kongon na kwe gwe kata i keniya ling ko toeki ryeni ko ngutu ling ti jur. a) Todinesi koedyoe gwon i dekesi ti durjoe na yeyesi ti ngutu ko ti togoyu na kugga na todiri ko tolien na ngutu i pirit na geleng. Ko ti todure yingga ko julin i kiden na juroen ling, kweja adi kotumitoen kode i yupesi ko koeti i konesi ti langet na juroen lo momorja anyen tindu taling i gwon ko ngutu kiden. b) Karurukak kode ko monye ko ngote koedyoe logwon a ngerot i wulundyoe na kiko lotodinoeri ngwajik kase.
27-00	27.
27-01	Karen nguto koedyoe kondya ngo ti keri lonyit i deket naynit ko ngutu kanyit kiden anyen ryendu ‘bulit na ngo na teten se kune, toeki anyen ngarju seko durjoe na mugun na kongon na dendya na gweyarijin ti ngo ti kak ling. Karen ngutu ko toro’bo kanyit i jur kata koedyoe gagaya ko se koedyoe gaya jojo ‘bak nene gelet.
28-00	28.
28-01	Ti gwilingit lo karen nguto gwe i ruket lo saret lo juroen ling ti kak anyen todiri ko tolien nagwon koeju aje tokuruki ngutu na kukure ko ngutu i gwilingit lose.
29-00	29.
29-01	Karen nguto koedyoe agi kikita i jur ko koedyoe ti kondi kita nagwon temakindya i kongon nanyit anyen nye bubuloe durjoe kanyit i gwilingit. b) Anyen ngutu bubuloe dendya adi tolien ko d'ekesi ti ngutu a kuka, tung kade ko gwilingit lo ngutu a lo’but kanyit i jur. Toeki ko ngutu wulundyoe kimak kase ko ‘boerik kase. c) Tung kade kine dekesi ko tolien na ngutu i kikolin ling konani i saret lojuroen lo momorja anyen tokorju kilo saresi. Kweja adi konesi ti ngutu koedyoe gwon ‘bak nene tukade kokilo saresi.
30-00	30.
30-01	Nene ngo ‘bain nagwon kakadelo i ngina manini, ko saret logwon kekepo ko juroen ling, langetan, ngutu logwon kita kitayesi kase, kode kondya saret logwon anyen langgu kode koerju nene na kine dekesi kode tolien nagwon a ‘beron peta i dingit na tokoroni se na.
