00-00	Decleraziun universala dals drets umans
18-01	Mincha persuna ha, sco commembra da la societa, il dret da sguerezza sociala; ella po prentender d’obtgnair ils drets economics, socials e culturals indispensabels per sia dignita e per il svilup liber da sia persunalita, quai tras sforzs interns dal stadi sco eir illa cooperaziun internaziunala, resguardolnd l’organisaziun e las resursas da mincha pajais.
19-00	Art. 19:
19-01	Mincha persuna ha il dret e la liberta d’opiniun e d’expressiun, quai chi cumpiglia il dret da nu gnir molesta pervi da l’aigna oopiniun sco eir il dret da tscherchar, retschaiver, derasar, sainza resguardar cunfins, las infuormaziuns e las ideas cun tuot ils mezs d’expressiun.
20-00	Art. 20:
20-01	Mincha persuna ha il dret da la liberta da reuniun e d’associaziun paschaivla.
20-02	Inguen nu das-cha gnir oblia da far part d’uen’associaziun.
21-00	Art. 21:
21-01	Mincha persuna ha il dret da partecipar al guvern da l’agen pajais, directamaing o cun l’intermediaziun da rapreschantants elets libramaing.
21-02	Mincha persuna ha, a cundiziuns egualas, il dret d’access a las funcziuns publicas da seis agen pajais.
21-03	La volunta dal poevel es il fundamaint da l’autorita da las pussanzas publicas, quista vounta dess s’exprimer in elecziuns periodicas ed onestas cun dret d’elecziun general ed egual in votaziun secreta o tenor uena procedura equivalenta chi garantischa la liberta da vuschar.
22-00	Art. 22:
22-01	Mincha persuna ha sco commembra da la societa il dret da sguerezza sociala; ella po pretender d’obtgnair ils drets economics, socials e culturals indispensabels per sia dignita e per il svilup liber da sia persunalita, quai tras sforzs interns dal stadi ed in cooperaziun internaziunala, resguardond l’organisaziun e las resursas da mincha pajais.
23-00	Art. 23:
23-01	Mincha persuna ha il dret da lavur, da la libra tscherna da sia lavur, da cundziuns da lavur guestas e cunvgnaintas e da la protecziun cunter dischoccupaziun.
23-02	Tuots han il dret, sainza discriminaziun, d’uena salari egual per lavur eguala.
23-03	Chi chi lavura, ha il dret d’uena remuneraziun guesta e commensurada chi asguera ad el ed a sai famiglia uen’existenza cuonfuorma a la dignita umana e chi vain cumplettada, scha necessari, cun oters mezs da protecziun sociala.
23-04	Mincha persuna ha il dret da fundar sindicats insembel cun oters e da s’affiliar a sindicats per defender seis interess.
24-00	Art. 24:
24-01	Mincha persuna ha il dret da repos, particularmaing d’uena limitaziun radschunaivla dal temp da lavur, e da vacanzas periodicas pajadas.
25-00	Art. 25:
25-01	Mincha uman ha il dret d’uen standard da vita sufficziaint per asguerar la sanda ed il bainesser da sai svess e da sia famiglia. Quai pertocca particularmaing l’alimentaziun, la bueschmainta, l’abitaziun, la chuera medicinala sco eir ils sevezzans socials necessaris. El ha il dret da sguerezza in cas da dischoccupaziun, da malatia, d’invalidita, da guaivdanza, da veglduena o in oters cas da perdita da mezs subsistenzials tras circunstanzas independentas da sia volunta.
25-02	Mamma ed uffant han il dret d’agued e d’assistenza speciala. Tuot ils uffants, ch’els sajan nats i’l matrimoni o dadour il matrimoni, giodan la medema protecziun sociala.
26-00	Art. 26:
26-01	Mincha persuna ha il dret d’instrucziun. L’instrucziun sto esser gratuita, almain quai chi pertocca l’instrucziun elementara e fundamentala. L’instrucziun elementara es obligatorica. L’instrucziun tecnica e professiunala sto esser accessibla a tuots; l’access als stuedis superiurs sto esser liber a tuots in cumplaina egualita tenor lur merits.
26-02	l’instrucziun sto avair in mira il svilup cumplain da la persunalita umana e rinforzar il respet dals drets umans e da las libertatds fundamentalas. Ella dess promover l’incletta, la toleranza e l’amicizia tanter tuot las naziuns e tuot las gruppas da razza o da religiun, sco eir sustgnair las activitads da las Naziuns Unidas a favur dal mantegnimaint da la pasch.
26-03	Ils genituors han, cun priorita, il dret da tscherner il gener d’instrucziun per lur uffants.
27-00	Art. 27:
27-01	Mincha uman ha il dret da tour part libramaing a la vita culturala da la cumuenanza, da giodair las arts e da participar al progress scientific ed als benefizis chi resultan da quel.
27-02	Mincha uman ha il dret da protecziun dals interess morals e materials derivants da tuotta producziun scientifica, litterara o artistica, da la quala el es l’autur.
28-00	Art. 28:
28-01	Mincha persuna ha il dret chi regna i’l chomp internaziunal uen uorden, i’l qual ils drets e las libertads manzunadas illa preschainta Decleraziun possan ragiundscher uen effet cumplain.
29-00	Art. 29:
29-01	Mincha uman ha dovairs invers la cumuenanza, illa quala suletta es pussibel il svilup liber e cumplain da sia persunalita.
29-02	Illa realisaziun dals dets e da las libertads es mincha uman suottamiss unicamaing a las limitas stabilitas tras la ledscha per sguerar la recugnuschentscha ed il respet dals drets e da las libertads dals oters e per satisfar a las exigenzas da la morala, da l’uorden public e dal bainesser general in uena societa democratica.
29-03	Quists drets e quistas libertads nu das-chan in ninguen cas gnir realisats cunter las miras ed ils principis da las Naziuns Unidas.
30-00	Art. 30:
30-01	Inguena disposiziun da la preschainta Decleraziun nu das-cha gnir interpretada usche ch’uen stadi, uena gruppa o uena persuna haja il dret da sviluppar uen’activita o d’accumplir uen act chi ha in mira la violaziun dals drets e da las libertads manzunats in quista Decleraziun.
