00-00	MoeG-A ACIMMI YI KOeMI LAeBoe KI RI GIG-A DWADDI KIPER DHANHoe BENE
13-02	Dhanhoe bene ba ayiey ki daegi poedhoe megoe. Ocuggoe dhwoedhoe ki poedhi gen, o ocuggoe ki dwoeoegoe yije.
14-00	Cigg 14
14-01	Dhanhoe bene ba ayiey ki yoemi poedhoe megoe keloeg wange oguudoe ki poedhi gen.
14-02	Dyer menani ko maeaen dhanhoe keloeg e da guudi nying, ki moed kipe kwoebbi jyaegoe. wala kipe moe baeaen ki moeg-a acib yi Buri Koemi Piny.
15-00	Cigg 15
15-01	Dhanhoe bene yie da dyer me kaebbe ki jinsia mi poedhoe me path ki poedhi gen.
15-02	Bong dhanhoe me cuggi maeaenoe ki jinsia mee ki mi podhoe megoe.
16-00	Cigg 16
16-01	Dhajoe geki jaloe moeg-a waedhi runni nywoem yi gen da dyeroe me nywoem gen ri gen, o ge goeoeg gen ki kal e bong gin jog gen kiri kwoebbi Jwoek wala koebbi jur, nimi ka nywoem gen ri gen, yi gen da dyer kiri nywoem geki taeng.
16-02	Nywoem dwada cuggoe ki kaam dhajoe geki jaloe e bong ciir.
16-03	Kal awoeni pere teeg ceth ki buri ji, o kor ceth yi burani ki poedhoe.
17-00	Cigg 17
17-01	Dhanhoe bene ceg beedoe a ayiey ki midhoe ki jammi, ying gi midhe ga moege ket wala moege geki ji moeoegoe.
17-02	Jammi dhanhoe ko woel ki kaboe.
18-00	Cigg 18
18-01	Dhanhoe bene yie da dyeroe me rume, ki beedoe ki kwoebbi Jwoek. O dyeroe menani thoedha goen ki teegoe me wile kwoebbi Jwoege wala yieye kete wala geki ji moegoe.
19-00	Cigg 19
19-01	Dhanhoe bene yie da dyeroe mi kwoeb ki nyudhoe ki gin-ao roem yi en, dyeroe menani wega en yeyoe ki rumi ji moegoe e bong cir, ocuggoe tingoe ki woedd ki yi ji raeaedi ki waejj e bong ngan maeaenii.
20-00	Cigg 20
20-01	Dhanhoe bene yie da dyeroe me rebe ki bur moeggoe ki akudd-a yedhi gin yidde mer.
20-02	Bong dhanhoe me cir kipe o rebe ki akud megoe.
21-00	Cigg 21
21-01	Dhanhoe bene yie da dyeroe me goeoege ki yij miri mi poedhoe, keloeg e gsoeg ki kenyani yood en ka cwagge wala kwa ny-a yi ji moeoegoe.
21-02	Dhanhoe bene yie da dyer me nimi ngan-a kyeeloe o goeoege ki kaejji gwoegg ki yij poedhoe.
21-03	Yieyoe mi ji en a re kaeael yi teegi miri, oe yieyani kaeael-a bang leeng men-a nyi leeng ji o cugi beedoe a leeng tingi cing wala men-a nyi gwed.
22-00	Cigg 22
22-01	Beedi dhanhoe a akyel ki kelli tyeng poedhoe wang-a kinni, burani ki bang gsoeg poedhoe ki nywaeg koemi laeboe geki moeg-a nywag, ki tyeny poedhoe ki jamm-a nyi nywoel en ki moeg-a kaeni ki ngyeny, ki beedoe ki kej akyel, ki oeddi gwedd moeg-a bong kaer, ki teegi peri dhanhoe ki kunoe e bong baeaengoe kipe dhanhoe.
23-00	Cigg 23
23-01	Dhanhoe bene yie da dyer o goeoege; ki gwoeng-a dwaddi yi en, ka poedhoe kore o beedoe e bong ngan jad ki gwoeg.
23-02	Nyi cuddi dhanhoe ki koeoegi men-a kyeew ki gwoeng-a gwoege e bong geny.
23-03	Dhanhoe bene men-a goeoegoe yie da dyeroe me cudii ki koeoegi men roemi kipere ki goele.
23-04	Dhanhoe bene yie da dyeroe me koeoegii keny-a orum gwoege a (makaepi) me koeme paedhi yi en geki goele, o koeme ocuggoe ki kidhoe kipe kinni wange ko cyaeni keny-a odoeoeg cinge ree.
24-00	Cigg 24
24-01	Dhanhoe bene yie da dyeroe kipe cyaeng ywoemoe ka cuddi ceth keloeg e ogoeoegoe ki cyaeaeng ywoemoe.
25-00	Cigg 25
25-01	Dhanhoe bene yie da dyeroe ki yij beedoe, kipe kori deele, ki cwage, ki goele, gigcaam, ki ogoedh, ki oed, kori raemi del ki jam doej kipe beedoe, thyew ki dyer me korii ke bong yie gwoeg, raemi del nyoedhi del, ki kijoe, ki doeng.
25-02	Megg ki othoenhoe yi gen da dyer mi kori gen ki koenyi gen, othoenhoe benn dwata koroe, moeg-a nywoel kiri yuu nywoem wala moeg-a nywoe1 ki yedhh moeoegoe.
26-00	Cigg 26
26-01	Dhanhoe bene yie da dyeroe mi didoe ki gwed ka cugge. Gwed dwata beed e bang gin col. Ka dwate beed a cir kipe cukoe, yiey nyi gwed wala nyi gwed ki oed gwed men-a ying mal dwata kael bang poedhoe me.
26-02	Didoe dwata beedoe a men ting beedi dhanhoe o woere dyeroe ki bongi baengoe kipe lingi dhoeg, ki dwoeg laaw piny ki kelli teedoe ki kelli jur moeg-a genyoe, ki tyeng kwoebbi Jwoek moeg- a baen, moegani koeny-a tyeng buri koemi laeboe ki kori mer.
26-03	Wegg yi gen da dyer kipe yeny yoeoe men-a did yi nywoelli gen.
27-00	Cigg 27
27-01	Dhanhoe bene yie da dyeroe me nywaege kiri kwoeng beedi ji ki kunyoe kipe didoe.
27-02	Dhanhoe bene yie da dyer kipe kori koengi ki jamm-a nywoe1 yi didoe.
28-00	Cigg 28
28-01	Beed dhanhoe e okoroe yi cigg moeg; gen a cigg-a acib ga moeg ri gen beed yi poedhoe ki beendoej geki poedhh-a kyeeloe e da korri gig-a dwaddi kipe doeoeji buroe, ki taebboe, ni ka acib gen ceth ga moeg midhi.
29-00	Cigg 29
29-01	Dhanhoe bene yie da mwoeg me dwati gwoegoe yi en ki buri ji.
29-02	Kiri gwoeoeg dyer ki bongi baeaeng, dhanhoe bene dwata beed nimi ka dwatii yi cigg, kipe kori yieyoe ki woeri dyer ki bongi baeaengoe mi ji moeoegoe.
29-03	Dyer moegani ki bongi baeaengoe, midhi gen ceth ki yuu-a dwaddi yi Buri Poedhhi Koemi Piny.
30-00	Cigg 30
30-01	Ki yij nyudhoe men, bong gin cuggi loegoe me nengi poedhoe wala ji wala dhanhoe ki teegoe me goeoege kipe renyi gig-a acib moeg ki bongi baeaengoe moe baeaen ki moeg-a acib ki yij waenyoe men; a 1oeg Moeg-a Acib yi Buri Poedhhi Koemi Piny.
