00-00	Kizhining tap-erikterining Tekshi  Deklaratsiyazy
08-01	Kazhy la kizhi ogo Konstitutsiyala emeze jasakla berilgen tos tap-erikteri buzulgan tuzhynda iydelu, toomjylu el jargylarda  tap-erikterin jedimdu ornyktyrarga tap-eriktu.
09-00	9-chy tizim
09-01	Kemdi de tuurazynang oljoloorgo, tudarga emeze surerge jarabas.
10-00	10-chy tizim
10-01	Kazhy la kizhi onyng tap-erikterin le moljularyn chokymdaarga, onoido ok ogo edilgen ugolovnyi burulashtyng tozogozin chokymdaarga tolo teng-taiga taianyp, onyng keregi achyk-jaryk aialgada korulzin le jargy ak-chek, kemneng de kamaandu emes chyndyk bolzyn dep tap-eriktu.
11-00	11-chi tizim
11-00	Kazhy la kizhi shok-kerek etken dep burulatsa, onyng buruzy jok dep achyk jargyda jasaktyng eezhizile jartalbagancha, ol oiding turkunyna korulanaryna kerektu oncho argalarla jetkildeler  dep tap-eriktu.
11-01	Kem de kandyi bir kerekti etken emeze neni de etpegen dep shyltakka taianyp, shok-kerek etken dep jargylatpas uchurlu. Shok-kerekti eder tuzhynda natsionalnyi jasak emeze kalyktar ortodogy  tap-erikter aaiyncha shok kerek dep chotolbogon bolzo. Onoido ok shok-kerek edilgen oido, bolgodyi kezeduge koro, katu kezedu  edilbes.
12-00	12-chi tizim
12-01	Onyng tangynang la bilelik jurumine tuurazynang kem de kirishpes uchurlu. Onoido ok kem de onyng aiyl-jurtyna, korrespondentsiyazynyng  jazhydyna emeze onyng ady-jolyna, jurumine tuurazynang kirizher uchury jok. Kazhy la kizhi ondyi tabarudang, kirizherineng korulanar jasakka tap-eriktu.
13-00	13-chi tizim
13-00	Kazhy la kizhi kazhy la oroon keminde jaiym jurer le jurtap jadarga jerdi taldap alar argalu.
13-01	Kazhy la kizhi kandyi la oroonnong jure berer, ol toodo boiynyng, onoido ok boiynyng oroonyna burylar tap-eriktu.
14-00	14-chi tizim
14-00	Kazhy la kizhi istezhudeng ulam osko oroondo korulanar jerdi bedireer le korulanar jerle tuzalanar argalu.
14-01	Bu tap-erikle kandyi istezhu tuzhynda tuzalanarga jarabas. Kachan chyn la politikalyk emes shok-kylyk emeze kerekter Biriktirilgen Natsiyalardyng Organizatsiyazynyng  amadularyna la eezhilerine kelishpei turza.
15-00	15-chi tizim
15-00	Kazhy la kizhi grazhdanstvo alar tap-eriktu.
15-01	Kandyi da kizhining grazhdanstvozyn emeze grazhdanstvozyn kubultar tap-erigin ala- koncho airyyrga jarabas.
16-00	16-chy tizim
16-00	Er kemine jetken er le epshi ulus ugy-tozineng emeze jangdagan jangynang kamaany jogynang aiyl-jurt tudup, bilelu bolor tap-eriktu. Olor aiyljurtty tozoor, jurtaar la airylyzhar tuzhynda teng-tai tap-erikle tuzalanat.
16-01	Aiyl-jurt tozop jatkan eki jany ekulezi jaiym la eptu-joptu soslo, kuunle biriger argalu.
16-02	Bile obshchestvonnyng tozi, tozogozi, ol obshchestvonyng la gosudarstvonyng janynang korulashka tap-eriktu.
17-00	17-chi tizim
17-00	Kazhy la kizhi alky-joozho tangynang eelener, emeze oskolorile de kozho eelener tap-eriktu.
17-01	Kemning de alky-joozhozin tuurazynang kelip airyyrga jarabas.
18-00	18-chi tizim
18-01	Kazhy la kizhi jaiym kuun-sanaaga, ak-chekke le kudai jangyna tap-eriktu; bu tap-erikke boiynyng kudai jangyn emeze korumin solyyry kiret, boiynyng jangyn jaiym jangdaary emeze korumin tangynang boiy, emeze osko ulusla kozho jangdaary baza kiret. Kudailyk chum-jang jangzhygulardy otkurerinde taperiktu.
19-00	19-chy tizim
19-01	Kazhy la kizhi boiynda jaiym korumdu le ony jaiym chygara aidar taperiktu. Ol tap-erik aaiyncha boiynyng korumineng jaiym tudunar la gosudarstvonyng gran-kyiuzynang  kamaany jogynang  jetirulerdi le korumsanaalardy kandyi la ep-sumelerle bedireer, alar la tarkadar tap-eriktu.
20-00	20-chi tizim
20-00	Kazhy la kizhi amyr-enchu juundarga la assotsiatsiyalarga kirer jaiym tap-eriktu.
20-01	Kemdi de kandyi bir assotsiatsiyaga alban kuchle kiydiriler argazy jok.
21-00	21-chi  tizim
21-00	Kazhy la kizhi oroondy bashkararynda chike emeze jaiym taldap algan chygartulu ulus azhyra turuzhar tap-eriktu.
21-01	Kazhy la kizhi boiynyng oroonynda gossluzhbaga teng-tai kirer  taperiktu.
21-02	Bashkarunyng jangynyng tozogozinde el-jonnyng kuun-taby bolor uchurlu; ol kuun-tap angylu oiding bazhynda odup turgan ak-chek taldashtarda koruler uchurlu. Ol taldashtar tekshi le teng-tai taldaachy tap-erikle odor uchurlu. Jazhyttu unberishle emeze jaiym unberishti jetkildeechi osko do budumle otkurilzin.
22-00	22-chi tizim
22-01	Kazhy la kizhi obshchestvonyng turchyzy, aidarda, ol sotsialnyi jetkildeshke, jaiym ozumge tap-eriktu. Ol ekonomikalyk, sotsialnyi la kulturnyi bolukterde natsionalnyi ep-argalar la kalyktar ortodo omo-jomo ish, onoido ok kazhy la oroonnyng  sailamazy la argalary azhyra ichkeri ozor tap-eriktu.
23-00	23-chi tizim
23-00	Kazhy la kizhi ishke, ishti jaiym taldaaryna, ishte ak-chek le jaramyktu aialgaga, ishteer jeri jok aialgadang korulalar tap-eriktu.
23-01	Kazhy la kizhi kandyi da  kyiyktash jogynang teng-tai ish uchun  teng-tai ishjaldu bolor tap-eriktu.
23-02	Kazhy la kizhi joldu kairalga tap-eriktu. Onyzy kizhige kerektu jadyn-jurumge le bilezine jaramyktu jadyndy jetkildeer uchurlu. Kerek tuzhynda, osko do sotsialnyi jetkildeshle uzeeri  jetkildeler.
23-03	Kazhy la kizhi profsoyuznyi biriguni tozoor lo profsoyuztarga boiynyng jilbulerin koryyr amadula kirer tap-eriktu.
24-00	24-chi tizim
24-01	Kazhy la kizhi amyraarga la bosh oigo tap-eriktu. Onoido ok ishteer kundi kerektu keminde tuzalanary la tololip turgan jangzhykkan  amyralta (otpusk) kereginde tap-erik baza kiret.
25-00	25-chi tizim
25-00	Kazhy la kizhi jurumdik kemi biyik boloryna tap-eriktu. Kursaktamagy, kiyim-tudumy, aiyl-jurty, meditsinalyk jetkidezhi, kerektu sotsjetkildesh su-kadykty, jadyn-jurumdi kerektu keminde, nekeltelerge kelishtire bolor uchurlu. Ish jok artsa, ooru-jobol bolzo, kenek artsa, jangyskan artsa, karyyr jazhy jetse emeze onyng boiynang  kamaany jok kuch aialga bolo berze, kazhy la kizhi tap-eriktu.
25-01	Enelik le oogosh baldar angylu bolushta la kicheemelge tap-erik beret. Oncho baldar bilede, onoido ok bilede emes te aialgada chykkan bolzo, onchozy teng-tai sotsialnyi korulashla tuzalanar uchurlu.
26-00	26-chy tizim
26-00	Kazhy la kizhi ureduge tap-eriktu. Uredulik akcha tolobozineng bolor uchurlu. Anchada la bashtamy la tekshi uredulik. Bashtamy uredulik kyialtazy jogynang  bolor uchurlu. Tekhnichesky le professionalnyi uredu onchozyna jaramyktu bolor uchurlu. Kazhy la kizhining argalaryna taianyp, biyik uredu  baza onchozyna joldu bolor kerek.
26-01	Uredulik kizhining ichkeri ozumine uulamjylu bolor uchurlu. Kizhining tap-erikterine le jaiymynyng tos uulamjylaryn elbederine uulandyrylar uchurlu. Ureduni kalyktar ortodo toomjyga, najylykka, tekshi til tabaryna joldu bolor uchurlu.  Ugy-tozi le jangdagan jangdary aaiyncha bolukter ortodo ongdomoldy jomoor. Amyr-enchuni  jomoori aaiyncha Biriktirilgen Natsiyalardyng Biriguzining otkurip turgan izhin  jomoor uchurlu.
26-02	Ada-eneler oogosh baldaryna uredulikting budumin taldaarynda taperiktu.
27-00	27-chi  tizim
27-00	Kazhy la kizhi obshchestvonyng kulturnyi juruminde erchimdu turuzhar tap-eriktu. Keendikle tanyzhar, bilim ozumde turuzhar, turultalaryla tuzalanar argalu.
27-01	Kazhy la kizhi onyng kogus bailygyn, ar-joozholik jilbulerin koryyr tap-eriktu. Bilim, literaturalyk emeze khudozhestvennyi ishting avtory bolzo, ol tap-eriktu bolor uchurlu.
28-00	28-chi tizim
28-01	Kazhy lakizhi sotsialnyi la kalyk ortodogy eezhi-aaiga tap-eriktu. Mynda chyndyk Deklaratsiyada jaradylgan tap-erikter le jaiym  butkulinche buder argalu.
29-00	29-chy tizim
29-00	Kazhy la kizhi obshchestvonyng aldynda moljlu. Shak la mynda kizhining tolo lo jaiym ichkeri ozumi bolor argalu.
29-01	Kazhy la kizhi boiynyng tap-erikterin le jaiymyn jurumde kiydirip tura, jasakla jaradylgan tudulardy buspas uchurlu.Osko ulustyng tap-erikterin, jaiymyn toop, baalap, demokratiyalyk obshchestvonyng tekshi nekeltezin, eezhizin buspas uchurlu.
29-02	Bu tap-erikterdi le jaiymdy kiydirip, ol onoido ok Biriktirilgen Natsiyalardyng Biriguzining eezhilerine, nekeltelerine ol udura bolbos uchurlu.
30-00	30-chy tizim
30-01	Chyndyk Deklaratsiyada  jaradylganyn kandyi bir oroongo, bir boluk uluska emeze tangynang uluska kandyi bir ish ederge emeze kandyi bir kerekti ederge, chyndyk Deklaratsiyada jaradylgan tap-erikti le jaiymdy jogoltorgo uulandyrylgan dep ongdoorgo jarabas.
