00-00	POWSZECHNA DEKLARACJA PRAW CZLOWIEKA
16-00	Mezczyzni i kobiety bez wzgledu na jakiekolwiek roznice rasy, narodowosci lub wyznania maja prawo po osiagnieciu pelnoletnosci do zawarcia malzenstwa i zalozenia rodziny. Maja oni rowne prawa w odniesieniu do zawierania malzenstwa, podczas jego trwania i po jego ustaniu.
16-01	Malzenstwo moze byc zawarte jedynie za swobodnie wyrazona pelna zgoda przyszlych malzonkow.
16-02	Rodzina jest naturalna i podstawowa komorka spoleczenstwa i ma prawo do ochrony ze strony spoleczenstwa i Panstwa.
17-00	Artykul 17
17-00	Kazdy czlowiek, zarowno sam jak i wespol z innymi, ma prawo do posiadania wlasnosci.
17-01	Nie wolno nikogo samowolnie pozbawiac jego wlasnosci.
18-00	Artykul 18
18-01	Kazdy czlowiek ma prawo wolnosci mysli, sumienia i wyznania; prawo to obejmuje swobode zmiany wyznania lub wiary oraz swobode gloszenia swego wyznania lub wiary badz indywidualnie, badz wespol z innymi ludzmi, publicznie i prywatnie, poprzez nauczanie, praktykowanie, uprawianie kultu i przestrzeganie obyczajow.
19-00	Artykul 19
19-01	Kazdy czlowiek ma prawo wolnosci opinii i wyrazania jej; prawo to obejmuje swobode posiadania niezaleznej opinii, poszukiwania, otrzymywania i rozpowszechniania informacji i pogladow wszelkimi srodkami, bez wzgledu na granice.
20-00	Artykul 20
20-00	Kazdy czlowiek ma prawo spokojnego zgromadzania i stowarzyszania sie.
20-01	Nikogo nie mozna zmuszac do nalezenia do jakiegos stowarzyszenia.
21-00	Artykul 21
21-00	Kazdy czlowiek ma prawo do uczestniczenia w rzadzeniu swym krajem bezposrednio lub poprzez swobodnie wybranych przedstawicieli.
21-01	Kazdy czlowiek ma prawo rownego dostepu do sluzby publicznej w swym kraju.
21-02	Wola ludu jest podstawa wladzy rzadu; wola ta wyraza sie w przeprowadzanych okresowo rzetelnych wyborach, opartych na zasadzie powszechnosci, rownosci i tajnosci, lub na innej rownorzednej procedurze, zapewniajacej wolnosc wyborow.
22-00	Artykul 22
22-01	Kazdy czlowiek ma jako czlonek spoleczenstwa prawo do ubezpieczen spolecznych; ma rowniez prawo do urzeczywistniania - poprzez wysilek narodowy i wspolprace miedzynarodowa oraz zgodnie z organizacja i zasobami kazdego Panstwa - swych praw gospodarczych, spolecznych i kulturalnych, niezbednych dla jego godnosci i swobodnego rozwoju jego osobowosci.
23-00	Artykul 23
23-00	Kazdy czlowiek ma prawo do pracy, do swobodnego wyboru pracy, do odpowiednich i zadowalajacych warunkow pracy oraz do ochrony przed bezrobociem.
23-01	Kazdy czlowiek, bez wzgledu na jakiekolwiek roznice, ma prawo do rownej placy za rowna prace.
23-02	Kazdy pracujacy ma prawo do odpowiedniego i zadowalajacego wynagrodzenia, zapewniajacego jemu i jego rodzinie egzystencje odpowiadajaca godnosci ludzkiej i uzupelnianego w razie potrzeby innymi srodkami pomocy spolecznej.
23-03	Kazdy czlowiek ma prawo do tworzenia zwiazkow zawodowych i do przystepowania do zwiazkow zawodowych dla ochrony swych interesow.
24-00	Artykul 24
24-01	Kazdy czlowiek ma prawo do urlopu i wypoczynku, wlaczajac w to rozsadne ograniczenie godzin pracy i okresowe platne urlopy.
25-00	Artykul 25
25-00	Kazdy czlowiek ma prawo do stopy zyciowej zapewniajacej zdrowie i dobrobyt jego i jego rodziny, wlaczajac w to wyzywienie, odziez, mieszkanie, opieke lekarska i konieczne swiadczenia socjalne, oraz prawo do ubezpieczenia na wypadek bezrobocia, choroby, niezdolnosci do pracy, wdowienstwa, starosci lub utraty srodkow do zycia w inny sposob od niego niezalezny.
25-01	Matka i dziecko maja prawo do specjalnej opieki i pomocy. Wszystkie dzieci, zarowno malzenskie jak i pozamalzenskie, korzystaja z jednakowej ochrony spolecznej.
26-00	Artykul 26
26-00	Kazdy czlowiek ma prawo do nauki. Nauka jest bezplatna, przynajmniej na stopniu podstawowym. Nauka podstawowa jest obowiazkowa. Oswiata techniczna i zawodowa jest powszechnie dostepna, a studia wyzsze sa dostepne dla wszystkich na zasadzie rownosci w zaleznosci od zalet osobistych.
26-01	Celem nauczania jest pelny rozwoj osobowosci ludzkiej i ugruntowanie poszanowania praw czlowieka i podstawowych wolnosci. Krzewi ono zrozumienie, tolerancje i przyjazn miedzy wszystkimi narodami, grupami rasowymi lub religijnymi; popiera dzialalnosc Organizacji Narodow Zjednoczonych zmierzajaca do utrzymania pokoju.
26-02	Rodzice maja prawo pierwszenstwa w wyborze nauczania, ktore ma byc dane ich dzieciom.
27-00	Artykul 27
27-00	Kazdy czlowiek ma prawo do swobodnego uczestniczenia w zyciu kulturalnym spoleczenstwa, do korzystania ze sztuki, do uczestniczenia w postepie nauki i korzystania z jego dobrodziejstw.
27-01	Kazdy czlowiek ma prawo do ochrony moralnych i materialnych korzysci wynikajacych z jakiejkolwiek jego dzialalnosci naukowej, literackiej lub artystycznej.
28-00	Artykul 28
28-01	Kazdy czlowiek ma prawo do takiego porzadku spolecznego i miedzynarodowego, w ktorym prawa i wolnosci zawarte w niniejszej Deklaracji bylyby w pelni realizowane.
29-00	Artykul 29
29-00	Kazdy czlowiek ma obowiazki wobec spoleczenstwa, bez ktorego niemozliwy jest swobodny i pelny rozwoj jego osobowosci.
29-01	W korzystaniu ze swych praw i wolnosci kazdy czlowiek podlega jedynie takim ograniczeniom, ktore sa ustalone przez prawo wylacznie w celu zapewnienia odpowiedniego uznania i poszanowania praw i wolnosci innych i w celu uczynienia zadosc slusznym wymogom moralnosci, porzadku publicznego i powszechnego dobrobytu demokratycznego spoleczenstwa.
29-02	Z niniejszych praw i wolnosci nie wolno w zadnym przypadku korzystac w sposob sprzeczny z celami i zasadami Organizacji Narodow Zjednoczonych.
30-00	Artykul 30
30-01	Zadnego z postanowien niniejszej Deklaracji nie mozna rozumiec jako udzielajacego jakiemukolwiek Panstwu, grupie lub osobie jakiegokolwiek prawa do podejmowania dzialalnosci lub wydawania aktow zmierzajacych do obalenia ktoregokolwiek z praw i wolnosci zawartych w niniejszej Deklaracji.
