00-00	[missing]
26-02	Enenge yekede godominke manomay kete watape kete enenge impa aye anobay waomo keeme wiwa kedamay watape kewegimo imompa tomemomke ponente wakekibeye; enenge beye, watape kete wadekimoni tomame wado tededani wado kedani inanite nene ome kedani waa kewenge beye wakekedanimpa.
26-03	Tomanani Wempoydi tomenani winenani enenge beye apekinani waemo enenge impa anani enenkedanimpa.
27-00	Nani anomo 27
27-01	Tomamo waomo nemompa keeme ananay inani kewegimo imompa tomemo kewenomo, tomemo tomaa digintaydi neente kewebeye aye anobay tomenanike nani ponente keebeye mono ome godominke wakete kewengi beye.
27-02	Tomamo waomo negimo imompa wakedani kewengi ponente nani kebeye aye tomemo mono kekaakatomemonke ponente godomeinke kaki beye, mono tomemo ani doobe tatimpa tomemo emowo.
28-00	Nani anomo 28
28-01	Tomamo waomo neemompa wakeki beye nene ome nani manomay kete wakewegimpa ante ananipa tomemo watape kete kewengi beye.
29-00	Nani anomo 29
29-01	Tomamo waomo nemompa wakete kewenge tomemo kenomo, tomenga nano keyomomke kemo ate godominke kingame anomay inani tomemo kete watape kewegimpa.
29-02	Tomemo mono kenomo watape kete kewegimpa keeme anamay inani, tomenani tomamo waomo adoke kigame bay ponenanipa inkete tomamo mono nemompa nano amay tomemo kewenge beye watape wakete tomemo keeme anamay inani kewegimpa pankadaniya yekede ante ananipa toynga tomamo kekibeye aye anobay geya kekimpa ampa keeme anamay inani kewegimpa.
29-03	Mani mono neente watape kewe ekame anamay inkedanimpa manomay nenamay mono tomemo godominke watape kekedanimpa ante wabeka kedani.
30-00	Nani anomo 30
30-01	Ekame inke anamay inkedanimpa manomay tomenani igampa ante ponente kedamay inginga wabeka nani kee wakabodani wii inte adokanki ingante nani godominke watape keegoo yekede watape godominke kegokimpa ante ananipa.
