00-00	pematisit tepaketakosiwinan misiwekamik wintamakewin
14-01	oowe tepaketakosiwin makisha kawin taishi kanawapacikatesinon kishpin tepwe ishinakwasinon kaoci macipaiwet tekwak eki mamashikatasot eki pikoniket kainatenik inakokewin ima misiwekamik akik mamawi wiciwitiwinik.
15-00	oshipiikan mitasoshinanan
15-00	kakinawenen otayan tepaketakosiwin cioci ayapan otakanesiwin kaishinakosit.
15-01	kawin awiya taocitipakonasi oweni ototakanesiwin kaishinakosit kaye cianawetawit wiacitot ototakanesiwin.
16-00	oshipiikan mitasoshinikotwaso
16-00	ininiwak mina ikwewak katepitasopipenewat otayanawa tepaketakosiwin pisan iko cikiciwitikewapan kawinon memwec pinama aweneniwiwat, anin eshiayamiawat mina katanakiwat otakanesiwin. otayanawan tapita tepaketakosiwin kici witikewin, mekwa witikewin kaye kishpin ani ishkwasenik witikewin.
16-01	winawa piko tipinawe kainetamewat kaishinishiwat taishicikewik cikiciwitikewat.
16-02	tipecikewinan kaotakanesinaniwak ishinisitawinakwanon oma kaishiayaniwak eniwek cikikanawetakwakipanik kaye ciayekwaminikatekin.
17-00	oshipiikan mitasishinishaso
17-00	kikanawenen otayan kitipentakipan kaishitat mina kaye kaici wicipimatisimat oma akik.
17-01	kawin taici onetamawasi tipakonikewinik cianawetamawit kaishitipetat otishitawin.
18-00	oshipiikan mitasoshinishshwaso
18-01	kakinawenen otayen tepaketakosiwin tipenimitesowinik kaishinanakatawetak, okikemewin, otayamiawin mitash kaye eshi takwatek awe tepaketakosiwin pisan iko si ishiacitot ociyamiawin, otepwetamewin mina tipenimitisowin, eshi peshikot kema kotakiya otashikewinik minawa nishikesiwinik makisha kaye kaishiayaniwak ciishinakwatot otayemiawin, kaishi kikinoamakenaniwanik otepwetamowinik, ciishiciket, ayamicikewin, mina kaishi piminawapatak.
19-00	oshipiikan mitasoshakoso
19-01	kakinawenen otayan tepaketakosiwin tipenimitisowinik cikakanotak kaye kiiishiwapatak kekonan mitash oma tepaketakosiwin eshitakwimakak pisan iko ciishiatoneakin keya ciotapinakin mina cimikiwepan witamakewin piko ati kaishiatawentakwak tipacimowin misiwe piko kaishiswewanakin katipacimowinikewat.
20-00	oshipiikan nishtana
20-00	kakinawenen otayan tepaketakosiwin mawaciitiwinik cikiayawat pisanisowin kaye ima kaishi wawiciwitinaniwak kekonan.
20-01	kaishi wawiciwitinaniwak kekonan kaishicikaniwak oma akik kawin awiya ciishikakwe shakociit citakwikasowit.
21-00	oshipiikan nishtanashipeshik
21-00	kakinawenen otayan tepaketakosiwin kaishiotakicit kewin ciwicitwat okimaonik, kwayak iko makisha kaye win iko kaishionenimat ciwitokawat kaokimaoni anokinicin.
21-01	kakinawenen otayan tepaketakosiwin kaishi otakicinaniwak ciotinikepan kewin kaishi wawiciitinaniwanik kenan.
21-02	kaokimawatisit otonakisowin taocikiketakwan anishininiwan kaishi atawetaminicin, citash owe eshkak ketokikatek kwayak cionakimitwa keokimaotwa kaki ishionenimitwa ciishi manacikiketakwakin kaishiashitepiikaniwak minawa kaye wike weweni citocikatek kapitakowepinikaniwak ashitepiikewinin.
22-00	oshipiikan nishtanashinishin
22-01	kakinawenen kaishitakwakimit oma akik otayan tepaketakosiwin kewin ominesawinik mina ciishikiketakoit oci misiwe okakwekashkitowin mina misiwekamik owicitwawin kaishinanaitak mina ima pimiwicikewinik kataso ayakin akissi kanan otaciitisowinik mina tepaketakosowin kaishikitenitakwak pimatisiwin mina kaye tipinimitisowinik ciani oppishkanik otishiwepisowinik.
23-00	oshipiikan nishtanashinisin
23-00	kakinawenen otayan tepaketakosiwin cikianokipan, win iko cionetamasot watananokit, kaye kecinak ciayakwamaninik cikanawetakwak kaaishinakwak katananokinaniwak mina kaye cioci kanawenimit kaocisinokin anokiwinan.
23-01	kakinawenen otayan tepaketakosiwin weweni kwayak citipaamawakaniwit otisewin kaishi anokit kaye cioci manenimaka niwisik.
23-02	kikanawenen otayan tepaketakosiwin kaanokit kwayak citakwakimitwa kaishi akimitinaniwa anin etashinaniwak oci kewin mina otipecikewinik kiciinetakwan kewinawa epimatisiwat mina kishpin eta ishinakwak pakan cioci natamawitwa kaoci kanawenimitinaniwak.
23-03	kakinawenen otayan tepaketakosiwin cikitakwipan mina cionatopan kaishi mamawinonaniwak anokiwinik cioci kanawetakwaninikin katanetakin mina kaishiminweciket kekonan.
24-00	[Missing]
24-01	[Missing]
25-00	[Missing]
25-00	[Missing]
25-01	[Missing]
26-00	[Missing]
26-00	[Missing]
26-01	[Missing]
26-02	[Missing]
27-00	[Missing]
27-00	[Missing]
27-01	[Missing]
28-00	[Missing]
28-01	[Missing]
29-00	[Missing]
29-00	[Missing]
29-01	[Missing]
29-02	[Missing]
30-00	[Missing]
30-01	[Missing]
