00-00	 "zzytmucotnzydduticyttepyy" 
17-01	coxixmangeddemocypbboplukaxqimulupxieaphxit. 
18-00	cihxitjisu
18-01	comakaxjjomungoplu, nbophxinyisinipxixnjypmuddajjuxnzyddujjo: nzydducyxjilinjypsumupmipddiexburhxisuddajjuxnyititqo, hxiyipzytjieapngepoxgocyphodatticytapngeoxgo, nbotdanjypsusinipsysihmatmuchopjiegomgadanjypsuddajjuxxipnyijjo. 
19-00	cixggujisu
19-01	comakaxjjosumucyphxepjjuxjjosusiniphxepjjuxhxiphxitddajjuxnzyddujjo, cyhxepjjuxkepmujjix sugojilexaphxitsuddajjuxnzyddunyititqo, hxiyipcyxixggatmgadaxixguopjietngemo, ggeddumoddusiningopluxipzyhnaddajjux nzyddujjo. 
20-00	nyipzijisu
20-00	comakaxjjosutenjomuhorexsusinipcyphomusuddajjuxnzyddujjo. 
20-01	coxixmangeddemowerupgepdasuxcyphocyxggesipaxpacypggatgepddixxipmuaphxit. 
21-00	nyipzicyxjisu
21-00	comakaxjjosucypzytjieapngeoxgobbolopsidazytjieguopjietddiphmosuddajjuxnzyddujjo. 
21-01	comakaxjjosuzytjieguopjietcypshyrsytlatmumgexqohxitsuddajjuxnzyddujjo. 
21-02	hotpucypshyrsungopddezhepfupnzykeddemopnge, ngopddecyxjilimunyipjietdagexzhymusipsisugodahxepddurlahxittatxi, titsisuliputmgamujjysuxmusitatxi, ddixapbbopsitepyygohmigoditdaddajjuxjjomusisugomgadasissox. 
22-00	nyipzinyixjisu
22-01	comakaxjjosucyjjutzzurgocomangene, jjutzzurbojimujjonzitsunzyddujjo, ddixapbbopcycypzytjiejjojjuxjjoxjiesinipcypddajjux ndutrresugoapkaaphxitsurrejip, jjutzzursinipsyplumupmitcypxipcypyietgonzijjuxxipmugondoxsunzyddujjo, cyliguopjietwegasusinipguopjietrepjjygexdaguopjietcyxggerrotchypsinipddurlumupmitgomgadamugondoxsu. 
23-00	nyipzixsuojisu
23-00	comakaxjjosusytmu, ddajjux musytmuddesi, apngeaphxijjosusinipdadopsytmulutjieddixapbbopsytmudduapjjolamixdabosunzyddujjo. 
23-01	comakaxjjosumusujjysuxmux rrejjynyixmuwepsunzyddujjo, axyyhlopzyrmuhxepaphxit. 
23-02	mosytmusuxixmangeddemo, apkuaphximujjosusinipmux rredadopmuwepsunzyddujjo, dabodacypzytjiesinipcypixgocobbyxjjojjuxlutjiejjipmujjoshux, apngeaphxittenehxiyipjjutzzurdaboaxpayietmugomgadagolotbuophxit. 
23-03	comakaxjjosucypzytjiemgatjjupsimumoddixgothoprepmgotsinipgothopgoqohxitsunzyddujjo. 
24-00	nyipzixlyjisu
24-01	comakaxjjosuxyxnesiniplitvursunzyddujjo, sytmutekopdadopmujidasusinipjietdamuxrrebbypxyxneshuxsunzyddunyititqo. 
25-00	nyipzixngejisu
25-00	comakaxjjosucypzytjiesinipcypixgocogopbosinipmgatjipkalynzitjjojjuxsimusunzyddujjo, titkujoxnezzeddundoyy, vitlurvitgga, itddenyixdde, nahxexnaxddiesusinipjjutzzurvimuddieddursutitqo, mudduapjjo, na, gopbonepndit, mupchymopjjip, axmopapngeoxgosytmuapdoptene, dabowephxitsunzyddujjo. 
25-01	axmosinipaxyiggaggaloxgolotbuoplotddiesunzyddujjo. axyimakaxjjosuaxdaaxmojjoddapapjjo, ngegetjjysuxmujjutzzurgobosimunzyddujjotatxi. 
26-00	nyipzixfutjisu
26-00	comakaxjjosuwephxophmatsunzyddujjo, hxophmatpulilytatapxi, kepmunyihxophmatixhmuzipsulixipmutatxi. hxophmatixhmuzipsulinzitnyopmuhxeptatxi. getlisinipmudduhxophmatxipliddiedassox. hxophmataxhmuzipsulicomakaxjjosujjysuxmuhxepdassojjux nraxjiegomgasisixhxophmat. 
26-01	hxophmatsulicomuluxmaxtiebbyxzzimupiprrelishux, ddixapbbopconzyddujjosinipddebopddajjuxpuyysuwebotgep. hxophmatsuliguopjietsinipcocuxkaxjjosuapngeoxgosynjypsixnjyprephoxgatzyrjjyxddejji, nzipnzitsusinipjjyxmgujjyxddesugoddiplyttatxi. hxiyipgorexguopjietjjygexdatenjomujjosucypxipcypyietgonyiddiplittatxi. 
26-02	axdaaxmozytjiessamurhniemiepxixyiethxophmatsisunzyddujjo. 
27-00	nyipzixshyxjisu
27-00	comakaxjjosujjutzzurgosyplujjojjux, nzitluxipgoqohxitsuddajjux nzyddujjo, ddixapbbop kotxopcyrreyyddidamgatjipddurlaxipgowepjjuxnzyddujjo. 
27-01	comakaxjjosucypzytjiebbopatddurlasukotxopxixyietngemo, bburyipddurlasusyplubburbbursinipnzelubburbburxixyietngemo, cyxggegomgatjiplidabowepnzitsunzyddujjo. 
28-00	nyipzixhxitjisu
28-01	comakaxjjosujjutzzurgosinipzzytmuguopjietgojjopixcypyietlyhmoxsunzyddujjo, jjopixxixyietgoticyttepyygotisunzyddusinipddajjuxnyizzimumugoxidoxsutitdahxepddurlaox. 
29-00	nyipzixggujisu
29-00	comakaxjjosujjutzzurjoxmunzitjjo, xilijjutzzurgoyixnipcypzytjiedopddusinipddajjux zzimupiprrelurdox. 
29-01	comakaxjjocypzytjienzyddusinipddajjux ssitego, jievigohxipdaggexsuaxdigojiloxhxit, jiloxcyxjilijibbugoconzyddusinipddajjuxndemugorytzhatsinipgopuyydabosuti. hxiyipnzibboxjjosujjutzzurgodadopmusumuluxmaxtie, cypshyrjjopixsinipputmgamujjosumgatjipsinipjjonzitsukopjjuxjjipshux. 
29-02	nzyddusinipddajjuxcyxggessigo, mupmipkepmujjix tegonyihorexguopjietngopmupbbuoxzursinipjiexjiegoliexduraphxit. 
30-00	suocijixsu
30-01	ticyttepyygoxixjingemo, guopjiet, horex apngeoxgocoxixmangemo, titkujoxnzyddu sinipddajjux gobiequomuggexxiphxievurhxoxmukebbogobbyxaphxitsunge.  (muhliessiphxapursu) 
