00-00	LI XJULTIKANKIL XWANKILAL XLOQ'AL LI POYANAM SA' RUCHICH'OCH'
15-01	Chijunil li poyanam naru twanq xtenamitul.
15-02	Maani taruuq taisiiq chiru li xtenamitul, jo' ajwi' li xjalb'al wi jo'kan traj.
16-00	Xwaqlajuhil raqal (16)
16-01	Eb' li wiinq ut eb' li ixq, naq naxraw xq'ehil, naru nake'sumla ut te'waanq us ta te'xk'uub' xjunkab'al, ut juntaq'eet xwankileb' naq te'waanq us ta te'xjach rib' moqon. Li usilal a'in a'an re chijunila li poyanam, maak'a' naxye chanru nailok, b'ar xtenamitul malaq li xpaab'aal.
16-02	Naru li sumlaak wi' li poyanam te'raj sumlaak.
16-03	Li junkab'al a'an tz'aqal li xaqxo wi' junaq li tenamit, jo'kan naq kolb'ilaq xb'aan li tenamit jo' ajwi' li x'awab'ejilal li tenamit.
17-00	Xwuqlajuhil raqal (17)
17-01	Chijunil li poyanam naru twaanq k'a'aq ru re, chi xjunesalil ut sa' komanil.
17-02	Maani tamaq'e'q li k'a'aq ru re chiru chi maak'a'aq xyaalal.
18-00	Xwaqxaqlajuhil raqal (18)
18-01	Chijunil li poyanam taruuq tixk'a'uxla, tireek'a ut tixpaab' li k'a'ru traj; taruuq ajwi' tixjal li xpaab'aal malaq lix k'a'uxl, taruuq tixb'aanu li xpaab'aal malaq li xk'a'uxl, chi xjunesal ut sa' komonil, chiru tenamit malaq sa' muqmu, chi k'utb'il, chi b'aanunb'il malaq chi ilb'il.
19-00	Xb'eleelajuhil raqal (19)
19-01	Chijunil li poyanam naru tixye li k'a'ru nak'ulun sa' xch'ool; ink'a' naru tach'i'ch'i'iiq xb'aan a'an, taruuq tixsik', tixk'ul li k'ila na'leb' ut tarisi resil yalaq b'ar.
20-00	Xjunmayil raqal (20)
20-01	Chijunil li poyanam naru tixch'utub' rib' ut tixyoob' xch'utam chi tuqtuukilal.
20-02	Maani tamine'q chiru waank sa' junaq ch'utam.
21-00	Jun xka'k'aalil raqal (21)
21-01	Chijunil li poyanam naru naoken sa' x'awab'ejilal li xtenamit, a'anaq ajwi' malaq yal tixsik' ruuchil.
21-02	Chijunil li poyanam naru naok chi k'anjelak chiru li awab'ejilal sa' li xtenamit.
21-03	Li k'a'ru naraj li tenamit a'an li nataqlan sa' xb'een li xb'aanuhom li awab'ejilal; aran nak'utun naq nawan li sik'ok u, ab'an tento xb'aanunkil naq naxtaw xq'ehil, te'okeenq chijunil ut sa' muqmu re naq yaal re li tenamit ani tixxaqab'.
22-00	Wiib' xka'k'aalil raqal (22)
22-01	Chijunil li poyanam kolb'ilaq rix ut teenq'anb'ilaq, li xtenamitul ut li xteenq li ab'l tenamit tento naq te'xsik' xyaalal xteenq'ankil, kama' naraj xloq'al xwankilal re naq sa wanq.
23-00	Oxib' xka'ak'aalil raqal (23)
23-01	Chijunil li poyanam naru nak'anjelak, naru tixsik' ru xk'anjel, chaab'il k'anjel ut kolb'ilaq re naq junelik waanq xk'anjel.
23-02	Chijunil li poyanam juntaq'eetaq xtojb'al naq juntaq'eet k'anjel xb'aanu.
23-03	Chijunil li poyanam chaab'il tojb'ilaq re naq wanq rochb'en li xjunkab'al sa' xyaalal, kama' naraj li xloq'al xwankilal. Jual us wi naru xk'ub'ankil chic b'ayaq ru.
23-04	Chijunil li poyanam naru naxyoob' xch'uut ut naru naok sa' ch'uut re xkolb'al rix li xk'anjel.
24-00	Kaahib' xka'k'aalil raqal (24)
24-01	Chijunil li poyanam naru nahilan, tirajsi ru naq maak'a'aq xk'anjel, tz'aqalaq ru li xkutan ut tojb'ilaq naq tahilaanq.
25-00	Oob' xka'k'aalil raqal (25)
25-01	Chijunil li poyanam kolb'ilaq li xyu'am, jo' ajwi' re li xjunkab'al, re naq kawaq ut sahaq sa' xch'ool, waanq xwa ruk'a', raq'ej, rochoch, ilb'ilaq sa' xyajel; kolb'ilaq rix wi taasachq xk'anjel, wi tayajeerq, wi tixtoch' rib', wi tajunataliiq, wi tatiixq, malaq k'a'aq chik re ru tixk'ul.
25-02	Li nab'ej ut li kok'al a'an jual ilb'ilaqeb' chi us. Chijunil li kok'al juntaq'eet rilb'aleb' us ta ink'a' sumsukeb' li xyuwa'.
26-00	Waqib' xka'k'aalil raqal (26)
26-01	Chijunil li poyanam naru natzolok. Li tzolom tento naq wanq chi siib'il us ta ka'aj wi' li xtikib'ankil. Li xtikib'ankil tento xb'aanunkil. Li xkomon chijunil te'ruuq te'okeenq chirix.
26-02	Li xwaklesinkil ut li xtuqub'ankil ru li poyanam a'an li xk'anjel li tzolom, jo' ajwi' li xkawob'resinkil li roxloq'inkil li xloq'al xwankilal li poyanam ut li waank sa' xyaalal; tixteenq'a li k'amok ib' sa' usilal, li kuyuk maak ut li rahok ib' sa' xyaanqeb' chijunil li tenamit, xch'uutal tenamit ut li paab'aal; ut tixteenq'a xwaklesinkil xna'leb' li xch'uutal li k'ila tenamit sa' ruchich'och' re li usilal tuqtuukilal.
26-03	Li na'b'ej yuwa'b'ej naru te'xsik' ru li xtzolomeb' li ral xk'ajol.
27-00	Wuqub' xka'k'aalil raqal (27)
27-01	Chijunil li poyanam naru naoken sa' li xb'aanuhom li tenamit, tirajsi ru rik'in ut taokeenq chi tenq'aank re xteenq'ankil ajwi' rib' rik'in li xna'leb' li tenamit.
27-02	Chijunil li poyanam naru taakole'q chiru chijunil li k'a'aq re ru xb'aanuhom.
28-00	Waqxaqib'xka'k'aalil raqal (28)
28-01	Re chijunil li poyanam li usilal naq sa' chijunil li ruchich'och' chi paab'aaq ta li loq'al wankilal xjultikaman arin.
29-00	B'eleeb' xka'k'aalil raqal (29)
29-01	Chijunil li poyanam wan xb'aanuhom chiru li xtenamit, xb'aan naq ka'aj wi' aran truuq tz'aqal chi waklesinkil rib'.
29-02	Naq wanq sa' li xloq'al ut li xwankilal, chijunil li poyanam ka'aj wi' li chaq'rab' naru taramoq re, re naq chi jo'kan roxloq'inkil li xloql'al xwankil li komon, ut chijo'kan tuqtuuq ru twaanq li tenamit.
29-03	Li loq'al wankilal, chaab'ilal usilal a'in maajunsut truuq oksimmanq wi ink'a' junaj ru rik'in li xna'leb' ut li xyehom li Xch'uutal li K'ila Tenamit sa' ruchich'ch'.
30-00	Lajeeb' xka'k'aalil raqal (30)
30-01	Maani taruuq taasik'oq sa' li Jultikahom a'in, k'a'ru xb'aanunkil re xjeb'al ru li loq'al wankilal, usilal chaab'ilal xaqab'anb'il sa' li Jultikahom a'in.
