00-00	RUNAKUNA RESPETACHIKUNANPAQ LEY RURAPAeKONQAN KAYNUYMI QALAYKUNAN
16-01	Kasarakorqa kasarakaerinan shumaq ishkankuna munanakaerir-raemi. Ishkanpasi mana amachaq kaptinraemi, ishkankuna pipitasi mana amachasha kanan.
16-02	Kasarakaerenqan junaqpita rikakan juk familyanam. Chayta ruran lapan runa warmi kay pachach'u tiyaq, tiyapaeakunqanpita walka walkala achkamanna mirapaekun, kayta respetachinanpaq imasi kaptin kanqa familyanmi y nasyun mandukunam.
17-00	CH 'UNKA QANCH'ISNIN KAYNUYMI NISHA (17)
17-00	Lapan runapis respetachikonqam mana runa masin jarupaenanpaq ima aykanpitasi kikinpa kananpaq, masta munarqa kikinpa kananpaq ashikunan.
17-01	Manam pipis qarqosha qech'usha kanqachu kikinpapitaqa yanqa mana kaqpitaqa.
18-00	CH'UNKA PUSAQNIN KAYNUYMI NISHA (18)
18-01	Lapan runam ima ayka munanqanman yarpaekunan mana pipis chayta amachanmanchu. Chaynuy imamansi munanqanman yaerakuchun. Manam pipis amachanmanchu yaerakonqanpita juk yaerakuyman tikrakuptin. Chaynuy yaerakonqanpita achka runata o juk runalata willapar yach'achiptin y yach'akuyninta yaerakonqanman rurachiptin.
19-00	CH'UNKA ISQONNIN KAYNUYMI NISHA (19)
19-01	Lapan runam libri yarpach'akaerinanpaq y yarpach 'akonqanta rimananpaq. Chayta manam pipis amachanmanchu ni chaypita rabyakunmanchu pay yarpayninta wakin runata willapaptin. Lapan runatam musyachinman maych'uesi imanuypasi, mayqan kasta rimaywansi musyananpaq.
20-00	ISHKAY CH'UNKA KAYNUYMI NISHA (20)
20-00	Lapan runam maych 'uesi imach'uesi qotukaepaekunman imatasi al ita rurananpaq kaptenqa, manam pipis amachanmanchu chayta.
20-01	Manam pipis achka shuntakanqanman pushanmanchu mana munaqtaqa, chayman mana qotukayta munaptenqa.
21-00	ISHKAY CH'UNKA JUKNIN KAYNUYMI NISHA (21)
21-00	Lapan runam nasyunninch'u presidenti kananpaq yaykuyta pwedin. Mana kikin karqa jinan markach'u akrasha runapaq botunan.
21-01	Lapan runam iwal-la wakin runakuna jina, chaymi mandu kaymansi yaykuyta pwedin nasyunninpaq.
21-02	Marka runam munayniyoq presidenti o juk niraq mandu kananpaq ch 'uraych 'u. Chay mandu ch'uranakuy kanan jinan marka nasyun runakunapitam. Kay ch'uranakuy kanqa mana qonqaypam imaypis. Lapan chay nasyunch'u iwal botapaekunan. Chay botuqa kanan pakaylapa o makinta alsaypa o papilch'u munanqanpaq iskribirkur jitaykuypa.
22-00	ISHKAY CH'UNKA ISHKAYNIN KAYNUYMI NISHA (22)
22-01	Lapan runam imaypis achka qotukaykur aroqch'u kaeqa kawayninpaq paegasha kanman, aruykar imasi rurakunanpita mana manchakular kananpaq. Kay ali kaway y iwal kaway kikin nasyunpita kanan o juk laedo nasyunpita yanapasha kanan o achkaq runa qotukasha aroqpita yanapasha kanan, kikin runa mantinikunanpaq y wakin matinisha kananapaq.
23-00	ISIIKAY Cll'UNKA KIMSAN KAYNUYMI NISHA (23)
23-00	Lapan runa arunanmi maych'uesi, munanqanch'u aruyninta ashikunan mana aruyniynaq kananpita.
23-01	Lapan runam iwal paegasha kanan ima aruych'u karpis. Manam kanmanchu juknin mas achka paegasha y jukaqnin mas walka paegasha juk junaq aruyninpita.
23-02	Lapan runa aronqanch'u aroqkaqpaeqa kananmi juk junaq gananqanman yapasha mas ali kananpaq, seguraenan kikinta y familyanta imanuysi kanqantanuy, runa kayninta o juk imanaypasi seguraenan o imanaypasi yanapasha kananpaq.
23-03	Lapan runa imach'uesi arorqa sindicato nenqanta rurapaekunan lapan qotukakuykur i ma aykach 'uesi respetachikaerinanpaq, imanuy respetachikaerinanpaq kaykaqta rikaykur.
24-00	ISHKAY CH'UNKA CH'USKUN KAYNUYMI NISHA (24)
24-01	Lapan runa aronqanpita jamanqam, jamaykur munanqanta rurananpaq, aronqanpita jamanman imay ora aroq yaykonqanta rikaykur, y chaynuy kada wata jamanman juk killa. Chay jamanqanpita paegasham kanan maych'uemi arun chaypita.
25-00	ISHKAY CH'UNKA PICHOAN KAYNUYMI NISHA (25)
25-00	Lapan runa y familyankuna kanman ali kawayniyoq ali mikuypita, ali ropasha, kikinpa wasin kanman, me~diku qeshyar jampikoq aywananpaq y wakin mas munanqankuna. Aronqanch 'u segurasha kanman qeshyaqtukur byudo kedarur, aronqanch'u daeflakurur, chachayarur o imasi juk niraq pasaptin mantinikunanpaq.
25-01	Mamanpis wamrapis iwal kuydasham kanan ospitalch'u warmi qeshyakuruptenqa. Lapan wamra chaynuy shumaq atendisha kanan kaesadu kikin warminch'u karpis o mana kasaedu warminpita juk warmich'u karpis.
26-00	ISHKAY CH'UNKA SOQTAN KAYNUYMI NISHA (26)
26-00	Lapan runam eskwelaman yach'akoq aywanan. Eskwelach'u yach'akonqanpitaqa manam pipis ni pitapis paeganqachu, iskribiyta liyiyta yach'akunan primarianta ushanqankama. Kaykama lapan runam yaykunman yach'akunanpaq. Mas imapaesi yach'akuyta munaptenqa kanqa mas jatun eskwelakuna chaych'u ima yach'aymansi yaykunanpaq. Munaqkaqpaeqa kanqa jatun eskwela imapaesi yach'akoqpaeqa pi maypaesi lapanpaemi kanqa.
26-01	Yach'akonqaqa kikin yach'aq runa kananpaemi, imanuy mana runa jarupaenanpaq respetachikunanpaemi. Manan pipis turyapasha kananchu alita imatasi rurakuptin. Asta mas ali kapaekuy ali kawakaeriy mana liytur, mana pelyar wakin juk laedo nasyunkunawansi. Chaynuy achka imaniraq qotukaqkunawanpis, imaman yaerakoqkunawanpis. Chaynuy karqa kapaekonqa alita rurar ali kawar kay lapan nenqantamuy kumpliptin.
26-02	Taytankunaman akranan wamranpaq imapaq yach'akuymansi yaykunanpaq.
27-00	ISHKAY CH'UNKA QANCH'ISNIN KAYNUYMI NISHA (27)
27-00	Lapan runa libri yach'anqan markach'u kustumbrinkunata rurananpaq y rikananpaq, imatasi rurayta yach'arqa jina rurakuchun yach'anqankunata. Chaynuy markanch'u imatasi alita ruraptenqa chaych'u yanapaechun.
27-01	Pi runa imata ruranqanch'uesi alita yarqarachimuptenqa mana pipis ruranqanta rikakarachimuptenqa; chay rikakaechimoqmi dweno kanan, paypa jutinch'u kanan. Chaynuy librukunach'u o librukunata kikinpa yarpaynilanwan iskribimorqa jutinch'uemi kanan. Chaynuy imatasi kikin ali ruranqanta rikakachimuptin kanqa. Manam juk rurakonqanta "noqam dweno kae" nir charikurkunmanchu ni jutinta ch'urachikunmanchu. Chaynuy ruraqpaeqa kanmi leykuna respetachikunanpaq.
28-00	ISHKAY CH'UNKA PUSAQNIN KAYNUYMI NISHA (28)
28-01	Lapan runam kay mana jarupaenakunanpaq rurakanqanta respetaenan. Chaynuy imata rurana kaptinsi juk laedo nasyunkunawansi shumaq kachun. Kay leykuna nenqannuy rurakaechun y shumaq rasunpa rurakaechun.
29-00	ISHKAY CH'UNKA ISQONNIN KAYNUYMI NISHA (29)
29-00	Lapan runa markach'u tiyaqkaeqa ruranan lapan imanuy wakin rurapaekonqannuy chayta respetaenan. Chaynuy lapanta rurar respetaptin markanch'u imatapis alita rurapaekonqa. Chay'nuy kikinpis alipaq rikasha kanqa. Chawraqa musyanqa markach'u imata rurana kanqantapis.
29-01	Lapan nenqantanuy markach'u rurar y respetachikur mana piwanpis jarupaechikur kaptin mana pipis amachanmanchu kawayninch'u. Lapan runapis kapaekunan ali kawaych'uemi imanuy leykuna nenqannuy, chaynuy lapanta respetar, wakin runakunawan mana imatasi ninakur kawapaekunanpaq, ali yarpayninwan yarpach'akur, wakin runakuna ali kanqanta rikananpaq, chaynuy achka runa qotukaykur aroqch'u karpis.
29-02	Kay mana runa jarupaenakunanpaq kanqanta manam pipis amachayta o ama chayta rurashunchu" nir lapan ruraqkunata ninmanchu. Lapan nasyunpita runakuna qotukaykur runakuna respetachikunanpaq rurapaekonqanta.
30-00	KIMSA CH'UNKA KAYNUYMI NISHA (30)
30-01	Kay respetachikunanpaq kaykaq rurapaekonqanch 'ueqa manam ima leysi nasyunpa kaqtaqa rurakayta pwedinchu ni rurakashachu. Chaynuy walka qotukasha o juk runa ruranalanpaechu kay mana jarupaenakunapaq kaykaq. Chaynuy mana pipis kay ruraych'u rimanqankunata illakaechiyta pwedinchu.
