00-00	Declaraacion des dreuts d' l'ome po tos les payis de monde
02-02	E d' pus', nouk ni deut paati d' sou qu'on pout pinser de gouvernemint di s' patreye, di si-administraacion, di s' condicion raport as-otes payis, qu'ele seuye souverinne ou soumise d'ine manire ou d' l'ote.
03-00	aart III.
03-01	Tot l' monde a dreut al veye, al liberte, al surete.
04-00	aart IV.
04-01	In-ome n'a maay li dreut d'asservi in-ote ome, d'enne fe in-esclaave et 'ne martchandeye qu'on pout vinde ou atch'ter.
05-00	aart V.
05-01	Nouk ni pout-esse metou al torteure, savadjmint maltre°ti et avili, swe-dizant del puni.
06-00	aart VI.
06-01	Chaskeun' deut-esse libe de r' cweri ses dreuts d'vant l'djustice, tot wice qui s' seuye.
07-00	aart VII.
07-01	Tos les-omes sont egaaals divant li lwe, qu'elzes deut protejer, sins nole preferince po onk ou po l'ote, sou qu' sereut contre°re al prezinte Declaraacion Pareliemint, li lwe 'lzes deut protejer conte les cis qu' vorit ric'mander 'ne tele sor di preferince.
08-00	aart VIII.
08-01	Chaskeun' deut-esse vreyemint libe d'atre°re divant les djudjes di s' payis tot les cis qu'adjihet conte les me°sses dreuts rik'nohous d'vins l'constitucion ou d'vins li lwe.
09-00	aart IX.
09-01	Nouk ni pout, sins nole bone re°zon, esse areste, ressere, ou bin tchessi fou di s' payis.
10-00	aart X.
10-01	Tot l'monde a pareliemint l' dreut d' ple°ti s' caase divant on tribunaal qui seuye libe et sins parti-pris. Et li d'vwer de tribunaal, ci sere d' decider so les dreuts et so les obligaacions des ple°tieus ou bin d' djudji si l' acuze est coupaabe ou enocint di sou qu'on l' amete.
11-00	aart XI.
11-00	Tot qui e-st-acuze d'on delit deut-esse supoze enocint disqu'a tant qu'il aaye situ publiquemint djudji et rik'nohou coupaabe d'apres li lwe et so condicion qu' il aaye situ tot-a fe°t libe di s' disfinde.
11-01	Nouk ni pout-esse condanne po des fe°ts ou po des maaquemints qu' n' alit nin conte li dreut nacionaal ou internacionaal aa moumint qu' ont stu cometous. Et tot fi parey ni pout-i esse condanne pus deuremint qu'i l'aareut stu aa minme moumint, d'apres li lwe.
12-00	aart XII.
12-01	Il est disfindou d' s'intrimete sins re°zon d'vins les-afe°res d'ine saqui ou di s' famile, di broki e s' mohone, di nahi d'vins les letes qu'i r'sut ou qu'il evoye. Il est disfindou d' l' ac'sure divins si-oneur ou d'vins s' reputaacion. A d' faat d' soula, chaskeun' a l' dreut d' reclamer l'pretecsion des lwes.
13-00	aart XIII.
13-00	Chaskeun' a l' dreut d' coti avaa s' payis come i li ple°t et d' s'adjistrer tot wice qu'il a ideye.
13-01	Chaskeun'a ossi l' dreut d' cwiter tot l' minme que payis, minme li sonk, et d' i rintrer qwand-i li ple°t.
14-00	aart XIV.
14-00	Si an cas qu' i-aareut 'ne persecussion, on a todi l' dreut d' cweri a s' ahouter et di s'se°wer a l' etrindjir, s'il atome insi.
14-01	On n' si pout prevaleur d' on tel dreut s'on-est porsuvou po des fe°tes cleremint proves qui vont conte les lwes ou conte les-ideyes des Naaciones-Uneyes.
15-00	aart XV.
15-00	Chaskeun' a dreut a 'ne nacionaalite.
15-01	Nouk ni pout-esse, sins nole bone re°zon, spani di s' nacionaalite ni di s'dreut d'enne candji.
16-00	aart XVI.
16-00	Si vite qu'il ont l'adje, l'ome et l'feume di tot l' minme quele nacionaalite ou r' lidjon sont libes di s' marier et d' fonder 'ne famile. Onk come l'ote, il ont les minmes dreuts aa moumint et tot l' tins d' leu mariedje come po l' divorce.
16-01	On n' pout marier in-ome et 'ne feume s' i n' serit nin d'acwerd.
16-02	Li nateure a fe°t del famile li fondemint del societe et l' societe ossi bin qu' l' Etat ont l' dvwer del protejer.
17-00	aart XVII.
17-00	Chaskeun' est libe d' aveur de bin, seuye-t-i d'a sonk tot seu, seuye-t-i e comunote.
17-01	Nouk ni pout-esse, sins nole bone re°zon, dispouyi di s'bin.
18-00	aart XVIII.
18-01	Chaskeun' est me°sse di ses-ideyes, di s' consyinca, di s' rilidjon. Coula vout dire qu'il est libe de regler s' veye so ses propes-ideyes et so s' rilidjon, tot seu ou bin avou des-otes, e s' mohone come aa d' fou, avou l'ansegnemint, les pratiques, les-uzances et les ceremon'reyes qui l'agreyet.
19-00	aart XIX.
19-01	Chaskeun' est libe dewaarder sesideyes et d'elzes proclamer. Ossi n' a-t-on nou dreut d'el tourmeter caase di ses-ideyes et 'l est libe d'aler cweri, de r'sure et d' publiyi des-informaacions di quele manire qui s' seuye.
20-00	aart XX.
20-00	Tot l' monde a l' dreut di s' rapouler et d' s'associyer tant qui s' n'est nin po fe margaye.
20-01	Nouk ni pout-esse fwerci de r'djonde ine associaacion.
21-00	aart XXI.
21-00	Chaskeun' a l' dreut de prinde part al politique di s' payis, seuye-t-i directemint, seuye-t-i avou l' intremise d' on r'prezintant, libremint tchuzi.
21-01	Chaskeun' aas minmes condiciones, pout pretinde a on posse divins les-administraacions.
21-02	Les me°sses del naacion ni d'vet leu pouvwer qu'al vol'te de peupe, tele qu'ele si done a k'nohe aas-elecsions, qu'i faat emantchi d'vins l'dreut de djeu, aa moumint volou, avou l'sufraje universel et les minmes dreuts po turtos. Et s' faat-i co qu' chaskeun' si poye retrok'ler po voter secretemint, a mons qu' on-imaadjine ine ote manire de respecter pareliemint l' liberte de votant.
22-00	aart XXII.
22-01	De moumint qu'ine saqui est rik'nohowe come mambe del societe, ele pout pretinde al securite sociaale. Elle a l' dreut d' reclamer tot sou qu'elle a mezaahe po viker conv'naablemint, po t'ni s' rang, po s' cultiver, di manire a waarder tote si dignite d'ome et a fe libremint frudji ses propes capaacites. Et po soula, ele deut poleur conter so l'ehowe de payis tot-etir come so l'assistince des-otes payis, chaskeun' sorlon si-organizaacion et ses mweyins.
23-00	aart XXIII.
23-00	Chaskeun' a l' dreut d'ovrer et d' fe l' mesti qu' li ple°t. Et s'el deut-on adegni so l' ovredje tot li metant des condicions qu' seyesse djusses et duhaaves. El faat ossi assurer conte li chomedje.
23-01	Po l' minme payele, tos l's-ovris ont dreut al minme paaye, sins nole preferince.
23-02	Tot qui qu' ouveure deut lever l' sale°re qui li r'vint et qu' deut li permete, lu et s' famile, de miner l' vicaaaeye d'ine one°te djint. Et s'il atome insi, c' e-st-al societe d' mete sou qu' poreut maaquer.
23-03	On a todi l' dreut de r'djonde on sindicat ou di s'mete a saqwant' po 'nn' emantchi onk.
24-00	aart XXIV.
24-01	Tot l' monde si deut poleur ripwezer et prinde des lwezirs. C'e-st-insi qu'on n' pout fwerci in-ovri a trimer fou mezeure et qu'on li deut payi des vacances aa bout d'on tins.
25-00	aart XXV.
25-00	Tot l' monde a dreut a 'ne vicaareye qui li permete de sogni s' sante et s' confort come les cis di s' famile, par egzimpe opo sou qu'est d' magni, di s' moussi, d' s'adjistrern di s' fe medi et d' saqwants chervices di societe qu' on n' s' e pout passer. Les chomeurs, les malaades, les mesbrudjis, les vefs et les veves, les veyes djints, les cis qu'on pierdou leu gangnedje maagre zels ont dreut al securite.
25-01	Les meres di famile et l's-enfants ont-st-a preume li dreut d' esse e°dis et assistes. Tos l's-efants, qu' i seyesse vinou a monde divins l' mariedje ou fou, ont l' minme dreut al securite sociaaale.
26-00	aart XXVI.
26-00	Tot l' monde deut poleur fe des-etudes, et soula graatis', de mons po sou qu' est des basses scoles. I faat-st-emantchi on po tot coste des scoles techniques et professioneles. Tant qu'aas hotes scoles, elzes faat drovi pareliemint a turtos d'apres les merites.
26-01	Li d'vwer des me°sses di scole, c'est d' fe frudji les capaacites d' chaskeun' et d' mi fe respecter les dreuts d' l' ome et les prumires libertes. C' e-st-ossi d' aminer les djints d'totes les naacions, di totes les races, di totes les r' lidjons a s' mi comprinde, a s' mi supwerter, a s' mi inmer. C'e-st anfin d'e°di les Naacions-Uneyes a todi mi ovrer po qui l' monde waade li paaye.
26-02	C'e-stea preume aas parints d'tchuzi l' meyeuse sicole po leus-efants.
27-00	aart XXVII.
27-00	Raport al culture, chaque mambe del comunote deut poleur profiter d' tot sou qui' i s' passe, an'mirer les-ouves des-aartisses, prinde paart aas-invancions des savants et a leus binfe°ts.
27-01	Les savants, les scriyeus, les-aartisses ont l' dreut d'esse disfindous s' on voreut fe twert a leu gangnedje ou bin a leu dignite.
28-00	aart XXVIII.
28-01	D'ine classe a l'ote del societe, d'on payis a l'ote, on s' deut arindji d' manire a s' qui les dreuts et les libertes chal divant proclames seyesse bin respectes.
29-00	aart XXIX.
29-00	Chaskeun' n'a des-obligaacions qu'avou l' comunote qu'el le°t tot-a fe°t libe de mete en-ouve ses capaacites.
29-01	Li lwe a seule li pouwer de rastrinde les dreuts et les libertes d' chaskeun', de moumint qu' c'est po fe rik'nohe et respecter les dreuts et les libertes des-otes, po prezerver l' moraaalite, l' tranquilite des dhins et l' binaahiste d' turtos d'vins 'ne societe d' democraates.
29-02	Di tote manire, i n' saareut-esses question d' profiter d'ces dreuts et d' ces libertes po-z-aler disconte les-ideyes et les grandes regues des Naaciones-Uneyes.
30-00	aart XXX.
30-01	On-aareut twert di s' voleur rabate so tot l' minme quel aartike del prezinte Declaracion, qui s' seuye ine naacion ou bin 'ne seule djint, po djustumint sayi de distrure les dreuts et les libertes qu' s'i trovet proclames.
