00-00	TSICA INCANTYA IRAACAMEETHAYEETAIRI ATZIRIPAYEENI JACA QUIPATSIQUI
01-00	INAAPINCATHAYEETERI 1.
01-01	Maaroni atziripayeeni, ovaquera intzimapaaque, eero ocantzi inaashitacaavaitaityaari iromperanataityaari. Eejatzi oquemitari ironaaca te apantyaaro amanitashireteri atziri ancanteri: "Te pirjiperote eeroca, iriima irinta iriitaque naaperori". Eejatzi oquemitari te oncameethate intzime aparoni atziri antayetashityaarone caari ishinetaacairi pashine irantero. Tema maaroni ayotziro ampampithashirvaayeta, ayotziro tsicarica otzimayetzi cameethatatsiri anteri o tsicarica otzimi caariperotatsiri, irootaque ocovaperotantari ironaaca entacotavacaayetya anquemitacaantanaquero arentzitavacaatyeeyaami ocaaquiini.
02-00	INAAPINCATHAYEETERI 2.
02-01	Maaroni osanquinatachari ironaaca jaca, ontzimatye amoncarataayetanairo aacameethatavacaanaiya maaroni, te oncovajaantya ashenincatavacaarica ocaaquiini o terica. Te oncovajaantya amoncaraavacaiya tsicarica acantayeta avathaquipayeeni aparopayeeni: aquisaatzi, o aquitamaatzi. Aacarica shirampari o tsinane. Aririca oshiyavacaa anaanetayetari o terica. Te oncovajaantya aririca amoncaraavaca oshiretari Pava o terica. Aririca amoncaraavaca apampithashiryaacoyetari icarayetzi jevayetzirori nampitsi o tsicarica opaiyetari. Te oncovajaantya acantavacaiya: "Irinta iponaatya pashinequi nampitsi, irooma naaca onashita nonampi o iriiperori inatzi irinta, ashaarantzincari; iriima irinta caari ashaarantzincan", o irica atziri te intzime pairani jaca nampitsiqui, iriyaatai tsicarica itzimaque pairani. Te oncovaj aantya tsicarica icantavaiyetari aparopayeeni atziri, oncantya aacameethatantyaariri.
02-02	Eejatzi oquemitari ironaaca, te oncovajaantya acantayeteri atziri: "Piponaatya pashinequi nampitsi, o inashita pijevarite eeroca janta piponaara, te incameethate o cameetha icanta pijevarite eeroca janta, o onashitayeta ocaratzi icantacaantayetziri pijevarite oncarate pimoncaraayeteri janta, o tsicarica icanta, aacameethatavacaarica icarayetzi ijevayetzirora pashine nampitsipayeeni". Eejatzi oquemitari ironaaca cantatsi aparopayeeni jevayetatsiri nampitsiqui, impampithashirveeya tsica incantayeteri isaicacaanepayeeni, o tsicarica incanteri pashine jevayetzirori nampitsi aririca incove ijevatziteri inampi. Te apantyaaro eejatzi ancante: "Irinta atziri iponaatya pashinequi nampitsi caari irooperotatsine, ironaaca iricara atziri te otzicaaventeri ocaratzi osanquinayetainchari jaca." Tera ari oncantya.
03-00	INAAPINCATHAYEETERI 3.
03-01	Maaroni atziri ontzimatye ashinetairi eequero iriyaatacaatyeero iranee, tecatsi cantatsine inaashitacaavaityaari iromperanavaityaari, o incovai te inquemaantsitacaityaari irovasanquitaavaiteri.
04-00	INAAPINCATHAYEETERI 4.
04-01	Te oncameethate iyacoventayeteri atziri, ancante: "Pomperanavaityaari irica". Tzimatsirica covatsineri irantero, ontzimatye irovashaantacaiteri eero jantantaro, tema te oshinetaantsite irantaitero iroca.
05-00	INAAPINCATHAYEETERI 5.
05-01	Te oncameethate iracotashiiteri atziri, imaperoiteri nquemaantsitacaityaari ivathaqui. Tema aririca incovaite irovasanquitaite aparoni atziri, eerotya imaperotaj aantaitziri irovatsinaiteri, inquemitacaantaitanaqueri te atziri irinatyeericami irirori, ari oncantya imintharovashirevaitantaityaariri.
06-00	INAAPINCATHAYEETERI 6.
06-01	Maaroni atziripayeeni icaratzi nampitarori quipatsiqui, oncantavetaqya tsicarica inampityaaro, cantatsi ishinetaiteri inquiflaaventero ocaratzi imoncaraitziri icantacaantziri jevari tsicarica inampitaro, tecatsi thanaapithatyaarineri.
07-00	INAAPINCATHAYEETERI 7.
07-01	Aririca intzime aparoni atziri incovaite irovasanquitaiteri, ocantacaantziro ipiyathatacaro ocaratzi icantacaantayetziri jevaripayeeni iromoncaraayeeteri aparoni nampitsiqui; eero j imaperoitziri inquemaantsitacavaitaityaari, incantaite: "Irica te otzicaaventeri icantacaantayetziri jevaripayeeni, irjima irinta iri otzicaaaventzi". Te oncameethate eejatzi ashinetairi pashine atziri irantero iroca, inquemitacaantanaquero irinta pashinera atziri te iratzirite, imanintavaitanaqueri.
08-00	INAAPINCATHAYEETERI 8.
08-01	Tema aparopayeenl nampitsi tzimayetatsi icantacaantayetziri jevaripayeeni imoncarayeeteri, tzimatsi eejatzi icantacaantayetziri jevaripayeeni ovaquera ovetsicaj aantanaca aparoni nampitsi, tzimitacha eejatzi impoiyetatsiri icantacaantayetziri jevaripayeeni; maaroni irocapayeeni tecatsi ompetapithatyaarine atziripayeeni inaaventayetero iroca, ari oncantaque iriyaatashiteri Juez oncantya imoncaraacaantyaanariri icantacaantayetziri, ari ocantaque eejatzi incove iraamacoventaityaari, tema irootaque otzimantayetacari ocaratzi icantacaantayetaqueri jevaripayeeni osanquinayetaincharica.
09-00	INAAPINCATHAYEETERI 9.
09-01	Te oncameethate imaimaneetashitaityaari aparoni atziri, o irashitacotacaantashivaitaityaari carcel-qui, o iromityaantashivaitaityaari janta tsica inampitaro.
10-00	INAAPINCATHAYEETERI 10.
10-01	Tzimatsirica atziri jaacaantaitziri janta pincatharipayeeniqui, cantatsira irica atziri iriyaatashiteri Juez, oncantya incantantyaarorl opaita jantaqueri, eeromaita jantziro Juez iromananequiini. Ari oquemitzitari eejatzi aririca inquisoshireventaiteri aparoni atziri jantziro ocaratzi ishinetaacaantayeetziri, o ontzimatye imoncarayetero ocaratzi icantacaantayeetziri; ari oncantaque eejatzi iriyaatashiteri Juez. Imponaashitaqya iroflaaca irica Juez cantatsi incante tsicarica itzimi quenaacaashitacarori j antaqueri, ocantya irovasanquitaantaityaariri, o tsicarica itzimi caari tzimatsine iquenacaashitacari eero jovasanquitaitziri. Ari incarate maaroni incaminthagaiteri, tema te oncameethate irovasanquitaashivaitaityaari eero jiyoperotavaqueri tsicarica itzimi irovasanquitai, imponaashitya irampitacoyeteri aparopayeeni.
11-00	INAAPINCATHAYEETERI 11.
11-00	Aririca intzime aparoni atziri jaacaantayeetziri janta pincatharipayeeniqui, ontzimatye impampithashiryaacotaiteri irica atzirica te iriyotero tsica opaita avishimotziriri, irojatzi apaata onconaaperotantaqyaari omaperorica otzimi iquenacaashitacari. Oncantya iriyotantaperotaityaari omapero otzimi jantaqueri, ontzimatye irica Juez irantero ocaratzi ocantayetzirira icantacaantayetzi jevayetzirorira nampitsipayeeni, eero j antashivaitaro ocaratzi j inintacaari irirori. Ari oncantya irica atziri icovaitziri irovasanquitacaantaiteri, icantatyaari te iriyotero irirori tsicarica opaita icovantaitari irovasanquitaiteri.
11-01	Ayotaque ironaaca tzimatsi osanquinarentsi inaapincathayeeteri. Omponaashitaqya aparoni atziri irantaquero ocaratzi icantacaantayeetziri. Ompona irovashinagaitairo ocaratzi inaapincathayeetziri pairani. Irica atziri antaquerori ocaratzi icantacaantayeetziri pairani, eerova ocantzi iraacaantaiteri. Ari onquemitzityaari eejatzi aririca irovashinagaitero tsica oncarate irovasanquitagaiteri aparoni atziri.
12-00	INAAPINCATHAYEETERI 12.
12-01	Te oncameethate shinetairi aparoni atziri inaashirencashivaityaari pashine atziri, o incove imaimanetziteri jashitari irirori: itsipatari, ipanco. Eejatzi te oncameethate ashineteri aparoni atziri imaimanetziteneri tsicarica opaita josanquinayetziri pashine atziri iromityaanteneri ishenincapayeeni. Eejatzi eero ocantzi ashineteri atziri incantacoyeteri pashinepayeeni atziri, inthaiyacovaitashityaari. Tzimatsirica atziri matayetzirori jantziro irocapayeeni, ontzimatye ontzime osanquinarentsi imoncarayeeteri oncantya otzicaaventantyaariri irica atziri inaashirencayeetzirira.
13-00	INAAPINCATHAYEETERI 13.
13-00	Cantatsi oshinetaantsite inquivantantayete atziri tsicarica icovayetziro irirori, cantatsi incoyaanontya atziri tsicarica incovero inampityaaro.
13-01	Shinetaantsi onatzi iriyaayete atziri pashinequipayeeni nampitsi, ompona impiyayetai aririca onimotapairi, tema eero ocantzi ompetashivaityaari.
14-00	INAAPINCATHAYEETERI 14.
14-00	Tzimatsirica aparoni jevatzirori nampitsi, icovi imaimaneteri aparoni atziri incove irovasanquitairi, pashinepayeeni nampitsi cantatsi oshinetairi impoque inampityaaro oipatsitequi- oncantya isaicantyaari cameetha eero inaantaro inaashivaityaaro.
14-01	Iro cantamaitachari, tzimatsirica aparoni atziri omapero ipiyathatacaro ocaratzi icantacaantayetzlrl jevaripayeeni inaapincathayeeteri, icovaitatzi irovasanquitaiteri, eero ocantzi ashinetairi aririca incantavetya: "Pishinetaina niyaate pashinequi nampitsi ocantya nosaicantyaari cameetha, tema ari osanquinatacota "Tsica Incantya Iraacameethayeetairi Atziripayeeni". Ari inquemitzitaityaari eejatzi atziri ovashinaashitarori ocaratzi osanquinayetainchari jaca japatotaiyacaranqui jevaripayeeni "Aapatziyavacaa Ponaayetachari Nampitsipayeeni
15-00	INAAPINCATHAYEETERI 15.
15-00	Eero ompetapithatashitari atziripayeeni inampityaaro aparoniqui nampitsi, tsicarica itzimayetzi jevaripayeeni o tsicarica otzimayetzi osanquinarentsi inaapincathayeetziri.
15-01	Eero ampetapithatashitari aparoni atziri isaique nampitsiqui tsicarica inampitaro. Eejatzi oquemitari eero ocantzi ompevaityaari atziri aririca incove iriyaate inampityaaro pashinequi nampitsi.
16-00	INAAPINCATHAYEETERI 16.
16-00	Aparoni shirampari o aparoni tsinane areetarori antariquitaantsi, eero ocantzi anthaneeyaaro ontsipatya, cantatsi ovaiyante aririca oncove. Tema eero ocantzi ompetyaaro ancante: "Eero paavaca, tema caari pisheninca, o iponaatya intaina pashinequi nampitsi, te joshiretari Pava iquemitara irinta oshiretariri Pava". Ari oncantayetyaari eejatzi aririca incove atziri iraavacaiya o aavacaincarica inatzi, o oocavacaincarica jini.
16-01	Irooma aririca incovavacaiya apiteroite iraavacaiya, cantatsi imatero tema tecatsi shintsiventerineri.
16-02	Iro jametari atziri, otzime itsipatari, itzimayetzi itomipayeeni. Irootaque covaperojaantachari jantayetaqueri atziripayeeni. Tema jantzirocara irocapayeeni atziri ocovatya irantero oncantya iraamaacoventantyaarori itsipara. Ari inquempitzitayetya eej atzi jevayetzirori nampitsi, ontzimatye iraamaacoventyaari icaratzi tsipayetachari atziri.
17-00	INAAPINCATHAYEETERI 17.
17-00	Maaroni atziri tecatsi ompetapithatyaarine ontzimimoteri iipatsite apaniro, o tsicarica ompaitayetya incoveri tzimimoterine irirorica covatsine o aririca incove atziri impiyoventyaaro ontzime iipatsite o ontzimimoteri tsicarica ompaitya; tecatsira ompetapithatyaarine.
17-01	Eero ocantzi aapithatantero tsicarica opaita jashitayetari pashine atziri.
18-00	INAAPINCATHAYEETERI 18.
18-01	Shinetaantsi onatzi ipampithashirvaayetya atziri tsicarica ompaitya icoviri irirori. Cantatsi ipampithashiryeeyaaro cameethatatsiri o caari cameethatatsiri jantaitziri. Cantatsi iroshiretyaari Pava aririca incove o eerorica. Tecatsi cantatsi irovashaantacairo ocaratzi ametayetari pairani oshireyetarora. Cantatsi irantero apaniro o oshequi incantaventyaaro. Cantatsi eejatzi irantero iromanequiini o tsica ipiyotapiinta atziripayeeni. Cantatsi eejatzi iriyotairi pashinepayeeni ocaratzi jametari o iriyotairi iroshiretyaari Pava, o inashiyetyaaro quitaiteripayeeni.
19-00	INAAPINCATHAYEETERI 19..
19-01	Maaroni atziri, tecatsi thanaapithatyaarine ocaratzi ipampithashiryaayetari. Ari oncantaque inaaventayetero tsicarica opaita icovayetziri. Iro osanquinatantari ironaaca iroca, ocantya eero imaimanetantari pashine atziri tsicarica ompaitya ipampithashiryaayetari. Tema tecatsi thanaapithatyaarine atziri iyoyetero tsicarica opaita icovayetziri, inquemisantero o inaanatacotero tsicarica opaiyetari ipampithashiryaayetari pashinepayeeni; ari ocantaque isanquinayete tsicarica ompaitya o ari ocantaque inquinquithatacoyetero tsicarica opaita ipampi thashiryaari. Tema tecatsi thaneeyaarone eej atzi otyaantayete inaapincathayeeteri pashinequi nampitsi. Ari ocantaque oivaraayetero naantsi tsicarica ocanta icovayetzi aparopayeeni, iroorica quinquitharentsi o osanquinarentsi o tsicarica ompaiyetya.
20-00	INAAPINCATHAYEETERI 20.
20-00	Tecatsi thanaapithatyaarine atziri incoverica irapatotya, o irantero tsicarica ompaitya icoviri japatotara; ari inthanaapithaitaqueri irapatoventyaaro incoverica irovaariperoteri pashinepayeeni atziri.
20-01	Tecatsi cantatsine ishintsiventeri aparoni atziri caari covatsineri irapatotya.
21-00	INAAPINCATHAYEETERI 21.
21-00	Tecatsi cantatsine inthanaapithatyaari atziripayeeni incoverica ijevate inampiquipayeeni, iriirica covashityaarone ijevate o iriirica covacaayeterine pashine atziripayeeni ijevate.
21-01	Tema maaroni jevayetzirori nampitsipayeeni jantacaantayetziro ocaratzi covityaayetachari aparoniqui nampitsi; tecatsira thanaapithatyaarine atziripayeeni iroca, ari ocantaque ineero iranintaayetyaaro irocapayeeni, tecatsi aparoni cantatsine irompetyaaro; ari incarate imoncaraavacaiya atziripayeeni iranintaiyaaro, tecatsi cantatsine: "Apaata netavaqyaaro naaca niriiperotatziira, ompona pimpoite eeroca apaata tema te piriiperotatyeera eeroca
21-02	Tema ijevatantyaari aparoni jevari nampitsiqui, iriira covacaayeterine atziripayeeni icaratzi saicantarori aparoni nampitsi. Ari oquemitzityaari eejatzi ontzimantayetyaari osanquinarentsi inaapincathaiteri iriitaque covacaayeteroneri atziripayeeni icaratzi nampitarori aparoni nampitsi. Tema aririca incovayeete impairyagaite jevari, jevatzirori tsica ipairyagaitziri jevari; ontzimatye irantacaantero cameethaperoini. Tecatsi cantatsine irompetapithatyaari aparoni atziri incoverica irampitacotante impairye jevatatsineri aparoniqui nampitsi. Tera oncameethate incove irapipiitero aparoni atziri impairye ijevarite ovaqueraarica japacaaquero ipairvaaqueri pashine, incove iranaacotante, oncantya eero ijevatanta pashine jevari. Ari ocameethatzi impairyeeri atziri ijevarite iromananequiini, tecatsi canterine: "Jirica cameethaperotatsiri jevari, iri pimpairyeeri". Cantatsi impairyeeri atziri ijevaritetyaari tsicarica ocanta icoviro irirori tema tecatsi thanaapithatyaarineri icoviri.
22-00	INAAPINCATHAYEETERI 22.
22-01	Aparopayeeni atziri, ontzimatye ontzimimoyeteri tsicarica opaiyeta, ocantya isaicantyaari cameetha, tema te oncameethate incovityaaneentavaite. Atziripayeeni nampitarori aparoniqui nampitsi tsica jashaarantaita, ontzimatye irampitacoyeteri pashine atziri saicatsiri pashinequi nampitsi caari tzimimoterine irashaacaro irirori. Irootaque ocovantari ironaaca, icarayetzi jevatzirori nampitsipayeeni; ontzimatye iramenacoyeteri atziripayeeni icaratzi ijevatziri ocantya ontzimantyaari icovityaayetziri irirori. Iroca cantacharica, jiyoyetzirora aparopayeeni jevayetzirori nampitsi otzimimotzirorica inampi oshequi ashaacaro ocantya irica jevari irampitacotantayetyaariri atziri. Irootaque ironaaca ocameethatantavetari ontzimimoyetairimi atziri ocaratzi icovityaayetziri. Irootaque eejatzi ocameethatantavetari iraacameethayetairimi pashinepayeeni atziri. Irootaque ocameethatantavetari eejatzi ooquimoyetyaarimi jantayetziri ishenincapayeeni jameyetari. Ari ocantya inaapincathatantayeetyaariri, iro inaantayetaiyaarori eejatzi ijevatayetai cameetha tsica ocanta icovayetziro irirori.
23-00	INAAPINCATHAYEETERI 23.
23-00	Tecatsi thanaapithatyaarine atziri incoverica irantavaite; ari ocantaque irantavaite tsica jinintacaaro irirori. Tzimatsirica aparoni jevatzirori antavairentsi, ontzimatye ijevateri cameetha atziripayeeni antavaiyetatsiri. Aririca intzime aparoni atziri covacovatatsiri antavairentsi, temaita inee tsica irantavaite, ari ocantaque icaratzi jevayetzirori nampitsi irampitacoteri ocantya inaantyaari antavairentsi.
23-01	Aririca intzime apite antavaitatsiri, te orn pashinetzimaitya irantavaire, eero ocantzi impinaperoi teri aparoni, iriima pashine impinaitaqueri capicheeni.
23-02	Maaroni icaratzi antavaiyetatsiri, ocovatya impinaiteri cameetha onquene antetya iraayete ocaratzi covityiimoyetariri ipancoqui. Aritaque ocantyaari; irooma eerorica, te inaapincathayeetziri irica antavaiyetatsiri, iquemitacaitatyaari te iratzirite. Terica impinayeeteri cameetha, ontzimatye iricapayeeni pincathariyetatsiri nampitsiqui irampitacoteri.
23-03	Maaroni icaratzi antavaiyetatsiri tsicaricapayeeni; tecatsi cantatsine iroocacairi aririca incove irapatotaiyaani ocantya i mpinatantayeetyaari cameetha, o ocantya iraacameethatantayeetyaariri tsicarica j antavaitzi.
24-00	INAAPINCATHAYEETERI 24.
24-01	Tecatsi cantatsine ishintsiventeri aparoni atziri irantavaitacairi eeroya imacoryaacairi, o eeroya ishineteri iriyaate tsica icoviro iroimoshirencavaitya. Te oncovajaantya irantavaitacaiteri atziri shintsiini, iro cameethathatatsi ishineeteri osarentsiquipayeeni imacoryee eero jantavaitzi tsicarica oncarate quitaite; tema maaroni quitaiteri oncarate irimacoryeera, ontzimatye impinaiteri quemitajaantaca irantavaitaquityeemi.
25-00	INAAPINCATHAYEETERI 25.
25-00	Tecatsi ompetapithatyaarine atziri isaique iranee cameetha intsipatayetyaaro iinapayeeni impona itomipayeeni. Irootaque ocovaperotantari eero ocovitya tsicarica ompaitya iroyaari, inquithaatyaari o iroorica ipanco. Ontzimatye iramene tsicarica iraaventacaantapiintya aririca imantsiyate. Eej atzi oquemitari ocarayetzi jovetsicacaantayetziri pincatharipayeeni tsicarica ipincatharitzi; ontzimatye iranintaiyaaro atziripayeeni, tema tecatsi canterone inthanaapithatyaari. Eejatzi oquemitari eeerorica ocantzi irantavaitai atziri tzimatsi opaita avishimotaqueriri; ontzimatye irampitacoteri jevatzirori nampitsi. Ari inquemitaityaariri eejatzi mantsiyari, o caari cantatsine irantavaite ocantacaantziro imantsiyataque, o iroorica camaimetzincaro, o iriirica antariconayetapaintsiri, o tsicarica opaitayeta pashine cantacaantatziro caari ocantanta irantavaitai; ocovatya irampitacoyeteri jevayetzirori aparoni nampitsi.
25-01	Maaroni cooya motyaayetatsiri ipona eentsitepayeeni, ontzimatye iraamacoventayetyaaro cameetha. Eejatzi iquemi tayetari icaratzi eentsipayeeni jaacotantziri ashitariri o icaratzi tzimashiyetachari temaita inaacoventeri ashitariri, ontzimatye incaminthaayeeteri cameetha eejatzi irirori.
26-00	INAAPINCATHAYEETERI 26.
26-00	Tecatsi cantatsine inthanaapithatyaari atziri incoverica iriyotai inaanate. Te opinata ocaratzi j iyotagaitziriri eentsipayeeni, iro cantamaitachari ontzimatye ishintsiventaiteri eentsipayeeni iriyotayetai inaanate. Ari iquemitaitari eej atzi antaripayeeni atziri, jatatsiri incove iriyotagai ocantya impantaityaariri antavairentsi, ontzirnatyeetya eero japaavaitashitaro jiyotagaitziriri ocovatya iriyote. Iroorica incove iriyaatacaaperotero iriyote, ontzimatye ishinetagaiteri aririca incove inqyee ipaitaitziri: "Universidad"; ocovaperotya irominqyagaiteri ineetziri aritaque ocantaque iriyote; tetya ocameethate irominqyaashivaityaari caari cantatsine iriyotagai intaani irominqyaashivaityaari caari cantatsine iriyotagai intaani inintacaashivaitashityaari irominqyeeteri.
26-01	Maaroni ocaratzi jiyotaayetziriri atziri, eero jovashaantanaquero, eequero riyaatacaanaquityeero ijevatacaayetanaquero irantayetanaquero ocaratzi jiyoyetanairi. Ontzimatye eejatzi iriyotagaiteri tsica opaita ocovaperotantari eero jomperanavaitaitaari atziripayeeni. Ontzimatye eejatzi iriyotagaiteri tsica incantya iraacameethatantayetyaariri pashinesatzi atziri ponaayetachari pashinequi nampitsi, o caaririca ishenincapayeeni eejatzi ari inquemitaayeteri atziripayeeni icaratzi ovashinaashiyetarori joshiretari Pava. Ocovaperotatya iriyoyete atziri, tsica incantero iraapatziyantyaariri pashine eero jathavashivaitantari irooqueri. Ocovaperota eej atzi tsicarica opaita j antayetziri jevaripayeeni janta "Aapatziyavacaa Ponaayetachari Nampitsipayeeni" ocanta inaantayetaiyaarori atziripayeeni isaicayetai cameetha tecatsi maimanevaiterineri.
26-02	Tecatsi impaitya shintsiventerineri aparoni ashitaanitachari icantaiteri: "Pominqyeeri peentsite iriyotai janta", tema iriitaque yotatsine tsica janta iniiro ocameethatzimotziri irominqyeeri.
27-00	INAAPINCATHAYEETERI 27.
27-00	Tecatsi thanaapithatyaarine atziri irantayetero ineeri ishenincapayeeni jantziro ocaratzi jametayetari o tsicarica ompaitayetya ooquimoyetariri pashine. Eejatzi oquemitari ironaaca, tzimatsirica opaita jovetsicayetaquerl iyotaneripayeeni, cameethatzimoyetaqueriri pashine, tecatsira thaneeyaarone, ontzimatye anintaiyaaro maaroni.
27-01	Tzimatsirica jovetsicaque iyotaneripayeeni omapero ocameethaquiperotaque, o tzimatsirica irosanquinataque pashine tsica ompaitya ovaqueraari, o iroorica irovetsicayetaque tsicarica ompaitayetya cameethatzimoyeterineri pashinepayeeni; cantatsi impinayeeteri ocaratzi jovetsicayetaquero irocapayeeni, te apantaro ironaaca incove pashine atziri iraacoteri ocaratzi jovetsicaqueri pashinera, imponaashityaaya iramatavitante incante: "Jiroca novetsicaqueri niyotashitari naaca", ompona impinayeetaqueri oshequi quireequi quempitajaantaca iriiricami ovetsiquitayaaromi.
28-00	INAAPINCATHAYEETERI 28.
28-01	Tera oshinetaatsite ironaaca irantashiyetyaaro atziri ocaratzi osanquinayetainchari jaca ocantya iraapatziyavacaantyaari. Eejatzi onquempitzitavacaanaiyaari nampitsipayeeni. Irootaque caari oshinetaantsitanta, ari ocantya imoncaraayetantaityaarori ocaratzi osanquinayetainchari ironaaca jaca inaapincathayeeteri, ari ocantya irantantayeetyaarori tsicarica otzimi shinetaantsitatsiri irantaitero irojatzi inaantayetyaarori isaicai cameetha tecatsi omperanavaityaarine.
29-00	INAAPINCATHAYEETERI 29.
29-00	Tzimatsira opaita imoncaraayeteri aparopayeeni atziri, aririca incove inquempiyavacaiya tsicarica inampiyetaro. Aririca imoncaraayetanairo iroca, aritaque oncantaque ijevatacaayetero irantayetanairi.
29-01	Tema tzimatsi oshinetaantsitzi ocantacoyeta inaantyaarori isaicayetai cameetha atziri tecatsi omperanavai taiyaarine; ocantya irantantayetyaarori,ontzimatye osanquinatacoyetya inquene inaapincathayeetero. Irocara osanquinayetachaneri inaapincathayeeteri, irootaque pampithashiryaacaayetyaarine pashinepayeeni atziri tsica oncantya inaantayetaiyaarori eej atzi isaicayetai cameetha eero jomperanavaitaitaari tsicaricapayeeni. Iro osanquinatantayetacari ironaaca iroca inaapincathayeteri tema iro jantayetanairi cameethashireyetatsiri, tema iro covitachari eejatzi oncantya iraapatziyavacaantyaari atziripayeeni eero jonaashirencavacaanta. Eejatzi oquempityaari ocovatya osanquinacoyetya inaapincathayeteri nampitsiqui tsica impairyagaite jevaripayeenl.
