00-00	Auahyteyhsa izinkea Zegeitsyrzeipshu Adeklaratsia
03-01	Darbanzaalak auahy apstazaarei, akhakeitrei, khatala adze dilamkysua akazaarei rzin imoup.
04-00	Akhetach 4
04-01	Darbanzaalak auahy atera dtargylamzaroup, ma akgy dakeitymkea chadze inapatsaka dykamzaroup; aterei ateytiirei zeiuakhk rylazaalagy rzin ykam.
05-00	Akhetach 5
05-01	Darbanzaalak auahy irheatsearara, irgeakra, iahatyr alarkera, iakeym iakeyrsheara zalshom.
06-00	Akhetach 6
06-01	Darbanzaalak auahy, teylas dakhykazaalakgy azin imoup iara izinkhatara azkhartsalarts.
07-00	Akhetach 7
07-01	Azakean achapkha auaa zeg eikaroup, nasgy eilykh kamtsakea azin rymoup azakean eikarany iakhchalarts. Darbanzalak auahy izinkea reilagara, ma igey iatakhymkea zineilagarak ialarkhera azakean ialnamyrshozaroup.
08-00	Akhetach 8
08-01	Darbanzaalak auahy akonstitutsia ma azakean irtaz ikhadarou izinkea anaailagakha azin imoup iashashealou amchkhara zmou amilatte usdzbartala izinkea reitashakeyrgylara.
09-00	Akhetach 9
09-01	Darbanzaalak auahy khaheateyla irbaandahtera, iaankylara, mamzargy iketsara kalom.
10-00	Akhetach 10
10-01	Darbanzaalak auahy, iara izinkeei uals idui eilkaakhartsaz, nasgy iara idyrtsoz ashaughate aara tsatsgheys iamou ashakeyrgylaraz azin imoup zegy rzy ikou aikarara ikhy iarkheany ius aartny, iashala, ikhypshym ausdzbara iadzbarte akatsara.
11-00	Akhetach 11
11-01	Darbanzaalak, atsegara kaitseit hea akhara zdyrtsaz auahy, azin imoup aara zmam hea dypkhadzazarts, idu aara azakeanmha inakeyrsheany, iaartu usdzbarala eilyrgany ishakeyrgylakhaandza. Aara zdyrtso izaptsakharoup zakeanla ikhy ikhcharte eipsh atagylazaashakea.
11-02	Darbanzaalak auahy zaa ikaitsakhaz irakheym usk ma iualpsha akhyneimygdzaz azy aus datany ikedzbara kalom, aara zkhaidyrtso aus inapy analakyz amilatte zakean ma aduneizhelarbzharatei azin as eipsh ikou aus tsegourany iampkhadzoztgy. Nasgy eiha eitseou khyrkhura duzakeyrsheom, atsegara aniuaz aamtaz khyrkhushas ikaz aamchydrakhaz.
12-00	Akhetach 12
12-01	Darbanzaalak auahy ikhatei itaatsearate pstazaarei khaheateyla, azakean iatsanamkua apyrkhagakhara adzegy azin imam, iara ubasgy inkharta typi, shekeyla-byghsheyla imou aimadarakea rymadzei, ikhdz-ipshei iahatyri kys rykeym. Dyzustzaalak abas eipsh ianipyrkhagakha ma ianilakys aamtaz azakean dakhcharoup.
13-00	Akhetach 13
13-01	Darbanzaalak auahy heyntkarras dakhykazaalakgy dakhtso-dakhaauei, iakhaaitakhkhalak itydz-typ alkhrei drykeitup.
13-02	Darbanzaalak auahy iarban teylazaalakgy, iara iteylag ubrakh inalatsan daltsny atsarei ipsadgylakh akhynherei rzin imoup.
14-00	Akhetach 14
14-01	Darbanzaalak auahy iara iteylach dykchatsalan drymazar, azin imoup dacha teym teylak achy akhytseakhyrta apshaara.
14-02	Ari azin kharkheara amouroup, apolitikate tsaky zmou atsegoura akeymkea us dacha tsegourak iuyzar, mamzargy Eidu Amilatkea Reichkara akhykekeei aprintsipkeei irchagylo usk iadhealazar.
15-00	Akhetach 15
15-01	Darbanzaalak auahy azin imoup ateylauah hea akhdz aiura.
15-02	Darbanzaalak auahy khaheateyla iteylauahra ma iteylauahra apsakhrazy imou azin ialkhedaara kalom.
16-00	Akhetach 16
16-01	Zykera nadzou arparatseei ahesa khechkeei tseapshsheakheyla, milatla ma dinkhatsarala hea pkra kamtsakua ataatseara alalara azin rymoup. Urt ataatseara ianalalo aamtazgy, taatsearakny ianeitsynkhogy, mamzargy eilytsuazar adzei adzei zinla eikaroup.
16-02	Ataatseara alalarazy asheketagalara kaloit ataatseara ialalo rhydzhagy irtakhny, eikeshahatny eibagozar.
16-03	Ataatseara psabaratela auazhelarrate eilazaara getses iamoup, ubri akynte ailazaarag aheyntkarrag ataatseara rykhchozaroup.
17-00	Akhetach 17
17-01	Darbanzaalak auahy azin imoup amazara ikhala ma chadzhouky drylakheny psheymara aziua dykazarts.
17-02	Adzeymzar adzegy khaheateyla imazara imkhra kalom.
18-00	Akhetach 18
18-01	Darbanzaalak auahy ikheytsrei, ilamysi, idinkhatsarei drykeitny akazaara azin imoup; ari azinakh iatsanakueit auahy idinkhatsarei iduneikheapshyshei rypsakhra akeitra akhilsho, azin imoup iara ubasgy idini iduneikheapshyshei rymats iular ikhala, ma egyrt auaa drylakheny, iaartny, mamzargy khaz chydala, eiueipshym antseakhatsara iatsu aritualte tsaskeei auskhkkeei rynagdzara.
19-00	Akhetach 19
19-01	Darbanzaalak auahy iara iduneikheapshysha dakeitup, nasgy ishitakhyu ui aarpshra azin imoup; ari azin iatsanakua-dosu iara iduneikheapshysha pymkryda dykenykealar ilshoit, iara ubasgy darbanzaalak aheyntkarrate heaakea dnyrymkylo, ishaaitakhkhalak, eiueipshym adyrrakeei aideakeei rypshaarei, riurei, iara izlaimanshealou amhakea ryla auaa rylartsearei ilshoit hea aup.
20-00	Akhetach 20
20-01	Darbanzaalak auahy atynchrate eizarakeei akheidkylakeei akhrylarkhera azin imoup.
20-02	Adzeymzar adzegy mchyla dzhara kheidkylak ialatsara kalom.
21-00	Akhetach 21
21-01	Darbanzaalak auahy iheyntkarra napkhgara atara ikhy alairkheyr ilshoit khatala, mamzargy zkhy iakeitu alkhrala ialkhyu akhatarnaktsea ryla.
21-02	Darbanzaalak auahy egyrt zeg reipsh azin imoup iheyntkarrach amatsuratyp aankylara.
21-03	Azhelar rgeaheara akekharoup aihabyra rymchra shatas iaiua4 urt rgeaheara znypshua aamta-aamtala, nasgy eilagarada imhapgou alkhrakea roup. Alkhrakea mhapysuazaroup zegy eitsyrzeipshu, eikarou alkhrate zinte shata inakeyrsheany, madza bzhytirala mamzargy auahy ikhy dakeitny ibzhy atira ilzyrsho dacha mhakeak azypshaany.
22-00	Akhetach 22
22-01	Darbanzaalak auaazhelarrate eilazaara ialakheu auahy auaazhelarrate manshealara imazarts azy, iara ubas iahatyr alamyrkerei, ikhatara chiara aiulartsi rzy ikhy iairkhearts ilshoit aekonomikei auaazhelarrei akulutrei rganakh ala imou azinkea, amilatte chazyshearakeei aduneizhelarbzharatei aitskhyraarakeei rybzourala iarban heyntkarrazaalak ashakegylashei abeiarakea iamoi zeipshrou inakeyrsheany.
23-00	Akhetach 23
23-01	Drbanzaalak auahy imoup adzhei iara iitakhyu auskhk alkhrei rzin, nasgy izaptsazaroup iusuraz iakhetou atagylazaasha bziakea, usurada daanymkhartsaz dzykhchasha azingy imazaroup.
23-02	Darbanzaalak auahy, izinkea rkny pkrak hea kamtsakua idzhabaa iashashealou adzhapsa aiura azin imoup.
23-03	Darbanzaalak aus zua auahy iara ikhetou, nasgy izkhasha, ikhi itaatsearei kenagala izlanykeigasha idzhabaapsa aiura azin imoup, zny-zynlag psykhea animam aamtazy asotsialte tskhyraara ioularoup.
23-04	Darbanzaalak auahy azaanatte eidgylakea raptsarei, iara intereskea rykhcharaz azaanatte eidgylakea ralakhekharei azin imoup.
24-00	Akhetach 24
24-01	Darbanzaalk apssharei, ipsshara aamta iara ishitakhyu aichkaarei rzin imoup, iusura mshy arkachrei aualafakhey zkhyrsheaaua izaamtanyteiu apsshara mshkea riurei azin abrakh inalatsany.
25-00	Akhetach 25
25-01	Darbanzaalak auahy, ifate-izhete, ishetsatey, ihny-igeara, ameditsinate khylapshrei asotsialte manshealarei uhea zda psykhea imam zegy rganakh ala ubri eipsh apstazaara azin imazaroup iara ikhgy itaatsearag rgeabziarei rybzazarei irygmyzhkua inykeigalarts azy, iara ubasgy usurada danaankha, ma danychmazhkha, ma aakha gheghea aniou, daneibakha ma danazhe aamtazy, mamzargy iara ikharamkua ikhy iznykeymgo danykala imazaroup akhnykegaraz atskhyraara azin.
25-02	Anatseei akheychkeei ichydou akhylapshrei atskhyraarei rzin rymoup. Darban kheychyzaalakgy, ataatsearachy diizargy, dnashpazargy sotsialla dykhchazaroup.
26-00	Akhetach 26
26-01	Darbanzaalak auahy atsara azin imoup. Atsara aiura, alagamtatei abzharatei irydamkhargy, kheyda-sada ikazaroup. Alagamtate tsara zda psykhea ykam akakezaroup. Atekhnikate, ma aprofessionalte tsara iztakhkhalak zegy irourte atagylazaasha ykazaroup. Ireihau atsaragy, dosu ilshara zeipshrou ala, ikemanshealakho zeipshrou eipsh iztakhkhalak zegy aiura azin rymazaroup.
26-02	Atsara auahy ikhatara inadzany achiara iatskhraauazaroup, iara ubasgy auahy izinkeei ikhadarou ikhakeitrakeei ryshka ikou ahatyrketsara shtnakhuazaroup. Atsara adunei azhelarkea zeg rybzharei, tseapshsheakheylei, khyltsshtralei dinkhatsaralei eikhshou auaa rgepkea rybzharei ailibakaarei, aneibachharei, aihyzarei irytskhraauazaroup, nasgy Eidtsou Amilatkea Reichkaara atynchra argheghearazy imhapnago ausura iatskhraauazaroup.
26-03	Ataatsea rkheychkea rykera machnats azin rymoup rkheychkea rzy eighup hea tsara khkys irypkhadzo alkhra.
27-00	Akhetach 27
27-01	Darbanzaalak auahy azin imoup akulturate pstazaara iara ishitakhyu alakhekhara, akazara geakheara inato akatsara, atsaradyrrate progress achalarkhera, nasgy ui uahy inato abeiarakea rkharkheara.
27-02	Darbanzaalak anaukate, aliteraturate, ma asakharkyrate usumtakea apyztsaz iusumtakea rganakh ala imou auahyshearatei amaterialtei intereskea rykhchara azin imoup .
28-00	Akhetach 28
28-01	Darbanzaalak auahy abri Adeklaratsiach zydzbakhe heou azinkeei akhakeitrakeei inagdzany apstazaarachy alartseara alzyrshasha auaazhelarratei aduneizhelarbzharatei eichkaashakea rzin imoup.
29-00	Akhetach 29
29-01	Darbanzaalak auahy ailazaara achapkha idup eiueipshym aualkea. Ubri ailazaara ahnytskoup iara ikhataragy inagdzany pymkryda iakhchiaua.
29-02	Abart azinkeei akhakeitrakeei rynagdzaraan auahy dpyzkua hea akgy ykamzaroup, egyrt auaa rzinkeei rkhakeitrakeei iakhetou ahatyrketsara rourts azy, nasgy auahysheara dtsak ahasabala khra zlany ikenargylo aztsaatekea rynagarazy, ademokratiate eilazaarach auaazhelarrate eichkaara ashakeyrgylarei azeipsh myshkheabzazarei rzy azakean ishakenargylo pkrakeak ryda.
29-03	Abart azinkeei akhakeitrakeei rynagdzara Eidtsou Amilatkea Reichkaara akhykekkeei aprintsipkeei irchamgylozaroup.
30-00	Akhetach 30
30-01	Abri Adeklaratsiach ianu iarban khetachzaalakgy khaz igou heyntkarrak, ma gephyk auaa, mamzargy khatala adzey abraka zydzbakhe heou azinkeei akhakeitrakeei rapykhraz auskea rymhapgara azin inatoushea ailkaara iasham.
