00-00	Az Emberi Jogok Egyetemes Nyilatkozata
03-01	Minden szemelynek joga van az elethez, a szabadsaghoz es a szemelyi biztonsaghoz.
04-00	4. cikk
04-01	Senkit sem lehet rabszolgasagban, vagy szolgasagban tartani, a rabszolgasag es a rabszolgakereskedes minden alakja tilos.
05-00	5. cikk
05-01	Senkit sem lehet kinvallatasnak, avagy kegyetlen, embertelen vagy lealacsonyito buentetesnek vagy banasmodnak alavetni.
06-00	6. cikk
06-01	Mindenkinek joga van ahhoz, hogy jogalanyisagat barhol elismerjek.
07-00	7. cikk
07-01	A toerveny elott mindenki egyenlo es minden megkueloenboeztetes nelkuel joga van a torveny egyenlo vedelmehez. Mindenkinek joga van egyenlo vedelemhez a jelen Nyilatkozatot serto minden megkueloenboeztetessel es minden ilyen megkueloenboeztetesre iranyulo felbujtassal szemben.
08-00	8. cikk
08-01	Minden szemelynek joga van az alkotmanyban vagy a toervenyben reszere biztositott alapveto jogokat serto eljarasok ellen a hazai birosagokhoz tenyleges jogorvoslatert folyamodni.
09-00	9. cikk
09-01	Senkit sem lehet oenkenyesen letartoztatni, orizetbe venni vagy szamuzni.
10-00	10. cikk
10-01	Minden szemelynek teljesen egyenlo joga van arra, hogy uegyet fueggetlen es partatlan birosag meltanyosan es nyilvanosan targyalja, s ez hatarozzon egyreszt jogai es kotelezettsegei felol, masreszt minden ellene emelt bunuegyi vad megalapozottsaga felol.
11-00	11. cikk
11-01	Minden buentetendo cselekmennyel vadolt szemelyt artatlannak kell velelmezni mindaddig, amig bunosseget nyilvanosan lefolytatott perben, a vedelmehez szuekseges valamennyi biztositek mellett, toervenyesen megallapitjak.
11-02	Senkit sem szabad elitelni oly cselekmenyert vagy mulasztasert, amely elkoevetese pillanataban a hazai jog vagy a nemzetkoezi jog szerint nem volt buentetendo cselekmeny. Ugyancsak nem szabad sulyosabb buentetest kiszabni, mint amely a buentetendo cselekmeny elkoevetese pillanataban volt alkalmazhato.
12-00	12. cikk
12-01	Senkinek maganeletebe, csaladi uegyeibe, lakohelye megvalasztasaba vagy levelezesebe nem szabad oenkenyesen beavatkozni, sem pedig becsueleteben vagy jo hirneveben megserteni. Minden szemelynek joga van az ilyen beavatkozasokkal vagy sertesekkel szemben a toerveny vedelmehez.
13-00	13. cikk
13-01	Az allamon beluel minden szemelynek joga van szabadon mozogni es lakohelyet szabadon megvalasztani.
13-02	Minden szemelynek joga van minden orszagot, ideertve sajat hazajat is, elhagyni, valamint sajat hazajaba visszaterni.
14-00	14. cikk
14-01	Minden szemelynek joga van az ueldoezes elol mas orszagban menedeket keresni es a mas orszag nyujtotta menedeket elvezni.
14-02	Erre a jogra nem lehet hivatkozni koezoenseges buncselekmeny miatti. kellokeppen megalapozott ueldoezes, sem pedig az Egyesuelt Nemzetek celjaival es elveivel ellentetes tevekenyseg eseteben.
15-00	15. cikk
15-01	Minden szemelynek joga van valamely allampolgarsaghoz.
15-02	Senkit sem lehet sem allampolgarsagatol, sem allampolgarsaga megvaltoztatasanak jogatol oenkenyesen megfosztani.
16-00	16. cikk
16-01	Mind a ferfinak, mind a nonek a hazassagra erett kor eleresetol kezdve joga van fajon, nemzetisegen vagy vallason alapulo korlatozas nelkuel hazassagot koetni es csaladot alapitani. A hazassag tekinteteben a ferfinak es a nonek mind a hazassag tartama alatt, mind a hazassag felbontasa tekinteteben egyenlo jogai vannak.
16-02	Hazassagot csak a joevendo hazastarsak szabad es teljes beleegyezesevel lehet koetni.
16-03	A csalad a tarsadalom termeszetes es alapveto alkoto eleme es joga van a tarsadalom, valamint az allam vedelmere.
17-00	17. cikk
17-01	Minden szemelynek, mind egyenileg, mind masokkal egyuettesen joga van a tulajdonhoz.
17-02	Senkit sem lehet tulajdonatol oenkenyesen megfosztani.
18-00	18. cikk
18-01	Minden szemelynek joga van a gondolat, a lelkiismeret es a vallas szabadsagahoz, ez a jog magaban foglalja a vallas es a meggyozodes megvaltoztatasanak szabadsagat, valamint a vallasnak vagy a meggyozodesnek mind egyenileg, mind egyuettesen, mind a nyilvanossag elott, mind a maganeletben oktatas, gyakorlas es szertartasok vegzese utjan valo kifejezesre juttatasanak jogat.
19-00	19. cikk
19-01	Minden szemelynek joga van a velemeny es a kifejezes szabadsagahoz, amely magaban foglalja azt a jogot, hogy velemenye miatt ne szenvedjen zaklatast es hogy hatarokra valo tekintet nelkuel kutathasson, atvihessen es terjeszthessen hireket es eszmeket barmilyen kifejezesi modon.
20-00	20. cikk
20-01	Minden szemelynek joga van bekes celu gyuelekezesi es egyesuelesi szabadsaghoz.
20-02	Senkit sem lehet valamely egyesueletbe valo belepesre kotelezni.
21-00	21. cikk
21-01	Minden szemelynek joga van a hazaja koezuegyeinek igazgatasaban akar koezvetlenuel, akar szabadon valasztott kepviseloi utjan valo reszvetelhez.
21-02	Minden szemelynek egyenlo feltetelek mellett joga van sajat hazajaban koezszolgalati allasokra valo alkalmazasahoz.
21-03	A koezhatalom tekintelyenek alapja a nep akarata; ez az akarat egyenlo szavazati jog es titkos szavazas vagy a szavazas szabadsagat ezzel egyenertekuen biztosito eljaras alapjan idoszakonkent tartando tisztesseges valasztason kell hogy kifejezesre jusson.
22-00	22. cikk
22-01	Minden szemelynek mint a tarsadalom tagjanak joga van a szocialis biztonsaghoz; minden szemelynek ugyancsak igenye van arra, hogy -az allamok erofeszitesei es a nemzetkoezi egyuettmukoedes eredmenyekeppen es szamot vetve az egyes orszagok szervezetevel es gazdasagi eroforrasaival- a meltosagahoz es szemelyisegenek szabadon valo kifejlodesehez szuekseges gazdasagi, szocialis es kulturalis jogait kielegithesse.
23-00	23. cikk
23-01	Minden szemelynek joga van a munkahoz, a munka szabad megvalasztasahoz, a meltanyos es kielegito munkafeltetelekhez es a munkanelkueliseg elleni vedelemhez.
23-02	Az egyenlo munkaert mindenkinek, barmilyen megkueloenboeztetes nelkuel egyenlo berhez van joga.
23-03	Mindenkinek, aki dolgozik, olyan meltanyos es kielegito fizeteshez van joga, amely szamara es csaladja szamara az emberi meltosagnak megfelelo letet biztosit es amelyet megfelelo esetben a szocialis vedelem oesszes egyeb eszkoezei egeszitenek ki.
23-04	Minden szemelynek joga van a piheneshez, a szabad idohoez, nevezetesen a munka idotartamanak esszeru korlatozasahoz, valamint az idoszakonkenti fizetett szabadsaghoz.
24-00	24. cikk
24-01	Minden szemelynek joga van a pihenesre es szabadidore, beleertve a munkaido esszeru korlatozasat es az idoszakos fizetett szabadsagot.
25-00	25. cikk
25-01	Minden szemelynek joga van sajat maga es csaladja egeszsegenek es joletenek biztositasara alkalmas eletszinvonalhoz, nevezetesen elelemhez, ruhazathoz, lakashoz, orvosi gondozashoz, valamint a szuekseges szocialis szolgaltatasokhoz, joga van a munkanelkueliseg, betegseg, rokkantsag, oezvegyseg, oeregseg esetere szolo, valamint mindazon mas esetekre szolo biztositashoz, amikor letfenntartasi eszkoezeit akaratatol fueggetlen koeruelmenyek miatt elvesziti.
25-02	Az anyasag es a gyermekkor kueloenleges segitseghez es tamogatashoz adnak jogot. Minden gyermek, akar hazassagbol, akar hazassagon kivuel szueletett, ugyanabban a szocialis vedelemben reszesuel.
26-00	26. cikk
26-01	Minden szemelynek joga van a neveleshez. A nevelesnek, legalabbis az elemi es alapveto oktatast illetoen, ingyenesnek kell lennie. Az elemi oktatas koetelezo. A technikai es szakoktatast altalanossa kell tenni; a felsobb tanulmanyokra valo felvetelnek mindenki elott -erdemehez kepest- egyenlo feltetelek mellett nyitva kell allnia.
26-02	A nevelesnek az emberi szemelyiseg teljes kibontakoztatasara, valamint az emberi jogok es alapveto szabadsagok tiszteletbentartasanak megerositesere kell iranyulnia. A nevelesnek elo kell segitenie a nemzetek, valamint az oesszes faji es vallasi csoportok koezoetti megertest, tuerelmet es baratsagot, valamint az Egyesuelt Nemzetek altal a beke fenntartasanak erdekeben kifejtett tevekenyseg kifejlodeset.
26-03	A szueloket elsobbsegi jog illeti meg a gyermekeiknek adando neveles megvalasztasaban.
27-00	27. cikk
27-01	Minden szemelynek joga van a koezoesseg kulturalis eleteben valo szabad reszvetelhez, a muveszetek elvezesehez, valamint a tudomany haladasaban es az abbol szarmazo jotetemenyekben valo reszvetelhez.
27-02	Mindenkinek joga van minden altala alkotott tudomanyos, irodalmi es muveszeti termekkel kapcsolatos erkoelcsi es anyagi erdekeinek vedelmehez.
28-00	28. cikk
28-01	Minden szemelynek joga van ahhoz, hogy mind a tarsadalmi, mind a nemzetkoezi viszonyok tekinteteben olyan rendszer uralkodjek, amelyben a jelen Nyilatkozatban kinyilvanitott jogok es szabadsagok teljes hatallyal ervenyesuelhessenek.
29-00	29. cikk
29-01	A szemelynek kotelessegei vannak a koezoesseggel szemben, amelynek kereteben egyeduel lehetseges a szemelyiseg szabad es teljes kifejlodese.
29-02	Jogainak gyakorlasa es szabadsagainak elvezete tekinteteben senki sincs alavetve mas korlatozasnak, mint amelyet a torveny kizarolag masok jogai es szabadsagai elismeresenek es tiszteletbentartasanak biztositasa erdekeben, valamint a demokratikus tarsadalom erkoelcse, koezrendje es altalanos jolete jogos koevetelmenyeinek kielegitese erdekeben megallapit.
29-03	Ezeket a jogokat es szabadsagokat semmi esetre sem lehet az Egyesuelt Nemzetek celjaival es elveivel ellentetesen gyakorolni.
30-00	30. cikk
30-01	A jelen Nyilatkozat egyetlen rendelkezese sem ertelmezheto ugy, hogy az valamely allam, valamely csoport, vagy valamely egyen reszere barmilyen jogot adna arra, hogy az itt kinyilvanitott jogok es szabadsagok megsemmisitesere iranyulo tevekenyseget fejtsen ki, vagy ilyen cselekmenyt elkoevessen.
