00-00	Hakkiwa Adamganabe Dunya Ngaro Wowurtegenama
26-01	Ilmude nemkam kamilga garta-a dunoate hakkiwa adamganabe-a nambenze-a nganzazero walze. Asutu-a kanadi-a nemkam-a indikate lardewaben fuwuzegin. Nemgade jilibe au adinbe baro sedin, kuru lardewa Tawakkata Dunyabeye cidanze nelefa rotabedega yitafuwuzegin.
26-02	Yaso Awasoye hakkinza burwoza jili ilmube meradezana karza dulinzaro gultegebe mbeji.
27-00	Babu 27
27-00	Ndu yaye hakkinze kal baaro lamarwa adabe jamabelan gaam luwobe mbeji, adawaden tamtam fante-a yasan ngalwotegenzero kela nzekko-a kuru faidanzen riwa fando-a.
27-01	Ndu yaye hakkinze nzeliwobe mbeji kela lamar berzem-a kela ro-aben cida nasha kimiyaben kal, ruwoben kal au muskon tandoben kal shima kunkunze sutuluiya.
28-00	Babu 28
28-01	Ndu yaye hakkinze howum duwo hakkiwa-a nambe-a suro Wowur adeben deganadega yita bayanzeginma gantobe mbeji.
29-00	Babu 29
29-00	Ndu yaye cida jama suron degana sandi baslan nemkamnze kaima baaro yitafuwuzegin adebe kendobe mbeji.
29-01	Suro hakkiwanze-a nambenze-a yitagatseginben, ndu yaye kelangai howumye genazenaro dazegin teganasmaro dalil hakkiwa-a nambe-a jama gade gapsanadebe asute darajate-a meradewa lamarwa berzembe-a kaida suro jamaben kendegabe-a suro napteram demokeradiyaben nelefa fando-a.
29-02	Hakkiwa-a nambe-a anyi futubiman dalil Lardewa Tawakkata Dunyabeye ferzenaden nguron dalilwa gadero faidatinba.
30-00	Babu 30
30-01	Abima suro Wowur adeben fasaranze lardero, samnaro au kamro kartaaro tenyi, amari hakki abima kendobe au nya laa nganzatebe kela hakkiwa-a nambe-a suro adelan deganadeben bannaro fasartenyi ye tenyi ye.
