00-00	MAPANGADIKA MANGATA KUDI BUKWA-BISAMBA BYA BULOBA BUJIMA PA MAKOKESHI A MUNTU YONSU
14-02	Mwena cibawu kena mwa kudisokoko kunyima kwa makokeshi aa pikalaye mubunde cibawu ne mwindende anyi mutupakane ku mikenji ya Nsangilu wa bukwa-bisamba.
15-00	Kanungu ka 15.
15-01	Muntu yonso udi ne bukokeshi bwa kwikala ne bwena ditunga dyende.
15-02	Muntu nansha umwe kena mwa kupadibwe patupu bwena ditunga, anyi bukokeshi bwa kushintulula bwena ditunga.
16-00	Kanungu ka 16.
16-01	Mulume ne mukaji bakadi bakumbaje mvula ya dibaka badi ne bukokeshi bwa kuselengana ne kwasa diku, kakuyi mukanda wa cisamba, ditunga anyi citendelelu. Makokeshi abu adi momumwe bwa bidi bitangila mbangilu wa dibaka, nsombelu ne dishipa dya dibaka.
16-02	Dibaka diswikiibwe mu budiswile bwa basedyanganyi.
16-03	Diku ke mfukila ne nshindamenu wa nsombelu mu bantu. Pa nanku, mbulamatadi ne bukwa-bisamba badi ne cya kubakuba.
17-00	Kanungu ka 17.
17-01	Muntu yonsu nkayende anyi ne bakwabu udi ne bukokeshi bwa kwikala ne byende bintu.
17-02	Muntu nansha umwe kena mwa kunyengibwa cintu cyanana nansha.
18-00	Kanungu ka 18.
18-01	Muntu yonsu udi ne bukokeshi bwa kwela meji ku budiswile bwende, kulonda kondo ka moyo wende, kutendelela Nzambi wa moyo wende. Pa nanku, udi ne budikadidi bwa kushintulula citendelellu anyi ditabuja dyende ne kubileja patoke, nkayende anyi mu cisumbu, mu bantu anyi pa nkayende, ku dilongesha, byenzedi ne mishindu mene ya kutendelela.
19-00	Kanungu ka 19.
19-01	Muntu yonsu udi ne bukenji bwa kwela meji ne kwakula mudiye muswe. Mbwena kwamba ne kabena mwa kumukwata bwa mine malu aa. Udi ne bukokeshi bwa kukeba, kupeta ne kumwanglaja ngumu ne meji emde myaba yonsu mu mishindu yonsu.
20-00	Kanungu ka 20.
20-01	Muntu yonso udi ne bukenji bwa kuswa ne kubwela mu bisangilu ne mu bisumbu mudiye muswe.
20-02	Kakwena muntu nansha umwe udibo mwa kubweja mu cisumbu ku bukole.
21-00	Kanungu ka 21.
21-01	Muntu yonso udi ne bukenji bwa kuludika malu a ditunga dyende, yeye mwine anyi ne batumibwe badiye mudisungwile.
21-02	Bukokeshi bwa kulombola malu a ditunga budi bwa mumwe bwa bantu bonsu.
21-03	Majinga a ditunga ke nshindamenu wa bukalenge bwa mbulamatadi: majinga aa adi amweneka ku masungula malelela adi ne cya kwenjibwa ku cikondu ne ku cikondu, bela kaci kasokome, bilondeshele bulongolodi budi mwa kufikisha muntu yonsu mwa kusungula mu budiswile.
22-00	Kanungu ka 22.
22-01	Muntu yonsu udi ne bukenji wa kupeta dyambulwisha kudi mbulamatadi, bwa kukumbaja majinga ende ku malu a bubanji, nsombelu ne malu a nshidimukilu, buneme bwende ne ditungunuja bumuntu bwende, ku dikwacisha dya bena ditunga pamwe ne matunga menyi bilondeshele bulongolodi ne lupetu lwa ditunga.
23-00	Kanungu ka 23.
23-01	Muntu yonsu udi ne bukokeshi bwa kupeta mudimu, kudisungwilawu ne kuwenza kakuyi lutatu lwa dicina bulofu.
23-02	Bantu bonsu badi benza mudimu umwe badi ne bukenji bwa kupeta difutu dya mumwe kakuyi kansungansunga.
23-03	Muntu yonsu udi wenza mudimu udi ne bukenji bwa kupeta difutu dikumbane didi dimulengelele ne didi mwa kumufikisha ku disomba ne dikuba diku dyende byakane, pikalaku nushindu ne dikubabwa pamwe ne manga makwacisha pamutu pa difutu.
23-04	Muntu yonsu udi ne bukokeshi bwa kwasa ne bakwabo bisumbu bya dyakwila beena mudimu ne kubwela mu bisumbu byakwidi bya bena mudimu bwa kwakwila makokeshi ende.
24-00	Kanungu ka 24.
24-01	Muntu yonso udi ne bukokeshi bwa kwikisha ne kumana lutetuku ne kwikala ne lupoolu lujaadikiibwa lwa nengenu wa mudimu ne kwikala ne dikisha difuta ku cikondu ne ku cikondu.
25-00	Kanungu ka 25.
25-01	Muntu yonsu udi ne bukokeshi bwa kwikala ne nsombelu mwakane bwa kumona mwa kupetesha bena diku dyende ne yeye mwine bukole bwa mubidi ku didya dimpe, dilwata, londapu ne ku dipeta dyambulwisha dya mbulamatadi. Yeye mubwele mu bulofu, badi ne cya kumwambulwisha, yeye musame anyi mupangile bukole bwa mubidi, mufwishe, nkolumu anyi mujimije bivwa bimudisha kakuyi ku bwenzavi bwende.
25-02	Mukaji muvyeele ne mwana badi ne bwa kupeta dyambulwisha dya pa bwadyo. Bana bonso balela mu dibaka anyi ba mu njila badi ne cya kukubibwa mushindu wa momumwe kudi mbulamatadi.
26-00	Kanungu ka 26.
26-01	Muntu onso udi ne bukenji bwa kulonga. Dilonga didi amu dya patupu kadiyi dya kufucila mfwalanga, nangananga edi dya mbangilu ne dya nshindamenu. Dilonga dya ntwadijilu didi dya muntu yonsu. Dilonga dya midimu ya byanza didi ne cya kwikala myaba yonsu; dibwela dya mu tulaasa tubandile didi ne cya kunzulwibwa mushindu wa momumwe bwa bonsu bilondeshele dimanya dya muntu ne muntu yonsu.
26-02	Dilongesha didi ne cya kwipacila ditabulula dya bumuntu ne dikolesha dya dinemeka dya makokeshi a muntu ne madikadidi mashindame, difikisha bantu ku dyumvwilangana, malunda munkaci mwa matunga onso ne bantu ba bisamba ne bitendelelu kana byonso, ditungunuja mudimu ya Nsangilu wa Bukwa-Bisamba mu dilama bupole munkaci mwa bantu.
26-03	Baledi badi ne bukenji bwa kusungula mushindu wa kukolesha bana babu.
27-00	Kanungu ka 27.
27-01	Muntu yonsu udi ne bukokeshi bwa kudifila mudiye muswe mu malu a kabukulu a ditunga dyende, kusanka ne bunsenda bwa ditunga dyende, kutungunuja bamanyi ba mikanda ne kusanka ne byonso byapatuka kwinaku.
27-02	Muntu yonsu udi ne bukenji bwa kusanka ne bya pa mudimu wende, bumanyi bwa mukanda anyi bunsenda bwende.
28-00	Kanungu ka 28.
28-01	Muntu yonsu udi ne bukenji bwa kujinga se makokeshi ne budikadidi bidi bifunda mu Meyi mamba aa basangane kwenzeka anyi byenzeke.
29-00	Kanungu ka 29.
29-01	Muntu udi ne malu adiye mwa kwenzela bantu badiye musombe nabu bwa kumona mwa kutungunuja bumuntu bwende.
29-02	Mu ditumikila dya makokeshi ne budikadidi bwende, muntu yonsu udi ne cya kwitabuja mekenji myela bwa kusaka bantu ku dimanya ne dinemaka budikadidi ne makokeshi a bakwabu pamwe ne majinga majalame a nsombelu mulenga, bupole mu ditunga ne dyakalenga dya bantu mu ditunga didi dilonda mikenji anyi dikale ne bukalenge bwa cyata.
29-03	Budikadidi ne makokeshi onsu kaena mwa kushilangana ne kipacila anyi mikenji ya Nsangilu wa Bukwa Bisamba (ONU).
30-00	Kanungu ka 30.
30-01	Mu Mapangadika aa, kakwena kanungu anyi bwalu budi buleja ne ditunga, cisumbu cya bantu anyi muntu udi ne bukenji bwa kwenza bwalu budi butupakana ne budikadile anyi makokeshi adi mafunda aa.
