00-00	VSEOBShchA DEKLARATSIYa ZA PRAVATA NA ChOVEKA
07-01	Vsichki khora sa ravni pred zakona i imat pravo, bez kakvato i da e diskriminatsiya, na ednakva zakrila ot zakona. Vsichki khora imat pravo na ednakva zashchita sreshchu kakvato i da e diskriminatsiya, narushavashcha tazi Deklaratsiya, kakto i sreshchu vsyako podbuzhdane km diskriminatsiya.
08-00	Chlen 8
08-01	Vseki chovek ima pravo na efektivno vstanovyavane na pravata si ot kompetentnite natsionalni yurisdiktsii za deistviya, narushavashchi negovi osnovni prava, priznati mu ot konstitutsiyata ili zakona.
09-00	Chlen 9
09-01	Nikoi ne tryabva da bde podlagan na proizvolen arest, zadrzhane ili izgnanie.
10-00	Chlen 10
10-01	Vseki chovek ima pravo, pri plno ravenstvo, na spravedlivo i publichno razglezhdane na negovoto delo, ot nezavisim i bezpristrasten sd, za ustanovyavane na negovite prava i zadlzheniya, kakto i za razglezhdane na kakvoto i da e nakazatelno obvinenie, predyaveno sreshchu nego.
11-00	Chlen 11
11-01	Vseki chovek, koito e obvinen v prestplenie, ima pravo da bde schitan za nevinen do dokazvane na negovata vina, v sotvetstvie ss zakona, v publichen protses, po vreme na koito sa mu bili osigureni vsichki neobkhodimi garantsii za negovata zashchita.
11-02	Nikoi ne tryabva da bde osden za deistvie ili bezdeistvie, koeto v momenta na izvrshvaneto mu ne e sstavlyavalo prestplenie po natsionalnoto ili mezhdunarodnoto pravo. Ne mozhe, sshcho taka, da bde nalagano nakazanie po-tezhko ot onova, koeto e bilo predvideno za sotvetnoto prestplenie po vremeto, kogato tova prestplenie e bilo izvrsheno.
12-00	Chlen 12
12-01	Nikoi ne tryabva de bde podlagan na proizvolna namesa v lichniya mu zhivot, semeistvoto, zhilishcheto i korespondentsiyata, nito na posegatelstva vrkhu negovata chest i dobro ime. Vseki chovek ima pravo na zakrila ot zakona sreshchu podobna namesa ili posegatelstva.
13-00	Chlen 13
13-01	Vseki chovek ima pravo svobodno da se pridvizhva i da izbira svoeto mestozhitelstvo v predelite na vsyaka drzhava.
13-02	Vseki chovek ima pravo da papusne vsyaka strana, vklyuchitelno i svoyata, i da se vrshcha v stranata si.
14-00	Chlen 14
14-01	Vseki chovek ima pravo da trsi i da poluchi ubezhishche v drugi strani, kogato e presledvan.
14-02	Tova pravo ne mozhe da bde polzvano, kogato deistvitelnoto osnovanie za presledvane e nepolitichesko prestplenie ili deyanie, koeto protivorechi na tselite i printsipite na Organizatsiyata na Obedinenite natsii.
15-00	Chlen 15
15-01	Vseki chovek ima pravo na grazhdanstvo.
15-02	Nikoi ne mozhe da bde proizvolno lishen ot svoeto grazhdanstvo, nito da mu bde otkazano pravoto da smeni grazhdanstvoto si.
16-00	Chlen 16
16-01	Mzhete i zhenite, navrshili plnoletie, bez kakvito i da sa ogranicheniya, osnovani na rasa, natsionalnost ili religiya, imat pravo da sklyuchat brak i da obrazuvat semeistvo. Te se polzuvat s ravni prava pri sklyuchvane na braka, po vreme na braka i pri negovoto raztrogvane.
16-02	Brakt tryabva da se sklyuchva samo s dobrovolnoto i plno sglatsie na bdeshchite spruzi.
16-03	Semeistvoto e estestvena i osnovna kletka na obshchestvoto i ima pravo na zakrila ot obshchestvoto i ot drzhavata.
17-00	Chlen 17
17-01	Vseki chovek ima pravo na sobstvenost, individualno ili svmestno s drugi litsa.
17-02	Nikoi ne tryabva da bde proizvolno lishen ot svoyata sobstvenost.
18-00	Chlen 18
18-01	Vseki chovek ima pravo na svoboda na mislta, svestta i religiyata; tova pravo vklyuchva pravoto da smeni religiyata ili ubezhdeniyata si, kakto i svobodata da izpovyadva religiyata ili ubezhdeniyata si, individualno ili kolektivno, publichno ili chastno, chrez obuchenie, obredi, bogosluzhenie i rituali.
19-00	Chlen 19
19-01	Vseki chovek ima pravo na svoboda na ubezhdenie i na izrazyavaneto mu; tazi svoboda vklyuchva pravoto bezprepyatstveno da se pridrzha km svoite ubezhdeniya, kakto i pravoto da trsi, da poluchava i da razprostranyava informatsiya i idei chrez vsichki sredstva i bez ogled na drzhavnite granitsi.
20-00	Chlen 20
20-01	Vseki chovek ima pravo na svoboda na mirni sbraniya i sdruzheniya.
20-02	Nikoi ne tryabva da bde prinuzhdavan da uchastva v dadeno sdruzhenie.
21-00	Chlen 21
21-01	Vseki chovek ima pravo da uchastva v upravlenieto na svoyata drzhava pryako ili chrez svobodno izbrani predstaviteli.
21-02	Vseki chovek ima pravo na dostp, pri ravni usloviya, do obshchestvenite i drzhavni sluzhbi na svoyata strana.
21-03	Volyata na naroda tryabva da bde osnovata na vlastta na pravitelstvoto. Tazi volya tryabva da se izrazyava chrez periodichni i deistvitelni izbori, pri vseobshcho, ravno i taino glasuvane ili chrez ravnostoina protsedura, osiguryavashcha svoboda na glasuvaneto.
22-00	Chlen 22
22-01	Vseki chovek, kato chlen na obshchestvoto, ima pravo na sotsialna sigurnost i na osshchestvyavane – chrez natsionalni usiliya i mezhdunarodno strudnichestvo i v sotvetstvie s ustroistvoto i resursite na sotvetnata drzhava – na ikonomicheskite, sotsialnite i kulturni prava, neobkhodimi za negovoto dostoinstvo i za svobodnoto razvitie na negovata lichnost.
23-00	Chlen 23
23-01	Vseki chovek ima pravo na trud, na svoboden izbor na rabota, na spravedlivi i blagopriyatni usloviya na truda, kakto i na zakrila sreshchu bezrabotitsa.
23-02	Vseki chovek, bez kakvato i da e diskriminatsiya, ima pravo na ravno vznagrazhdenie za raven trud.
23-03	Vseki chovek, koito se trudi, ima pravo na spravedlivo i zadovolitelno vznagrazhdenie, koeto da osiguri na nego i negovoto semeistvo sshchestvuvanie, sotvetstvuvashcho na choveshkoto dostoinstvo i doplneno, ako tova e neobkhodimo, s drugi sredstva za sotsalna zashchita.
23-04	Vseki chovek ima pravo da uchredyava i da chlenuva v profesionalni syuzi za zashchita na svoite interesi.
24-00	Chlen 24
24-01	Vseki chovek ima pravo na pochivka i otdikh, vklyuchitelno na razumno ogranichavane na rabotnoto vreme i na periodichen platen otpusk.
25-00	Chlen 25
25-01	Vseki chovek ima pravo na zhizneno ravnishche, vklyuchitelno prekhrana, obleklo, zhilishche, meditsinsko obsluzhvane i neobkhodimite sotsialni grizhi, koeto e neobkhodimo za poddrzhane na negovoto i na semeistvoto mu zdrave i blagosstoyanie. Toi ima pravo na osiguryavane v sluchai na bezrabotitsa, bolest, invalidnost, ovdovyavane, starost ili drugi sluchai na lishavane ot sredstva za sshchestvuvane po nezaviseshchi ot nego prichini.
25-02	Maikite i detsata se polzvat s osobeni grizhi i podpomagane. Vsichki detsa, rodeni v braka ili izvn braka, se polzuvat s ednakva sotsialna zashchita.
26-00	Chlen 26
26-01	Vseki chovek ima pravo na obrazovanie. Obrazovanieto tryabva da bde bezplatno, pone shcho se otnasya do nachalnoto i osnovnoto obrazovanie. Nachalnoto obrazovanie tryabva da bde zadlzhitelno. Tekhnicheskoto i profesionalnoto obrazovanie tryabva da bdat obshchodostpni, a vissheto obrazovanie tryabva da bde ednakvo dostpno za vsichki na osnovata na tekhnite sposobnosti.
26-02	Obrazovanieto tryabva da bde nasocheno km tsyalostno razvitie na choveshkata lichnost i zasilvane na uvazhenieto km pravata na choveka i osnovnite svobodi. To tryabva da sdeistva za razbiratelstvoto, tprimostta i priyatelstvoto mezhdu vsichki narodi, rasovi ili religiozni grupi, kakto i za osshchestvyavane deinostta na Organizatsiyata na Obedinenite natsii za poddrzhane na mira.
26-03	Roditelite imat pravo, s prioritet, da izbirat vida obrazovanie, koeto da poluchat tekhnite detsa.
27-00	Chlen 27
27-01	Vseki chovek ima pravo svobodno da uchastva v kulturniya zhivot na obshchestvoto, da se naslazhdava na izkustvata, da uchastva v nauchniya napredk i da se polzva ot negovite dostizheniya.
27-02	Vseki chovek ima pravo na zakrila na moralnite i materialnite si interesi, koito sa rezultat ot kakvoto i da e nauchno, literaturno ili khudozhestveno proizvedenie, na koeto toi e avtor.
28-00	Chlen 28
28-01	Vseki chovek ima pravo na sotsialen i mezhdunaroden red, pri koito pravata i svobodite, provzglaseni v tazi deklaratsiya, mogat da bdat naplno osshchestveni.
29-00	Chlen 29
29-01	Vseki chovek ima zadlzheniya km obshchestvoto, v koeto edinstveno e vzmozhno svobodnoto i tsyalostno razvitie na negovata lichnost.
29-02	Vseki chovek, pri uprazhnyavaneto na svoite prava i svobodi, e podchinen samo na takiva ogranicheniya, ustanoveni ss zakon, izklyuchitelno s tsel da se osiguri neobkhodimoto priznavane i zachitane pravata i svobodite na drugite i za udovletvoryavane na spravedlivite iziskvaniya na morala, obshchestveniya red i obshchoto blagodenstvie v edno demokratichno obshchestvo.
29-03	Tezi prava i svobodi pri nikakvi obstoyatelstva ne mogat da bdat uprazhnyavani v protivorechie s tselite i printsipite na Organizatsiyata na Obedinenite natsii.
30-00	Chlen 30
30-01	Nishcho v tazi Deklaratsiya ne mozhe da bde tlkuvano kato predostavyashcho pravo na dadena drzhava, grupa ili litse da se zanimavat s kakvato i da e deinost ili da izvrshvat deistviya, nasocheni km unishchozhavane na pravata i svobodite, provzglaseni v neya.
