00-00	Ku Kolong ko ka kuloho ko ka woo yo wo Kafaydo
12-01	Woo yo wo, kaa ba tuto sembe, ba wali ba kanama, ka hungpo ho kanama, ka yiki ba kanama, ka nga thagba nga wunde kpalita. Wo ka baa ning thiyoko aliko ba tetiya yiki ing makothiyo ma kanama, woo yo wo king maloho ba pamo ing thong bang ka baling ba bang.
13-00	13. Malukunande Kohi-maaati Mang
13-01	Woo yo wo, king maloho ba niyo kuyankang ba kaa ka wunde thimo ing ba niyo ka keken naman.
13-02	Woo yo wo king ing maloho ba pena keken, ndoo keken, thitha keken nama e wunde heleng duwa o tenkilina ka keken namang ko.
14-00	14. Malukunande kohi-ing Manang Mang
14-01	Woo yo wo, king ing maloho ba thara e ka dongo ka keken mene king ba niyo bali ba thonkoy ka keken nama kong.
14-02	Maloho ma beng kaa ba thangthiyo baana thiiya wo ba bohitoko ba ba thonkoy ba ta wunde nii hukominament o ba tetiya thongni ba ka Unayted Nesons.
15-00	15. Malukunande Kohi-ing Masoohi Mang
15-01	Woo yo wo king ing maloho ba niyo ka kiyo wunde ka.
15-02	Wo kaa ba thanthiyo madongo ma ka keken nama ko o ba thanthiyo ba sekita keken ku feena ba doma na kena kiyo wunde.
16-00	16. Malukunande Kohi-ing Masonmanthe Mang
16-01	Bayapeng ing yeremen be thanke funga, be keringitoyta nin hungpo, keken namen, ku laniya ko kanameng, king ing maloho ba dengande/yengtande e dethuwa hungpo ho kanamen. Biya be ben kin ing maloho ma sinthe maaka denga/yengto, ing ma kahudongo be pathi.
16-02	Hu dengande ha king ba koo na wo wathe wong, in wong yereme wong, mey kathabanthe ba dengande.
16-03	Nkpeeng ki na doma hungpo ka faydo. Ki kpeengki king ing maloho ba pamo kama dongiyande mene keken ko kanameng ka bali yoo bali.
17-00	17. Malukunande kohi-ing Masomanle Mang
17-01	Woo yo wo king ing maloho ba niyo ing kee wunde wuntheng o binde bilo kee banthe in biya bifeena.
17-02	Woo ka ba tute sembe ka kee namang bang.
18-00	18. Malukunande kohi-ing Masong matati mang
18-01	Woo yo wo king ing maloho ba siimoko na thimo wunde, ing ba thoo ka dina ba thimo wunde o ba kponoko ka dina ba beng e thoo ka dina bafena maloko yoo maloko, ing helen kulaniya ko kanamang. Wunde king ing maloho ba meyande ing biya be boye ba niyo ka masii manthe eba thongina kulaniya ko kanameng ka wan mene rokpoko.
19-00	19. Malukunande Kohi-ing-Masomanang Mang
19-01	Woo yo wo king maloho ba tepa funung kama simoyko ma kanamang, ing ba kpongkila ho thimo wunde. Wung tholande, maloho ma beng kin ba bohitoko kulaniyande, e woo yina thana tepe ba yi ba niya ning ba kpala mene ba kponkila ka nkaleng ba pankitinande funung ho beng.
20-00	20. Malukunande Kohi-Kale/kongthokaye Mang
20-01	Woo yo wo king kuloho ba komande kathabanthe ka wuthebe. Woo ka ba pithito ba niyo ka mathungande yoo mathungande o ka nkang ka ndoo nkang ka thimo ka wunde.
20-02	[Missing?]
21-00	21. Malukunande Kohi Kale-ing Manthe Mang
21-01	Woo yo wo king ing maloho ba niya wali ing hu komimament ho ka sembe bang ka keken ko kanamang o ba thiika ba hu gbong ho thimo wunde ba kuta semba bang.
21-02	Woo yo wo king ing maloho ba bilande ofisi yoo ofisi wo ka hu kominament ka kekeng namang ko.
21-03	Bathimo biya ba niyo, bena hu kominament ba niye wali. Biya be beng ba thiikiye ba bayapa mene yereme ba funguniye bing thaya ka hu kominament ho beng. Binde ba thiikiye wo thimo bing ka wan o ka ma rogboko.
22-00	22. Malukunande Kohi Kale-ing Maale Mang
22-01	Woo yo wo king ing maloho ba nskita kenkey ko kanamang ba Pama ning ba dungkuna ning feera ba masiteke kama o kama e niy woo wo ba yiki, e pungka niya wali, o gbongni o hutaniya ho denki kenkeng ko kanamang ko ning tute lima.
23-00	23. Malukunande Kohi-Kale-ing-Mataati Mang
23-01	Woo yo wo king maloho ba niya wali, ba yetha wali ba thimo wunde ing ba thunkuno malohoy mene ba pamo hu thana kuta wali.
23-02	Kufakinande kaaka kuthunkung ba woo yo wo wo ni wali. Woo yo wo ba thunkuno singthe ba waling ba dongiyande.
23-03	Woo yo wo wo ni wali ba thunkuno kopiri wo tenge ba yethe nama ing kuboriko kanamang alako de be niyo ing yiki ka biya-metin hutete. Kuthunkung ko beng ba punka heleng ba mase ka gbetheng ba ning penki.
23-04	4. Woo yo wo king maloho ba thankina o ba thoyto nkangki ning mase.
24-00	24. Malukunande Kohi-Kale-ing-Manang Mang
24-01	Woo yo wo king maloho ba feemiya ing ba dunkuno maloko ma kondadeng ba niya wali mene malokoyng makasade ba feemiya ing kutunkung.
25-00	25. Malukunande Kohi-Kale-ing-Massohi Mang
25-01	Woo yo wo bathoma muthoma mutene ba hupetho koto nama ko ing kubori namang, kowunde ba punka kuta mu wunde bili/thoo. Wunde ba Kuta banka ba wunde ing kubori namang fure, ba punka ba maso. Wunde ba maso be thoona o bethanthi, o bali ba denki ba wunde niyo humone.
25-02	Komisayng be ing mpay nameng ba maso. Mpati be kiyo ka yento/dengo, be tha kiya ka yento/dengo fooma ba kuta ma mase manthe e binde pamo nanthe.
26-00	26.
26-01	[Missing]
26-02	[Missing]
26-03	[Missing]
27-00	27.
27-01	[Missing]
27-02	[Missing]
28-00	28.
28-01	[Missing]
29-00	29.
29-01	[Missing]
29-02	[Missing]
29-03	[Missing]
30-00	30.
30-01	[Missing]
