00-00	Oniti ba we a kpenniti kutenku yandu
18-01	Oniti ba we, omou yi do nke nda koonne a yemme me ngati kpei; omou ba nda koonne a doumme kuu nyeinku yoo a feume muu ntentaa yoo a yi doumme kuyie maku ame nyi feume mutaa mamu kpei kaa do ketike, a bo youmu kuyiendoummu maku ko meborime ke twote meteme; a bo amaa ndaa, di sumaa, dikombooti yi do nke ndwo di bo ndoumme diko kuyie didoku yoo di ndaku mekwuo ndi boke kepaa nsikoo becirbe, ke haa doko yebaa nke twonko itye ndibi, ba oniti kaa bo kee byeeke.
19-00	Ditanfotri 19
19-01	Ba we, kaa yemme hati a bo na ke ti beimmu omou me mba na ke daa kokene tiyinke; ba we, a bo na kebeke a doti nga ninte kee byeeke, ke ti two nga me ndowe ne a ninte tii naanti ko kuboti.
20-00	Ditanfotri 20
20-01	Oniti ba we, a bo namu kewenne ketiinne a kobe a me ndobe ke di nake di kpeti; a bo namu ke mbo ditinni a me ndori myeeke, dindi yemme cenke ba nga tiyeiti, di cenke ba ndori meyei.
20-02	Omou yi do nke tanne otou ditin ni mari myeeke ne muwerimu koo yemme yi dido.
21-00	Ditanfotri 21
21-01	Oniti ba we, a do nke ndakemu a hei ko mufommu byeeke ko tinaanti ba kaa yi ha ditinni dii to kutenku dimyeeke; a do ke ntee n nemu bee pi nne dimou di ko diyetri.
21-02	Ba we, a bo namu, ke nsa kaa kobe cenke daa deite, kempi nga hei bo ncenti mee boti ke de nsie mutommu yinke.
21-03	Bekpaatibe do ke ndoori siheikembii do mee borime dihei myeeke; yepate yee tu ndo nke nii cwo weti weti ba bokeboke ba mbo, ke na keceete ditinni kotri kekanne dipanni. Deko mupaticorimu monni, omou yi do ke nkoonne otou ke fiinko o yemme, keye dihei ko meborime yi tu omoumaa komme, omoukoo ngmeete me nyi tu otou kou.
22-00	Ditanfotri 22
22-01	Oniti ba we, fo teheikembite a tenke yi do kewete ke nsenni ngacyee; tidawanti yi kpa a nne do nke yetoo kemoote a kpere kepete itye nyii bo nte kaa na kenye dee ci ne dee yici; demou memme dee bo nte kaa naa ngoniti keye a fei yekeke tu ndo nke ntee nyetobe dedebyeeke. Oniti, kaa me nyi cote be oo yi ndaa too titouti.
23-00	Ditanfotri 23
23-01	Ba we, a do nke mmoke mutommu nga pimmu, ke waa nga domu ke mpi ke de daa naati; omou tu nyi do nke nkpa mutommu.
23-02	Bee pi mmutommu mamumaa ke bekuute ma, be tonfeinti do nke mmamu.
23-03	Wee cenke pimmu mamu, o do nke cu o konyonku; keye dee bo nteme koo na ke nfou ne o cyeete kobe ke ba ngaari.
23-04	Ba we, kaa do a bo namu kewennene betompitibe tobe ke di hanne yentontire ke ngme ndinuu kefeete dimaa.
24-00	Ditanfotri 24
24-01	Oniti ba we, a do nke nii cute mutommu kehompe kekote tikweiti; a yi do nke nii mpi mutommu kukpetinku tehompute be me mbaa keete a diiti.
25-00	Ditanfotri 25
25-01	Oniti ba we, a do nke nfou ke de wenni kaa kontii nnaati, fo ne nga cyeete kobe; a ne bo na kaa fommu ngmenni kaa yimoke a yommaa a yi moke tiyaati, a yi moke a doude, kaa me mmo nga ba na ketaa ngamaa. Wee monte mutommu, wee mo, kuhouku, okupoku yoo okudou, opokoti yoo odakoti, ticite dekewe, wee cenbo mesemme myeeke be yi do nko yoo demyeeke koo nfeuri.
25-02	Ti do nke do kenye tisaponyoti ne tibi kpei mesaaibi imou: opopopori kpeia, ipocoutebia, ipocembia, ba i, i yi do nkensenni.
26-00	Ditanfotri 26
26-01	Oniti ba we, a do nkentye, ke na kepete mecii. Omou yi do nkeyieeti ke na ketanne o bire dakoori sampou. Ibi imu demare yi do nke baa ta deko dakoori. Dakooribe bebebii bee myeeke mutommu do nkepite tipiiti timou ndi; bee ko yepate kpente kpenke ke do mbee ta dakoori odyeewe bemou be bo na ketamu ke be cenke do.
26-02	Dakoori do nketwo ndebire itye nke de benke de bo ime kenaa ngoni ti keye oniti ba we, a do nke nkpenni ti mufommu myeeke. Dakoori do nkedoo ke benitibe kee betobe tumu ke bonkune beyemme kekwuo mbetobe mesemme, ke iboti imou kutenku yandu ndo itobe, ke initiboti kutenku yandu ko ditinni didyeeri dii me ngari ke do kepau nyekpare ke dii na ke yepau nke kutenku narke tipiiti timou.
26-03	Ibi yembe bee doke do nkenye weti weti bebi do nkepete iitye ne i do nkebebii muutommu.
27-00	Ditanfotri 27
27-01	Oniti ba we, be oo da bantene a ko kuboti ko meborime; a do nkebaa: nte difonni, nte dikutri me ndomme. A do mbee daatwoo mecii kaa munkee metwo mbetobe ke kutenku nnaati kedimou dipete mesaa.
27-02	Be tu oniti centine ngo sou; obaribenti me nyi yari ohauti. Oniti tu mpinne mu o mu nyo nne.
28-00	Ditanfotri 28
28-01	Dipatri didyeeri dii ntu ba we, o do nkeyetoo mu ke bokeboke ba mbo kupiku maku; ke memme doke ti ba na kepete mesaa.
29-00	Ditanfotri 29
29-01	Oniti ba we, kaa poo ngaboti yoo ditinni a bo dii myeeke a nye kaa poo ngamaa ndi.
29-02	Omou yi do nkedoo otou o yi do ke bee wee doore omommwoo, keye oniti ne oniti ngme ke ti do nkenvari ke wete kede titobe.
29-03	Fo wee yi do mekoomme a bo ntu seingme kutenku yandu ko dipatri didyeeri me nye nde ndomme.
30-00	Ditanfotri 30
30-01	Dipatri di myeeke, tinaanti mati yibo ke ndonne dihe i mari, ditinni mari yoo oniti do o tisenkri, kennau kewaa ngwaa, ke faari faari ke hati bokeboke. Oniti ba we, a kpenni ti kutenku yandu.
