00-00	LOGO BANGA TIGISIM NABIINA NGWE-LAO WADE
12-01	Ba ba jege chwonga ba daane noono yoo yerane o bobonga keiri seini, naa o diga tiina, naa o songo de o pwola totonga seini. Ba nam ba jege chwonga ba ke o kekeo kolo na wo choge noono wom yu to. Wadaa kanto choo noono maama mo o kekeo maama seini, ye daanem teira.
13-00	Wadaa 13
13-00	Noono maama wae o beiri o bobonga na lage tei ye o zoore o bobonga na lage me maama to, o teo ne.
13-01	Noono maama wae o nwong teo de teo, naa o tete teo ne o beiri o vei teo kodwong ye o jwoora.
14-00	Wadaa 14
14-00	Noono wolo maama na ne chem o teo ne, o wane o duri o vo o taa zoore sateene dedwonna ne o wopwolo de yezura ngwaane.
14-01	De ko de, o cham dem na dae neneene politiksi langa ne ko wo taa chamma se o duri o nwong. O na choge teo kom wade ge mo naa o kekeo kom na wo de UN wade sem na mange tei to sateene dedwonna baa se de jwong o mole mole.
15-00	Wadaa 15
15-00	Noono maama jege teo, o na nwong me.
15-01	Ba baa wane ba zeili noono o teo ne, naa ba fee o se o ye leiri teo o bobonga na lage tei to.
16-00	Wadaa 16
16-00	Baara de kaana na bege ba ti to wae ba di daane ye ba yetana, naa ba na nwong tekolo, naa ba na toge Wechonga kalo dwi to baa wane ko cheingi ba se ba ye di daane ba lo songo. Ye ba kadiri seini ba maama ma daane, ba zora de ba ngwea seini, ye ba wae ba yage daane manga de manga, ba tete bobonga na lage tei.
16-01	Kadiri wio ye baaro de kaane tete yerane na se se ba zo daane, ye ko dae we noono mo fee ba to.
16-02	Songo tiina - baaro de o kaane de o bu - mo ye sayu kugu takeiri wone. Konto ngwaane tekeiri dem de teo kom maama jege se ba taa ni ba banga ne mo, ba taa choo ba wolwanno maama wone.
17-00	Wadaa 17
17-00	Noono maama wae o jege o tete nyoone wonno, naa o de o badwonna wae ba tei wonno daane.
17-01	Ba baa wane ba vere noono wonno naa ba pa se o ye taa lage wonno.
18-00	Wadaa 18
18-01	Noono maama wae o bong o na lage tei. O wae o ke o bobonga keiri, o wae o toge Wechwonga kalo dwi o na lage to; o nam ta wae o leiri o Wechwonga naa o bongem o yerane naa o de kogo, ye o bere noona Wechwonga kam o taane de o totonga seini.
19-00	Wadaa 19
19-01	Noono wae o ngoone o bobonga na lage tei. O wae o te kolo maama o na bonge o yu ne, ye noono ba jege chwonga se o cheingi o ni. O wae o beiri labaare o bobonga o daare o pae labaare dwi maama labaare tonno de walese bam maama wone se de jage jei mamma.
20-00	Wadaa 20
20-00	Noono maama wae o toge o zoore asemble naa tigisim dwi maama na ye yezura tigisim to.
20-01	Ba baa wane ba fee noono se o zo tigisim delo o na ba lage to.
21-00	Wadaa 21
21-00	Noono maama wae o toge o di o teo gomente paare; o nam ta wae o toge o voti o kuri noona o ke gomente dem wone.
21-01	Noono maama wae o jwong wolim delo o teo gomente na jege de woli de noonbia maama to, ko ma da ko ma da.
21-02	Gomente maama dam wo taa toge de noonbia kwora na we tei to mo. Noonbia bam kwora kam mo yei ni ka bere noonbia bam na wo kuri ba gomente dem paare tiina tei to. Kurim dem jege se ko de voti lao naga mo, se noono maama voti o bobonga na laga tei to, ye se ko de voti wadaa kam naga chekke.
22-00	Wadaa 22
22-01	Noono maama teo gomente jege se de taa choo o ngwea langa ne de de dam, de de naduni dedaane de na jege nimoro tei de sateene dedwonna to se ko pa noono wom ngwea ja kuri se o wane o ji noono lanyerane.
23-00	Waada 23
23-00	Noono maama wae o ke totong; o wae o kuri o bobonga na de totong delo, ye fee wora se totong dem taa jege kuri na pa o ywonni de wopwolo ye o ba lia we ba wo zang ba le o totong dem ne to.
23-01	Noono maama ka, ye ko ba chuli o na ye wolo dwi to, jege se o taa jwong ngweo na mae de o totong dem dam na mae tei to mo.
23-02	Wolo maama na tonga ko mang se o ngweo taa ye zegere se ko wane ko ni o tete dedaane o diga tiina lanyerane. Ko ta mang se o taa ne fee o totonga jei ne.
23-03	Noono maama wae o toge o zoore totonga jei tigisim yalo na wo woli o o totonga langa seini to.
24-00	Wadaa 24
24-01	Noono maama jege chwonga se o taa jege sio de sio manga, dedaane hawase bagera o na o ke totonga jei ne to; ye o ta wae o jwong daa bem wone o jeini songo ne o sia ye ba baa le o ngweo wone.
25-00	Wadaa 25
25-00	Fee wora se noono maama taa ngwe ngwea na jege kuri ye ka ywoma ka pae o tete de o diga tiina to. Ko mange se wodiiru, zora jei, assibita na ni yezura seini to dedaane won-telo maama na wo woli pa se ngwea taa ywoma to taa wora. Fee ta mo wora se wolim taa wora ko pae noono maama neneene o na ba tonga, o na weela, naa o na jigi nabwom jaweo ngwaane, o na ye badeim naa kadeim, o na kwe naa noono na ye zore tu, o ware se o ni o tete banga ne.
25-01	Fee wora se ba taa fage ba ni niina de bia banga ne lanyerane. Bu maama, o jege kwo yoo o ba jege kwo yoo, ko mange se ba ni o bange ne mo ba woli o se o ke noono.
26-00	Wadaa 26
26-00	Noono maama jege chonga se o ke sikuuli. Sikuuli veinga, ko zege prameiri sikuuli ko vo yi Junia Sekondeiri Sikuuli, wo taa ye zeera mo, ye ko ta ye fefeo mo se bu maama vo sikuuli se ko yi konto. Tekenekal Sikuula de totonga berem sikuula neneene Koleja de wo taa wora se balo na wo vo da to vo. Univesiti de sikuula kamuna yadwonna de wo taa wora se balo na paase ba teesa lanyerane to vo.
26-01	Sikuuli veinga naa ton-yeino ye se ko pa noono swa mo poore se o wane o lore kolo maama na lana ko pa nabiino se ko ja wopwolo de yezura ko ba to. Ko jege se ko ja nimoro de badwongo mo ko ba de sateene logo banga ne, de nabiina dwi maama de wejoona dwi maama se ko zeini logo banga tigisim totonga dwi maama na woli logo maama yezura to.
26-02	Tiina jege chwonga se ba kuri ba na wo taa lage se ba bia zamese tono sikuuli delo dwi wone to.
27-00	Wadaa 27
27-00	Noono maama wae o toge o ke o nabaara kekeo o na lage tei, de keina yadwonna, de "Science" na jaane wodonno telo maama ko ba nabiina jirim naa wolim ngwaane to.
27-01	Noono maama na popone o tono o na yei kolo maama logo lam ngwaane to, fee wora se ba zeini naa ba woli o se o ne ko maana.
28-00	Wadaa 28
28-01	"United Nations" nia yanto ye se ko pa nabiino maama logo banga wolim, de wopwolo de yezura mo.
29-00	Wadaa 29
29-00	Noono maama jege fee totonga se o ke o na zoore takeiri delo maama ne to se ko pa se o taa ye noon-ngwem se o ngwea ke ywonni.
29-01	Noono fee totonga keiri wone o jege se o de wade sem na lage tei to mo. O ba jege se o ke o gaale naa o ke o choge badwonna wo. O nam ba jege chwonga o ke o choge kogo ywonni de noono wopwolo, kogo zula ngwaane.
29-02	Noono maama na toge nabiina ngwea de logo banga chega chwonga wade sento o jege se o toge "United Nations" na lage se ko de tei to mo.
30-00	Wadaa 30
30-01	Noono, naa noona, naa teo ye zang ba bonge we ba wo wane ba ke wongo se ko leiri naa ko choge nia yanto ba na ting tono konto ne to.
