00-00	AMEGBETO FE ABLODEVINYENYE NGU KPEDODZINYA
10-01	Gomekpokpo sosoe le amesiame si ngu wotso nya do hekploe yi dukoa fe vonudrofe, afisi vonudrola adodoe siwo matso afia ngkuno o la, nade to efe nyawo me ku de efe gomekpokpo, efe dodeasiwo kple hlonya desiade fomevi si woatso de engu la me ne.
11-00	KPEDODZINYA DODO 11-LIA
11-00	Womabu ame adeke agodzelae le wona ade si to nudedi me ne la ta le efe duko me alo duko bubuwo fe se nu nenye be se ma meno anyi le amea fe vodadawoxi o.
11-01	Womabu ame adeke agodzelae de nuwona ade si mele dukoa alo gbetaduko adeke fe seawo me le xeyixi si me nya la dzo o. Nenema ke womana tohehe adeke si ko wu esi so kple amea fe vodada le xemaxi me o.
12-00	KPEDODZINYA DODO 12-LIA
12-01	Ame adeke mekpo mo atso sese ade nu ame bubu fe adzamegbenonya, efe fomenya, alo afemegbenonya me o. Ame adeke mekpo mo ato mo adeke dzi anya nu tso ame ade kple ame bubuwo dome kadodonyawo nguti o. Nenema ke ame adeke mekpo mo afo di ame bubu ngko alo agble engu o. Se la de mo be ame ade si ngu woade afo sia fomevi do la, navli edokui ta faa se la ngudowowo me.
13-00	KPEDODZINYA DODO 13-LIA
13-00	Amesiame kpo mo adi tsa ayi duko desiade me, ano afisiafi si dzroe la, gake amea nakpo gbo be yemetso duko si me yele la fe lifowo o.
13-01	Monukpokpo le amesiame si be woadzo le efe duko alo duko bubu me eye woate ngu atro gbo va efe duko me.
14-00	KPEDODZINYA DODO 14-LIA
14-00	Monukpokpo le amesiame si, si ava yi duko bubu me la si be woakpo sitsofe.
14-01	Womagbe sitsofemonu kpokpo sia nana ame ne eva eme be wole eyome tim de vodada siwo meku de dunyahenyawo ngu alo esiwo tsi tre de Xexeme Dukofofuawo fe dodowo ngu o.
15-00	KPEDODZINYA DODO 15-LIA
15-00	Dumevinyenye fe gomekpokpo le amesiame si.
15-01	Womatso akpasese axo dukomevinyenye le ame adeke si o, eye womaxe mo na ame adeke si di be yeatro azu duko bubu me to la o.
16-00	KPEDODZINYA DODO 16-LIA
16-00	Monukpokpo li na ngutsu kple nyonu siwo tsi nyuie ate ngu ade sro la si be woade amesi nyo na wo la, ado fome. Dzotsofe, dzrovinyenye alo subosubo manye moxenu o. Monukpokpo sosoe li na wo be woade wo noewo. Nenema ke woagate ngu agbe wo noewo ha faa.
16-01	Womazi srodede de ame adeke dzi o. Ele be srodede la nanye srodela eveawo fe didi.
16-02	Le dzodzome nu la, fomee nye gomedokpe na amegbetofomea, eyata enye duko desiade fe dodeasi be woakpo fome desiade fe dedienono fe nyawo gbo.
17-00	KPEDODZINYA DODO 17-LIA
17-00	Monukpokpo li be nunoamesi ate ngu ano ame deka si eye woagae ngu ano ame ma kple ame bubuwo si de du.
17-01	Womatso akpasese axo ame adeke fe nunoamesi si le esi la o.
18-00	KPEDODZINYA DODO 18-LIA
18-01	Amesiame kpo mo abu tame le edokui si le ablode me, awo efe dzitsinya ngudo abe alesi wolo ene eye woasubo le mo si dze engu la nu. Ablodemonu sia gomee nye be ame ade ate ngu agbe nu da tso efe xose gbo eye woagasubo nu bubu si wolo faa. Nenema ke wokpo mo ano edokui si ko alo abo ha kple ame bubuwo le subosubohawo me. Afia nu tso nusi wosubona la nguti le adzame alo gaglagbe to mo desiade nu moxexe manomee.
19-00	KPEDODZINYA DODO 19-LIA
19-01	Amesiame kpo mo abu tame le edokui si eye woade efe susu agblo faa moxexe manomee. Monukpokpo sia lo susuwowo le ame dokuisi le ablode me de eme. Esia gomee nye be ame adeke mekpo mo ado akplamatsee le wona sia me o. Egalo monu si woato ase nya tso ame bubuwo gbo kple alesi woana nyanya ame bubuwo hekpe de susu siwo do go tso nyagbefadede desiade fomevi me kaka me. Le wona siawo me la, lifowo kura go ha manye moxenu o.
20-00	KPEDODZINYA DODO 20-LIA
20-00	Takpekpe kple hadede le ngutifafa me fe ablode monukpokpo, li na amesiame.
20-01	Womazi ame adeke dzi be woano habobo ade me o.
21-00	KPEDODZINYA DODO 21-LIA
21-00	Gomekpokpo le dukomevi desiade si le efe duko fe dzidudunyawo me. Ate ngu anye eya nguto alo ametiatia ado wo tefe le akodada me.
21-01	Monukpokpo li na dukomevi desiade sosoe be woakpo gome le kpekpedengu siwo keng dzidudu nana dukomeviwo kata la xoxo me.
21-02	Dzidudu desiade fe nguse fe soti le efe dukomeviwo sime. Woade nguse sia afia le xeyixi toxewo dzi to ametiakodada siwo wowona le dodo nyui me. Le akodada siawo me la, dukomevi siwo kata dze ada ako la, ade nu adaka me le adzame alo to akodada monu bubu ade si dzi woda asi do ngudowowo me.
22-00	KPEDODZINYA DODO 22-LIA
22-01	Hadomegbenono kple dedienono fe gomekpokpo li na dukomevi desiade. Ehia be dukomevi desiade nakpo esia ade dzesii kotee to nunyanya tso efe duko la fe dekawowo kadodo kple gbetadukowo nguti. Nenema ke wogahiae ha be woanya nu tso kpekpedengu siwo efe duko la xona tso duko bubuwo gbo le ga, hadomegbenonya kple dekonunyawo gome hena eya abe dumevi ene kple ehati bubuawo fe bubu kple tutudo si le vevie nguto la nguti.
23-00	KPEDODZINYA DODO 23-LIA
23-00	Dowowo fe monukpokpo li na amesiame faa. Amesiame atia dowona si nyo ne la. Ati efe dowowo fe dzidzemekpokpo yome eye woavli amemaxomaxo de do me ta vevie.
23-01	Fetu deka fomeviwo xoxo de dowona deka fomevi ta le afisiafi, fe monukpokpo li na amesiame, vovototomanomee.
23-02	Fetu nyui xoxo fe monukpokpo li na amesiame. Esia awoe be dowola la nate ngu akpo eya nguto, sroa kple viawo dzi dzidzemetoe abe alesi wodze amegbeto be woano agbe ngudzedzekpotoe la ene. Eye ne ehia kura ha la woado aloe abe hadomegbenono fe vide ene.
23-03	Amesiame kpo mo ado dowolawo fe habobo anyi alo age de desiade si wodo anyi xoxo la me de efe dzidzemekpokpo monuwo tavivli ta.
24-00	KPEDODZINYA DODO 24-LIA
24-01	Monukpokpo li na amesiame si nye dzidududowola be woana gbodemee to mokeke nanae me le xeyixi toxe adewo dzi gake woaxe fetu dedi ne. Womade ga adeke le efe fetu la me de xeyixi siwo me meno do me la ta o.
25-00	KPEDODZINYA DODO 25-LIA
25-00	Agbenono dzidzemetoe fe monukpokpo li na amesiame bena efe lame nano sesie, eya nguto, sroa kple viawo nano dedie to nududu, nutata, xotutu, atikenya, kple kpekpedengunana bubu fomevi siwo hia le hadomegbenono me la xoxo me. Ne dowona mele ame ade si o la, moukpokpo li ne be ne edze do alo zu woameto, sroa ku alo wotsi heku amega alo nyaga loo alo afoku ade dzo de edzi si awoe be magate ngu awo naneke le edokui si o ha la, woakpo kpekpedengu.
25-01	Ele be woatso belele toxe na vinowo kple deviwo eye woana kpekpedengu wo. Ele be woakpo devi siwo dzilawo de wo noewo de dodonu hafi dzi wo kple esiwo dzilawo mede wo noewo de dodo nyuito nu hafi dzi wo o la dzi vovototomanomee.
26-00	KPEDODZINYA DODO 26-LIA
26-00	Monukpokpo li na amesiame be woaxo hehe. Woaxo hehe siawo femaxee le gomedzesukuwo me. Ele be woazi amewo dzi be woaxo gomedzesuku fe hehe. Ele be monukpokpo nano anyi na hehexoxo le adangudowo kple dowona toxewo me. Le sukukokowo dede gome la, woade mo na amesiwo ngu ngutete le la be woage de hehexofe siawo.
26-01	Ele be hehenana amewo fe tadodzinu nanye be woatu amegbeto desiade do hena efe amezuzu blibo. Ele ha be amegbetofomea, fe dzidzemekpokpo kple efe ablodemenono fe gomedokpe nakpo nggoyiyi to bubudede gomedokpe sia ngu me. Esia ahe nugomesese, dzidodo kple xolowowo ade dukowo, gbegbogblowo kple xoseha vovovoawo kata dome. Esia ana be Xexeme Duko Fofuawo fe Habobo fe nuwonawo nahe ngutifafa va xexeame godoo.
26-02	Dzilawo kpo mo atia hehe si fomevi wodi be wo viwo naxo la faa.
27-00	KPEDODZINYA DODO 27-LIA
27-00	Gbesiagbegbenono fe gomekpokpo li na amesiame. Esia gomee nye bena, monukpokpo li na amesiame be woakpo gome le vide siwo ha dona tso dzodzomenuwo nguti nunya kple adanudowonawo me.
27-01	Monukpokpo li be woavli ame ade fe nutove ta to se ngudowowo me. Nutove sia ate ngu anye agbalengonglo, hakpakpa alo adangu nu bubu desiade fomevi si nye ame la fe asinudowowo si nguti tonyenye le ne.
28-00	KPEDODZINYA DODO 28-LIA
28-01	Gomekpokpo li na amesiame be woano efe duko me habobowo alo dutahabobo siwo me amewo fe monukpokpowo kple ablodevinyenye fe nyati siwo dzi mieto asii le Kpedodzinya sia me la xo anyino do blibo.
29-00	KPEDODZINYA DODO 29-LIA
29-00	Gomekpokpo le duko me nggoyidowo wowo mekpo dukomevi desiade fe ngkume le afisi efe ablodevinyenye kple amegbetonyenye blibo le boboe le.
29-01	Ele na amesiame be le efe monukpokpo kple ablodevinyenye nguti dowowowo me la, woanye amesi awo de dodo siwo dzaa dzi sea da asi do la dzi hena sidzedze kple bubudede ame bubuwo fe gomekpokpowo kple ablodemenono si hea agbe nyui nono, tomefafa kple dzidzeme so gbo fuu ve, le ameha siwo dome sosominasoe fe wonawo fo ke de to nyuie le.
29-02	Mele be woawo monukpokpo kple ablodevinyenye nguti do le monu siwo to vovo tso Xexeme Duko Fofuawo fe tadodzinuwo kple didiwo gbo o.
30-00	KPEDODZINYA DODO 30-LIA
30-01	Mele be ame adeke nade naneke si le Kpedodzinya sia me la gome abe duko deka ade kong to wonye ene o. Medze be ameha alo ame deka adeke natsoe abe monukpokpo ene awo wona ade alo ade afo ade si agble nu le gomekpokpo kple ablodemonu siwo woxle fia le Kpedodzinya sia me la nguti o.
