00-00	Declaratione Universale de les Dretos Humanos
26-01	Tota persona tiene dreto a l’educatione. L’educatione deve essere gratuita, almeno in lo concernente a l’instructione elementale e fondamentale. L’instructione elementale sera obligatoria. L’instructione tecnica e professionale abbera d’essere generalissata; l’acceso a les studios superiores sera eguale per totos, in fontione de les meritos respectivos.
26-02	L’educatione tenira per obgecto la plena sveloppantia de la personalitate humana et el fortalessamento del respetto a les dretos humanos et a las libbertates fondamentales; favorescera la comprensione, la tolerantia e l’amistate intre totas las nationes e totos les grupos etnicos au religiosos; e promovera la sveloppantia de las activitates de las Nationes Adgiuntatas per el mantenimento de la pace.
26-03	Les padres tenirant dreto preferente a scollere el tipo d’educatione que abbera de darse a les sieus fillos.
27-00	Articolo 27
27-01	Tota persona tiene dreto a tollare parte libberamente in la vita culturale de la communitate, a gaudire de las artes et a participare in el progresso cientifico et in les benefitios que d’ele resultent.
27-02	Tota persona tiene dreto a la protectione de les interesses morales e materiales que lui correspondant per racione de las productiones cientificas, literarias aut artisticas de que sia autora.
28-00	Articolo 28
28-01	Tota persona tiene dreto a que se stabila una ordene sociale et internationale in aquele que les dretos e libbertates proclammatos in aquesta Declaratione se fagiant plenamente effectivos.
29-00	Articolo 29
29-01	Tota persona tiene deveres respecto a la communitate, posca tantamente in ela pote sveloppare libbere e plenamente la sua personalitate.
29-02	In l’escercitio de les sieus dretos et in el fruimento de las suas libertates, tota persona stara solamente sogecta a las limitationes stablertas per la lege con l’unico fine d’assecurare veramente la reconoscentia et el respetto de les dretos e libbertates del resto, e de satisfacere las ciustas exigentias de la morale, de l'ordene publico e del benestare generale in una societate democratica.
29-03	Aquestos dretos e libertates non poterant in nencuno caso essere escerciutos in oppossitione a les propossitos e principios de las Nationes Adgiuntatas.
30-00	Articolo 30
30-01	Nula in la presente Declaratione potera interpretarse in el senso de que confere dreto alcuno al Stato, ad un grupo aut ad una persona, per prendere et sveloppare activitates au realissare actos tendentes a la supressione de qualsevuolle de les dretos.
