00-00	ADAM KUKYKTARYNYN ZhALPYGHA BIRDEI DEKLARATSIYaSY
16-02	Neke, tek eki zhaktyn ozara erkin zhene tolyk kelisimi boiynsha ghana kiylady.
16-03	Otabasy koghamnyn tabighi zhene negizgi uyasy bolyp tabylady, zhene kogham men memleket tarapynan korghalugha kukyly.
17-00	17 bap.
17-01	er adamnyn dunie mulikti zheke ozi, nemese baskalarmen birlesip iemdenuge kukyghy bar.
17-02	Eshkim de oz mulkinen eriksiz airylmaugha tiis.
18-00	18 bap
18-01	er adam oi-pikir, ar-ozhdan zhene din bostandyghyna kukyghy bar; bul kukyk oz dinin nemese nanym-senimin ozgertu erkindigin, oz dinin, nanym-senimin zheke ozi, nemese baska adamdarmen birigip tutyp, zhariya turde, nemese zheke zholmen uaghyzdau, kudaigha kulshylyk etu, dini salt-zhoralaryn oryndau bostandyghyn da kamtyidy.
19-00	19 bap
19-01	er adam nanym-senim bostandyghyna zhene oz kozkarasyn erkin bildiruine kukyghy bar; bul kukyk oz nanym-senimin kedergisiz ustanu erkindigin zhene memlekettik shekaralar tertibine teueldi bolyp kalmai, akparattar men ideyalardy erkin izdep, kez-kelgen kuraldar arkyly taratu bostandyghyn da kamtyidy.
20-00	20 bap
20-01	er adamnyn beibit zhinalystar zhene assotsiatsiyaalardy kuru bostandyghyna kukyghy bar.
20-02	Eshkimdi de belgili bir assotsiatsiyagha zorlykpen kirgizuge bolmaidy.
21-00	21 bap
21-01	er adamnyn, oz elin baskaru isine tikelei ozi, nemese erikti turde sailanghan okilderi arkyly katysugha kukyghy bar.
21-02	er adam oz elinde memlekettik kyzmetke ten derezhede kol zhetkizuge kukyly.
21-03	Khalyktyn erki ukimet biliginin negizi boluy tiis; bul erik merzimdi zhene burmalanbaghan sailau arkyly zhuzege asyryluy tiis . Sailau zhalpygha birdei ten sailau kukyghy negizinde, zhasyryn dauys beru zholymen, nemese osy siyakty sailau bostandyghyn kamtamasyz etetin baska da, osy mendes edister arkyly otkizilui tiis.
22-00	22 bap
22-01	er adam, kogham mushesi retinde, eleumettik zhaghynan kamsyzdandyryluyna zhene onyn kadir-kasieti koldau tabuyna, zheke basy erkin kemeldenuine kazhetti ekonomikalyk, eleumettik zhene medeni salalar boiynsha kukyktary erbir memlekettin kurylymy men ressurstaryna sai, ulttyk ykpal zhene khalykaralyk yntymaktastyk arkyly zhuzege asyryluyna kukygy bar.
23-00	23 bap
23-01	er adamnyn enbek etuge, zhumys turin erkin tandaugha, edil zhene kolaily enbek zhaghdaiyna, zhumyssyzdyktan korghaluyna kukyghy bar.
23-02	er adamnyn kundylyghy ten enbegi ushin, nendei bir kemsitusiz, ten enbek aky aluyna kukyghy bar.
23-03	Zhumys istep zhurgen er adam ozinin zhene otbasynyn ylaiykty omir suruin kamtamasyz etetindei edil zhene kanaghattanarlyk, zhene, kazhet bolghan kezde, baska eleumettik kamsyzdandyru kuraldary arkyly tolyktyrylyp otyratyn, syi-siyapatka kukyly.
23-04	er adam kesipodaktaryn kurugha zhene oz muddelerin korghau ushin, kesipodaktaryna kiruge kukyly.
24-00	24 bap
24-01	er adam tynyghugha zhene medeni demalugha, onyn ishinde akylgha konymdy shekteuli zhumys kunine zhene merzimdi akyly demalyska, kukyly.
25-00	25 bap
25-01	er adam ozinin zhene otbasy mushelerinin den-saulyghyn el-aukatyn kamtamasyz etetindei, tamakty, kiimdi, baspanany, meditsinalyk kutimdi kamtyityn omir suru dengeiine kukyly zhene de zhumyssyz kalghan kunde, naukas bolghan kezde, mugedek bolyp kalghan, zhesir bolyp kalghan kunde, kartaighan shakta, nemese ozine bailanysty emes baska da sebeptermen tirshilik etu mumkinshiliginen aiyrylyp kalghan zhaghdaida kamsyzdandyryluyna kukyly.
25-02	Ana zhene nereste bolu zhaghdaiy airyksha kamkorlyk pen komek alugha kukyk beredi. Balalardyn beri, nekeli nemese nekesiz tughan, birdei eleumettik korghaudy paidalanady.
26-00	26 bap
26-01	er adamnyn bilim alugha kukyghy bar. Bilim beru, en bolmaghanda bastauysh zhene zhalpy bilim, tegin boluy tiis. Bastauysh bilim barshagha mindetti boluy tiis. Tekhnikalyk zhene kesiptik bilim kopshiliktin koly zheterliktei boluy tiis zhene zhoghary bilim de, erkimnin kabiletine karai kopshiliktin koly zheterliktei boluy tiis.
26-02	Bilim beru adamnyn zheke basynyn tolyk kemeldenuine zhene kukyktary men negizgi bostandyktaryna degen kurmetti arttyrugha baghyttaluy tiis. Bilim beru barlyk ulttar, nesildik zhene dini toptary arasynda tusinistik, shydamdylyk pen dostyk karym-katynas ornatugha ykpal zhasap zhene Birikken Ulttar Uiymynyn beibitshilikti kuattau zholyndaghy zhumysyna ykpal zhasap, dem berui tiis.
26-03	Ata-analardyn ozderinin zhas balalaryna bilim beru turin tandauda kukyghy basymdy
27-00	27 bap
27-01	er adam koghamnyn medeni omirine erkin katysugha, onerden rakhat-lezzat alugha, ghylymi progresske at salysugha eri onyn igiligin paidalanugha kukyly.
27-02	er adam ozi avtor bolyp tabylatyn ghylymi enbeginin, edebi nemese korkem shygharmalarynyn netizhesinde tuyndaityn rukhani zhene materialdy muddelerin korghaugha kukyly.
28-00	28 bap
28-01	er adam osy deklaratsiyada bayandy etilgen kukyktar men bostandyktardy tolyk zhuzege asyra alatyn eleumettik zhene khalykaralyk tertipke kukyly.
29-00	29 bap
29-01	er adamnyn, adam balasynyn erkin zhene tolyk kemeldenuine mumkinshilik beretin kogham aldynda mindetteri bar.
29-02	Ozinin kukyktary men bostandyktaryn zhuzege asyruda er adam tek baska adamdardyn kukyktary men bostandyktaryn tiisti turde tanu zhene kurmetteu maksaty kozdelgen zhaghdaida ghana zhene demokratiyalyk koghamdaghy moraldin, koghamdyk tertip pen igiliktin ediletti talaptaryn kanaghattandyru maksaty kozdelgen zhaghdaida ghana, zanmen belgilengen shekteuge ushyrauy tiis.
29-03	Osy bostandyktar men kukyktardy zhuzege asyryluy Birikken Ulttar Uiymynyn maksattary men kaghidalaryna kaishy kelmeui tiis.
30-00	30 bap
30-01	Osy Deklaratsiyadaghy eshbir kaghida kasybir memleketke, adamdar tobyna nemese zheke adamdargha atalmysh Deklaratsiyada bayandy etilgen kukyktar men bostandyktardy zhoyatyn kyzmetpen ainalysu nemese is-ereket zhasau kukyghyn beredi dep paiymdaluy tiis emes.
