00-00	KhUNII ERKhIIN TUGEEMEL TUNKhAGLAL
01-01	Khun bur torzh mendlekhed erkh cholootei, adilkhan ner tortei, izhil erkhtei baidag. Oyuun ukhaan, nandin chanar zayaasan khun gegch oor khoorondoo akhan duugiyn uzel sanaagaar khartsakh uchirtai.
02-00	Khoerdugaar zuil
02-01	Khun bur ene Tunkhaglald zaasan bukhy l erkh, erkh choloog yamar ch yalgavarguigeer, yas undes, ars ongo, khuis, khel, shashin shutleg, uls toriyn bolon busad uzel bodol, undesny buyuu niygmiyn garal, ed khorongiyn baidal, yazguur ugsaa, busad yalgaag es khargalzan adilkhan edlekh estoi. Mon tuunchlen tukhain khuny kharyaaldag uls oron buyuu nutag devsgeriyn uls tor, erkh zuin buyuu olon ulsyn status yamar ch bailaa gesen, terkhuu nutag devsger n tusgaar togtnoson, busdyn asramzhid baigaa, oortoo zakhirgaagui buyuu buren erkht baidal n oor yamar ch baidlaar khyazgaarlagdmal baisan, khuniyg yalgavarlazh ul bolno.
03-00	Guravdugaar zuil
03-01	Khun bur amd yavakh, erkh cholootei baikh, khaldashgui darkhan baikh erkhtei.
04-00	Dorovdugeer zuil
04-01	Kheniyg ch boolchlol buyuu busdyn erkhsheeld bailgakh esgui, boolchlol bolon boolyn khudaldaany bukh torliyg khoriglono.
05-00	Tavdugaar zuil
05-01	Khend ch eruu shuult tulgakh buyuu khertsgy, khuny esnoos gaduur eskhul ner toriyg n doromzhlon khartsakh, shiytgekhiyg khoriglono.
06-00	Zurgadugaar zuil
06-01	Khun bur khaana ch baisan erkh zuin etgeed baikh erkhee khuleen zovshooruulekh erkhtei.
07-00	Doldugaar zuil
07-01	Khun bur khuuliyn omno adil tegsh bogood yamar ch yalgavarguigeer khuuliar adilkhan khamgaaluulakh erkhtei. Khun bur enekhuu Tunkhaglald kharshlakh alivaa uildel, yalgavarlan gaduurkhakh yavdal, tegezh yalgavarlan gaduurkhakh alivaa tukhiraltaas adilkhan khamgaaluulakh erkhtei.
08-00	Naimdugaar zuil
08-01	Undsen khuul, busad khuuliar olgoson erkh n zorchigdvol khun bur erkh medel bukhy undesny shuukheer erkhee buren sergeen togtoolgokh erkhtei.
09-00	Esdugeer zuil
09-01	Kheniyg ch dur meden barivchlakh, saatuulakh buyuu khoon zailuulakh esgui.
10-00	Aravdugaar zuil
10-01	Khun bur erkh, uurgee todorkhoiluulakh, eruugiyn yal tulgaval ter n khir zereg undesleltei bolokhyg togtoolgokhyn tuld tukhain khergiyg burn tegsh erkhiyn undsen deer, il od baidlaar, shudarga esny bukh shaardlagyn daguu busdyn noloond avtagdaagui, gagtskhuu khuulind zakhiragdakh shuukheer shiydverluulekh erkhtei.
11-00	Arvan negdugeer zuil
11-01	Gemt kheregt yallagdazh bui khun bur oort n tulgasan khergiyg omgooluulekh buyuu ooroo omgoolokh buren bolomzhtoigoor shuukh khurlaar il kheleltsen taslazh, khuuliyn daguu gem buruutai n togtoogdokh khurtel gem buruugui gezh tootsogdokh erkhtei.
11-02	Tukhain ued undesny khuul togtoomzh buyuu olon ulsyn erkh zuin daguu gemt kheregt es tootsozh baisan alivaa uildel khiysen buyuu khiygeeguig undeslezh kheniyg ch gemt kheregt yallan shiytgekh esgui. Tuunelen gemt khereg garsan ter ued nogduulzh bolokh baisnaas iluu khund yal tokhoozh bolokhgui.
12-00	Arvan khoerdugaar zuil
12-01	Kheny ch khuviyn bolon ger buliyn amdrald khondlongoos dur meden oroltsokh, oron bairny khaldashgui baidal, zakhidal khariltsaany n nuuts, esvel ner tor, aldar khunded n duraar khaldakh esgui. Tegzh oroltsokh, tiynkhuu khaldakh gevel khen ch bai khuuliar khamgaaluulakh erkhtei.
13-00	Arvan guravdugaar zuil
13-01	Khen ch bai uls orny dotor cholootei zorchikh, orshin suukh gazraa cholootei songon avakh erkhtei.
13-02	Khen ch bai al ch uls ornyg, tuuny dotor ekh ornoo orkhin yavakh, ekh orondoo ergezh ochikh erkhtei.
14-00	Arvan dorovdugeer zuil
14-01	Khen bolove mordolt moshgoltoos zugtazh oor uls orond orognokh bolomzhiyg erelkhiylekh, tiynkhuu orognokh erkhtei.
14-02	Uls toriyn bus gemt khereg uildsen, esvel Negdsen Undestny Baiguullagyn zorilgo, zarchimd kharsh khereg uildseny ulmaas zailshgui mordogdozh bui tokhioldold deerkh erkhiyg edelzh ul bolno.
15-00	Arvan tavdugaar zuil
15-01	Khun bur irgeny kharyaalaltai baikh erkhtei.
15-02	Al ch khuny irgeny kharyaallyg buyuu kharyaallaa oorchlokh erkhiyg dur meden khasakh esgui.
16-00	Arvan zurgadugaar zuil
16-01	Nasand khursen eregtei, emegtei khumuus ars ongo, yas undes, shashin shutlegtei kholbogdson alivaa khyazgaarlaltguigeer gerlekh, orkh tusgaarlakh erkhtei. Ted gerlekhdee, gerlesniykhee daraa bolon gerleltee tsutsluulakh ued tegsh erkh edelne.
16-02	Eregtei, emegtei khoer khun cholootei, khariltsan buren zovshoorson nokhtsold gerlezh bolno.
16-03	Ger bul bol niygmiyn zham esny undsen negzh mon bogood niygem, toroor khamgaaluulakh erkhtei.
17-00	Arvan doldugaar zuil
17-01	Khun bur ed khorongiyg khuvdaa buyuu busadtai khamtarch omchlokh erkhtei.
17-02	Kheny ch ed khorongiyg duraar khuraan avch bolokhgui.
18-00	Arvan naimdugaar zuil
18-01	Khun bur cholootei bodozh setgekh, shutezh bishrekh, suseglekh erkhtei, ene n shashin shutleg buyuu uzel bodloo oorchlokh erkh, gantsaaraa buyuu busadtai khamtran niytiyn bolon khuviyn zhurmaar shashin shutleg, uzel bodloo zaan tugeekh, torgol khiykh, surgaal guitsetgekh, shashny khiygeed zan uiliyn eslol uildekh erkhiyg khamarna.
19-00	Arvan esdugeer zuil
19-01	Khun bur ooriyn zel bodoltoi baizh, tuuniygee cholootei ilerkhiylekh erkhtei, uund uzel bodloo yamar ch khorig tseergui barimtlakh, alivaa uzel sanaa, medeelliyg ulsyn khiliyn zaagaar ul khyazgaarlan bolomzhtoi arga zamaar erzh survalzhlakh, olzh ashiglakh, tugeen delgeruulekh erkh bagtana.
20-00	Khordugaar zuil
20-01	Khun bur taivan zamaar sain duraar khuran tsuglakh, evlelden negdekh erkhtei.
20-02	Kheniyg ch alivaa evlel kholboond albadan oruulakh esgui.
21-00	Khorin negdugeer zuil
21-01	Khun bur uls ornoo udirdakhad shuud buyuu cholootei songoson toloologchdooroo ulamzhlan oroltsokh erkhtei.
21-02	Khun bur uls orondoo toriyn alba khashikh tegsh erkhtei.
21-03	Ard tumny khusel zorig bol zasag zaslyn undes mon: ene khusel zorig n bukh niyted songuuliyn tegsh erkh edluulekh undsen deer sanalyg nuutsaar khuraakh, esvel sanalaa cholootei gargakh yavdlyg khangakhuits oor busad khelberiyg ashiglakh zamaar togtmol, khuuramch bus songuul yavuulakhad ilrelee olno.
22-00	Khorin khoerdugaar zuil
22-01	Khun bur niygmiyn gishuuny khuvd niygmees khangamzh avakh erkhtei bogood ner toroo khamgaalakh , biee bolovsruulzh khogzhuulekhed zailshgui shaardlagatai ediyn zasag, niygem, soelyn talyn erkh darkhaa tukhain uls orny khuchin charmailt khiygeed olon ulsyn khamtyn azhillagaany noots bololtsoond niytsuulen edlekh erkhtei.
23-00	Khorin guravdugaar zuil
23-01	Khun bur khodolmorlokh, azhlaa cholootei songokh, khodolmoriyn shudarga, taatai nokhtsloor khanguulakh, azhilguidlees sergiylen khamgaaluulakh erkhtei.
23-02	Khun bur yamar ch yalgavarguigeer adil khemzheeny khodolmort adil khemzheeny shan khols avakh erkhtei.
23-03	Azhil khodolmor erkhelzh baigaa khen bolovch khuviyn bolon am buliynkhee akhui amzhirgaag khuny zeregtei avch yavakhad khureltsekhuits bogood zailshgui tokhioldold niygmiyn khangamzhiyn ekh uusgevreer nemen arvizhuulsan, khiysendee taarsan, khurteemzhtei shan khols avakh erkhtei.
23-04	Khun bur erkh ashgaa khamgaaluulakh zorilgoor uildverchny evlel baiguulakh buyuu negdekh erkhtei.
24-00	Khorin dorovdugeer zuil
24-01	Khun bur azhlyn tsagiyg zokhistoigoor khyazgaarlakhyg shaardakh, tsalintai togtmol amralt edlekh erkhiyg oroltsuulan amrakh, zav cholootei baikh erkhtei.
25-00	Khorin tavdugaar zuil
25-01	Khun bur khool khuns, khuvtsas khunar, oron bair, emchilgee suvilgaa, niygem akhuin zailshgui shaardlagatai uileilgeeg oroltsuulaad ooriyn bolon am buliynkhniykhee eruul mend, azh amdralyg tetgekhed khureltsekhuits amzhirgaatai baikh erkhtei, azhilguidekh, ovchlokh, takhir dutuu bolokh, belevsrekh, otlokh, esvel ooroos ul khamaarakh busad shaltgaanaar am zuulgagui bolokh nokhtsold tetgemzh avakh erkhtei.
25-02	Ekh, nyalkhas ontsgoi asramzh, tuslaltsaa avakh erkhtei. Batalgaatai ger bulees garsan bolon butach khuukhed yalgaagui niygmeer adilkhan khamgaaluulna.
26-00	Khorin zurgadugaar zuil
26-01	Khun bur surch bolovsrokh erkhtei. Naad zakh n ankhan shatny bolon eronkhy bolovsrolyg une tolborgui olgodog baival zokhino. Khun bur zaaval ankhan shatny bolovsroltoi baikh shaardlagatai. Tekhnikiyn bolon tusgai mergezhliyn bolovsrol niyted khurteemzhtei baikh estoi, avyaas chadvaryg n undeslen khun burt deed bolovsrol ezemshikh bolomzhiyg adilkhan olgokh estoi.
26-02	Bolovsrol n bie khuniyg ov tegsh khogzhuulekh, khunii erkh, undsen erkh eoloog ulam bur khundetgedeg bolgokhod chiglekh estoi. Bolovsrol n alivaa uls tumen, yanz buriyn arstan khiygeed shashny bulguud bie bienee oilgokh, khultsen teveikh, evsen nairamdakh, mon tuunelen Negdsen Undestny Baiguullagaas enkh taivnyg sakhin khamgaalakh talaar yavuulzh bui uil azhillagaand dokhom uzuulekh estoi.
26-03	Baga nasny khuukhdiyn bolovsrolyn chigleliyg songokhod etseg ekh davuu erkh edelne.
27-00	Khorin doldugaar zuil
27-01	Khun bur niygmiynkhee soelyn amdrald cholootei oroltsokh, urlagiyg bakhdakh, shinzhlekh ukhaany devshild oroltsozh ur shimiyg n khurtekh erkhtei.
27-02	Khun bur ooriyn tuurvisan shinzhlekh ukhaan, utga zokhiol, uran saikhny buteeliyn materiallag bolon es surtakhuuny ur shimiyg khurtezh, ashig sonirkhloo khamgaaluulakh erkhtei.
28-00	Khorin naimdugaar zuil
28-01	Khun bur ene Tunkhaglald zaasan erkh, erkh choloog buren edelzh bolokhuits tiym niygmiyn baiguulamzh bolon olon ulsyn deg zhuramd azh torokh estoi.
29-00	Khorin esdugeer zuil
29-01	Khun bur niygmiynkhee omno todorkhoi uureg khuleekh bogood gagtskhuu niygem l bie khuny cholootei, ov tegsh khogzhliyg khangana.
29-02	Khun bur erkh, erkh choloogoo edlekhdee busdyn erkh, erkh choloog zuin daguu zovshooron khundlekh, es surtakhuuny shudarga shaardlagyg bieluulekh, ardeilsan niygemd baidag khev zhuram, bukh niytiyn sain saikhan baidlyg khangakh uudnees khuulchlan togtooson zokhikh khyazgaarlaltad l zakhiragdana.
29-03	Edgeer erkh, erkh choloog Negdsen Undestny Baiguullagyn zorilgo, zarchimd kharshluulan edlekh esgui.
30-00	Guchdugaar zuil
30-01	Enekhuu Tunkhaglalyn yamar ch zuil angiyg al neg uls oron, buleg buyuu bie khuny zugees end tunkhaglasan erkh, erkh choloog uguisgekhed chiglesen alivaa azhillagaa yavuulakh, tiym uildel khiykh erkh, bololtsoo olgozh baigaa meteer mushgin oilgozh bolokhgui.
