00-00	Insan haklari evrensel beyannamesi
05-01	His kimse ishkenceye, zalimane, gayriinsani, haysiyet kirici cezalara veya muamelelere tabi tutulamaz.
06-00	Madde 6
06-01	Herkes her nerede olursa olsun hukuk kishiliginin taninmasi hakkini haizdir.
07-00	Madde 7
07-01	Kanun oenuende herkes eshittir ve farksiz olarak kanunun eshit korumasindan istifade hakkini haizdir. Herkesin ishbu Beyannameye aykiri her tuerlue ayirdedici mualeleye karshi ve boeyle bir ayirdedici muamele isin yapilacak her tuerlue kishkirtmaya karshi eshit korunma hakki vardir.
08-00	Madde 8
08-01	Her shahsin kendine anayasa veya kanun ile taninan ana haklara aykiri muamelelere karshi fiilli netice verecek shekilde milli mahkemelere mueracaat hakki vardir.
09-00	Madde 9
09-01	His kimse keyfi olarak tutuklanamaz, alikonulanamaz veya sueruelemez.
10-00	Madde 10
10-01	Herkes, haklarinin, vecibelerinin veya kendisine karshi cezai mahiyette herhangi bir isnadin tespitinde, tam bir eshitlikle, davasinin bagimsiz ve tarafsiz bir mahkeme tarafindan adil bir shekilde ve asik olarak goeruelmesi hakkina sahiptir.
11-00	Madde 11
11-00	Bir sus ishlemekten sanik herkes, savunmasi isin kendisine gerekli buetuen tertibatin saglanmish bulundugu asik bir yargilama ile kanunen suslu oldugu tespit edilmedikse masum sayilir.
11-01	His kimse ishlendikleri sirada milli veya milletlerarasi hukuka goere sus teshkil etmeyen fiillerden veya ihmallerden oetuerue mahkum edilemez. Bunun gibi, susun ishlendigi sirada uygulanabilecek olan cezadan daha shiddetli bir ceza verilemez.
12-00	Madde 12
12-01	His kimse oezel hayati, ailesi, meskeni veya yazishmasi hususlarinda keyfi karishmalara, sheref ve shoehretine karshi tecavuezlere maruz birakilamaz. Herkesin bu karishma ve tecavuezlere karshi kanun ile korunmaya hakki vardir.
13-00	Madde 13
13-00	Herkes herhangi bir devletin sinirlari dahilinde serbestse dolashma ve yerleshme hakkina haizdir.
13-01	Herkes, kendi memleketi de dahil, herhangi bir memleketi terketmek ve memleketine doenmek hakkina haizdir.
14-00	Madde 14
14-00	Herkes zuluem karshisinda bashka memleketlerden muelteci olarak kabulue talep etmek ve memleketler tarafindan muelteci muamelesi goermek hakkini haizdir.
14-01	Bu hak, gersekten adi bir cuerueme veya Birleshmish Milletler prensip ve amaslarina aykiri faaliyetlere muestenit kovushturmalar halinde ileri sueruelemez.
15-00	Madde 15
15-00	Her ferdin bir uyrukluk hakki vardir.
15-01	His kimse keyfi olarak uyruklugundan ve uyruklugunu degishtirmek hakkindan mahrum edilemez.
16-00	Madde 16
16-00	Evlilik sagina varan her erkek ve kadin, irk, uyrukluk veya din bakimindan hisbir kisitlamaya tabi olmaksizin evlenmek ve aile kurmak hakkina haizdir. Her erkek ve kadin evlenme konusunda, evlilik sueresince ve evliligin sona ermesinde eshit haklari haizdir.
16-01	Evlenme akdi ancak muestakbel eshlerin serbest ve tam rizasiyla yapilir.
16-02	Aile, cemiyetin tabii ve temel unsurudur, cemiyet ve devlet tarafindan korunmak hakkini haizdir.
17-00	Madde 17
17-00	Her shahis tek bashina veya bashkalariyla birlikte mal ve muelk sahibi olmak hakkini haizdir.
17-01	His kimse keyfi olarak mal ve muelkuenden mahrum edilemez.
18-00	Madde 18
18-01	Her shahsin, fikir, vicdan ve din huerriyetine hakki vardir; bu hak, din veya kanaat degishtirmek huerriyeti, dinini veya kanaatini tek bashina veya topluca, asik olarak veya oezel surette, oegretim, tatbikat, ibadet ve ayinlerle izhar etmek huerriyetini iserir.
19-00	Madde 19
19-01	Her ferdin fikir ve fikirlerini asiklamak huerriyetine hakki vardir. Bu hak fikirlerinden oetuerue rahatsiz edilmemek, memleket sinirlari mevzubahis olmaksizin maluemat ve fikirleri her vasita ile aramak, elde etmek veya yaymak hakkini iserir.
20-00	Madde 20
20-00	Her shahis saldirisiz toplanma ve dernek kurma ve dernege katilma serbestisine maliktir.
20-01	His kimse bir dernege mensup olmaya zorlanamaz.
21-00	Madde 21
21-00	Her shahis, dogrudan dogruya veya serbestse sesilmish temsilciler vasitasiyla, memleketin kamu ishleri yoenetimine katilmak hakkini haizdir.
21-01	Her shahis memleketin kamu hizmetlerine eshitlikle girme hakkini haizdir.
21-02	Halkin iradesi kamu otoritesinin esasidir; bu irade, gizli shekilde veya serbestligi saglayacak muadil bir usul ile cereyan edecek, genel ve eshit oy verme yoluyla yapilacak olan devri ve dueruest sesimlerle ifade edilir.
22-00	Madde 22
22-01	Her shahsin, cemiyetin bir ueyesi olmak itibariyle, sosyal guevenlige hakki vardir; haysiyeti isin ve shahsiyetinin serbestse gelishmesi isin zaruri olan ekonomik, sosyal ve kueltuerel haklarin milli gayret ve milletlerarasi ishbirligi yoluyla ve her devletin teshkilati ve kaynaklariyla muetenasip olarak gersekleshtirilmesine hakki vardir.
23-00	Madde 23
23-00	Her shahsin salishmaya, ishini serbestse sesmeye, adil ve elverishli salishma shartlarina ve ishsizlikten korunmaya hakki vardir.
23-01	Herkesin, hisbir fark goezetilmeksizin, eshit ish karshiliginda eshit uecrete hakki vardir.
23-02	salishan her kimsenin kendisine ve ailesine insanlik haysiyetine uygun bir yashayish saglayan ve gerekirse her tuerlue sosyal koruma vasitalariyla da tamamlanan adil ve elverishli bir uecrete hakki vardir.
23-03	Herkesin menfaatlerinin korunmasi isin sendikalar kurmaya ve bunlara katilmaya hakki vardir.
24-00	Madde 24
24-01	Her shahsin dinlenmeye, eglenmeye, bilhassa salishma mueddetinin makul surette sinirlandirilmasina ve muayyen devrelerde uecretli tatillere hakki vardir.
25-00	Madde 25
25-00	Her shahsin, gerek kendisi gerekse ailesi isin, yiyecek, giyim, mesken, tibbi bakim, gerekli sosyal hizmetler dahil olmak uezere sagligi ve refahini temin edecek uygun bir hayat seviyesine ve ishsizlik, hastalik, sakatlik, dulluk, ihtiyarlik veya gesim imkanlarindan iradesi dishinda mahrum birakacak diger hallerde guevenlige hakki vardir.
25-01	Ana ve socuk oezel ihtimam ve yardim goermek hakkini haizdir. Buetuen socuklar, evlilik isinde veya dishinda dogsunlar, ayni sosyal korunmadan faydalanirlar.
26-00	Madde 26
26-00	Her shahsin oegrenim hakki vardir. Oegrenim his olmazsa ilk ve temel safhalarinda parasizdir. Ilk oegretim mecburidir. Teknik ve mesleki oegretimden herkes istifade edebilmelidir. Yueksek oegretim, liyakatlerine goere herkese tam eshitlikle asik olmalidir.
26-01	Oegretim insan shahsiyetinin tam gelishmesini ve insan haklariyla ana huerriyetlerine sayginin kuvvetlenmesini hedef almalidir. Oegretim buetuen milletler, irk ve din gruplari arasinda anlayish, hoshgoerue ve dostlugu teshvik etmeli ve Birleshmish Milletlerin barishin idamesi yolundaki salishmalarini gelishtirmelidir.
26-02	Ana baba, socuklarina verilecek egitim tueruenue sesmek hakkini oencelikle haizdirler.
27-00	Madde 27
27-00	Herkes, toplulugun kueltuerel faaliyetine serbestse katilmak, guezel sanatlari tatmak, ilim sahasindaki ilerleyishe ishtirak etmek ve bundan faydalanmak hakkini haizdir.
27-01	Herkesin yarattigi, her tuerlue bilim, edebiyat veya sanat eserlerinden muetevellit manevi ve maddi menfaatlerin korunmasina hakki vardir.
28-00	Madde 28
28-01	Herkesin, ishbu Beyannamede derpish edilen hak ve huerriyetlerin tam tatbikini saglayacak bir sosyal ve milletlerarasi nizama hakki vardir.
29-00	Madde 29
29-00	Her shahsin, shahsiyetinin serbest ve tam gelishmesi ancak bir topluluk isinde muemkuenduer ve shahsin bu topluluga karshi goerevleri vardir.
29-01	Herkes, haklarinin ve huerriyetlerinin kullanilmasinda, sadece, bashkalarinin haklarinin ve huerriyetlerinin geregince taninmasi ve bunlara saygi goesterilmesi amaciyla ve ancak demokratik bir cemiyette ahlakin, kamu duezeninin ve genel refahin hakli icaplarini yerine getirmek maksadiyla kanunla belirlenmish sinirlamalara tabi tutulabilir.
29-02	Bu hak ve huerriyetler hisbir veshile Birleshmish Milletlerin amas ve prensiplerine aykiri olarak kullanilamaz.
30-00	Madde 30
30-01	Ishbu Beyannamenin hisbir huekmue, herhangi bir devlete, zuemreye ya da ferde, bu Beyannamede ilan olunan hak ve huerriyetleri yoketmeye yoenelik bir faaliyete girishme ya da eylemde bulunma hakkini verir shekilde yorumlanamaz.
