00-00	Universele ferklearring fan de rjochten fan de minske
19-01	Elk hat rjocht op frijheid fan miening en mieningsutering. Dat rjocht haldt de frijheid yn om sunder ynminging in miening te hawwen en om troch alle middels en sunder grinzen acht te slaan, ynljochtings en tinkbylden op te spoaren, te untfangen en troch te jaan.
20-00	Kest 20
20-00	Elk hat rjocht op frijheid fan freedsume feriening en gearkomste.
20-01	Nimmen mei twongen wurde om by in feriening te hearren.
21-00	Kest 21
21-00	Elk hat it rjocht om diel te nimmen oan it bestjoer fan syn lan, streekrjocht of troch frij keazen fertsjintwurdigers.
21-01	Elk hat it rjocht om op foet fan gelikensens talitten te wurden ta de oerheidstsjinsten fan syn lan.
21-02	De wil fan it folk sil de grunslach weze fan it gesach fan it regear; dy wil sil ta utering komme yn periodike en earlike ferkiezings dy't halden wurde sille ut kreft fan algemien en lykweardich kiesrjocht en by geheime stimmings of neffens in proseduere dy't krektlikegoed boarch stiet foar de frijheid fan stimmen.
22-00	Kest 22
22-01	Elk hat as lid fan 'e mienskip rjocht op maatskiplike wissigens en hat der oanspraak op dat troch nasjonale ynspanning en ynternasjonale gearwurking, en yn oerienstimming mei de organisaasje en de helpboarnen fan 'e oanbelangjende steat, de ekonomyske, sosjale en kulturele rjochten dy 't unmisber binne foar syn weardichheid en foar it frij untploaien fan syn persoanlikheid, ferwezentlike wurde.
23-00	Kest 23
23-00	Elk hat rjocht op wurk, op frije kar fan berop, op rjochtrnjittige en geunstige arbeids-betingsten en op beskerming tsjin wurkleazens.
23-01	Elk hat, sunder ien of oare benefterstelling, rjocht op itselde lean foar itselde wurk.
23-02	Elk dy't wurk docht, hat rjocht op in rjochtfeardige en geunstige beleanning dy't him en syn hushalding in minskweardich bestean mooglik makket; dy beleanning sil sa nedich mei oare middels fan sosjale beskerming oanfolle wurde.
23-03	Elk hat it rjocht om fakferienings op te rjochtsjen en him der by oan te sluten om syn belangen te beskermjen.
24-00	Kest 24
24-01	Elk hat rjocht op rest en frije tiid, mei ynbegryp fan in ridlike beheining fan 'e arbeidstiid en periodike fakansjes mei behald fan lean.
25-00	Kest 25
25-00	Elk hat rjocht op in libbensstandert dy't heech genoch is foar de sunens en it wolwezen fan himsels en syn hushalding, derunder begrepen iten, klean, husfesting en medyske fersoarging en needsaaklike sosjale tsjinsten en rjocht op foarsjenning yn gefal fan wurkleazens, sykte, ynvaliditeit, ferstjerren fan 'e oare helte, alderdom of in oar gemis oan besteansmiddels troch omstannichheden buten syn wil.
25-01	Mern en bern hawwe rjocht op bysundere soarch en bystan. Alle bern, al of net wetlik, sille under deselde sosjale beskerming falle.
26-00	Kest 26
26-00	Elk hat rjocht op underwiis; it underwiis sil fergees weze, teminsten wat it leger en basisunderwiis oanbelanget. It leger underwiis sil ferplichte weze. Beropsunderwiis en beropsoplieding sille algemien beskikber steld wurde. Heger underwiis sil lykop iepenstean foar elk, dy't der de kapasiteiten foar hat.
26-01	It underwiis sil rjochte weze op it folut untwikkeljen fan 'e minsklike persoanlikheid en op it fersterkjen fan 'e earbied foar de rjochten fan 'e minske en de funemintele frijheden. lt sil it begryp, de ferdraachsumens en de freonskip under alle naasjes, rassen of godstsjinstige groepen befoarderje en it sil it wurk fan 'e Feriene Naasjes foar it hanthavenjen fan 'e frede stypje.
26-02	Oan de alden komt yn it foarste plak it rjocht ta de soarte fan opfieding en underwiis te kiezen dy't harren bern jun wurde sil.
27-00	Kest 27
27-00	Elk hat it rjocht yn alle frijens diel te nimmen oan it kulturele libben fan 'e mienskip, te genietsjen fan keunst en diel te hawwen oan wittenskiplike foarutgong en de fruchten derfan.
27-01	Elk hat rjocht op 'e beskerming fan geastlike en materiele belangen dy't fuortkomme ut in wittenskiplik, letterkundich of artistyk wurk dat er fuortbrocht hat.
28-00	Kest 28
28-01	Elk hat rjocht op it bestean fan sa'n maatskiplike en ynternasjonale oarder, dat de rjochten en frijheden neamd yn dizze ferklearring, der folslein yn ferwezentlike wurde kinne.
29-00	Kest 29
29-00	Elk hat plichten foar de mienskip oer; allinne der is de frije en folsleine untploaiing fan syn persoanlikheid yn mooglik.
29-01	Yn it utoefenjen fan syn rjochten en frijheden sil elk allinne mar underwurpen weze oan dy beheinings dy't by de wet feststeld binne en wol inkeld en allinne foar de unmisbere erkenning en earbiediging fan 'e rjochten en frijheden fan oaren en om te foldwaan oan de rjochtfeardige easken fan 'e moraliteit, iepenbiere oarder en it algemien wolwezen yn in demokratyske mienskip.
29-02	Dy rjochten en frijheden meie yn gjin gefal utoefene wurde yn striid mei de doelen en begjinsels fan 'e Feriene Naasjes.
30-00	Kest 30
30-01	Gjin bepaling yn dizze ferklearring sil sa utlein wurde meie, dat hokker steat, groep of persoan dan ek der ek mar ien of oar rjocht oan untliene kin om eat te undernimmen of hanlingen fan hokker aard ek te ferrjochtsjen dy't it ferneatigjen fan ien fan 'e rjochten en frijheden neamd yn dizze ferklearring, ta doel hawwe.
