00-00	QUERO ANCOTAVACAAJIAQUEMPANI MAASANO CAQUINTE ANCHOOCMIAQUENIJI CAMEETSA
12-01	Tee oncameetsateji irasereashijitacajigueti aatimpa aisa arijanitepaejaniqui, aisaquea tee oncameetsatej inquijashijipojemparogueti atsovironaquite irasereapojacaji. Tee oncameetsatej irampatsajavantashijitemparo antioncagueteca, aisa aato iticaacoj itiro. Aato acantacotashitaritsi itsipa, ishirontimentashijitaritsi. Ocameetsataque irivetsatacoventacaji irira amajirotepae, aisa onchoocataque tioncarentsi "ley" pigamencajineca.
13-00	Antsajiaqueca 13
13-01	Cameetsavaeque anquenaguetanaque querocagueti ontaniqui aguepatsitequi. Tee oncameetsateji intsaneapitsaj icajiro.
13-02	Aninquegueti oanaque otsipapaequi quepatsi, tee oncameetsateji inticaavaquempa amajirotepae. Aisaqueate aninquegueti ancoraquetajegueti ampiajegueti aguepatsitequi tee oncameetsateji intsaneapitsatajiro amaj irote.
14-00	Antsajiaqueca 14
14-01	Ariguetiquea incatsimatashijiacaji agonoropae aatimpa ontaniqui aguepatsitequi ocameetsamajataque incavintsajaj iavacaj iqueate itsipapae caquinte ontaniqui iguepatsitequi iriatimpa.
14-02	Irooqueate cotanquitsi arigueti antaquero caarica cameetsatatsica aguepatsitequi, aato aj iquej incavintsajaj iavacaj i itsipapae caquinte.
15-00	Antsajiaqueca 15
15-01	Ocameetsataque agonorontaj iaquempari maasano savicajiatsica aguepatsitequi.
15-02	Tee oncameetsateji incantashij itacaj i amaj irotepae: "Tee aviatimpa nogonorontempiji". Aisa tee oncameetsateji incancaj i: "Aato noguishinej impitsi pigonoronquempari itsipapae caquinte".
16-00	Antsajiaqueca 16
16-01	Arigueti inquenquevaritapojaquegueti shirampari aisa manquigarentsi, iraavejaque irague aisaquea ocameetsaque inchoocataque irijanitepae. Tee oncameetsatej i incantajiqueri: "Tee pigonorontenaj i, aato paguitsi; ocantashita piquemisanqueca: aato paguitsi". Iroguenti manquigarentsi onquej etaquempari shirampari, aavejaque oncanqueri shirampari oninquegueti agueri; aisa arigue ti aaqueri onquejetaquempari aisa aavejaque oncanque oninquegueti ompishoncanajeri.
16-02	Teegueti irininque shirampari irague aisa teegueti oninque manquigarentsi ague, tee oncameetsateji iromperanajiquempari iraavacaajiaquempa.
16-03	Caaviji ocameetsamajati antsipajiaquempari arijanite aisa aguempeane, quisho oavacaaquempa quempeji. Amitacotavacaaquempa aatoniji atij aitavacaaj iga, ari inquejetaquempa iriatimpa majirontatsica iramitacoj iacaj aatoniji atijaitavacaga.
17-00	Antsajiaqueca 17
17-01	Ocameetsataque irashintaguetaquempa maasano caquinte. Ocameetsaque irashintaquempa apaniropae aisa irininquegueti intsipajiaquempari itsipapae irashintajiaquemparo maasano.
17-02	Tee oncameetsateji iraapitsatashitaquempari intati irajaararo.
18-00	Antsajiaqueca 18
18-01	Ocameetsataque anquenquejero taaca opajitapae anintaj iaqueca aisa ocameetsataque antsarovenquempari Aapani Irioshi arigueti aninque. Tee oncameetsateji incatsimatimencajiro amajirote. Aninquegueti ancantashitatijajero aguemisanqueca, aisa ocameetsataque aato icantimentantiro. Ocameetsataque amajiaquero apaniro, aisa ocameetsaque antsipajiaquempari maasano agonoropae, aavejanquemparoca. Ocameetsaque antsatacaajiaqueri itsipapae, aisa antaquero inintacaacajica atsaroventajiacaca.
19-00	Antsajiaqueca 19
19-01	Ocameetsataque anquenquejero taaca opajitapae anintaguequeca aisa ancamanqueri itsipapae; tee oncameetsateji incatsimatimencajiro aato yasereimentajiro taacaopajitapae anquenquejaque. Ocameetsataque antsatacaajiaqueri aisa choocajiatsica otsipapaequi quepatsi.
20-00	Antsajiaqueca 20
20-01	Ocameetsataque ancapiocajiaquempa antsatacaavacaaj iaquempa. Tee oncameetsatej i incantimencajiro. Cotanquitsi aato iro acapiocashitimentari caquinte agashinoncaaqueri.
20-02	Aatogueti ininti itsipa intsipatacaji aato aaveji asereguiri, aato amperatari.
21-00	Antsajiaqueca 21
21-01	Ocameetsataque ancamanqueri amajirote taacaopaj itapae anintaj iaqueca irantaj jaqueca. Iroguenti ancamantamajaqueri aatimpa: teegueti anejeri aatimpa, ancoguiaqueri agonoro antigaranqueri incamantaj iaqueri iriatimpa.
21-02	Chooca oshequi yantajiaqueca irira majirontatsica aisa itigarancanejia yamitacojiacajigueti. Ocameetsataque iramitacoj iacaji maasano, aquejetavacaaj iacatari.
21-03	Tee oncameetsateji irimajirontashitaquempa amajirotepae, iroguenti ocameetsataque ancoguiaj iaqueri amajirontajiaquempaca. Maasano ancojaiaque avotataqueri. Ocameetsataque irishinejiacaji ampijitapiniquero ancanque quericaca aninqueca irimajirontacojiacaji. Ocameetsataque antioncaquero, tee oncameetsateji intsaque majirontatsica quericaca caarica nintatsi irimajirontempa aatonij i icatsimatiritsi.
22-00	Antsajiaqueca 22
22-01	Ocameetsaque incavintsajavacaajiaquempa maasano choocaj iatsica iguinteniqui aisa otsipapaequi guinteninintsi, tee oncameetsateji irishimampoj ancaj iaquempa aparopae. Chooca acoacoj iacaca: asheca, ajaararo; anintaj iaque agonoropae ancavintsajaiaqueri; anintaj iaque aisa amaguetaquero amejigaca. Tee oncameetsateji intsaneapitsatajiro.
23-00	Antsajiaqueca 23
23-01	Ocameetsataque onchoocaque querocagueti ancatsiquequeca iroca otsipa antaguequeca ocancaniqueate amanantanquemparoca acoacoguetacaca. Ocameetsataque ancoguiaquero aatimpa querocaca antapiniqueca, tee oncameetsateji incamancaji itsipapae taaca opajita antaguetaque. Iriraquea camanquerica catsiquej iatsica aato yatsipetacaashitari cameetsaniji irantajiaque. Irininquegueti itsipa onchoocaque irantane, ora cotanquitsi aatogueti ochoocati irantane, cameetsa iramiqueri itsipapae.
23-02	Arigueti anquejetaquempari itsipapae ancatsiquejiaque, ocameetsataque irimoflcaraqueri quenapapana irovegarajiacajica.
23-03	Arigueti ancatsiquete cameetsataque irovegaramajacaji irira acatsiquetaqueneca aatoniji atsipetashita intati aisa aatoniji yatsipejiaro itase arijanitepae jero aisa aguempeane. Ancatsiquevetaquempa cotanquitsi aatogueti imoncaratari quenanpapana arijanitepae cameetsa itsipa iramicaji.
23-04	Incatsiquetacajaiacajigueti itsipa aato iticacagaji arigueti aninte ancapiocavacaajiaquempa cameetsaniji ancantajiaque irovegaramajaiacaji, irogueti ancantajiaque, "Nomagorejaquiteta tampatica", iroca otsipa ancantaj iaque.
24-00	Antsajiaqueca 24
24-01	Ocameetsataque iroguishinejajiacaji catsiquetacaacajica amagorejajiaque. Tee oncameetsateji incatsiquetacaapinijiacaji ancantacoguitempani savincaguiteriqui. Cameetsa iroguishinejajiacaji amagorejajiaque apaniropae savincaguiteri, fiesta, aisa irovegarajiacaji oquejetaca acatsiquejiaque.
25-00	Antsajiaqueca 25
25-01	Maasano anintajiaque asheca, avatsacaro, atsovironaquite aisa aavintarontsi. Arigueti ancatsiqueteneri itsipa ocameetsataque irovegaratacaji quenapapana avegaratantaquemparoca maasano acoacojiacaca aisa ocoacocaca aguempeane aisa arijanitepae. Aisa teegueti amatajeroji ancatsiquete, aisa arigueti anquenquevaritanaje ocameetsataque onchoocaque acoacojiacaca. Aisa ocameetsataque onchoocaque ocoacoj iacaca ora metoj acoro.
25-02	Ocameetsataque ancavintsajamajaiaquero manquigarentsi choocatatsica orijanite aisa ancavintsajamaj aiaqueri chaajaniquiripae, maasano. Ari anquejetacaajiaquempari ancavintsajaqueri chaajaniquiripae jocacori, ari anquejetacaaj iaquempari itsipapae teeca irojocacojiguete.
26-00	Antsajiaqueca 26
26-01	Ocameetsataque onchoocaque shicoi intsatacaantajitaquemparica maasano caquintepae. Arigueti inquijaque primariaqui, tee oncameetsateji irovegaraquero inquijantaquempaca shicoiqui. Ocameetsataque aisa intigarancaqueri inquijaque, tee oncameetesateji irisotogue irosati interoncanaquero primaria. Ocameetsataque onchoocaque otsipapae shicoi intsatantaquempaca agonoropae mecanica, agropecoaria, taacaopajitapae. Ocameetsataque onchoocate alsa Universidad inquijantempaca tsamajaqueroca tioncanentsi. Arica irovegaraquero iriatimpa irira quijajiatsica.
26-02	Ocameetsataque ogamejiaqueri quijajiatsica shicoi intsatantaquempa quero incoquempa inchoocatantajiaquempaca cameetsa, incavintsajantajiaquemparica itsipapae aisa iriguishinejantaj iaquemparica itsipapae inchoocaque cameetsa. Caaviji ocameetsataque ancavintsaj aj iaqueri itsipapae, aavacajajiaquempa. Aato acatsimatashitaritsi coraquej iatsica otsipaqui quepatsi vetsatantaguetaroca otsipapae quenquetsatsarentsi. Aisa aato acatsimatashiguetari cantashitatiatsica itsinoqui, aisa irira caarica quejejiacajica iquemisanque. Ocameetsataque amitacoj iaqueri maasano caquinte, aavacaj aj iaquempa, anchoocajiaque cameetsa.
26-03	Irira ashintarica irijanitepae iriotaque cantanquitsineca querocagueti intigancaqueri irijanitepae inquij antempaca shicoi.
27-00	Antsajiaqueca 27
27-01	Cameetsataque irininquegueti caquinte intsipaj iaquempari igonorovio iramashaij iaque, irogueti intsamaroj iaque, irogueti irisoncataque, irogueti igantaguere, taacaopajitapae incantacoque. Tee oncameetsatej i intsaneapitsajitempari itsipa taaca coraquetanquitsine. Qcameetsavaeque irishinevenquemparo taacaopajitapae yantagueque iguinteniqui qujecaroca shicoi interoncaquerogueti ipeacaacaca.
27-02	Arigueti impeacaguemparo agonoropae taacaopaj itapae, aisa arigueti intioncaquero taacaopajitapae, iriotaquetarite ashintaroca. Irininquegueti, ocameetsataque irovegaratsiiqueri; tee oncameetsatej i incoshij iqueri.
28-00	Antsajiaqueca 28
28-01	Ocameetsaque iroguishinejajiacaj iro amajirotepae ocatica ationcacotaqueca; tee oncameetsateji intsaneapitsacaj iro.
29-00	Antsajiaqueca 29
29-01	Arigueti aninque anchoocajigue cameetsa, aato acantashitapinitari itsipapae incavintsajaj iacaj i aisa iramitacojiacaji. Iroguenti ocameetsataque ancavintsajaigueri iriatimpa, amitacojiaqueri. Anquejetacaaquemparoguetj ari anchoocaj iaque cameetsa.
29-02	Ocameetsamajataque majirontatsica iramenamajatero querocaca cantanquitsica tioncacotanquitsica "ley", irootaquequea impampiatanaque. Irootaquequeate anchoocatantajiaquempaca cameetsa aatoniji asereavacajajaja acaniqui aguintenijiaqui aisa apaniropae guinteninintsi querocagueti incoguiajiaque imaj irote.
29-03	Ocameetsamajataque ampampiatero ocatica tioncacorentsi ocanqueca, aatoquea yogaashitaro acantajiaqueca. Ocameetsataque maasano ocatica aguishinejajiaqueri itsipapae, irooqueate cotanquitsi tee oncameetsateji iranquero caarica anintacajajiguiri maasano acapiocaventajiacaca.
30-00	Antsajiaqueca 30
30-01	Ocameetsataque amoncarajiaquero maasano ationcajiaqueca ocatica. Tee oncameetsateji intsaneapitsacajiro amajirotepae aisa agonoropae. Ocameetsataque aguishinejajiaqueri maasano caquinte inchoocajiaque cameetsa.
